# noise_analysis run from DCC-NOISE-001011 at Tue Apr  2 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/04/2013 00:05:00,   59.13,   64.56,   51.52,   62.71,   67.44,   55.99
02/04/2013 00:10:00,   56.43,   62.15,   50.96,   60.11,   65.03,   55.12
02/04/2013 00:15:00,   56.11,   61.24,   50.50,   59.19,   63.48,   54.68
02/04/2013 00:20:00,   54.93,   59.92,   50.62,   60.20,   64.91,   54.58
02/04/2013 00:25:00,   55.65,   62.02,   50.61,   58.80,   64.17,   54.49
02/04/2013 00:30:00,   57.22,   63.29,   51.26,   62.13,   67.07,   55.56
02/04/2013 00:35:00,   58.86,   64.96,   51.05,   63.61,   69.74,   54.82
02/04/2013 00:40:00,   56.52,   61.46,   51.03,   61.10,   65.05,   55.11
02/04/2013 00:45:00,   55.46,   61.45,   49.94,   59.65,   64.80,   54.22
02/04/2013 00:50:00,   53.37,   56.07,   50.00,   58.10,   62.08,   54.25
02/04/2013 00:55:00,   55.09,   60.85,   50.37,   59.18,   64.68,   54.61
02/04/2013 01:00:00,   54.18,   59.23,   49.91,   58.29,   62.24,   54.49
02/04/2013 01:05:00,   53.63,   58.27,   49.84,   57.94,   61.55,   54.22
02/04/2013 01:10:00,   55.09,   59.98,   50.03,   59.02,   62.78,   54.05
02/04/2013 01:15:00,   54.00,   58.83,   49.93,   60.27,   64.69,   54.45
02/04/2013 01:20:00,   54.06,   58.91,   50.24,   58.92,   63.93,   54.25
02/04/2013 01:25:00,   52.08,   54.12,   49.14,   55.92,   58.13,   53.59
02/04/2013 01:30:00,   54.00,   57.18,   50.15,   58.33,   62.11,   54.42
02/04/2013 01:35:00,   52.10,   56.29,   49.36,   56.89,   60.48,   53.54
02/04/2013 01:40:00,   52.43,   55.26,   49.45,   58.14,   62.01,   53.72
02/04/2013 01:45:00,   53.30,   58.33,   49.18,   57.24,   62.13,   53.37
02/04/2013 01:50:00,   55.10,   58.99,   50.45,   60.07,   64.28,   54.64
02/04/2013 01:55:00,   52.09,   54.62,   49.38,   58.03,   61.90,   53.61
02/04/2013 02:00:00,   54.85,   60.96,   49.85,   59.00,   63.67,   54.04
02/04/2013 02:05:00,   53.68,   58.27,   49.60,   57.69,   61.57,   53.90
02/04/2013 02:10:00,   56.27,   60.88,   50.21,   59.33,   63.24,   54.22
02/04/2013 02:15:00,   56.13,   61.20,   50.21,   59.63,   64.60,   54.20
02/04/2013 02:20:00,   51.53,   53.45,   48.95,   56.30,   59.60,   53.06
02/04/2013 02:25:00,   52.08,   54.44,   49.02,   56.45,   59.94,   53.40
02/04/2013 02:30:00,   52.81,   56.96,   49.08,   56.69,   60.10,   53.39
02/04/2013 02:35:00,   52.90,   59.91,   48.79,   57.00,   62.57,   53.16
02/04/2013 02:40:00,   51.81,   52.79,   48.81,   55.54,   56.87,   53.13
02/04/2013 02:45:00,   52.11,   55.62,   48.56,   55.78,   59.16,   52.79
02/04/2013 02:50:00,   54.93,   60.82,   48.46,   58.24,   63.11,   52.57
02/04/2013 02:55:00,   53.21,   58.66,   48.94,   55.96,   60.35,   52.86
02/04/2013 03:00:00,   54.51,   59.26,   49.36,   57.62,   61.92,   53.19
02/04/2013 03:05:00,   53.73,   58.05,   49.62,   57.18,   61.18,   53.24
02/04/2013 03:10:00,   52.52,   57.21,   49.01,   55.95,   60.48,   52.96
02/04/2013 03:15:00,   54.11,   59.83,   49.11,   57.39,   62.15,   53.22
02/04/2013 03:20:00,   52.45,   57.45,   48.68,   56.31,   60.84,   52.85
02/04/2013 03:25:00,   52.44,   54.18,   49.33,   56.06,   59.18,   53.27
02/04/2013 03:30:00,   53.38,   58.82,   49.23,   56.97,   61.71,   53.29
02/04/2013 03:35:00,   54.15,   60.68,   49.15,   58.29,   63.39,   53.28
02/04/2013 03:40:00,   54.57,   60.84,   49.61,   58.02,   63.76,   53.52
02/04/2013 03:45:00,   55.99,   63.60,   48.90,   59.53,   66.83,   52.98
02/04/2013 03:50:00,   53.17,   57.95,   49.16,   57.08,   61.05,   53.34
02/04/2013 03:55:00,   53.00,   59.25,   48.33,   56.04,   61.17,   52.45
02/04/2013 04:00:00,   53.33,   59.71,   48.43,   56.67,   61.78,   52.48
02/04/2013 04:05:00,   54.70,   62.32,   48.35,   57.63,   64.25,   52.55
02/04/2013 04:10:00,   54.81,   59.35,   48.78,   57.99,   62.35,   52.88
02/04/2013 04:15:00,   55.65,   61.89,   48.86,   58.63,   63.92,   53.23
02/04/2013 04:20:00,   55.94,   62.92,   48.84,   59.12,   65.70,   53.10
02/04/2013 04:25:00,   54.36,   62.03,   48.41,   57.31,   63.82,   52.47
02/04/2013 04:30:00,   55.86,   63.32,   48.96,   59.53,   65.96,   53.13
02/04/2013 04:35:00,   55.67,   61.91,   49.26,   58.42,   63.86,   53.11
02/04/2013 04:40:00,   55.41,   62.81,   49.01,   58.18,   64.76,   53.08
02/04/2013 04:45:00,   52.44,   57.64,   48.68,   55.83,   60.11,   52.59
02/04/2013 04:50:00,   58.38,   64.72,   49.73,   61.67,   67.00,   53.66
02/04/2013 04:55:00,   53.18,   58.70,   48.81,   56.48,   61.15,   52.95
02/04/2013 05:00:00,   56.78,   63.88,   49.87,   60.15,   66.20,   54.19
02/04/2013 05:05:00,   59.25,   65.38,   50.07,   63.63,   69.75,   54.86
02/04/2013 05:10:00,   57.74,   64.28,   50.54,   61.21,   66.32,   55.25
02/04/2013 05:15:00,   59.38,   65.86,   50.52,   63.04,   68.96,   55.08
02/04/2013 05:20:00,   57.71,   62.52,   51.15,   61.97,   65.53,   56.64
02/04/2013 05:25:00,   59.22,   64.88,   50.53,   63.70,   68.28,   55.53
02/04/2013 05:30:00,   57.53,   62.42,   50.32,   61.59,   65.11,   55.74
02/04/2013 05:35:00,   58.98,   65.30,   51.13,   62.40,   67.41,   55.92
02/04/2013 05:40:00,   57.73,   63.38,   50.69,   61.25,   65.72,   55.48
02/04/2013 05:45:00,   58.56,   65.19,   50.97,   62.55,   67.85,   56.09
02/04/2013 05:50:00,   58.10,   64.08,   51.43,   62.02,   67.53,   56.08
02/04/2013 05:55:00,   60.84,   67.65,   51.82,   64.77,   70.66,   57.19
02/04/2013 06:00:00,   57.23,   62.07,   51.59,   61.70,   65.69,   56.41
02/04/2013 06:05:00,   61.85,   67.89,   52.83,   65.81,   70.50,   57.76
02/04/2013 06:10:00,   57.81,   63.87,   51.95,   61.47,   66.45,   57.05
02/04/2013 06:15:00,   60.01,   65.76,   52.93,   62.99,   68.10,   57.32
02/04/2013 06:20:00,   60.18,   65.84,   53.02,   63.27,   68.29,   57.64
02/04/2013 06:25:00,   61.63,   66.63,   53.26,   64.92,   68.61,   57.97
02/04/2013 06:30:00,   58.14,   62.28,   52.87,   61.40,   64.83,   57.20
02/04/2013 06:35:00,   58.83,   64.61,   52.62,   62.02,   66.79,   57.03
02/04/2013 06:40:00,   57.94,   63.96,   52.55,   61.75,   66.02,   56.85
02/04/2013 06:45:00,   61.46,   67.79,   53.15,   65.16,   70.84,   57.24
02/04/2013 06:50:00,   58.02,   61.73,   53.03,   62.26,   65.43,   57.63
02/04/2013 06:55:00,   62.21,   68.38,   53.35,   65.82,   71.01,   58.21
02/04/2013 07:00:00,   61.88,   67.83,   53.70,   65.11,   70.08,   58.01
02/04/2013 07:05:00,   61.86,   67.85,   54.12,   65.11,   70.89,   58.42
02/04/2013 07:10:00,   60.72,   66.66,   54.72,   63.90,   68.47,   58.97
02/04/2013 07:15:00,   62.05,   68.13,   53.74,   65.66,   71.13,   58.26
02/04/2013 07:20:00,   61.80,   67.44,   53.78,   65.49,   70.64,   58.43
02/04/2013 07:25:00,   62.39,   68.41,   53.31,   65.93,   71.50,   58.15
02/04/2013 07:30:00,   63.04,   67.71,   54.18,   66.62,   71.38,   58.85
02/04/2013 07:35:00,   63.19,   67.95,   53.89,   67.26,   71.97,   59.04
02/04/2013 07:40:00,   63.23,   69.13,   54.14,   67.07,   73.36,   58.34
02/04/2013 07:45:00,   64.26,   69.19,   55.15,   67.51,   71.93,   59.82
02/04/2013 07:50:00,   60.86,   66.21,   53.72,   64.72,   69.17,   58.61
02/04/2013 07:55:00,   63.03,   68.23,   53.83,   66.63,   71.65,   59.11
02/04/2013 08:00:00,   63.15,   68.23,   55.09,   66.42,   70.69,   59.58
02/04/2013 08:05:00,   63.38,   67.69,   56.86,   66.98,   71.13,   60.79
02/04/2013 08:10:00,   65.14,   69.96,   58.16,   68.90,   73.96,   62.52
02/04/2013 08:15:00,   63.00,   67.00,   56.39,   66.23,   69.64,   60.23
02/04/2013 08:20:00,   63.07,   67.72,   56.44,   66.46,   70.62,   60.42
02/04/2013 08:25:00,   67.39,   72.08,   59.81,   71.27,   75.61,   63.67
02/04/2013 08:30:00,   62.13,   66.89,   56.36,   65.50,   69.86,   60.39
02/04/2013 08:35:00,   63.62,   68.15,   54.54,   67.08,   70.82,   60.04
02/04/2013 08:40:00,   62.65,   70.63,   54.64,   66.82,   74.61,   59.44
02/04/2013 08:45:00,   61.46,   66.77,   53.87,   65.28,   70.20,   58.71
02/04/2013 08:50:00,   61.53,   67.17,   53.60,   66.43,   71.96,   58.40
02/04/2013 08:55:00,   63.11,   68.42,   54.39,   66.74,   71.34,   59.42
02/04/2013 09:00:00,   61.61,   66.97,   53.87,   65.48,   70.21,   58.45
02/04/2013 09:05:00,   63.53,   69.04,   54.99,   67.76,   73.08,   59.80
02/04/2013 09:10:00,   61.79,   67.97,   53.75,   65.76,   71.02,   58.95
02/04/2013 09:15:00,   61.85,   67.58,   53.94,   65.72,   70.97,   58.47
02/04/2013 09:20:00,   62.83,   69.41,   53.45,   66.85,   73.12,   58.30
02/04/2013 09:25:00,   61.27,   66.03,   53.29,   64.99,   68.98,   57.87
02/04/2013 09:30:00,   62.59,   67.28,   53.96,   66.12,   70.47,   58.71
02/04/2013 09:35:00,   63.01,   69.16,   55.33,   66.64,   71.88,   59.82
02/04/2013 09:40:00,   61.39,   65.60,   54.67,   65.46,   69.33,   59.82
02/04/2013 09:45:00,   63.78,   69.53,   54.31,   67.36,   73.30,   58.84
02/04/2013 09:50:00,   62.45,   68.68,   53.79,   66.34,   72.40,   58.52
02/04/2013 09:55:00,   62.32,   67.13,   54.53,   65.90,   70.02,   59.55
02/04/2013 10:00:00,   59.87,   64.96,   53.31,   63.64,   67.79,   57.87
02/04/2013 10:05:00,   62.58,   67.51,   54.28,   66.27,   71.07,   58.52
02/04/2013 10:10:00,   62.25,   67.43,   54.08,   65.94,   71.22,   58.30
02/04/2013 10:15:00,   63.27,   68.56,   54.73,   66.72,   72.07,   59.50
02/04/2013 10:20:00,   60.91,   66.36,   52.72,   64.14,   68.75,   57.38
02/04/2013 10:25:00,   62.31,   67.53,   54.23,   65.59,   69.64,   58.76
02/04/2013 10:30:00,   62.69,   66.65,   54.55,   66.21,   69.36,   59.72
02/04/2013 10:35:00,   61.20,   66.39,   53.80,   65.16,   70.03,   58.38
02/04/2013 10:40:00,   61.54,   66.39,   54.15,   65.56,   70.36,   58.69
02/04/2013 10:45:00,   63.06,   69.33,   53.46,   66.99,   73.35,   58.23
02/04/2013 10:50:00,   62.24,   66.23,   53.41,   65.88,   69.89,   58.57
02/04/2013 10:55:00,   61.66,   67.26,   53.11,   65.94,   71.30,   57.69
02/04/2013 11:00:00,   61.76,   66.77,   54.09,   65.70,   70.27,   58.88
02/04/2013 11:05:00,   60.69,   65.53,   52.81,   63.88,   68.25,   57.18
02/04/2013 11:10:00,   61.39,   66.27,   52.99,   65.79,   70.18,   58.07
02/04/2013 11:15:00,   62.81,   68.27,   53.29,   66.52,   71.24,   58.72
02/04/2013 11:20:00,   62.03,   68.02,   52.86,   65.90,   71.04,   57.29
02/04/2013 11:25:00,   61.42,   65.07,   53.92,   65.80,   69.16,   59.38
02/04/2013 11:30:00,   62.41,   68.17,   53.58,   66.76,   72.49,   59.11
02/04/2013 11:35:00,   59.36,   63.70,   52.78,   63.49,   67.34,   58.07
02/04/2013 11:40:00,   61.90,   66.71,   53.11,   65.74,   69.06,   58.51
02/04/2013 11:45:00,   60.16,   65.44,   53.32,   64.48,   69.49,   58.21
02/04/2013 11:50:00,   61.44,   65.91,   52.96,   65.42,   69.27,   57.78
02/04/2013 11:55:00,   60.70,   65.82,   53.33,   65.03,   69.35,   58.31
02/04/2013 12:00:00,   61.94,   67.76,   52.72,   66.09,   71.33,   58.02
02/04/2013 12:05:00,   60.64,   65.97,   53.24,   64.83,   69.49,   58.10
02/04/2013 12:10:00,   61.63,   66.41,   53.36,   65.52,   70.44,   58.45
02/04/2013 12:15:00,   61.98,   66.60,   53.56,   66.05,   69.84,   58.84
02/04/2013 12:20:00,   62.10,   66.23,   53.61,   66.00,   69.40,   59.02
02/04/2013 12:25:00,   59.79,   64.52,   53.74,   63.77,   67.42,   58.41
02/04/2013 12:30:00,   62.95,   67.46,   55.99,   67.30,   72.41,   60.41
02/04/2013 12:35:00,   61.47,   66.53,   53.11,   64.98,   69.78,   57.88
02/04/2013 12:40:00,   61.22,   65.00,   54.05,   64.61,   67.69,   58.05
02/04/2013 12:45:00,   62.25,   66.81,   53.22,   66.17,   71.46,   57.97
02/04/2013 12:50:00,   61.51,   65.22,   54.59,   65.57,   68.90,   58.79
02/04/2013 12:55:00,   61.66,   65.99,   54.67,   65.33,   68.92,   59.23
02/04/2013 13:00:00,   62.77,   67.25,   55.25,   66.24,   70.70,   59.54
02/04/2013 13:05:00,   61.42,   66.09,   53.84,   65.56,   70.58,   58.55
02/04/2013 13:10:00,   61.22,   66.00,   54.43,   65.40,   69.48,   59.01
02/04/2013 13:15:00,   60.86,   65.50,   52.44,   64.85,   68.70,   57.35
02/04/2013 13:20:00,   62.80,   67.74,   54.08,   66.91,   72.18,   58.60
02/04/2013 13:25:00,   62.13,   66.52,   53.26,   66.09,   70.25,   57.96
02/04/2013 13:30:00,   60.41,   64.64,   53.97,   64.69,   69.21,   58.78
02/04/2013 13:35:00,   61.63,   65.90,   54.87,   65.28,   69.30,   59.23
02/04/2013 13:40:00,   61.00,   65.11,   53.47,   65.01,   70.52,   58.00
02/04/2013 13:45:00,   60.86,   65.49,   53.26,   65.16,   69.92,   58.07
02/04/2013 13:50:00,   62.96,   68.30,   53.95,   66.66,   71.70,   58.34
02/04/2013 13:55:00,   61.98,   67.29,   53.34,   66.20,   72.58,   58.16
02/04/2013 14:00:00,   59.97,   64.73,   53.61,   63.79,   68.21,   58.07
02/04/2013 14:05:00,   62.66,   66.80,   55.30,   66.26,   70.32,   59.83
02/04/2013 14:10:00,   61.03,   65.84,   53.46,   65.05,   69.83,   58.29
02/04/2013 14:15:00,   62.32,   66.49,   56.24,   65.95,   70.10,   60.18
02/04/2013 14:20:00,   64.57,   68.43,   56.43,   68.73,   72.90,   60.52
02/04/2013 14:25:00,   65.07,   67.35,   61.35,   69.31,   70.96,   66.09
02/04/2013 14:30:00,   64.71,   66.66,   61.61,   68.70,   70.30,   66.21
02/04/2013 14:35:00,   66.31,   69.74,   62.77,   70.27,   73.28,   67.47
02/04/2013 14:40:00,   63.16,   66.97,   55.00,   67.08,   70.92,   59.29
02/04/2013 14:45:00,   65.74,   68.71,   54.45,   69.91,   72.83,   59.05
02/04/2013 14:50:00,   67.50,   69.09,   65.37,   71.51,   73.00,   69.45
02/04/2013 14:55:00,   69.16,   71.43,   65.98,   73.53,   75.67,   70.47
02/04/2013 15:00:00,   65.48,   70.89,   54.76,   69.70,   75.11,   59.56
02/04/2013 15:05:00,   61.26,   64.08,   54.24,   65.30,   67.69,   58.94
02/04/2013 15:10:00,   62.77,   67.87,   53.04,   67.08,   72.61,   58.25
02/04/2013 15:15:00,   65.86,   70.17,   55.57,   70.32,   75.01,   60.19
02/04/2013 15:20:00,   62.63,   66.59,   54.42,   66.76,   71.00,   59.36
02/04/2013 15:25:00,   61.86,   65.68,   55.58,   65.95,   69.56,   60.23
02/04/2013 15:30:00,   61.67,   65.85,   54.28,   65.45,   70.16,   58.28
02/04/2013 15:35:00,   65.04,   71.02,   54.45,   67.28,   72.79,   58.13
02/04/2013 15:40:00,   62.26,   67.84,   54.88,   65.61,   70.92,   59.14
02/04/2013 15:45:00,   62.66,   66.29,   54.34,   65.62,   69.20,   58.28
02/04/2013 15:50:00,   62.77,   67.12,   54.42,   66.82,   71.11,   59.47
02/04/2013 15:55:00,   63.31,   66.54,   56.41,   67.25,   71.08,   61.27
02/04/2013 16:00:00,   62.93,   67.44,   55.72,   66.81,   71.65,   59.48
02/04/2013 16:05:00,   62.48,   67.71,   54.87,   66.39,   71.41,   59.12
02/04/2013 16:10:00,   63.21,   67.52,   55.48,   66.84,   71.17,   60.37
02/04/2013 16:15:00,   64.32,   68.91,   55.53,   68.03,   72.01,   59.50
02/04/2013 16:20:00,   61.64,   67.58,   54.40,   65.43,   70.35,   58.89
02/04/2013 16:25:00,   62.63,   66.13,   55.55,   66.29,   69.56,   60.17
02/04/2013 16:30:00,   62.56,   66.41,   55.30,   66.28,   70.48,   59.23
02/04/2013 16:35:00,   63.72,   67.96,   55.46,   67.02,   71.75,   59.72
02/04/2013 16:40:00,   62.77,   66.39,   57.12,   66.36,   69.77,   61.58
02/04/2013 16:45:00,   63.22,   67.81,   56.68,   67.05,   72.65,   60.81
02/04/2013 16:50:00,   60.87,   63.90,   54.06,   64.45,   67.59,   58.58
02/04/2013 16:55:00,   63.08,   67.58,   56.66,   67.44,   72.20,   60.64
02/04/2013 17:00:00,   64.33,   69.20,   54.90,   68.23,   73.06,   59.31
02/04/2013 17:05:00,   63.92,   67.59,   55.31,   68.10,   72.30,   59.31
02/04/2013 17:10:00,   62.45,   67.57,   54.36,   66.78,   70.81,   59.44
02/04/2013 17:15:00,   63.54,   69.52,   54.19,   67.29,   72.84,   59.63
02/04/2013 17:20:00,   61.84,   66.04,   53.98,   65.60,   68.51,   59.05
02/04/2013 17:25:00,   63.04,   66.80,   54.83,   66.46,   69.46,   59.38
02/04/2013 17:30:00,   67.98,   71.53,   54.09,   70.44,   75.12,   59.15
02/04/2013 17:35:00,   61.60,   66.02,   53.49,   65.17,   68.44,   58.22
02/04/2013 17:40:00,   62.66,   68.35,   53.81,   66.10,   71.54,   58.82
