# noise_analysis run from DCC-NOISE-001011 at Wed Apr  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/04/2013 00:05:00,   55.61,   60.91,   50.19,   58.89,   63.26,   54.25
03/04/2013 00:10:00,   58.06,   64.36,   50.92,   61.87,   66.78,   55.08
03/04/2013 00:15:00,   56.97,   63.16,   50.23,   60.39,   65.79,   54.24
03/04/2013 00:20:00,   58.93,   64.95,   50.26,   62.80,   67.35,   54.32
03/04/2013 00:25:00,   56.60,   62.91,   50.13,   60.25,   64.85,   54.14
03/04/2013 00:30:00,   56.98,   64.07,   49.85,   60.45,   65.91,   54.36
03/04/2013 00:35:00,   57.23,   60.40,   50.06,   60.86,   63.01,   54.21
03/04/2013 00:40:00,   54.41,   60.21,   50.19,   58.39,   62.77,   54.54
03/04/2013 00:45:00,   56.87,   61.73,   49.40,   60.63,   65.01,   53.74
03/04/2013 00:50:00,   57.99,   64.23,   50.28,   61.24,   66.42,   54.53
03/04/2013 00:55:00,   54.13,   58.56,   50.58,   57.93,   61.97,   55.00
03/04/2013 01:00:00,   62.32,   70.66,   50.81,   66.77,   75.45,   55.46
03/04/2013 01:05:00,   55.08,   60.16,   50.42,   59.22,   63.51,   54.29
03/04/2013 01:10:00,   56.15,   61.81,   50.49,   60.99,   64.85,   54.56
03/04/2013 01:15:00,   55.16,   60.58,   49.83,   58.22,   62.41,   53.74
03/04/2013 01:20:00,   55.72,   62.27,   49.94,   58.68,   64.26,   53.79
03/04/2013 01:25:00,   54.60,   60.69,   50.17,   58.56,   63.32,   54.65
03/04/2013 01:30:00,   55.24,   61.10,   50.13,   59.54,   63.51,   54.75
03/04/2013 01:35:00,   54.28,   60.46,   49.75,   58.81,   63.98,   54.08
03/04/2013 01:40:00,   51.71,   53.14,   49.19,   56.17,   58.16,   53.51
03/04/2013 01:45:00,   52.28,   56.22,   49.25,   56.06,   59.22,   53.18
03/04/2013 01:50:00,   52.60,   55.76,   49.48,   57.79,   62.43,   53.33
03/04/2013 01:55:00,   56.22,   62.12,   49.75,   59.97,   64.16,   54.08
03/04/2013 02:00:00,   53.00,   56.95,   49.71,   56.97,   60.68,   53.76
03/04/2013 02:05:00,   53.23,   57.60,   49.28,   57.99,   61.98,   53.62
03/04/2013 02:10:00,   52.12,   56.03,   49.16,   56.34,   59.47,   53.29
03/04/2013 02:15:00,   51.25,   52.34,   49.07,   55.93,   58.77,   53.32
03/04/2013 02:20:00,   50.60,   51.74,   49.07,   55.07,   56.83,   53.18
03/04/2013 02:25:00,   53.10,   57.21,   49.08,   57.08,   60.83,   53.64
03/04/2013 02:30:00,   52.30,   53.85,   49.03,   57.12,   59.89,   53.48
03/04/2013 02:35:00,   52.35,   55.86,   48.85,   56.02,   59.15,   52.90
03/04/2013 02:40:00,   51.67,   54.04,   48.75,   54.99,   57.12,   52.63
03/04/2013 02:45:00,   51.68,   54.67,   48.83,   55.76,   59.51,   52.93
03/04/2013 02:50:00,   53.02,   58.66,   48.87,   55.78,   60.18,   52.75
03/04/2013 02:55:00,   57.29,   63.83,   49.27,   59.66,   65.16,   53.24
03/04/2013 03:00:00,   53.17,   57.61,   49.01,   56.81,   60.58,   52.93
03/04/2013 03:05:00,   54.63,   60.84,   49.40,   57.45,   62.55,   53.31
03/04/2013 03:10:00,   51.77,   56.12,   48.54,   55.55,   59.23,   52.65
03/04/2013 03:15:00,   53.03,   58.37,   48.59,   55.89,   60.49,   52.54
03/04/2013 03:20:00,   52.11,   56.55,   48.83,   55.49,   59.43,   52.81
03/04/2013 03:25:00,   53.62,   57.69,   49.64,   59.45,   63.94,   53.89
03/04/2013 03:30:00,   53.77,   58.45,   49.60,   57.35,   61.35,   53.72
03/04/2013 03:35:00,   54.63,   60.69,   49.45,   57.93,   63.26,   53.41
03/04/2013 03:40:00,   53.92,   59.92,   49.15,   57.07,   62.09,   52.99
03/04/2013 03:45:00,   52.21,   54.40,   49.25,   55.53,   57.95,   52.96
03/04/2013 03:50:00,   52.21,   55.38,   49.06,   55.47,   58.67,   52.86
03/04/2013 03:55:00,   54.60,   59.21,   49.26,   57.86,   61.45,   52.97
03/04/2013 04:00:00,   52.55,   56.46,   49.15,   55.84,   59.39,   52.83
03/04/2013 04:05:00,   57.12,   64.61,   49.52,   59.97,   66.31,   53.51
03/04/2013 04:10:00,   55.17,   61.85,   49.28,   57.75,   63.50,   53.16
03/04/2013 04:15:00,   53.91,   59.42,   49.35,   57.33,   62.62,   53.15
