# noise_analysis run from DCC-NOISE-001011 at Thu Apr  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/04/2013 00:05:00,   57.07,   63.50,   50.47,   61.23,   66.03,   54.54
04/04/2013 00:10:00,   57.17,   62.16,   50.76,   60.69,   64.73,   55.04
04/04/2013 00:15:00,   58.23,   64.04,   50.26,   61.77,   67.16,   54.52
04/04/2013 00:20:00,   59.33,   65.43,   49.73,   62.62,   68.49,   54.27
04/04/2013 00:25:00,   56.30,   61.31,   49.85,   59.78,   64.57,   53.74
04/04/2013 00:30:00,   60.74,   67.45,   50.49,   63.70,   69.52,   54.69
04/04/2013 00:35:00,   56.83,   62.01,   50.23,   59.91,   64.37,   54.42
04/04/2013 00:40:00,   56.69,   62.24,   50.00,   59.84,   64.76,   54.01
04/04/2013 00:45:00,   58.45,   64.84,   49.22,   61.49,   66.69,   53.59
04/04/2013 00:50:00,   60.47,   68.46,   49.03,   65.15,   74.46,   53.21
04/04/2013 00:55:00,   57.30,   64.36,   49.26,   61.14,   66.64,   53.65
04/04/2013 01:00:00,   55.03,   60.60,   49.90,   57.93,   62.57,   53.98
04/04/2013 01:05:00,   56.21,   61.43,   49.40,   59.75,   64.36,   53.63
04/04/2013 01:10:00,   52.92,   58.04,   48.89,   56.12,   60.64,   53.05
04/04/2013 01:15:00,   52.00,   56.82,   48.88,   55.65,   59.14,   53.10
04/04/2013 01:20:00,   53.15,   57.17,   49.56,   56.64,   59.82,   53.54
04/04/2013 01:25:00,   52.65,   58.43,   48.68,   56.08,   60.61,   52.71
04/04/2013 01:30:00,   51.68,   54.52,   48.68,   55.28,   58.07,   52.72
04/04/2013 01:35:00,   53.56,   60.27,   48.70,   56.55,   62.30,   52.72
04/04/2013 01:40:00,   53.43,   59.72,   49.09,   56.47,   61.89,   52.92
04/04/2013 01:45:00,   54.21,   59.94,   49.39,   57.58,   61.95,   53.44
04/04/2013 01:50:00,   51.64,   55.30,   48.59,   55.50,   59.37,   52.82
04/04/2013 01:55:00,   53.64,   58.25,   48.92,   57.92,   63.21,   52.97
04/04/2013 02:00:00,   51.59,   55.55,   48.54,   55.13,   58.50,   52.86
04/04/2013 02:05:00,   51.34,   53.86,   48.53,   55.09,   57.88,   52.80
04/04/2013 02:10:00,   52.94,   59.31,   48.41,   56.33,   61.91,   52.58
04/04/2013 02:15:00,   53.13,   58.67,   48.59,   56.12,   60.48,   52.78
04/04/2013 02:20:00,   50.78,   53.78,   48.46,   54.49,   56.98,   52.54
04/04/2013 02:25:00,   49.72,   50.40,   48.24,   53.85,   54.83,   52.44
04/04/2013 02:30:00,   54.42,   61.47,   48.84,   57.34,   63.34,   52.87
04/04/2013 02:35:00,   52.32,   58.52,   48.45,   55.70,   60.78,   52.60
04/04/2013 02:40:00,   51.97,   56.17,   48.59,   56.47,   61.73,   52.96
04/04/2013 02:45:00,   51.38,   56.49,   48.41,   55.38,   59.82,   52.75
04/04/2013 02:50:00,   52.39,   57.77,   48.63,   55.81,   59.93,   52.77
04/04/2013 02:55:00,   58.08,   64.98,   49.22,   62.48,   69.16,   53.28
04/04/2013 03:00:00,   52.49,   55.95,   48.49,   55.92,   59.59,   52.71
04/04/2013 03:05:00,   54.69,   60.30,   49.19,   57.81,   62.41,   53.20
04/04/2013 03:10:00,   52.92,   60.20,   48.64,   56.09,   61.75,   52.68
04/04/2013 03:15:00,   51.71,   55.44,   48.43,   55.47,   59.79,   52.72
04/04/2013 03:20:00,   54.32,   60.23,   48.92,   57.60,   62.99,   53.17
04/04/2013 03:25:00,   53.49,   59.63,   48.65,   56.49,   61.08,   52.91
04/04/2013 03:30:00,   52.77,   59.11,   48.57,   56.23,   61.46,   52.77
04/04/2013 03:35:00,   50.99,   54.78,   48.34,   54.66,   57.65,   52.65
04/04/2013 03:40:00,   54.89,   61.98,   48.84,   59.29,   65.64,   53.10
04/04/2013 03:45:00,   52.97,   58.32,   48.54,   56.43,   60.84,   52.63
04/04/2013 03:50:00,   51.50,   55.26,   48.68,   55.53,   58.77,   52.92
04/04/2013 03:55:00,   55.54,   62.92,   48.61,   58.13,   64.71,   52.73
04/04/2013 04:00:00,   55.35,   60.82,   48.86,   58.97,   63.30,   53.24
04/04/2013 04:05:00,   55.64,   63.11,   48.55,   58.54,   65.13,   52.58
04/04/2013 04:10:00,   53.34,   59.67,   48.19,   56.91,   61.83,   52.37
04/04/2013 04:15:00,   54.91,   62.55,   48.57,   57.86,   64.61,   52.52
04/04/2013 04:20:00,   54.38,   60.18,   48.50,   57.86,   62.41,   52.85
04/04/2013 04:25:00,   55.46,   62.57,   48.97,   58.26,   64.28,   52.90
04/04/2013 04:30:00,   55.41,   60.93,   49.71,   58.56,   63.27,   53.79
04/04/2013 04:35:00,   56.88,   63.08,   50.39,   59.74,   64.96,   54.62
04/04/2013 04:40:00,   55.93,   63.10,   49.93,   60.77,   66.16,   53.71
04/04/2013 04:45:00,   56.31,   62.59,   49.57,   60.21,   65.49,   53.33
04/04/2013 04:50:00,   55.47,   62.47,   49.69,   58.81,   64.33,   53.54
04/04/2013 04:55:00,   58.30,   64.43,   49.46,   61.59,   67.19,   53.91
04/04/2013 05:00:00,   57.00,   62.16,   49.85,   61.90,   66.93,   54.33
04/04/2013 05:05:00,   57.55,   64.86,   49.69,   61.65,   68.69,   54.09
04/04/2013 05:10:00,   56.27,   62.66,   49.87,   59.60,   65.11,   54.45
04/04/2013 05:15:00,   57.92,   64.85,   50.34,   60.96,   66.71,   54.53
04/04/2013 05:20:00,   55.17,   59.86,   49.62,   58.86,   63.18,   54.21
04/04/2013 05:25:00,   57.40,   64.17,   49.96,   60.60,   66.11,   54.61
04/04/2013 05:30:00,   57.02,   61.84,   50.89,   60.78,   65.02,   55.34
04/04/2013 05:35:00,   58.51,   64.80,   50.67,   62.83,   67.70,   55.68
04/04/2013 05:40:00,   59.97,   65.40,   51.06,   62.79,   67.61,   55.71
04/04/2013 05:45:00,   59.18,   65.35,   51.84,   62.75,   67.95,   56.01
04/04/2013 05:50:00,   58.15,   63.11,   52.06,   61.36,   66.12,   56.53
04/04/2013 05:55:00,   59.21,   64.45,   51.87,   62.65,   67.00,   56.51
04/04/2013 06:00:00,   58.51,   63.22,   52.23,   61.33,   65.70,   56.81
04/04/2013 06:05:00,   59.76,   65.78,   53.43,   63.95,   68.62,   58.13
04/04/2013 06:10:00,   59.44,   66.52,   52.42,   63.04,   69.16,   57.04
