# noise_analysis run from DCC-NOISE-001011 at Fri Apr  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/04/2013 00:05:00,   57.10,   63.10,   50.28,   59.70,   64.75,   54.23
05/04/2013 00:10:00,   58.96,   63.99,   51.24,   62.02,   66.72,   55.31
05/04/2013 00:15:00,   59.22,   65.31,   50.51,   61.89,   66.87,   54.77
05/04/2013 00:20:00,   60.99,   66.62,   51.48,   64.14,   68.68,   55.74
05/04/2013 00:25:00,   55.67,   61.08,   50.74,   58.76,   63.50,   54.78
05/04/2013 00:30:00,   56.46,   61.39,   50.54,   60.21,   64.14,   54.73
05/04/2013 00:35:00,   55.72,   61.15,   50.29,   59.16,   63.27,   54.65
05/04/2013 00:40:00,   58.55,   64.51,   51.36,   62.02,   67.36,   55.69
05/04/2013 00:45:00,   56.62,   62.13,   49.71,   60.17,   64.66,   54.30
05/04/2013 00:50:00,   56.91,   63.20,   50.14,   60.17,   65.53,   54.27
05/04/2013 00:55:00,   54.40,   58.83,   49.48,   57.87,   61.57,   53.95
05/04/2013 01:00:00,   60.94,   69.96,   49.43,   65.91,   75.41,   54.07
05/04/2013 01:05:00,   55.94,   61.69,   49.62,   59.34,   64.30,   53.99
05/04/2013 01:10:00,   55.42,   62.15,   49.38,   58.34,   63.71,   53.47
05/04/2013 01:15:00,   54.50,   59.10,   49.84,   57.69,   61.78,   53.88
05/04/2013 01:20:00,   54.43,   60.73,   49.56,   57.58,   63.35,   53.70
05/04/2013 01:25:00,   54.75,   60.35,   49.53,   57.86,   62.46,   53.67
05/04/2013 01:30:00,   51.47,   54.29,   49.25,   55.21,   57.13,   53.49
05/04/2013 01:35:00,   55.86,   62.49,   49.78,   59.16,   64.98,   54.05
05/04/2013 01:40:00,   55.52,   61.54,   49.76,   58.51,   63.88,   53.86
05/04/2013 01:45:00,   53.48,   58.41,   49.27,   57.13,   60.92,   53.39
05/04/2013 01:50:00,   55.66,   61.61,   49.77,   58.69,   63.62,   54.06
05/04/2013 01:55:00,   56.28,   61.42,   49.64,   59.30,   63.93,   54.08
05/04/2013 02:00:00,   54.84,   61.80,   49.44,   57.79,   63.94,   53.45
05/04/2013 02:05:00,   55.64,   61.47,   48.90,   59.22,   63.97,   53.17
05/04/2013 02:10:00,   52.51,   56.85,   48.59,   56.14,   59.99,   52.78
05/04/2013 02:15:00,   54.92,   61.90,   48.96,   57.70,   63.49,   53.23
05/04/2013 02:20:00,   50.55,   52.97,   48.77,   54.86,   56.56,   53.32
05/04/2013 02:25:00,   53.10,   59.52,   48.40,   56.45,   61.79,   52.93
05/04/2013 02:30:00,   51.35,   55.40,   48.31,   55.19,   58.37,   52.66
05/04/2013 02:35:00,   53.42,   58.26,   48.50,   56.69,   60.53,   52.89
05/04/2013 02:40:00,   53.29,   59.25,   48.63,   56.62,   61.64,   52.92
05/04/2013 02:45:00,   53.12,   56.39,   48.96,   56.26,   59.03,   52.97
05/04/2013 02:50:00,   52.46,   56.27,   48.82,   55.99,   59.35,   52.87
05/04/2013 02:55:00,   53.38,   58.24,   49.00,   56.85,   60.88,   52.94
05/04/2013 03:00:00,   53.34,   57.57,   49.20,   56.49,   60.34,   53.26
05/04/2013 03:05:00,   54.96,   61.68,   48.95,   58.11,   64.19,   53.17
05/04/2013 03:10:00,   56.46,   63.07,   49.22,   59.05,   64.86,   53.38
05/04/2013 03:15:00,   54.99,   61.88,   49.10,   57.93,   63.71,   53.28
05/04/2013 03:20:00,   60.30,   68.28,   48.96,   65.36,   74.24,   53.46
05/04/2013 03:25:00,   56.35,   63.08,   49.47,   60.04,   66.68,   53.75
05/04/2013 03:30:00,   56.23,   63.08,   49.81,   59.00,   65.02,   53.90
05/04/2013 03:35:00,   55.88,   62.63,   49.40,   58.69,   64.38,   53.54
05/04/2013 03:40:00,   55.02,   61.24,   49.06,   58.29,   64.33,   53.14
05/04/2013 03:45:00,   56.36,   62.38,   49.37,   59.20,   64.61,   53.52
05/04/2013 03:50:00,   55.48,   62.33,   49.67,   58.48,   64.54,   53.72
05/04/2013 03:55:00,   53.66,   58.53,   49.14,   57.20,   61.23,   53.37
05/04/2013 04:00:00,   54.83,   61.54,   49.45,   57.78,   63.66,   53.44
05/04/2013 04:05:00,   55.00,   61.79,   49.25,   59.08,   64.20,   53.44
05/04/2013 04:10:00,   56.15,   62.56,   49.68,   58.99,   64.81,   53.78
05/04/2013 04:15:00,   54.50,   60.34,   48.92,   57.75,   62.53,   53.26
05/04/2013 04:20:00,   55.42,   61.11,   49.25,   57.90,   62.81,   53.20
05/04/2013 04:25:00,   55.42,   61.75,   49.30,   58.17,   63.81,   53.53
05/04/2013 04:30:00,   56.34,   62.99,   50.32,   59.80,   65.91,   54.43
05/04/2013 04:35:00,   54.98,   60.16,   49.78,   57.89,   62.89,   53.55
05/04/2013 04:40:00,   55.27,   61.38,   49.99,   58.43,   63.29,   53.81
05/04/2013 04:45:00,   55.25,   60.82,   49.44,   58.99,   63.30,   53.84
05/04/2013 04:50:00,   58.80,   66.38,   49.00,   61.80,   68.59,   53.63
05/04/2013 04:55:00,   55.77,   61.73,   50.95,   59.28,   64.37,   54.91
05/04/2013 05:00:00,   57.32,   63.74,   51.18,   60.90,   67.08,   55.68
05/04/2013 05:05:00,   59.38,   64.80,   51.47,   63.26,   69.02,   55.40
05/04/2013 05:10:00,   57.13,   63.18,   51.03,   60.57,   65.53,   55.77
05/04/2013 05:15:00,   56.54,   62.83,   50.02,   60.27,   65.42,   54.72
05/04/2013 05:20:00,   58.15,   63.71,   50.72,   61.94,   66.63,   55.49
05/04/2013 05:25:00,   57.47,   63.62,   51.23,   60.87,   65.85,   56.17
05/04/2013 05:30:00,   59.00,   63.63,   51.70,   62.61,   66.30,   56.49
05/04/2013 05:35:00,   59.69,   65.03,   52.29,   63.58,   67.73,   57.86
05/04/2013 05:40:00,   59.63,   65.22,   51.64,   63.29,   67.66,   56.85
05/04/2013 05:45:00,   60.59,   65.18,   51.76,   64.37,   68.12,   56.02
05/04/2013 05:50:00,   58.76,   64.37,   52.28,   62.39,   66.65,   57.20
05/04/2013 05:55:00,   59.06,   65.15,   52.77,   62.86,   67.44,   57.59
05/04/2013 06:00:00,   57.95,   63.62,   52.06,   61.59,   65.98,   56.64
05/04/2013 06:05:00,   59.67,   66.30,   52.03,   63.10,   68.56,   56.71
05/04/2013 06:10:00,   59.37,   67.12,   52.09,   62.61,   69.59,   56.52
05/04/2013 06:15:00,   57.28,   63.40,   51.75,   61.19,   66.48,   56.57
05/04/2013 06:20:00,   57.77,   61.65,   53.07,   61.68,   64.90,   57.66
05/04/2013 06:25:00,   61.46,   66.86,   53.59,   65.13,   69.47,   58.23
05/04/2013 06:30:00,   61.40,   66.93,   53.07,   64.40,   68.73,   57.57
05/04/2013 06:35:00,   58.31,   62.43,   52.81,   61.81,   64.93,   57.48
05/04/2013 06:40:00,   59.70,   65.36,   53.77,   63.26,   68.08,   58.37
05/04/2013 06:45:00,   61.06,   67.22,   53.94,   64.19,   68.90,   58.56
05/04/2013 06:50:00,   61.69,   67.83,   54.35,   65.76,   71.29,   58.86
05/04/2013 06:55:00,   60.17,   66.06,   53.90,   63.35,   68.13,   58.34
05/04/2013 07:00:00,   62.34,   68.22,   53.91,   65.92,   71.46,   58.96
05/04/2013 07:05:00,   62.08,   66.56,   53.85,   65.03,   68.47,   58.15
05/04/2013 07:10:00,   61.63,   67.74,   54.04,   65.53,   71.82,   58.54
05/04/2013 07:15:00,   62.17,   68.05,   54.72,   65.43,   70.80,   58.80
05/04/2013 07:20:00,   61.96,   67.25,   54.44,   64.81,   69.09,   59.13
05/04/2013 07:25:00,   64.52,   69.73,   55.03,   67.83,   72.87,   59.62
05/04/2013 07:30:00,   63.37,   68.41,   54.08,   67.48,   72.76,   58.82
05/04/2013 07:35:00,   62.96,   68.00,   55.01,   66.48,   70.79,   59.81
05/04/2013 07:40:00,   62.87,   67.64,   54.90,   66.29,   70.13,   59.78
05/04/2013 07:45:00,   64.32,   69.67,   55.24,   67.92,   73.48,   59.54
05/04/2013 07:50:00,   63.22,   67.95,   54.77,   66.81,   71.26,   59.18
05/04/2013 07:55:00,   64.02,   69.64,   55.43,   67.39,   71.91,   59.74
05/04/2013 08:00:00,   63.93,   68.38,   55.26,   67.24,   71.53,   59.64
05/04/2013 08:05:00,   63.09,   69.12,   54.57,   65.84,   71.13,   58.58
05/04/2013 08:10:00,   63.40,   68.18,   55.77,   66.08,   70.25,   59.80
05/04/2013 08:15:00,   64.87,   70.40,   56.37,   68.12,   73.76,   60.00
05/04/2013 08:20:00,   62.42,   67.53,   55.67,   65.53,   69.96,   59.55
05/04/2013 08:25:00,   64.42,   69.75,   54.76,   67.94,   72.93,   59.53
05/04/2013 08:30:00,   64.31,   69.34,   55.80,   67.34,   71.61,   60.45
05/04/2013 08:35:00,   64.29,   69.37,   55.84,   67.56,   72.09,   60.49
05/04/2013 08:40:00,   64.39,   68.96,   56.22,   67.62,   72.10,   60.88
05/04/2013 08:45:00,   62.85,   67.85,   54.09,   66.25,   70.40,   59.33
05/04/2013 08:50:00,   64.76,   68.18,   56.12,   68.21,   72.22,   60.48
05/04/2013 08:55:00,   63.68,   68.02,   56.70,   66.96,   70.44,   61.08
05/04/2013 09:00:00,   64.48,   69.60,   55.47,   67.73,   72.76,   59.88
05/04/2013 09:05:00,   63.80,   68.85,   55.18,   66.89,   70.90,   59.84
05/04/2013 09:10:00,   63.63,   68.03,   55.87,   66.78,   70.44,   60.51
05/04/2013 09:15:00,   63.26,   68.71,   55.30,   66.92,   71.76,   59.86
05/04/2013 09:20:00,   64.11,   68.87,   54.43,   67.61,   72.30,   59.44
05/04/2013 09:25:00,   63.69,   67.84,   54.88,   67.07,   71.94,   59.45
05/04/2013 09:30:00,   64.34,   68.56,   55.26,   67.54,   71.73,   59.33
05/04/2013 09:35:00,   64.98,   69.16,   56.31,   68.43,   71.83,   60.52
05/04/2013 09:40:00,   63.72,   68.30,   54.71,   66.92,   70.78,   59.01
05/04/2013 09:45:00,   62.52,   67.86,   54.70,   65.75,   70.30,   59.33
05/04/2013 09:50:00,   64.09,   69.06,   54.25,   67.70,   72.07,   58.32
05/04/2013 09:55:00,   64.05,   68.58,   55.72,   67.68,   72.84,   60.45
05/04/2013 10:00:00,   63.77,   69.62,   54.95,   66.84,   72.39,   58.92
05/04/2013 10:05:00,   62.69,   67.43,   55.01,   66.16,   70.87,   59.01
05/04/2013 10:10:00,   64.53,   70.54,   55.26,   67.80,   73.16,   59.27
05/04/2013 10:15:00,   63.87,   68.65,   56.03,   66.81,   71.47,   60.45
05/04/2013 10:20:00,   65.38,   70.46,   57.46,   68.63,   74.18,   61.68
05/04/2013 10:25:00,   64.79,   69.68,   56.94,   67.87,   72.37,   61.48
05/04/2013 10:30:00,   63.86,   68.12,   56.24,   67.20,   71.82,   61.04
05/04/2013 10:35:00,   62.13,   66.11,   55.96,   66.25,   69.77,   60.81
05/04/2013 10:40:00,   64.54,   68.48,   57.25,   67.84,   71.59,   61.54
05/04/2013 10:45:00,   67.01,   71.47,   60.18,   70.63,   73.90,   65.90
05/04/2013 10:50:00,   68.24,   70.61,   64.34,   72.43,   74.11,   70.58
05/04/2013 10:55:00,   68.05,   71.11,   63.47,   72.43,   74.69,   69.51
05/04/2013 11:00:00,   68.11,   71.96,   63.67,   72.49,   75.61,   69.36
05/04/2013 11:05:00,   67.04,   69.76,   63.65,   71.67,   73.36,   69.51
05/04/2013 11:10:00,   67.10,   70.04,   63.58,   71.97,   73.99,   69.75
05/04/2013 11:15:00,   67.63,   70.45,   63.77,   72.00,   74.00,   69.72
05/04/2013 11:20:00,   68.52,   71.09,   64.43,   72.45,   73.97,   70.13
05/04/2013 11:25:00,   67.46,   70.28,   63.50,   71.93,   73.56,   69.93
05/04/2013 11:30:00,   68.11,   70.69,   64.34,   72.47,   74.25,   70.37
05/04/2013 11:35:00,   66.89,   71.53,   57.32,   70.29,   74.36,   62.23
05/04/2013 11:40:00,   66.21,   72.35,   57.77,   69.69,   75.50,   62.27
05/04/2013 11:45:00,   62.10,   65.51,   55.84,   65.95,   68.68,   60.01
05/04/2013 11:50:00,   66.29,   70.37,   57.36,   69.27,   72.90,   61.88
05/04/2013 11:55:00,   63.79,   68.72,   56.42,   67.50,   71.88,   61.22
05/04/2013 12:00:00,   67.86,   70.28,   62.72,   72.33,   73.90,   69.46
05/04/2013 12:05:00,   68.01,   70.51,   64.17,   72.17,   73.89,   70.02
05/04/2013 12:10:00,   66.54,   68.54,   63.99,   72.07,   73.90,   70.09
05/04/2013 12:15:00,   67.08,   69.61,   64.20,   72.07,   73.73,   70.26
05/04/2013 12:20:00,   67.62,   70.10,   64.05,   72.34,   74.25,   70.37
05/04/2013 12:25:00,   67.66,   70.81,   64.25,   72.21,   74.37,   70.29
05/04/2013 12:30:00,   67.45,   69.22,   64.85,   72.02,   73.74,   70.03
05/04/2013 12:35:00,   65.93,   68.48,   62.40,   70.85,   72.70,   65.26
05/04/2013 12:40:00,   65.30,   67.66,   58.19,   71.07,   72.81,   62.28
05/04/2013 12:45:00,   62.28,   66.57,   56.06,   66.59,   70.53,   60.61
05/04/2013 12:50:00,   63.36,   67.24,   56.48,   67.59,   71.99,   60.89
05/04/2013 12:55:00,   65.40,   69.37,   58.69,   70.20,   73.58,   62.54
05/04/2013 13:00:00,   64.98,   68.51,   59.99,   69.59,   73.00,   63.36
05/04/2013 13:05:00,   66.10,   68.38,   57.60,   69.23,   71.55,   62.23
05/04/2013 13:10:00,   62.84,   68.01,   55.76,   66.37,   71.15,   59.88
05/04/2013 13:15:00,   65.60,   68.53,   58.27,   68.93,   71.60,   62.45
05/04/2013 13:20:00,   63.20,   66.88,   57.09,   66.82,   70.06,   60.92
05/04/2013 13:25:00,   61.94,   65.74,   56.18,   65.57,   68.76,   60.06
05/04/2013 13:30:00,   67.43,   68.75,   65.67,   69.87,   71.28,   67.48
05/04/2013 13:35:00,   67.68,   68.97,   65.96,   70.38,   71.94,   68.18
05/04/2013 13:40:00,   66.90,   70.23,   62.49,   70.23,   73.12,   65.28
05/04/2013 13:45:00,   64.48,   68.19,   58.31,   68.26,   71.63,   61.96
05/04/2013 13:50:00,   64.63,   69.16,   57.54,   69.35,   73.75,   61.41
05/04/2013 13:55:00,   65.87,   68.62,   62.83,   71.79,   74.05,   69.77
05/04/2013 14:00:00,   65.92,   68.80,   62.46,   71.41,   72.93,   69.54
05/04/2013 14:05:00,   67.58,   69.38,   64.55,   72.23,   73.50,   70.32
05/04/2013 14:10:00,   66.98,   69.15,   63.83,   72.03,   73.73,   70.16
05/04/2013 14:15:00,   67.43,   69.66,   64.61,   72.36,   74.34,   70.55
05/04/2013 14:20:00,   65.21,   69.52,   57.03,   68.85,   73.16,   61.63
05/04/2013 14:25:00,   64.61,   70.00,   56.32,   67.27,   72.65,   59.69
