# noise_analysis run from DCC-NOISE-001011 at Sat Apr  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/04/2013 00:05:00,   58.78,   63.36,   51.11,   62.18,   66.50,   55.18
06/04/2013 00:10:00,   57.95,   64.46,   51.19,   60.80,   66.39,   55.36
06/04/2013 00:15:00,   58.85,   64.61,   50.40,   62.15,   67.06,   54.63
06/04/2013 00:20:00,   59.85,   64.91,   50.40,   63.24,   67.43,   54.38
06/04/2013 00:25:00,   58.50,   63.00,   51.38,   61.21,   65.41,   55.40
06/04/2013 00:30:00,   56.79,   62.96,   49.75,   59.51,   64.84,   54.02
06/04/2013 00:35:00,   60.13,   66.19,   50.11,   63.47,   69.09,   54.53
06/04/2013 00:40:00,   56.34,   62.86,   50.45,   59.16,   65.09,   54.55
06/04/2013 00:45:00,   59.92,   64.26,   51.03,   62.67,   66.49,   54.99
06/04/2013 00:50:00,   58.65,   63.44,   51.17,   61.66,   66.33,   55.03
06/04/2013 00:55:00,   57.92,   64.14,   50.85,   60.40,   65.53,   54.76
06/04/2013 01:00:00,   56.44,   61.46,   50.70,   59.36,   64.03,   54.80
06/04/2013 01:05:00,   59.19,   65.25,   51.02,   62.19,   67.04,   55.23
06/04/2013 01:10:00,   57.18,   61.92,   51.17,   59.94,   64.25,   55.19
06/04/2013 01:15:00,   56.61,   63.47,   50.61,   59.66,   65.39,   54.84
06/04/2013 01:20:00,   56.66,   60.75,   51.01,   59.50,   63.33,   55.04
06/04/2013 01:25:00,   55.80,   61.57,   50.05,   58.64,   63.74,   54.35
06/04/2013 01:30:00,   55.77,   61.45,   50.13,   58.78,   63.16,   54.74
06/04/2013 01:35:00,   55.44,   60.43,   50.07,   58.26,   62.10,   54.17
06/04/2013 01:40:00,   57.87,   64.83,   50.50,   60.91,   66.69,   54.70
06/04/2013 01:45:00,   57.04,   62.86,   50.61,   59.82,   64.87,   55.15
06/04/2013 01:50:00,   56.69,   62.46,   50.29,   59.58,   64.52,   54.46
06/04/2013 01:55:00,   56.35,   62.87,   49.97,   59.00,   65.10,   54.17
06/04/2013 02:00:00,   57.40,   63.23,   51.22,   60.74,   65.79,   55.44
06/04/2013 02:05:00,   56.70,   62.10,   50.75,   59.68,   64.10,   55.14
06/04/2013 02:10:00,   55.34,   60.72,   50.11,   58.87,   63.02,   54.54
06/04/2013 02:15:00,   56.86,   62.79,   50.18,   60.01,   64.73,   54.57
06/04/2013 02:20:00,   56.59,   63.80,   50.65,   60.04,   66.06,   55.41
06/04/2013 02:25:00,   57.14,   63.21,   50.03,   59.96,   65.17,   54.41
06/04/2013 02:30:00,   55.07,   60.49,   49.59,   58.31,   62.90,   53.88
06/04/2013 02:35:00,   56.57,   63.10,   50.78,   59.65,   64.83,   55.10
06/04/2013 02:40:00,   55.45,   60.94,   50.01,   58.76,   63.54,   54.62
06/04/2013 02:45:00,   54.94,   59.63,   50.31,   58.12,   61.98,   54.41
06/04/2013 02:50:00,   57.40,   64.00,   50.16,   60.10,   65.95,   54.25
06/04/2013 02:55:00,   58.26,   64.25,   50.88,   60.81,   65.98,   54.89
06/04/2013 03:00:00,   57.33,   63.99,   50.98,   60.01,   65.92,   54.76
06/04/2013 03:05:00,   56.02,   63.34,   50.04,   59.10,   64.97,   54.11
06/04/2013 03:10:00,   57.12,   63.59,   50.48,   59.80,   65.37,   54.45
06/04/2013 03:15:00,   56.63,   63.93,   50.32,   59.32,   65.77,   54.50
