# noise_analysis run from DCC-NOISE-001011 at Sun Apr  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/04/2013 00:05:00,   57.49,   63.42,   50.31,   60.92,   66.15,   54.33
07/04/2013 00:10:00,   56.55,   63.23,   49.13,   59.39,   65.09,   53.55
07/04/2013 00:15:00,   60.97,   67.09,   50.01,   64.36,   71.54,   54.34
07/04/2013 00:20:00,   60.34,   65.55,   49.77,   63.69,   67.76,   54.17
07/04/2013 00:25:00,   58.70,   63.80,   49.63,   61.41,   65.55,   53.88
07/04/2013 00:30:00,   56.55,   61.44,   50.16,   59.39,   63.46,   54.31
07/04/2013 00:35:00,   58.41,   63.77,   50.51,   61.84,   66.60,   54.41
07/04/2013 00:40:00,   59.01,   64.64,   49.75,   61.80,   66.63,   53.84
07/04/2013 00:45:00,   59.74,   65.79,   50.04,   63.05,   68.63,   53.95
07/04/2013 00:50:00,   56.99,   63.09,   49.48,   59.77,   64.76,   53.84
07/04/2013 00:55:00,   57.48,   63.83,   49.93,   60.54,   66.34,   54.13
07/04/2013 01:00:00,   57.08,   63.55,   50.37,   59.91,   65.46,   54.51
07/04/2013 01:05:00,   58.81,   65.01,   50.06,   61.70,   66.72,   54.17
07/04/2013 01:10:00,   57.91,   65.30,   49.22,   60.26,   66.99,   53.38
07/04/2013 01:15:00,   56.81,   62.83,   49.67,   59.38,   64.67,   53.78
07/04/2013 01:20:00,   54.85,   59.54,   49.81,   57.67,   62.01,   53.63
07/04/2013 01:25:00,   56.51,   63.36,   49.90,   59.26,   65.13,   54.41
07/04/2013 01:30:00,   58.70,   63.58,   49.69,   61.07,   65.17,   53.92
07/04/2013 01:35:00,   53.69,   59.16,   48.90,   56.97,   61.18,   53.42
07/04/2013 01:40:00,   57.26,   62.62,   50.42,   59.76,   64.49,   54.19
07/04/2013 01:45:00,   56.17,   61.39,   49.26,   59.08,   63.74,   53.63
07/04/2013 01:50:00,   56.39,   64.20,   49.60,   59.18,   66.13,   53.72
07/04/2013 01:55:00,   57.92,   63.91,   49.58,   60.41,   65.90,   53.66
07/04/2013 02:00:00,   56.61,   62.66,   49.55,   59.55,   65.04,   53.76
07/04/2013 02:05:00,   57.52,   63.75,   49.95,   59.83,   65.35,   54.02
07/04/2013 02:10:00,   56.61,   61.89,   49.64,   59.37,   63.88,   53.69
07/04/2013 02:15:00,   56.99,   62.80,   50.25,   59.63,   64.72,   54.18
07/04/2013 02:20:00,   56.35,   63.66,   49.29,   59.14,   65.25,   53.27
07/04/2013 02:25:00,   56.12,   62.39,   49.22,   58.79,   64.19,   53.53
07/04/2013 02:30:00,   57.86,   63.94,   49.77,   60.53,   66.27,   54.05
07/04/2013 02:35:00,   56.76,   63.05,   49.26,   59.27,   64.78,   53.19
07/04/2013 02:40:00,   58.79,   64.93,   50.13,   61.33,   67.12,   53.65
07/04/2013 02:45:00,   55.50,   60.24,   49.53,   58.14,   62.22,   53.42
07/04/2013 02:50:00,   58.09,   64.15,   49.99,   60.60,   65.96,   54.01
07/04/2013 02:55:00,   56.62,   61.81,   50.22,   59.55,   64.37,   54.06
07/04/2013 03:00:00,   56.88,   63.91,   50.47,   59.61,   65.68,   54.20
07/04/2013 03:05:00,   58.02,   65.43,   49.42,   61.01,   67.41,   53.57
07/04/2013 03:10:00,   56.76,   63.97,   49.84,   59.38,   65.69,   53.78
07/04/2013 03:15:00,   57.72,   63.95,   49.78,   60.52,   66.35,   53.84
07/04/2013 03:20:00,   56.52,   62.88,   49.59,   59.20,   64.75,   53.78
07/04/2013 03:25:00,   57.78,   64.82,   49.82,   60.45,   66.68,   53.74
07/04/2013 03:30:00,   56.06,   62.06,   50.12,   58.87,   64.33,   54.02
07/04/2013 03:35:00,   56.55,   63.00,   50.29,   59.06,   64.42,   53.94
07/04/2013 03:40:00,   56.84,   64.62,   49.72,   59.47,   66.18,   53.73
07/04/2013 03:45:00,   57.30,   63.51,   49.90,   59.72,   65.11,   53.77
07/04/2013 03:50:00,   56.82,   63.43,   50.17,   59.61,   65.56,   54.01
07/04/2013 03:55:00,   55.04,   60.75,   49.39,   58.05,   62.70,   53.33
07/04/2013 04:00:00,   56.75,   62.39,   50.16,   59.63,   64.46,   54.17
07/04/2013 04:05:00,   57.16,   62.54,   51.01,   59.68,   64.35,   54.44
07/04/2013 04:10:00,   56.12,   62.85,   50.35,   58.94,   65.14,   54.02
07/04/2013 04:15:00,   58.13,   64.54,   50.96,   60.69,   66.38,   54.57
07/04/2013 04:20:00,   58.49,   64.40,   51.16,   60.90,   66.28,   54.70
07/04/2013 04:25:00,   57.05,   63.33,   50.71,   59.47,   65.21,   54.46
07/04/2013 04:30:00,   56.70,   63.49,   50.03,   59.50,   65.72,   54.20
07/04/2013 04:35:00,   58.84,   64.85,   52.60,   61.72,   66.68,   56.83
07/04/2013 04:40:00,   58.49,   64.65,   53.25,   60.96,   66.36,   56.51
07/04/2013 04:45:00,   57.48,   62.65,   52.84,   60.30,   64.81,   56.46
07/04/2013 04:50:00,   58.09,   63.35,   52.89,   60.65,   65.51,   56.32
07/04/2013 04:55:00,   56.22,   60.86,   51.38,   58.67,   62.65,   54.77
07/04/2013 05:00:00,   56.91,   62.59,   52.59,   59.14,   64.23,   55.29
07/04/2013 05:05:00,   59.70,   64.83,   52.42,   62.13,   66.58,   55.80
07/04/2013 05:10:00,   57.48,   63.54,   51.63,   59.77,   65.02,   54.95
07/04/2013 05:15:00,   57.61,   61.53,   51.90,   60.11,   63.88,   55.34
07/04/2013 05:20:00,   56.00,   61.75,   51.19,   58.48,   63.54,   54.42
07/04/2013 05:25:00,   57.14,   63.28,   51.46,   59.26,   64.29,   54.94
07/04/2013 05:30:00,   55.71,   60.39,   51.76,   58.25,   62.57,   55.00
07/04/2013 05:35:00,   56.81,   63.01,   51.19,   59.34,   64.83,   54.39
07/04/2013 05:40:00,   54.82,   59.86,   50.35,   57.40,   62.10,   53.87
07/04/2013 05:45:00,   56.41,   62.63,   50.48,   59.55,   65.34,   53.87
07/04/2013 05:50:00,   56.87,   64.20,   51.11,   60.17,   66.35,   55.01
07/04/2013 05:55:00,   54.34,   57.46,   50.72,   56.79,   59.08,   54.30
07/04/2013 06:00:00,   55.68,   61.38,   51.40,   58.47,   63.15,   55.10
07/04/2013 06:05:00,   56.25,   62.78,   51.05,   59.06,   64.69,   54.99
07/04/2013 06:10:00,   57.20,   63.70,   51.15,   60.11,   66.58,   55.10
07/04/2013 06:15:00,   56.43,   60.83,   51.42,   59.59,   63.89,   55.32
07/04/2013 06:20:00,   56.84,   61.60,   51.85,   60.12,   64.52,   55.44
07/04/2013 06:25:00,   55.64,   61.50,   50.73,   59.05,   63.67,   55.11
07/04/2013 06:30:00,   55.06,   60.41,   50.87,   59.12,   62.78,   56.22
07/04/2013 06:35:00,   58.35,   65.43,   51.22,   61.73,   67.63,   56.50
07/04/2013 06:40:00,   55.73,   60.61,   50.92,   58.99,   62.63,   54.74
07/04/2013 06:45:00,   56.61,   63.02,   50.58,   59.72,   64.80,   55.09
07/04/2013 06:50:00,   55.92,   61.36,   49.18,   59.17,   64.20,   54.19
07/04/2013 06:55:00,   56.37,   63.06,   49.15,   59.42,   65.10,   54.02
07/04/2013 07:00:00,   58.88,   64.95,   50.57,   62.18,   67.39,   55.19
07/04/2013 07:05:00,   57.82,   64.83,   49.30,   61.33,   67.47,   54.33
07/04/2013 07:10:00,   55.89,   61.58,   49.47,   59.19,   64.71,   54.00
07/04/2013 07:15:00,   58.92,   64.15,   49.78,   61.73,   66.50,   54.20
07/04/2013 07:20:00,   56.90,   63.22,   49.77,   59.57,   64.63,   54.60
07/04/2013 07:25:00,   58.14,   65.44,   50.50,   61.32,   67.36,   54.78
07/04/2013 07:30:00,   56.63,   62.70,   50.05,   58.96,   64.07,   53.95
07/04/2013 07:35:00,   58.48,   64.15,   49.84,   61.77,   66.76,   53.85
07/04/2013 07:40:00,   58.32,   63.71,   49.65,   61.33,   65.62,   53.38
07/04/2013 07:45:00,   58.05,   64.86,   50.49,   61.33,   66.80,   54.57
07/04/2013 07:50:00,   55.70,   63.04,   49.55,   58.68,   64.96,   53.34
