# noise_analysis run from DCC-NOISE-001011 at Mon Apr  8 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
08/04/2013 00:05:00,   55.36,   61.28,   50.44,   58.41,   63.94,   54.41
08/04/2013 00:10:00,   56.61,   63.25,   49.90,   59.27,   64.75,   54.02
08/04/2013 00:15:00,   54.96,   59.97,   49.86,   57.93,   62.85,   53.80
08/04/2013 00:20:00,   54.97,   60.03,   49.95,   57.81,   61.83,   54.09
08/04/2013 00:25:00,   55.64,   62.41,   49.64,   58.59,   64.61,   53.41
08/04/2013 00:30:00,   55.23,   61.57,   49.69,   58.08,   63.35,   53.58
08/04/2013 00:35:00,   55.66,   62.69,   49.43,   58.31,   64.10,   53.41
08/04/2013 00:40:00,   55.12,   61.11,   49.03,   57.82,   62.78,   53.26
08/04/2013 00:45:00,   56.38,   61.89,   50.14,   58.86,   63.98,   53.89
08/04/2013 00:50:00,   55.51,   61.80,   49.81,   58.49,   64.01,   53.58
08/04/2013 00:55:00,   56.05,   61.35,   50.01,   59.65,   64.23,   53.72
08/04/2013 01:00:00,   57.33,   62.28,   50.42,   60.55,   64.45,   54.74
08/04/2013 01:05:00,   54.75,   59.23,   49.48,   58.13,   62.23,   53.61
08/04/2013 01:10:00,   53.97,   59.05,   49.20,   57.54,   62.40,   53.44
08/04/2013 01:15:00,   54.45,   60.61,   49.51,   57.31,   62.46,   53.27
08/04/2013 01:20:00,   55.70,   61.59,   50.55,   60.27,   64.91,   54.22
08/04/2013 01:25:00,   52.52,   55.93,   49.76,   55.84,   59.26,   53.35
08/04/2013 01:30:00,   53.38,   57.29,   49.63,   56.20,   59.83,   53.16
08/04/2013 01:35:00,   50.86,   52.70,   49.47,   54.43,   56.08,   53.09
08/04/2013 01:40:00,   55.35,   59.63,   50.86,   58.68,   62.00,   55.02
08/04/2013 01:45:00,   53.90,   58.08,   50.32,   57.66,   61.55,   54.57
08/04/2013 01:50:00,   54.20,   57.40,   51.23,   57.96,   59.68,   55.73
08/04/2013 01:55:00,   53.35,   57.50,   49.38,   57.03,   60.21,   53.25
08/04/2013 02:00:00,   53.51,   58.58,   48.84,   56.99,   61.99,   52.94
08/04/2013 02:05:00,   53.80,   58.77,   49.10,   57.95,   62.33,   53.17
08/04/2013 02:10:00,   54.70,   60.87,   48.86,   57.87,   63.52,   52.80
08/04/2013 02:15:00,   51.59,   55.60,   48.81,   55.12,   58.12,   52.81
08/04/2013 02:20:00,   52.66,   58.95,   48.84,   56.14,   60.45,   53.17
08/04/2013 02:25:00,   52.12,   57.27,   48.92,   55.71,   59.41,   53.20
08/04/2013 02:30:00,   57.31,   63.19,   49.21,   60.92,   67.04,   53.39
08/04/2013 02:35:00,   51.76,   55.70,   48.75,   55.27,   58.93,   52.90
08/04/2013 02:40:00,   50.11,   51.18,   48.71,   54.03,   54.91,   52.87
08/04/2013 02:45:00,   52.28,   55.15,   48.89,   55.57,   57.74,   53.01
08/04/2013 02:50:00,   51.47,   53.54,   48.96,   55.26,   57.25,   53.08
08/04/2013 02:55:00,   51.67,   55.48,   48.81,   55.60,   60.38,   52.75
08/04/2013 03:00:00,   52.28,   56.13,   48.94,   55.60,   59.47,   53.04
08/04/2013 03:05:00,   52.07,   53.81,   49.37,   55.91,   57.87,   53.54
08/04/2013 03:10:00,   53.32,   58.92,   49.24,   56.81,   61.75,   53.20
08/04/2013 03:15:00,   51.27,   52.58,   49.01,   55.20,   57.22,   52.97
08/04/2013 03:20:00,   54.46,   61.20,   49.36,   57.71,   63.06,   53.53
08/04/2013 03:25:00,   54.29,   60.37,   49.68,   57.44,   62.29,   53.86
08/04/2013 03:30:00,   52.55,   56.49,   48.98,   56.96,   61.22,   53.17
08/04/2013 03:35:00,   53.47,   59.00,   49.27,   57.29,   61.76,   53.44
08/04/2013 03:40:00,   52.29,   54.99,   49.23,   57.43,   62.14,   53.52
08/04/2013 03:45:00,   53.67,   59.50,   49.19,   58.11,   63.40,   53.42
08/04/2013 03:50:00,   54.90,   59.17,   49.70,   59.40,   63.01,   54.11
08/04/2013 03:55:00,   55.87,   62.18,   49.79,   59.78,   65.09,   54.21
08/04/2013 04:00:00,   59.41,   65.44,   50.54,   63.75,   69.07,   55.20
08/04/2013 04:05:00,   55.93,   62.85,   50.45,   59.94,   65.09,   54.61
08/04/2013 04:10:00,   55.39,   61.88,   49.71,   59.69,   64.60,   53.78
08/04/2013 04:15:00,   55.83,   63.03,   49.52,   59.19,   64.83,   53.71
08/04/2013 04:20:00,   54.00,   60.54,   49.23,   57.29,   62.68,   53.33
08/04/2013 04:25:00,   54.79,   59.74,   49.67,   58.67,   62.64,   54.26
08/04/2013 04:30:00,   54.77,   61.61,   48.97,   58.81,   64.59,   53.32
08/04/2013 04:35:00,   56.80,   63.83,   49.13,   59.68,   65.89,   53.14
08/04/2013 04:40:00,   54.12,   60.23,   48.91,   57.87,   63.89,   52.96
08/04/2013 04:45:00,   57.84,   64.74,   50.19,   61.22,   67.02,   54.62
08/04/2013 04:50:00,   54.53,   59.94,   49.29,   58.29,   62.54,   53.38
08/04/2013 04:55:00,   56.77,   64.16,   49.92,   60.24,   66.36,   53.80
08/04/2013 05:00:00,   55.40,   60.81,   49.49,   59.28,   64.05,   54.05
08/04/2013 05:05:00,   59.53,   65.50,   50.69,   63.00,   68.03,   54.90
08/04/2013 05:10:00,   57.80,   64.00,   50.34,   61.43,   66.80,   55.09
08/04/2013 05:15:00,   56.56,   62.11,   51.00,   60.81,   65.47,   55.53
08/04/2013 05:20:00,   57.89,   63.78,   51.38,   61.54,   66.57,   56.11
08/04/2013 05:25:00,   58.34,   64.76,   50.92,   62.17,   68.23,   55.73
08/04/2013 05:30:00,   58.56,   64.58,   51.89,   62.15,   67.39,   56.64
08/04/2013 05:35:00,   57.29,   63.83,   51.55,   61.02,   65.92,   56.36
08/04/2013 05:40:00,   61.66,   66.90,   52.36,   65.43,   70.51,   57.43
08/04/2013 05:45:00,   59.63,   65.69,   51.51,   63.73,   68.53,   56.06
08/04/2013 05:50:00,   59.52,   65.78,   52.05,   62.62,   67.68,   56.60
08/04/2013 05:55:00,   60.49,   66.30,   52.23,   63.87,   68.91,   56.47
08/04/2013 06:00:00,   57.41,   63.40,   51.79,   60.70,   65.76,   56.21
08/04/2013 06:05:00,   59.93,   65.50,   51.60,   64.27,   69.10,   56.10
08/04/2013 06:10:00,   59.09,   64.66,   52.86,   63.07,   67.97,   57.09
08/04/2013 06:15:00,   59.51,   64.44,   53.82,   63.54,   68.40,   58.01
08/04/2013 06:20:00,   57.32,   61.16,   53.05,   61.94,   65.57,   57.57
08/04/2013 06:25:00,   60.91,   65.58,   54.51,   64.64,   68.39,   59.01
08/04/2013 06:30:00,   59.83,   66.02,   54.20,   63.66,   68.56,   58.61
08/04/2013 06:35:00,   58.59,   63.73,   53.41,   62.61,   66.90,   57.75
08/04/2013 06:40:00,   60.23,   65.98,   53.24,   64.08,   69.21,   58.41
08/04/2013 06:45:00,   61.54,   67.25,   54.47,   65.33,   70.42,   58.89
08/04/2013 06:50:00,   58.22,   63.97,   53.64,   61.83,   66.37,   57.88
08/04/2013 06:55:00,   61.66,   67.47,   54.80,   65.11,   69.85,   58.92
08/04/2013 07:00:00,   60.82,   64.47,   54.98,   64.14,   66.99,   59.04
08/04/2013 07:05:00,   62.34,   67.03,   55.42,   65.45,   69.10,   59.76
08/04/2013 07:10:00,   63.34,   68.82,   54.89,   66.89,   72.82,   58.88
08/04/2013 07:15:00,   60.90,   66.01,   54.91,   64.93,   69.05,   59.34
08/04/2013 07:20:00,   62.95,   68.62,   55.10,   66.22,   70.76,   59.43
08/04/2013 07:25:00,   64.67,   70.22,   55.11,   68.40,   74.00,   59.73
08/04/2013 07:30:00,   62.05,   65.93,   54.79,   65.51,   68.74,   59.45
08/04/2013 07:35:00,   63.10,   68.17,   54.37,   67.29,   71.61,   58.81
