# noise_analysis run from DCC-NOISE-001011 at Wed Apr 10 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
10/04/2013 00:05:00,   57.72,   63.14,   49.85,   62.80,   67.99,   53.52
10/04/2013 00:10:00,   58.18,   64.15,   49.68,   61.13,   66.77,   53.37
10/04/2013 00:15:00,   56.35,   61.99,   48.99,   59.75,   64.85,   52.75
10/04/2013 00:20:00,   57.84,   64.86,   49.74,   60.98,   67.05,   53.47
10/04/2013 00:25:00,   57.29,   60.94,   49.79,   60.79,   63.81,   53.64
10/04/2013 00:30:00,   58.34,   63.88,   49.59,   61.26,   66.59,   53.50
10/04/2013 00:35:00,   57.63,   63.73,   49.79,   60.74,   65.24,   53.47
10/04/2013 00:40:00,   54.78,   61.34,   49.18,   57.49,   63.30,   52.92
10/04/2013 00:45:00,   57.79,   65.10,   49.59,   60.94,   67.18,   53.28
10/04/2013 00:50:00,   56.12,   62.74,   49.25,   59.55,   65.18,   53.04
10/04/2013 00:55:00,   56.37,   62.93,   49.00,   59.15,   64.83,   52.72
10/04/2013 01:00:00,   56.06,   61.65,   49.57,   59.43,   64.19,   53.40
10/04/2013 01:05:00,   53.44,   57.91,   49.48,   56.87,   60.42,   53.54
10/04/2013 01:10:00,   54.20,   59.26,   48.85,   57.72,   62.49,   52.76
10/04/2013 01:15:00,   57.68,   62.16,   50.39,   59.90,   63.40,   53.89
10/04/2013 01:20:00,   53.89,   61.07,   48.82,   56.96,   62.68,   52.89
10/04/2013 01:25:00,   52.78,   55.33,   48.80,   56.35,   59.53,   52.74
10/04/2013 01:30:00,   55.09,   60.14,   49.69,   58.52,   62.56,   53.54
10/04/2013 01:35:00,   54.22,   60.25,   49.38,   57.39,   62.01,   53.30
10/04/2013 01:40:00,   53.52,   58.19,   49.08,   56.57,   60.64,   52.98
10/04/2013 01:45:00,   54.49,   60.79,   48.85,   57.75,   62.70,   52.84
10/04/2013 01:50:00,   53.23,   57.90,   49.17,   56.72,   60.65,   53.24
10/04/2013 01:55:00,   50.41,   52.30,   48.63,   54.05,   56.10,   52.51
10/04/2013 02:00:00,   52.71,   58.52,   49.14,   56.81,   63.76,   52.87
10/04/2013 02:05:00,   54.09,   61.15,   48.63,   56.71,   62.80,   52.32
10/04/2013 02:10:00,   52.77,   57.47,   48.56,   55.61,   59.40,   52.40
10/04/2013 02:15:00,   50.16,   51.77,   48.44,   53.93,   55.68,   52.42
10/04/2013 02:20:00,   49.83,   50.81,   48.40,   53.75,   54.73,   52.54
10/04/2013 02:25:00,   52.96,   58.58,   48.13,   56.68,   61.92,   52.30
10/04/2013 02:30:00,   52.14,   56.91,   48.15,   55.38,   59.20,   52.35
10/04/2013 02:35:00,   50.91,   52.95,   48.29,   54.12,   55.85,   52.10
10/04/2013 02:40:00,   54.85,   61.08,   48.63,   57.47,   62.87,   52.44
10/04/2013 02:45:00,   57.21,   62.86,   48.42,   59.74,   64.86,   52.09
10/04/2013 02:50:00,   55.61,   62.71,   48.01,   58.50,   65.46,   51.91
10/04/2013 02:55:00,   51.34,   53.40,   47.82,   54.52,   56.89,   51.76
10/04/2013 03:00:00,   54.51,   61.77,   48.25,   57.73,   64.36,   52.34
10/04/2013 03:05:00,   53.52,   58.53,   48.88,   56.52,   61.05,   52.77
10/04/2013 03:10:00,   52.74,   58.34,   48.58,   56.23,   61.09,   52.44
10/04/2013 03:15:00,   54.49,   60.37,   48.54,   57.65,   63.38,   52.43
10/04/2013 03:20:00,   52.74,   58.39,   48.01,   56.50,   61.48,   51.91
10/04/2013 03:25:00,   49.56,   50.86,   48.02,   53.29,   54.40,   52.06
10/04/2013 03:30:00,   50.82,   54.77,   48.05,   54.38,   57.84,   52.01
10/04/2013 03:35:00,   52.79,   58.08,   48.44,   55.94,   60.69,   52.33
10/04/2013 03:40:00,   53.91,   60.24,   48.49,   57.15,   63.09,   52.43
10/04/2013 03:45:00,   53.34,   58.83,   48.46,   56.80,   61.96,   52.37
10/04/2013 03:50:00,   55.24,   62.39,   48.59,   57.96,   64.20,   52.41
10/04/2013 03:55:00,   54.69,   61.91,   48.89,   57.29,   63.45,   52.66
10/04/2013 04:00:00,   52.11,   55.82,   48.78,   55.51,   58.95,   52.84
10/04/2013 04:05:00,   54.49,   61.18,   48.77,   57.69,   63.28,   53.01
10/04/2013 04:10:00,   53.72,   59.65,   48.63,   57.60,   62.79,   52.94
10/04/2013 04:15:00,   57.24,   65.04,   48.88,   61.54,   69.55,   53.28
10/04/2013 04:20:00,   54.28,   61.67,   48.41,   57.41,   63.83,   52.50
10/04/2013 04:25:00,   54.55,   61.47,   48.30,   57.52,   63.73,   52.23
10/04/2013 04:30:00,   54.06,   60.41,   48.44,   57.07,   62.62,   52.37
10/04/2013 04:35:00,   53.90,   58.40,   48.74,   57.16,   61.28,   52.74
10/04/2013 04:40:00,   55.88,   63.32,   49.02,   59.20,   65.82,   53.25
10/04/2013 04:45:00,   55.88,   62.21,   49.28,   59.15,   64.48,   53.50
10/04/2013 04:50:00,   55.37,   60.63,   48.86,   58.27,   63.15,   52.82
10/04/2013 04:55:00,   57.03,   65.01,   49.34,   59.87,   66.84,   53.35
10/04/2013 05:00:00,   57.50,   63.93,   48.82,   60.68,   66.14,   53.31
10/04/2013 05:05:00,   59.91,   66.07,   51.00,   64.37,   70.58,   55.39
10/04/2013 05:10:00,   56.95,   62.88,   51.04,   60.84,   65.36,   55.49
10/04/2013 05:15:00,   58.24,   64.46,   51.38,   61.43,   66.58,   55.66
10/04/2013 05:20:00,   57.09,   62.00,   50.88,   60.95,   65.40,   54.99
10/04/2013 05:25:00,   58.33,   64.42,   51.30,   61.82,   67.00,   55.74
10/04/2013 05:30:00,   56.99,   62.60,   50.88,   60.77,   65.64,   55.58
10/04/2013 05:35:00,   60.91,   68.57,   51.75,   65.67,   73.19,   55.49
10/04/2013 05:40:00,   59.09,   65.94,   51.70,   62.48,   68.34,   56.67
10/04/2013 05:45:00,   61.87,   69.27,   52.43,   65.82,   72.79,   57.11
10/04/2013 05:50:00,   57.00,   61.61,   51.43,   60.57,   65.01,   55.95
10/04/2013 05:55:00,   59.15,   65.08,   51.20,   63.19,   68.96,   55.75
10/04/2013 06:00:00,   58.76,   63.60,   51.88,   63.00,   68.05,   55.96
10/04/2013 06:05:00,   59.81,   65.35,   52.34,   63.46,   68.47,   57.21
10/04/2013 06:10:00,   61.03,   66.94,   53.34,   64.65,   69.75,   57.34
10/04/2013 06:15:00,   59.57,   65.36,   52.72,   62.86,   68.49,   57.31
10/04/2013 06:20:00,   59.42,   64.79,   53.83,   62.94,   67.16,   58.17
10/04/2013 06:25:00,   61.92,   67.98,   53.42,   65.10,   70.45,   57.76
10/04/2013 06:30:00,   60.58,   66.40,   52.61,   63.74,   68.34,   56.74
10/04/2013 06:35:00,   58.37,   64.28,   53.02,   61.54,   66.15,   57.22
10/04/2013 06:40:00,   60.60,   66.43,   52.94,   64.15,   68.34,   57.09
10/04/2013 06:45:00,   62.04,   67.07,   53.65,   66.12,   71.40,   57.99
10/04/2013 06:50:00,   61.21,   67.04,   54.22,   65.21,   70.28,   58.43
10/04/2013 06:55:00,   60.94,   66.99,   53.84,   64.11,   69.46,   57.79
10/04/2013 07:00:00,   62.63,   69.03,   53.95,   66.52,   72.97,   58.04
10/04/2013 07:05:00,   62.20,   67.18,   54.25,   65.32,   69.55,   57.99
10/04/2013 07:10:00,   61.52,   66.84,   54.44,   65.28,   69.75,   58.19
10/04/2013 07:15:00,   63.34,   69.05,   53.90,   67.07,   72.92,   58.46
10/04/2013 07:20:00,   61.73,   66.80,   53.75,   65.09,   69.54,   58.12
10/04/2013 07:25:00,   63.05,   67.56,   53.94,   66.68,   70.95,   58.57
10/04/2013 07:30:00,   62.29,   67.62,   54.58,   65.73,   70.42,   59.09
10/04/2013 07:35:00,   63.99,   68.49,   55.10,   67.51,   72.48,   59.44
10/04/2013 07:40:00,   63.93,   67.87,   55.25,   67.69,   71.43,   59.46
10/04/2013 07:45:00,   63.28,   67.90,   54.52,   66.43,   70.53,   58.84
10/04/2013 07:50:00,   62.80,   66.90,   55.10,   66.09,   69.48,   59.80
10/04/2013 07:55:00,   62.98,   68.26,   54.21,   66.47,   71.61,   58.90
10/04/2013 08:00:00,   63.07,   67.75,   55.62,   66.86,   70.52,   60.60
10/04/2013 08:05:00,   65.01,   68.80,   52.96,   68.18,   71.48,   57.71
10/04/2013 08:10:00,   67.37,   68.94,   54.77,   69.30,   71.47,   59.63
10/04/2013 08:15:00,   62.64,   67.59,   54.19,   66.49,   71.26,   58.88
10/04/2013 08:20:00,   64.16,   69.79,   54.92,   67.82,   73.67,   59.49
10/04/2013 08:25:00,   62.51,   67.20,   54.35,   66.06,   70.51,   59.01
10/04/2013 08:30:00,   63.06,   68.59,   55.15,   66.37,   70.80,   60.00
10/04/2013 08:35:00,   64.29,   69.08,   54.67,   67.67,   72.43,   59.20
10/04/2013 08:40:00,   64.09,   67.71,   55.59,   67.44,   71.26,   59.77
10/04/2013 08:45:00,   63.25,   67.68,   54.91,   66.34,   69.92,   59.76
10/04/2013 08:50:00,   63.45,   68.41,   56.19,   67.13,   71.83,   61.06
10/04/2013 08:55:00,   63.37,   68.26,   54.86,   66.97,   71.32,   59.80
10/04/2013 09:00:00,   63.27,   67.52,   54.79,   67.63,   73.20,   59.39
10/04/2013 09:05:00,   63.73,   68.17,   54.87,   67.16,   71.87,   59.91
10/04/2013 09:10:00,   63.33,   67.06,   55.43,   66.62,   69.27,   60.03
10/04/2013 09:15:00,   64.04,   69.35,   54.69,   67.64,   72.93,   59.71
10/04/2013 09:20:00,   64.01,   67.64,   55.96,   67.62,   72.02,   60.69
10/04/2013 09:25:00,   64.08,   69.17,   55.40,   66.99,   72.12,   59.14
10/04/2013 09:30:00,   64.93,   69.51,   57.19,   68.78,   73.60,   61.00
10/04/2013 09:35:00,   63.78,   67.81,   54.83,   67.22,   70.60,   59.63
10/04/2013 09:40:00,   63.74,   67.81,   56.87,   67.07,   70.79,   61.22
10/04/2013 09:45:00,   63.36,   67.31,   56.05,   67.36,   72.13,   60.41
10/04/2013 09:50:00,   64.26,   68.48,   55.62,   67.69,   72.05,   60.34
10/04/2013 09:55:00,   64.35,   67.00,   58.20,   67.68,   70.74,   61.67
10/04/2013 10:00:00,   63.59,   68.12,   56.37,   67.19,   71.72,   61.52
10/04/2013 10:05:00,   62.24,   66.13,   56.22,   65.50,   69.19,   60.01
10/04/2013 10:10:00,   64.17,   68.86,   55.81,   67.68,   72.34,   60.59
10/04/2013 10:15:00,   62.95,   66.35,   55.73,   65.87,   68.73,   59.34
10/04/2013 10:20:00,   65.91,   70.58,   55.89,   69.26,   74.18,   60.02
10/04/2013 10:25:00,   62.90,   66.76,   56.74,   66.24,   69.84,   61.33
10/04/2013 10:30:00,   63.84,   67.73,   58.19,   67.25,   70.53,   62.15
10/04/2013 10:35:00,   63.22,   67.72,   55.84,   66.61,   70.65,   60.18
10/04/2013 10:40:00,   63.77,   67.12,   55.68,   66.95,   70.31,   59.44
10/04/2013 10:45:00,   64.58,   69.64,   55.88,   68.14,   73.28,   60.04
10/04/2013 10:50:00,   62.96,   66.33,   56.72,   66.31,   69.28,   60.82
10/04/2013 10:55:00,   63.53,   67.37,   56.43,   66.84,   70.78,   60.69
10/04/2013 11:00:00,   71.20,   72.12,   56.21,   72.81,   75.03,   59.89
10/04/2013 11:05:00,   61.58,   65.96,   55.07,   65.38,   68.30,   59.56
10/04/2013 11:10:00,   63.43,   67.73,   56.22,   66.96,   70.91,   60.04
10/04/2013 11:15:00,   63.60,   67.66,   55.71,   66.85,   70.47,   59.82
10/04/2013 11:20:00,   62.65,   66.91,   55.14,   66.13,   70.62,   59.34
10/04/2013 11:25:00,   62.54,   66.47,   55.13,   66.77,   71.88,   59.50
10/04/2013 11:30:00,   64.00,   68.76,   56.17,   67.68,   72.28,   60.38
10/04/2013 11:35:00,   62.12,   65.73,   56.55,   65.72,   68.52,   61.27
10/04/2013 11:40:00,   63.91,   69.16,   54.42,   67.47,   72.59,   58.76
10/04/2013 11:45:00,   61.21,   65.95,   55.15,   64.74,   68.68,   59.17
10/04/2013 11:50:00,   64.34,   68.96,   56.75,   68.26,   73.33,   60.86
10/04/2013 11:55:00,   62.06,   66.55,   54.85,   65.41,   69.41,   59.07
10/04/2013 12:00:00,   62.34,   65.67,   55.73,   65.78,   69.60,   59.52
