# noise_analysis run from DCC-NOISE-001011 at Tue Apr 16 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/04/2013 00:05:00,   58.94,   61.56,   55.63,   63.12,   65.28,   60.36
16/04/2013 00:10:00,   60.70,   65.55,   55.89,   64.77,   68.81,   60.84
16/04/2013 00:15:00,   58.28,   62.15,   54.24,   63.93,   67.20,   60.12
16/04/2013 00:20:00,   60.50,   66.83,   53.87,   66.31,   70.42,   59.15
16/04/2013 00:25:00,   61.05,   67.09,   54.74,   65.28,   70.44,   60.00
16/04/2013 00:30:00,   60.57,   65.33,   54.28,   65.37,   69.47,   59.83
16/04/2013 00:35:00,   60.80,   65.32,   55.23,   65.58,   69.67,   59.97
16/04/2013 00:40:00,   58.32,   60.86,   54.52,   66.50,   70.52,   59.96
16/04/2013 00:45:00,   60.21,   63.82,   54.98,   64.93,   68.72,   59.89
16/04/2013 00:50:00,   60.53,   64.41,   57.05,   65.31,   68.55,   62.06
16/04/2013 00:55:00,   59.35,   62.44,   55.19,   64.36,   66.59,   61.01
16/04/2013 01:00:00,   59.30,   62.31,   56.15,   63.44,   65.71,   60.77
16/04/2013 01:05:00,   60.21,   63.70,   55.37,   64.29,   66.89,   61.65
16/04/2013 01:10:00,   68.63,   78.72,   56.61,   73.25,   83.18,   62.35
16/04/2013 01:15:00,   61.09,   63.46,   54.78,   67.28,   69.42,   61.54
16/04/2013 01:20:00,   60.30,   62.76,   56.10,   67.35,   71.79,   61.44
16/04/2013 01:25:00,   61.01,   64.08,   55.51,   67.20,   70.15,   61.66
16/04/2013 01:30:00,   59.91,   62.09,   56.07,   66.15,   70.05,   61.64
16/04/2013 01:35:00,   60.64,   62.95,   54.73,   67.16,   70.37,   62.53
16/04/2013 01:40:00,   56.40,   61.20,   50.58,   61.56,   66.36,   54.84
16/04/2013 01:45:00,   55.86,   60.27,   50.76,   62.06,   66.94,   55.41
16/04/2013 01:50:00,   54.60,   58.20,   50.89,   61.27,   66.55,   55.22
16/04/2013 01:55:00,   54.10,   58.52,   50.33,   59.40,   63.75,   54.57
16/04/2013 02:00:00,   56.14,   59.68,   51.19,   61.28,   65.05,   55.57
16/04/2013 02:05:00,   56.35,   60.23,   51.74,   63.54,   68.90,   56.17
