# noise_analysis run from DCC-NOISE-001011 at Thu Apr 18 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
18/04/2013 00:05:00,   63.55,   68.53,   56.62,   70.33,   74.76,   61.35
18/04/2013 00:10:00,   65.45,   70.88,   55.01,   73.69,   81.24,   59.51
18/04/2013 00:15:00,   66.60,   71.33,   57.51,   75.11,   81.75,   62.39
18/04/2013 00:20:00,   65.54,   71.51,   56.58,   74.35,   80.66,   60.81
18/04/2013 00:25:00,   69.30,   74.24,   54.37,   76.56,   84.76,   60.41
18/04/2013 00:30:00,   57.69,   61.49,   53.05,   65.37,   68.62,   60.09
18/04/2013 00:35:00,   58.44,   61.45,   53.46,   66.28,   69.66,   60.67
18/04/2013 00:40:00,   58.57,   61.81,   54.61,   66.77,   70.56,   61.77
18/04/2013 00:45:00,   58.55,   61.95,   53.80,   66.62,   70.13,   61.66
18/04/2013 00:50:00,   58.35,   62.60,   53.75,   66.48,   69.32,   61.66
18/04/2013 00:55:00,   59.84,   63.89,   54.49,   67.80,   71.48,   61.97
18/04/2013 01:00:00,   63.62,   71.33,   55.55,   71.01,   77.37,   63.58
18/04/2013 01:05:00,   58.99,   63.82,   54.80,   67.26,   70.44,   62.45
18/04/2013 01:10:00,   56.79,   60.36,   53.04,   63.80,   66.80,   59.83
18/04/2013 01:15:00,   57.92,   62.18,   53.57,   65.05,   68.46,   59.98
18/04/2013 01:20:00,   57.87,   61.66,   54.00,   65.45,   68.88,   60.65
18/04/2013 01:25:00,   57.56,   61.33,   54.04,   64.92,   68.35,   60.11
18/04/2013 01:30:00,   56.52,   60.18,   52.55,   62.48,   65.89,   58.15
18/04/2013 01:35:00,   56.24,   57.97,   53.07,   63.44,   66.41,   59.52
18/04/2013 01:40:00,   57.50,   60.57,   54.07,   64.84,   68.57,   59.72
18/04/2013 01:45:00,   58.29,   61.92,   53.90,   65.93,   71.11,   60.18
18/04/2013 01:50:00,   56.88,   61.64,   52.29,   62.22,   66.62,   58.92
18/04/2013 01:55:00,   57.51,   61.50,   52.34,   65.26,   69.52,   59.45
18/04/2013 02:00:00,   56.95,   60.63,   52.24,   63.33,   67.29,   58.99
18/04/2013 02:05:00,   56.19,   60.80,   51.44,   62.32,   67.12,   57.56
18/04/2013 02:10:00,   55.49,   58.11,   52.45,   62.69,   65.37,   58.42
18/04/2013 02:15:00,   55.93,   59.70,   52.03,   61.39,   64.40,   57.94
18/04/2013 02:20:00,   56.57,   60.50,   52.54,   62.97,   65.67,   59.16
18/04/2013 02:25:00,   56.55,   61.73,   51.23,   62.44,   66.70,   57.29
18/04/2013 02:30:00,   55.08,   59.22,   51.35,   60.97,   63.33,   57.81
18/04/2013 02:35:00,   55.41,   58.76,   52.21,   62.43,   66.06,   58.20
18/04/2013 02:40:00,   55.99,   61.49,   51.26,   62.35,   67.04,   57.71
18/04/2013 02:45:00,   55.51,   58.89,   50.60,   62.29,   65.93,   58.37
18/04/2013 02:50:00,   55.88,   62.28,   50.37,   60.96,   65.41,   56.62
18/04/2013 02:55:00,   54.64,   57.66,   50.90,   61.57,   65.25,   56.74
18/04/2013 03:00:00,   55.97,   61.32,   49.90,   63.38,   69.19,   56.86
18/04/2013 03:05:00,   56.40,   62.13,   51.04,   61.73,   66.58,   57.12
18/04/2013 03:10:00,   54.20,   57.05,   50.07,   60.56,   64.07,   56.44
18/04/2013 03:15:00,   56.24,   62.27,   50.20,   62.36,   68.51,   56.65
18/04/2013 03:20:00,   53.85,   58.17,   49.66,   59.55,   62.99,   56.02
18/04/2013 03:25:00,   56.21,   61.93,   48.86,   61.87,   65.30,   56.03
18/04/2013 03:30:00,   56.48,   60.33,   51.19,   60.96,   64.78,   56.43
18/04/2013 03:35:00,   55.06,   60.80,   49.91,   59.91,   63.73,   55.72
18/04/2013 03:40:00,   54.65,   58.81,   48.67,   59.91,   64.18,   55.03
18/04/2013 03:45:00,   54.69,   59.29,   48.95,   60.83,   65.32,   55.20
18/04/2013 03:50:00,   53.83,   57.98,   48.17,   58.96,   61.62,   54.80
18/04/2013 03:55:00,   53.25,   59.56,   47.36,   58.51,   63.28,   54.12
18/04/2013 04:00:00,   53.21,   57.50,   47.71,   58.65,   62.74,   54.33
18/04/2013 04:05:00,   55.92,   62.31,   48.68,   60.72,   67.04,   54.65
18/04/2013 04:10:00,   54.66,   60.93,   48.10,   60.11,   65.01,   54.95
18/04/2013 04:15:00,   56.82,   62.35,   49.08,   62.46,   67.03,   55.51
