# noise_analysis run from DCC-NOISE-001011 at Sat Apr 20 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/04/2013 00:05:00,   58.18,   64.31,   50.25,   61.49,   67.13,   54.18
20/04/2013 00:10:00,   58.31,   63.34,   50.86,   62.42,   66.84,   54.87
20/04/2013 00:15:00,   60.10,   65.66,   50.79,   63.30,   68.65,   54.53
20/04/2013 00:20:00,   58.68,   63.49,   50.01,   62.31,   66.78,   53.78
20/04/2013 00:25:00,   58.12,   64.62,   50.43,   61.23,   66.72,   54.29
20/04/2013 00:30:00,   56.37,   62.58,   50.11,   59.89,   64.98,   53.85
20/04/2013 00:35:00,   56.04,   61.94,   49.02,   59.10,   64.63,   53.01
20/04/2013 00:40:00,   59.45,   65.79,   50.23,   62.69,   68.28,   53.99
20/04/2013 00:45:00,   60.25,   66.03,   50.46,   63.67,   68.88,   54.80
20/04/2013 00:50:00,   55.73,   60.94,   49.46,   59.16,   64.50,   53.88
20/04/2013 00:55:00,   57.21,   63.80,   49.64,   60.11,   66.03,   53.80
20/04/2013 01:00:00,   57.11,   62.61,   50.96,   60.05,   65.28,   54.77
20/04/2013 01:05:00,   59.78,   64.76,   51.10,   62.95,   67.12,   54.85
20/04/2013 01:10:00,   57.06,   62.57,   50.64,   61.31,   65.51,   54.87
20/04/2013 01:15:00,   56.04,   60.88,   50.32,   59.20,   63.41,   54.18
20/04/2013 01:20:00,   61.45,   64.10,   49.91,   63.30,   66.02,   53.81
20/04/2013 01:25:00,   58.15,   62.94,   51.05,   60.85,   65.39,   54.63
20/04/2013 01:30:00,   58.38,   62.24,   52.65,   61.08,   64.65,   56.06
20/04/2013 01:35:00,   56.75,   61.72,   50.38,   59.26,   63.89,   54.34
20/04/2013 01:40:00,   56.07,   62.57,   49.68,   58.92,   64.98,   53.60
20/04/2013 01:45:00,   55.11,   60.51,   49.96,   58.18,   63.43,   53.69
20/04/2013 01:50:00,   55.11,   60.69,   49.54,   58.07,   62.85,   53.60
20/04/2013 01:55:00,   56.81,   63.33,   49.75,   59.34,   65.16,   53.35
20/04/2013 02:00:00,   57.10,   62.63,   50.30,   59.89,   64.27,   54.36
20/04/2013 02:05:00,   57.50,   63.19,   50.46,   60.19,   65.14,   54.25
20/04/2013 02:10:00,   55.43,   61.18,   50.10,   58.59,   63.84,   54.21
20/04/2013 02:15:00,   54.20,   59.69,   49.55,   58.43,   62.33,   53.62
20/04/2013 02:20:00,   55.85,   62.07,   49.82,   58.62,   64.30,   53.74
20/04/2013 02:25:00,   54.16,   59.41,   49.43,   57.23,   61.56,   53.38
20/04/2013 02:30:00,   56.06,   61.52,   49.91,   60.96,   65.91,   53.80
20/04/2013 02:35:00,   55.89,   62.28,   49.26,   58.76,   64.53,   53.33
20/04/2013 02:40:00,   56.13,   62.02,   49.46,   59.58,   64.77,   53.68
