# noise_analysis run from DCC-NOISE-001011 at Mon Apr 22 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
22/04/2013 00:05:00,   57.89,   64.57,   50.20,   61.04,   66.62,   54.08
22/04/2013 00:10:00,   54.48,   59.80,   49.75,   57.76,   62.41,   53.51
22/04/2013 00:15:00,   54.67,   59.35,   49.82,   57.50,   61.53,   53.54
22/04/2013 00:20:00,   56.18,   62.26,   50.21,   59.30,   64.44,   53.85
22/04/2013 00:25:00,   55.64,   61.22,   49.66,   58.38,   63.08,   53.39
22/04/2013 00:30:00,   55.95,   61.85,   49.72,   58.74,   63.87,   53.41
22/04/2013 00:35:00,   54.35,   60.79,   49.11,   57.27,   62.91,   53.04
22/04/2013 00:40:00,   55.43,   60.68,   49.71,   58.59,   63.25,   53.33
22/04/2013 00:45:00,   56.42,   60.92,   50.26,   59.35,   63.53,   53.98
22/04/2013 00:50:00,   57.47,   62.64,   50.23,   60.15,   64.53,   53.84
22/04/2013 00:55:00,   53.75,   58.62,   49.06,   56.93,   60.91,   52.95
22/04/2013 01:00:00,   53.89,   58.45,   49.24,   57.23,   62.17,   52.87
22/04/2013 01:05:00,   53.72,   59.35,   49.29,   56.80,   61.60,   53.11
22/04/2013 01:10:00,   55.54,   60.88,   50.12,   59.13,   63.76,   53.96
22/04/2013 01:15:00,   55.78,   60.71,   49.59,   58.45,   63.11,   53.32
22/04/2013 01:20:00,   54.57,   61.44,   48.76,   57.62,   63.81,   52.44
22/04/2013 01:25:00,   53.98,   60.00,   48.94,   57.00,   62.17,   52.65
22/04/2013 01:30:00,   52.93,   56.80,   49.22,   56.15,   60.07,   52.77
