# noise_analysis run from DCC-NOISE-001011 at Fri Apr 26 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
26/04/2013 00:05:00,   56.26,   61.28,   50.63,   59.04,   63.17,   54.24
26/04/2013 00:10:00,   59.30,   65.31,   50.97,   62.44,   67.83,   54.88
26/04/2013 00:15:00,   57.83,   64.45,   50.14,   60.95,   66.52,   54.21
26/04/2013 00:20:00,   58.48,   63.89,   51.08,   61.74,   66.13,   54.75
26/04/2013 00:25:00,   58.79,   65.29,   50.83,   62.48,   67.71,   54.85
26/04/2013 00:30:00,   57.41,   63.54,   50.08,   61.10,   66.56,   54.45
26/04/2013 00:35:00,   55.43,   60.49,   50.15,   58.63,   63.29,   54.09
26/04/2013 00:40:00,   57.93,   62.59,   50.43,   61.44,   65.04,   54.35
26/04/2013 00:45:00,   55.76,   60.77,   50.24,   58.89,   63.49,   53.93
26/04/2013 00:50:00,   58.67,   63.67,   50.81,   62.29,   67.12,   54.70
26/04/2013 00:55:00,   57.18,   62.79,   50.33,   60.63,   66.02,   54.08
26/04/2013 01:00:00,   55.44,   60.89,   50.69,   58.85,   63.32,   54.78
26/04/2013 01:05:00,   55.38,   61.89,   50.22,   58.57,   64.20,   54.11
26/04/2013 01:10:00,   57.02,   62.77,   50.08,   60.84,   65.59,   54.15
26/04/2013 01:15:00,   54.67,   58.11,   50.79,   57.82,   61.36,   54.46
26/04/2013 01:20:00,   55.35,   60.32,   49.98,   58.33,   62.56,   53.64
26/04/2013 01:25:00,   53.99,   59.89,   49.53,   57.09,   61.94,   53.36
26/04/2013 01:30:00,   57.00,   62.94,   50.52,   59.91,   65.43,   54.61
26/04/2013 01:35:00,   54.10,   58.89,   49.71,   57.48,   62.22,   53.52
26/04/2013 01:40:00,   56.67,   62.24,   49.93,   59.75,   64.76,   53.91
26/04/2013 01:45:00,   54.50,   60.14,   50.32,   58.16,   62.81,   54.01
26/04/2013 01:50:00,   56.13,   61.19,   50.34,   59.75,   63.92,   54.44
26/04/2013 01:55:00,   55.23,   61.10,   50.30,   59.35,   65.81,   54.27
