# noise_analysis run from DCC-NOISE-001011 at Sun Apr 28 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
28/04/2013 00:05:00,   55.93,   60.73,   49.60,   59.12,   63.32,   53.79
28/04/2013 00:10:00,   57.69,   62.22,   49.60,   61.28,   64.63,   53.49
28/04/2013 00:15:00,   59.32,   64.96,   49.07,   62.76,   68.18,   53.36
28/04/2013 00:20:00,   57.02,   61.48,   49.78,   60.07,   64.16,   54.10
28/04/2013 00:25:00,   65.52,   68.41,   49.53,   67.32,   72.30,   53.59
28/04/2013 00:30:00,   58.09,   63.77,   50.41,   61.53,   66.80,   53.93
28/04/2013 00:35:00,   56.36,   61.24,   49.55,   59.39,   63.86,   53.80
28/04/2013 00:40:00,   59.53,   64.26,   50.60,   62.50,   66.71,   54.18
28/04/2013 00:45:00,   59.63,   64.88,   49.28,   62.87,   67.67,   53.32
28/04/2013 00:50:00,   58.50,   63.06,   50.11,   61.76,   65.94,   53.73
28/04/2013 00:55:00,   59.17,   65.15,   50.56,   61.82,   67.51,   54.35
28/04/2013 01:00:00,   58.55,   62.84,   50.80,   60.68,   65.15,   54.45
28/04/2013 01:05:00,   58.31,   64.15,   49.96,   61.59,   66.40,   54.06
28/04/2013 01:10:00,   57.37,   63.92,   49.93,   60.04,   65.84,   53.65
28/04/2013 01:15:00,   56.17,   61.89,   49.39,   59.25,   64.05,   53.33
28/04/2013 01:20:00,   56.86,   62.97,   50.08,   59.63,   65.08,   53.87
28/04/2013 01:25:00,   55.58,   61.02,   49.44,   58.23,   63.46,   53.18
28/04/2013 01:30:00,   57.99,   63.91,   50.08,   60.83,   66.19,   53.97
28/04/2013 01:35:00,   57.12,   61.81,   49.84,   59.61,   64.07,   53.77
28/04/2013 01:40:00,   57.23,   63.23,   50.51,   59.89,   65.36,   54.11
28/04/2013 01:45:00,   58.21,   64.13,   50.12,   60.69,   65.88,   54.21
28/04/2013 01:50:00,   58.60,   64.08,   50.64,   61.04,   65.93,   54.06
28/04/2013 01:55:00,   55.44,   59.41,   50.19,   58.15,   61.73,   53.32
28/04/2013 02:00:00,   55.84,   61.17,   49.85,   58.96,   63.35,   53.46
28/04/2013 02:05:00,   56.38,   62.40,   49.89,   59.01,   64.54,   53.76
28/04/2013 02:10:00,   57.17,   63.81,   50.54,   60.18,   65.60,   54.34
28/04/2013 02:15:00,   57.28,   63.66,   50.46,   60.13,   65.71,   54.05
28/04/2013 02:20:00,   56.18,   62.21,   50.39,   59.13,   64.19,   53.67
28/04/2013 02:25:00,   56.82,   63.17,   50.08,   59.36,   64.86,   53.66
28/04/2013 02:30:00,   56.50,   63.33,   49.92,   59.55,   66.00,   53.60
28/04/2013 02:35:00,   57.64,   63.27,   51.23,   60.75,   66.37,   55.00
28/04/2013 02:40:00,   56.04,   62.22,   50.38,   58.77,   63.89,   54.00
28/04/2013 02:45:00,   58.29,   63.79,   51.16,   61.18,   66.14,   54.64
28/04/2013 02:50:00,   57.17,   62.89,   51.33,   60.57,   65.81,   54.59
28/04/2013 02:55:00,   57.67,   63.76,   50.88,   61.17,   66.24,   54.44
28/04/2013 03:00:00,   55.80,   60.44,   50.51,   58.81,   62.58,   54.55
28/04/2013 03:05:00,   57.92,   64.01,   51.12,   60.86,   66.31,   54.49
28/04/2013 03:10:00,   57.35,   64.04,   51.47,   60.14,   66.39,   54.80
28/04/2013 03:15:00,   58.93,   64.50,   51.71,   61.95,   66.68,   56.03
28/04/2013 03:20:00,   56.44,   62.03,   51.53,   60.17,   65.43,   54.93
28/04/2013 03:25:00,   58.09,   64.42,   50.43,   60.98,   67.16,   53.83
28/04/2013 03:30:00,   56.65,   61.78,   51.12,   60.81,   65.25,   54.90
28/04/2013 03:35:00,   57.44,   62.77,   51.50,   60.47,   65.21,   54.73
28/04/2013 03:40:00,   57.02,   62.96,   51.10,   59.90,   64.87,   54.65
28/04/2013 03:45:00,   57.90,   63.59,   51.56,   61.17,   66.01,   55.17
