# noise_analysis run from DCC-NOISE-001011 at Thu Aug  1 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/08/2013 00:05:00,   54.57,   59.89,   47.75,   57.96,   63.02,   51.77
01/08/2013 00:10:00,   56.45,   60.74,   47.66,   60.23,   63.58,   51.99
01/08/2013 00:15:00,   54.99,   60.75,   47.82,   58.01,   63.01,   52.36
01/08/2013 00:20:00,   60.31,   66.67,   48.27,   64.24,   70.92,   52.15
01/08/2013 00:25:00,   53.98,   59.08,   46.81,   57.31,   61.67,   50.75
01/08/2013 00:30:00,   56.83,   63.19,   47.29,   60.37,   65.47,   51.22
01/08/2013 00:35:00,   52.30,   58.37,   46.56,   55.77,   60.72,   50.99
01/08/2013 00:40:00,   58.12,   62.90,   47.75,   62.63,   69.40,   52.05
01/08/2013 00:45:00,   58.51,   64.76,   48.37,   61.98,   67.92,   52.41
01/08/2013 00:50:00,   56.05,   62.34,   48.68,   60.55,   66.05,   53.12
01/08/2013 00:55:00,   55.08,   61.01,   47.52,   59.41,   65.01,   51.90
01/08/2013 01:00:00,   54.28,   60.10,   48.18,   58.62,   62.88,   52.65
01/08/2013 01:05:00,   56.96,   63.50,   46.49,   60.40,   66.18,   50.74
01/08/2013 01:10:00,   51.75,   57.92,   45.60,   55.24,   60.22,   49.90
01/08/2013 01:15:00,   52.74,   59.15,   46.05,   56.93,   62.61,   50.13
01/08/2013 01:20:00,   53.09,   60.01,   45.51,   55.91,   62.25,   49.91
01/08/2013 01:25:00,   51.79,   56.10,   45.12,   55.93,   60.76,   49.76
01/08/2013 01:30:00,   50.61,   55.08,   45.35,   53.96,   57.02,   49.82
01/08/2013 01:35:00,   53.86,   61.11,   46.53,   57.39,   63.61,   51.01
01/08/2013 01:40:00,   51.24,   58.08,   45.33,   54.34,   60.11,   49.51
01/08/2013 01:45:00,   50.30,   56.38,   44.27,   53.52,   58.54,   48.56
01/08/2013 01:50:00,   52.72,   59.53,   44.23,   56.51,   62.98,   48.67
01/08/2013 01:55:00,   49.61,   57.14,   43.65,   53.66,   59.85,   47.99
01/08/2013 02:00:00,   50.07,   56.78,   43.55,   55.03,   61.77,   48.21
01/08/2013 02:05:00,   51.28,   57.36,   45.16,   55.32,   60.28,   50.01
01/08/2013 02:10:00,   51.13,   57.38,   44.61,   54.78,   59.72,   49.57
01/08/2013 02:15:00,   49.30,   55.47,   44.43,   54.35,   59.78,   50.45
01/08/2013 02:20:00,   48.76,   54.43,   42.59,   53.19,   58.50,   47.78
01/08/2013 02:25:00,   50.54,   57.05,   43.12,   53.63,   59.19,   47.94
01/08/2013 02:30:00,   49.92,   58.74,   42.92,   53.25,   61.18,   47.46
01/08/2013 02:35:00,   47.42,   51.65,   42.74,   50.92,   54.44,   47.23
01/08/2013 02:40:00,   49.90,   56.78,   42.64,   52.72,   58.84,   46.76
01/08/2013 02:45:00,   52.58,   60.88,   41.95,   55.44,   62.88,   46.30
01/08/2013 02:50:00,   51.29,   58.70,   42.57,   54.52,   61.60,   47.27
01/08/2013 02:55:00,   52.85,   59.14,   42.90,   55.69,   61.10,   47.23
01/08/2013 03:00:00,   51.99,   59.29,   43.38,   55.04,   61.64,   48.27
01/08/2013 03:05:00,   50.56,   57.71,   43.88,   53.97,   61.16,   48.33
01/08/2013 03:10:00,   53.51,   60.90,   44.88,   57.72,   64.03,   49.41
01/08/2013 03:15:00,   55.20,   61.96,   45.46,   58.02,   63.99,   49.59
01/08/2013 03:20:00,   52.09,   56.71,   44.94,   56.63,   60.73,   49.57
01/08/2013 03:25:00,   51.78,   58.62,   44.97,   55.56,   62.40,   49.38
01/08/2013 03:30:00,   54.76,   62.35,   46.82,   58.53,   65.98,   50.79
01/08/2013 03:35:00,   56.31,   60.82,   51.40,   57.74,   62.51,   53.18
01/08/2013 03:40:00,   58.86,   64.60,   52.15,   61.39,   66.33,   54.28
01/08/2013 03:45:00,   54.99,   59.96,   49.53,   57.93,   61.76,   52.56
01/08/2013 03:50:00,   55.42,   61.70,   47.70,   57.27,   62.65,   51.08
01/08/2013 03:55:00,   51.89,   56.77,   46.36,   54.72,   60.10,   50.25
01/08/2013 04:00:00,   55.10,   62.16,   46.23,   57.08,   63.42,   50.31
01/08/2013 04:05:00,   55.70,   64.46,   46.24,   58.16,   66.02,   49.99
01/08/2013 04:10:00,   55.55,   63.03,   47.05,   58.38,   64.88,   51.12
