# noise_analysis run from DCC-NOISE-001011 at Fri Aug  2 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/08/2013 00:05:00,   55.06,   60.24,   49.91,   60.80,   64.91,   54.39
02/08/2013 00:10:00,   58.09,   62.74,   49.53,   61.89,   65.38,   53.95
02/08/2013 00:15:00,   58.81,   63.67,   49.75,   62.29,   66.23,   54.84
02/08/2013 00:20:00,   61.29,   67.07,   49.66,   64.72,   70.09,   54.55
02/08/2013 00:25:00,   57.66,   63.85,   48.25,   61.30,   66.75,   52.83
02/08/2013 00:30:00,   57.54,   62.99,   47.49,   61.11,   65.95,   52.28
02/08/2013 00:35:00,   55.37,   62.74,   47.43,   58.39,   65.13,   51.62
02/08/2013 00:40:00,   56.61,   62.96,   46.26,   60.55,   65.64,   51.20
02/08/2013 00:45:00,   57.95,   63.46,   47.49,   61.49,   66.33,   51.96
02/08/2013 00:50:00,   57.31,   63.86,   46.89,   61.09,   66.78,   51.06
02/08/2013 00:55:00,   53.99,   59.14,   46.55,   57.28,   62.09,   51.01
02/08/2013 01:00:00,   54.11,   59.98,   46.97,   57.55,   63.20,   51.10
02/08/2013 01:05:00,   56.93,   63.16,   45.93,   60.74,   66.21,   51.12
02/08/2013 01:10:00,   51.89,   58.16,   44.15,   55.83,   61.80,   48.91
02/08/2013 01:15:00,   52.85,   61.05,   44.34,   56.45,   63.08,   49.09
02/08/2013 01:20:00,   52.60,   59.53,   43.74,   55.52,   61.37,   48.30
02/08/2013 01:25:00,   50.46,   56.17,   43.85,   53.91,   58.91,   48.36
02/08/2013 01:30:00,   55.85,   61.22,   45.69,   58.49,   64.25,   50.02
02/08/2013 01:35:00,   50.31,   56.92,   44.08,   53.79,   59.25,   48.62
02/08/2013 01:40:00,   53.77,   60.37,   43.22,   56.84,   62.10,   47.95
02/08/2013 01:45:00,   54.61,   62.33,   44.74,   57.92,   65.35,   49.26
02/08/2013 01:50:00,   53.42,   59.52,   45.30,   56.90,   62.21,   49.91
02/08/2013 01:55:00,   51.73,   57.45,   44.53,   54.79,   59.74,   49.45
02/08/2013 02:00:00,   53.59,   59.86,   46.01,   57.02,   62.70,   50.46
02/08/2013 02:05:00,   54.08,   60.16,   46.95,   57.41,   63.17,   51.46
02/08/2013 02:10:00,   49.46,   53.70,   44.98,   54.46,   57.66,   49.62
02/08/2013 02:15:00,   53.30,   61.30,   45.07,   57.04,   63.89,   49.95
02/08/2013 02:20:00,   51.31,   56.43,   45.45,   54.99,   59.88,   50.58
02/08/2013 02:25:00,   53.26,   58.87,   45.50,   56.79,   61.65,   50.76
02/08/2013 02:30:00,   52.69,   57.64,   46.52,   57.54,   61.07,   51.42
02/08/2013 02:35:00,   52.35,   57.99,   47.00,   57.10,   61.04,   53.81
02/08/2013 02:40:00,   56.17,   61.65,   48.78,   60.41,   64.81,   55.06
02/08/2013 02:45:00,   53.97,   60.40,   44.06,   57.55,   62.81,   49.33
02/08/2013 02:50:00,   52.16,   59.71,   43.05,   55.03,   61.80,   47.47
02/08/2013 02:55:00,   51.10,   58.14,   42.57,   54.42,   60.72,   47.64
02/08/2013 03:00:00,   53.33,   61.15,   45.28,   55.92,   62.67,   49.39
02/08/2013 03:05:00,   51.03,   56.83,   44.31,   54.03,   58.85,   48.78
02/08/2013 03:10:00,   51.41,   58.51,   43.48,   54.28,   60.66,   47.82
02/08/2013 03:15:00,   51.01,   57.72,   43.73,   54.42,   60.46,   48.40
02/08/2013 03:20:00,   51.30,   57.90,   43.69,   54.77,   60.20,   48.36
02/08/2013 03:25:00,   53.76,   60.83,   44.12,   57.18,   63.52,   48.57
02/08/2013 03:30:00,   53.47,   60.01,   43.84,   57.31,   62.99,   48.48
02/08/2013 03:35:00,   55.02,   62.02,   46.77,   58.10,   64.09,   50.85
02/08/2013 03:40:00,   52.88,   59.70,   45.02,   56.34,   62.58,   49.45
02/08/2013 03:45:00,   52.72,   58.87,   45.18,   56.21,   61.90,   49.74
02/08/2013 03:50:00,   53.29,   58.93,   45.20,   57.09,   62.15,   50.98
02/08/2013 03:55:00,   53.94,   61.88,   43.83,   57.06,   64.18,   47.71
02/08/2013 04:00:00,   52.01,   58.38,   44.16,   54.77,   60.45,   48.08
02/08/2013 04:05:00,   53.18,   61.42,   43.60,   56.67,   64.18,   48.18
02/08/2013 04:10:00,   55.03,   61.55,   44.98,   57.73,   63.57,   49.19
02/08/2013 04:15:00,   52.92,   60.98,   44.07,   55.87,   63.15,   48.68
02/08/2013 04:20:00,   52.11,   59.43,   45.20,   56.33,   63.11,   49.67
02/08/2013 04:25:00,   53.02,   59.79,   44.93,   56.48,   62.53,   50.07
02/08/2013 04:30:00,   53.82,   59.47,   45.20,   58.05,   63.35,   49.48
02/08/2013 04:35:00,   56.07,   63.45,   43.98,   59.15,   66.21,   49.24
02/08/2013 04:40:00,   55.64,   61.82,   44.87,   58.35,   63.85,   49.85
02/08/2013 04:45:00,   55.14,   61.74,   47.05,   58.68,   64.39,   50.97
02/08/2013 04:50:00,   56.21,   62.18,   48.32,   60.07,   65.93,   52.08
02/08/2013 04:55:00,   55.56,   61.07,   47.78,   58.52,   63.79,   51.48
02/08/2013 05:00:00,   56.96,   62.26,   47.92,   59.46,   64.28,   51.58
02/08/2013 05:05:00,   56.00,   61.82,   46.53,   58.94,   63.12,   51.98
02/08/2013 05:10:00,   57.51,   63.21,   47.99,   61.80,   66.63,   54.79
