# noise_analysis run from DCC-NOISE-001011 at Sat Aug  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/08/2013 00:05:00,   57.15,   63.63,   48.74,   60.24,   65.79,   53.07
03/08/2013 00:10:00,   59.28,   64.47,   49.36,   62.42,   67.64,   53.54
03/08/2013 00:15:00,   57.70,   63.53,   48.39,   61.40,   66.14,   52.33
03/08/2013 00:20:00,   58.58,   65.93,   48.25,   61.94,   68.53,   53.14
03/08/2013 00:25:00,   57.99,   64.46,   47.81,   61.27,   66.99,   51.96
03/08/2013 00:30:00,   58.35,   65.05,   48.39,   62.01,   68.90,   52.92
03/08/2013 00:35:00,   56.30,   60.92,   49.60,   59.28,   63.12,   53.55
03/08/2013 00:40:00,   57.37,   63.94,   48.77,   60.97,   66.92,   52.42
03/08/2013 00:45:00,   57.16,   63.40,   49.79,   59.93,   65.43,   53.57
03/08/2013 00:50:00,   59.23,   65.50,   49.68,   62.97,   69.00,   53.50
03/08/2013 00:55:00,   54.67,   59.31,   48.22,   58.03,   62.03,   52.34
03/08/2013 01:00:00,   55.43,   62.57,   48.14,   58.40,   64.94,   52.10
03/08/2013 01:05:00,   57.83,   65.23,   49.45,   61.17,   68.04,   53.36
03/08/2013 01:10:00,   56.90,   63.28,   48.88,   59.65,   65.40,   53.57
03/08/2013 01:15:00,   56.90,   63.70,   48.95,   59.75,   65.77,   53.00
03/08/2013 01:20:00,   56.31,   63.45,   48.02,   59.52,   65.76,   51.81
03/08/2013 01:25:00,   55.43,   61.53,   48.37,   58.26,   63.65,   51.98
03/08/2013 01:30:00,   56.53,   63.84,   49.18,   59.19,   65.47,   53.05
03/08/2013 01:35:00,   54.16,   58.83,   48.31,   57.34,   61.40,   52.37
03/08/2013 01:40:00,   56.03,   62.77,   48.49,   58.63,   64.85,   52.25
03/08/2013 01:45:00,   53.64,   60.50,   47.97,   56.99,   63.73,   51.94
03/08/2013 01:50:00,   55.41,   61.36,   48.35,   58.82,   64.55,   52.18
03/08/2013 01:55:00,   55.11,   60.57,   48.49,   57.78,   62.48,   52.32
03/08/2013 02:00:00,   55.86,   62.25,   47.78,   58.58,   64.66,   51.48
03/08/2013 02:05:00,   53.01,   59.76,   46.89,   56.07,   61.45,   50.78
03/08/2013 02:10:00,   52.55,   58.41,   47.65,   55.61,   60.17,   51.10
03/08/2013 02:15:00,   54.28,   60.56,   47.17,   57.37,   63.42,   51.05
03/08/2013 02:20:00,   54.66,   60.39,   47.89,   57.73,   63.10,   51.68
03/08/2013 02:25:00,   55.42,   61.41,   48.02,   57.87,   63.21,   51.72
03/08/2013 02:30:00,   55.69,   62.25,   47.90,   58.62,   64.36,   51.48
03/08/2013 02:35:00,   55.40,   62.42,   47.83,   58.10,   64.60,   51.64
03/08/2013 02:40:00,   55.61,   61.25,   47.47,   58.41,   63.48,   51.39
03/08/2013 02:45:00,   55.19,   62.36,   48.58,   58.10,   64.26,   52.29
03/08/2013 02:50:00,   53.99,   59.50,   47.76,   56.97,   61.74,   51.84
03/08/2013 02:55:00,   54.55,   59.07,   48.74,   57.70,   62.03,   52.66
03/08/2013 03:00:00,   56.13,   62.92,   47.86,   59.40,   65.51,   51.91
03/08/2013 03:05:00,   54.66,   59.60,   48.75,   57.61,   63.00,   51.83
03/08/2013 03:10:00,   54.17,   59.75,   48.00,   57.16,   62.66,   51.55
03/08/2013 03:15:00,   55.86,   61.04,   48.45,   58.80,   64.16,   51.96
03/08/2013 03:20:00,   56.88,   63.17,   49.01,   59.45,   65.27,   52.80
03/08/2013 03:25:00,   56.42,   62.34,   49.76,   59.69,   65.16,   53.54
03/08/2013 03:30:00,   56.15,   61.59,   50.11,   60.29,   65.84,   53.98
03/08/2013 03:35:00,   56.55,   62.82,   48.39,   59.81,   65.97,   51.63
03/08/2013 03:40:00,   55.79,   63.24,   48.66,   59.74,   66.38,   52.23
03/08/2013 03:45:00,   57.96,   64.92,   48.41,   61.50,   67.24,   52.43
03/08/2013 03:50:00,   53.62,   59.94,   47.89,   56.61,   62.52,   51.64
03/08/2013 03:55:00,   54.64,   60.40,   48.64,   58.25,   64.62,   52.05
03/08/2013 04:00:00,   54.82,   62.07,   46.92,   57.90,   63.73,   50.82
03/08/2013 04:05:00,   57.12,   64.36,   48.64,   59.94,   66.08,   51.85
03/08/2013 04:10:00,   57.07,   63.73,   49.51,   60.04,   65.81,   53.17
03/08/2013 04:15:00,   55.48,   63.05,   48.55,   58.39,   65.62,   52.23
03/08/2013 04:20:00,   55.38,   62.63,   47.87,   58.76,   64.95,   52.08
03/08/2013 04:25:00,   56.11,   63.46,   48.08,   59.31,   65.80,   51.56
03/08/2013 04:30:00,   56.25,   62.36,   48.08,   58.96,   64.44,   51.75
03/08/2013 04:35:00,   56.36,   62.39,   49.62,   58.97,   64.72,   53.06
03/08/2013 04:40:00,   56.91,   62.93,   48.69,   59.81,   64.98,   51.92
03/08/2013 04:45:00,   56.19,   61.87,   48.79,   59.03,   64.43,   52.14
03/08/2013 04:50:00,   56.55,   64.27,   48.33,   58.96,   65.98,   51.45
03/08/2013 04:55:00,   56.74,   63.08,   48.81,   60.61,   65.92,   53.70
03/08/2013 05:00:00,   53.80,   58.56,   48.23,   57.32,   62.18,   51.75
03/08/2013 05:05:00,   56.87,   64.15,   48.11,   59.89,   66.15,   51.87
03/08/2013 05:10:00,   57.59,   64.71,   47.10,   60.74,   67.23,   50.59
03/08/2013 05:15:00,   56.90,   64.05,   48.19,   60.27,   66.84,   51.41
03/08/2013 05:20:00,   55.37,   62.24,   46.60,   58.05,   64.27,   49.98
03/08/2013 05:25:00,   54.31,   59.46,   47.47,   57.46,   61.92,   51.32
03/08/2013 05:30:00,   56.91,   62.73,   47.96,   60.04,   65.71,   51.68
03/08/2013 05:35:00,   55.24,   60.30,   48.84,   58.42,   62.68,   53.18
03/08/2013 05:40:00,   61.82,   67.16,   50.25,   70.02,   73.82,   54.70
03/08/2013 05:45:00,   52.67,   57.82,   46.46,   55.82,   60.50,   50.99
03/08/2013 05:50:00,   57.04,   62.94,   47.07,   60.13,   65.62,   52.08
03/08/2013 05:55:00,   58.15,   64.55,   51.20,   61.53,   68.00,   53.46
03/08/2013 06:00:00,   59.49,   65.00,   51.82,   62.82,   67.90,   55.51
03/08/2013 06:05:00,   56.27,   62.35,   51.16,   59.27,   65.65,   53.65
03/08/2013 06:10:00,   59.80,   65.26,   51.38,   62.55,   67.75,   55.45
03/08/2013 06:15:00,   59.58,   64.75,   53.41,   63.17,   67.76,   57.92
03/08/2013 06:20:00,   58.16,   63.04,   51.38,   61.72,   67.24,   54.89
03/08/2013 06:25:00,   56.63,   62.97,   51.26,   59.81,   65.08,   54.25
03/08/2013 06:30:00,   56.64,   61.77,   51.80,   59.89,   65.08,   54.78
03/08/2013 06:35:00,   60.79,   66.96,   52.31,   65.52,   72.31,   55.72
03/08/2013 06:40:00,   57.82,   62.24,   51.91,   61.98,   66.13,   55.84
