# noise_analysis run from DCC-NOISE-001011 at Sun Aug  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/08/2013 00:05:00,   59.17,   65.22,   49.97,   62.34,   68.15,   54.19
04/08/2013 00:10:00,   57.51,   62.05,   49.98,   60.91,   64.09,   53.95
04/08/2013 00:15:00,   58.83,   64.33,   50.24,   62.02,   67.09,   53.89
04/08/2013 00:20:00,   56.88,   63.44,   50.01,   59.59,   65.51,   53.93
04/08/2013 00:25:00,   62.55,   67.17,   50.34,   65.39,   70.75,   53.65
04/08/2013 00:30:00,   68.53,   69.87,   50.44,   69.71,   72.74,   53.92
04/08/2013 00:35:00,   58.57,   64.29,   50.29,   61.16,   66.44,   54.19
04/08/2013 00:40:00,   59.86,   65.30,   51.64,   63.31,   68.37,   55.22
04/08/2013 00:45:00,   60.05,   65.67,   49.88,   63.55,   69.11,   53.25
04/08/2013 00:50:00,   58.41,   64.26,   49.88,   61.82,   67.52,   52.98
04/08/2013 00:55:00,   55.96,   62.43,   49.42,   58.59,   64.71,   52.53
04/08/2013 01:00:00,   57.20,   63.71,   49.72,   59.94,   65.71,   53.17
04/08/2013 01:05:00,   57.04,   64.16,   48.55,   59.98,   66.56,   52.45
04/08/2013 01:10:00,   55.02,   59.05,   48.56,   58.89,   63.05,   52.14
04/08/2013 01:15:00,   57.64,   64.83,   48.36,   60.39,   67.10,   52.26
04/08/2013 01:20:00,   55.49,   60.85,   48.58,   58.39,   63.37,   52.36
04/08/2013 01:25:00,   57.19,   62.29,   49.46,   59.37,   63.80,   52.82
04/08/2013 01:30:00,   55.90,   62.28,   48.53,   58.87,   65.26,   52.42
04/08/2013 01:35:00,   57.69,   63.90,   49.48,   60.20,   65.65,   53.25
04/08/2013 01:40:00,   56.51,   62.65,   49.26,   59.34,   64.78,   52.95
04/08/2013 01:45:00,   55.91,   62.98,   48.30,   58.60,   65.01,   51.96
04/08/2013 01:50:00,   55.15,   62.98,   48.26,   58.12,   64.81,   52.41
04/08/2013 01:55:00,   56.52,   63.00,   49.08,   59.97,   65.99,   53.22
04/08/2013 02:00:00,   56.71,   63.36,   49.94,   59.36,   65.56,   53.55
04/08/2013 02:05:00,   54.83,   59.86,   48.21,   57.78,   62.41,   51.74
04/08/2013 02:10:00,   56.30,   62.69,   48.80,   58.76,   64.82,   51.94
04/08/2013 02:15:00,   55.70,   62.78,   48.33,   58.31,   64.68,   51.25
04/08/2013 02:20:00,   56.11,   62.46,   47.88,   58.82,   64.52,   51.48
04/08/2013 02:25:00,   56.88,   64.07,   47.92,   59.62,   66.23,   52.12
04/08/2013 02:30:00,   57.94,   65.36,   48.30,   60.75,   67.80,   52.57
04/08/2013 02:35:00,   54.66,   61.40,   47.89,   57.40,   63.53,   51.77
04/08/2013 02:40:00,   56.69,   64.40,   47.62,   60.01,   66.60,   51.69
04/08/2013 02:45:00,   56.96,   63.28,   47.98,   59.50,   65.56,   51.94
04/08/2013 02:50:00,   54.44,   61.86,   47.16,   57.14,   63.76,   50.92
04/08/2013 02:55:00,   56.91,   64.34,   47.52,   59.59,   66.56,   51.45
04/08/2013 03:00:00,   58.34,   65.19,   47.02,   60.66,   67.04,   50.91
04/08/2013 03:05:00,   55.25,   62.07,   48.11,   58.06,   64.42,   51.91
04/08/2013 03:10:00,   57.39,   64.95,   46.77,   60.14,   67.41,   50.65
04/08/2013 03:15:00,   55.89,   63.57,   46.89,   58.53,   65.41,   50.89
04/08/2013 03:20:00,   56.77,   63.18,   47.66,   59.26,   65.24,   52.04
04/08/2013 03:25:00,   55.18,   61.42,   48.16,   57.62,   63.53,   51.55
04/08/2013 03:30:00,   58.16,   65.42,   48.68,   60.70,   67.54,   52.15
04/08/2013 03:35:00,   53.83,   59.48,   47.03,   56.57,   61.93,   50.21
04/08/2013 03:40:00,   56.59,   64.17,   47.23,   59.47,   66.63,   50.91
04/08/2013 03:45:00,   52.96,   56.94,   47.45,   56.61,   61.03,   50.93
04/08/2013 03:50:00,   57.20,   63.61,   48.10,   61.49,   67.15,   52.35
04/08/2013 03:55:00,   54.27,   59.66,   47.00,   57.90,   63.00,   50.91
04/08/2013 04:00:00,   56.96,   64.10,   47.46,   59.52,   65.82,   51.02
04/08/2013 04:05:00,   54.69,   61.01,   46.56,   57.60,   63.24,   50.44
04/08/2013 04:10:00,   55.97,   63.71,   47.28,   58.65,   65.77,   50.73
04/08/2013 04:15:00,   57.10,   63.36,   46.53,   59.42,   65.05,   49.85
04/08/2013 04:20:00,   54.43,   61.84,   46.98,   57.06,   63.70,   50.57
04/08/2013 04:25:00,   55.00,   62.34,   46.25,   57.47,   64.29,   49.99
04/08/2013 04:30:00,   56.37,   64.74,   46.53,   58.63,   66.58,   50.27
04/08/2013 04:35:00,   55.60,   62.83,   47.52,   58.01,   64.97,   50.94
04/08/2013 04:40:00,   56.88,   63.76,   48.82,   59.37,   65.60,   51.95
04/08/2013 04:45:00,   55.80,   63.03,   46.95,   58.33,   65.13,   50.77
04/08/2013 04:50:00,   54.14,   59.95,   46.10,   56.62,   62.15,   49.61
04/08/2013 04:55:00,   55.98,   60.57,   48.37,   57.80,   61.53,   51.06
04/08/2013 05:00:00,   54.97,   61.74,   47.63,   57.71,   64.29,   50.38
04/08/2013 05:05:00,   56.27,   62.30,   47.15,   57.70,   63.81,   49.86
04/08/2013 05:10:00,   53.70,   59.20,   46.28,   55.75,   60.67,   49.50
04/08/2013 05:15:00,   55.53,   61.98,   46.17,   57.33,   63.06,   49.63
04/08/2013 05:20:00,   53.36,   60.26,   45.41,   55.61,   62.01,   48.75
04/08/2013 05:25:00,   55.34,   63.52,   44.98,   59.26,   66.58,   49.53
04/08/2013 05:30:00,   54.96,   61.92,   44.75,   57.39,   64.12,   48.26
04/08/2013 05:35:00,   50.74,   57.16,   43.82,   53.73,   60.14,   47.98
04/08/2013 05:40:00,   53.85,   61.08,   44.29,   55.98,   62.88,   47.88
04/08/2013 05:45:00,   53.60,   60.54,   45.54,   57.87,   65.43,   49.58
04/08/2013 05:50:00,   54.97,   63.40,   45.00,   58.35,   65.81,   49.55
04/08/2013 05:55:00,   55.77,   60.65,   47.13,   57.27,   62.43,   50.40
04/08/2013 06:00:00,   54.63,   58.86,   49.87,   56.29,   61.23,   51.11
04/08/2013 06:05:00,   56.09,   61.46,   49.59,   58.24,   63.55,   51.08
04/08/2013 06:10:00,   54.95,   60.71,   49.76,   56.84,   62.37,   51.24
04/08/2013 06:15:00,   54.38,   59.40,   49.70,   55.80,   61.14,   50.92
04/08/2013 06:20:00,   54.86,   61.96,   49.93,   56.96,   63.92,   51.13
04/08/2013 06:25:00,   56.08,   60.34,   50.29,   58.25,   64.46,   52.38
04/08/2013 06:30:00,   61.22,   67.53,   50.62,   61.98,   67.45,   52.76
04/08/2013 06:35:00,   56.68,   63.20,   50.21,   59.52,   65.43,   52.58
04/08/2013 06:40:00,   57.15,   63.39,   50.68,   60.31,   65.19,   53.01
04/08/2013 06:45:00,   54.33,   59.33,   49.90,   56.40,   60.96,   51.98
04/08/2013 06:50:00,   53.71,   57.86,   49.92,   56.51,   61.00,   51.80
04/08/2013 06:55:00,   55.99,   63.12,   49.70,   58.84,   66.08,   51.53
04/08/2013 07:00:00,   56.37,   62.36,   49.99,   58.40,   64.00,   52.10
