# noise_analysis run from DCC-NOISE-001011 at Mon Aug  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/08/2013 00:05:00,   62.59,   68.98,   51.43,   64.32,   69.58,   53.99
05/08/2013 00:10:00,   59.30,   67.45,   48.74,   60.68,   68.66,   51.97
05/08/2013 00:15:00,   60.31,   67.84,   49.26,   61.68,   68.66,   52.44
05/08/2013 00:20:00,   58.83,   65.60,   52.10,   60.43,   66.23,   54.43
05/08/2013 00:25:00,   59.90,   67.64,   50.16,   62.36,   69.51,   53.61
05/08/2013 00:30:00,   57.96,   65.94,   48.74,   60.19,   66.66,   52.40
05/08/2013 00:35:00,   59.18,   66.64,   47.52,   60.79,   67.70,   51.18
05/08/2013 00:40:00,   56.92,   64.72,   47.09,   58.89,   65.83,   50.63
05/08/2013 00:45:00,   57.94,   64.02,   46.40,   60.33,   66.01,   50.56
05/08/2013 00:50:00,   57.30,   63.86,   47.62,   59.98,   66.06,   53.28
05/08/2013 00:55:00,   56.08,   62.61,   46.96,   58.32,   64.45,   50.62
05/08/2013 01:00:00,   63.90,   73.44,   46.69,   68.44,   78.36,   52.41
05/08/2013 01:05:00,   55.84,   63.05,   45.94,   58.24,   64.76,   50.02
05/08/2013 01:10:00,   54.41,   61.73,   43.60,   56.69,   63.26,   47.97
05/08/2013 01:15:00,   56.52,   63.90,   45.70,   58.72,   65.93,   49.56
05/08/2013 01:20:00,   55.18,   60.63,   46.63,   57.38,   61.94,   50.55
05/08/2013 01:25:00,   57.55,   65.13,   47.91,   59.95,   66.76,   51.40
05/08/2013 01:30:00,   53.59,   59.78,   45.15,   56.07,   61.36,   49.28
05/08/2013 01:35:00,   55.42,   61.89,   45.20,   58.98,   65.05,   50.35
05/08/2013 01:40:00,   56.42,   63.21,   44.36,   58.71,   65.29,   48.91
05/08/2013 01:45:00,   67.39,   68.51,   46.23,   68.22,   69.60,   49.95
05/08/2013 01:50:00,   57.28,   63.78,   45.90,   60.14,   66.49,   49.86
05/08/2013 01:55:00,   53.82,   61.35,   44.70,   57.21,   63.42,   49.59
05/08/2013 02:00:00,   55.90,   62.40,   46.17,   58.66,   64.59,   50.44
05/08/2013 02:05:00,   54.85,   61.04,   46.30,   57.59,   64.08,   50.00
05/08/2013 02:10:00,   52.82,   58.49,   45.84,   55.06,   60.12,   49.34
05/08/2013 02:15:00,   54.03,   60.82,   45.85,   56.29,   62.56,   49.31
05/08/2013 02:20:00,   54.18,   60.02,   45.05,   57.04,   62.12,   49.53
