# noise_analysis run from DCC-NOISE-001011 at Tue Aug  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/08/2013 00:05:00,   55.39,   62.53,   43.53,   58.97,   65.72,   49.06
06/08/2013 00:10:00,   55.65,   61.81,   44.96,   60.00,   65.03,   49.71
06/08/2013 00:15:00,   53.11,   59.39,   43.67,   55.91,   61.67,   48.36
06/08/2013 00:20:00,   51.30,   57.37,   44.46,   55.08,   60.07,   49.07
06/08/2013 00:25:00,   51.70,   59.70,   42.76,   54.73,   61.68,   47.41
06/08/2013 00:30:00,   51.75,   58.12,   43.33,   54.64,   60.26,   47.92
06/08/2013 00:35:00,   50.61,   57.46,   43.13,   53.80,   59.85,   47.92
06/08/2013 00:40:00,   52.39,   59.24,   44.16,   55.37,   61.64,   48.33
06/08/2013 00:45:00,   51.39,   60.23,   42.36,   54.22,   62.05,   47.08
06/08/2013 00:50:00,   50.78,   57.52,   42.26,   54.55,   60.45,   47.23
06/08/2013 00:55:00,   51.86,   59.14,   42.47,   55.09,   61.86,   47.15
06/08/2013 01:00:00,   52.03,   60.71,   41.93,   55.60,   63.04,   46.56
06/08/2013 01:05:00,   51.35,   57.94,   42.64,   55.19,   61.21,   47.11
06/08/2013 01:10:00,   51.27,   58.14,   42.38,   54.75,   61.11,   47.06
06/08/2013 01:15:00,   50.64,   57.88,   42.56,   53.72,   59.99,   47.30
06/08/2013 01:20:00,   50.22,   56.79,   41.48,   53.38,   59.42,   46.54
06/08/2013 01:25:00,   50.96,   57.97,   42.85,   54.38,   60.44,   47.66
06/08/2013 01:30:00,   52.22,   59.66,   43.20,   56.88,   63.49,   47.78
06/08/2013 01:35:00,   51.28,   57.69,   43.31,   54.80,   61.04,   47.72
06/08/2013 01:40:00,   49.23,   56.69,   42.40,   52.91,   58.70,   46.70
06/08/2013 01:45:00,   51.85,   59.16,   43.14,   55.39,   61.51,   47.89
