# noise_analysis run from DCC-NOISE-001011 at Wed Aug  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/08/2013 00:05:00,   53.34,   59.45,   44.41,   56.44,   61.98,   49.34
07/08/2013 00:10:00,   54.39,   59.50,   44.28,   58.43,   63.31,   49.00
07/08/2013 00:15:00,   55.64,   62.04,   43.67,   59.44,   64.57,   48.45
07/08/2013 00:20:00,   57.08,   64.66,   43.44,   60.86,   67.46,   48.41
07/08/2013 00:25:00,   55.40,   63.27,   43.04,   59.19,   65.70,   48.52
07/08/2013 00:30:00,   56.87,   64.52,   43.69,   60.94,   68.12,   48.57
07/08/2013 00:35:00,   54.54,   63.22,   45.51,   57.79,   65.23,   50.32
07/08/2013 00:40:00,   55.07,   60.07,   43.84,   58.90,   62.95,   49.55
07/08/2013 00:45:00,   55.41,   63.07,   44.21,   59.33,   65.76,   49.72
07/08/2013 00:50:00,   55.72,   64.07,   42.27,   59.27,   67.46,   47.53
07/08/2013 00:55:00,   56.04,   63.40,   43.84,   61.12,   67.68,   48.55
07/08/2013 01:00:00,   52.50,   59.60,   43.66,   56.51,   63.01,   48.92
07/08/2013 01:05:00,   51.09,   57.64,   44.36,   54.90,   60.24,   49.75
07/08/2013 01:10:00,   51.68,   59.21,   42.57,   55.34,   61.58,   47.95
07/08/2013 01:15:00,   52.23,   59.70,   43.14,   56.64,   62.34,   49.37
07/08/2013 01:20:00,   51.59,   59.29,   43.58,   55.74,   63.45,   48.68
07/08/2013 01:25:00,   52.08,   60.37,   41.59,   54.99,   62.45,   46.39
07/08/2013 01:30:00,   50.72,   59.57,   41.40,   53.82,   61.63,   46.09
07/08/2013 01:35:00,   48.17,   55.04,   42.28,   51.87,   57.92,   46.95
07/08/2013 01:40:00,   52.64,   61.50,   42.59,   55.14,   63.19,   46.95
07/08/2013 01:45:00,   51.30,   58.83,   41.84,   54.36,   61.21,   46.22
07/08/2013 01:50:00,   49.55,   55.05,   42.00,   52.68,   56.60,   47.02
07/08/2013 01:55:00,   50.22,   57.97,   41.56,   54.03,   60.58,   46.81
07/08/2013 02:00:00,   48.32,   52.91,   41.71,   51.73,   55.67,   46.56
07/08/2013 02:05:00,   49.21,   54.70,   42.31,   53.28,   58.56,   47.43
07/08/2013 02:10:00,   47.13,   51.71,   41.46,   51.17,   55.31,   45.93
07/08/2013 02:15:00,   47.46,   51.10,   41.90,   51.15,   55.62,   46.33
07/08/2013 02:20:00,   51.56,   58.08,   42.99,   54.36,   60.39,   47.24
07/08/2013 02:25:00,   49.21,   56.64,   41.34,   52.24,   59.22,   45.80
07/08/2013 02:30:00,   48.60,   55.89,   40.99,   51.61,   58.60,   45.44
07/08/2013 02:35:00,   48.13,   51.92,   40.63,   51.35,   55.17,   45.05
07/08/2013 02:40:00,   50.48,   59.32,   41.48,   53.44,   61.12,   46.38
07/08/2013 02:45:00,   44.67,   47.05,   41.12,   48.90,   50.58,   46.19
07/08/2013 02:50:00,   49.23,   57.03,   40.85,   52.09,   58.93,   45.27
07/08/2013 02:55:00,   50.44,   57.72,   41.14,   53.55,   60.27,   45.57
07/08/2013 03:00:00,   51.01,   58.86,   40.81,   53.97,   61.08,   44.62
07/08/2013 03:05:00,   49.01,   55.24,   40.99,   52.79,   59.76,   45.47
07/08/2013 03:10:00,   55.76,   62.52,   40.39,   60.27,   67.07,   45.03
07/08/2013 03:15:00,   50.65,   59.02,   40.33,   53.78,   61.74,   44.60
07/08/2013 03:20:00,   50.02,   58.49,   40.95,   53.72,   62.34,   45.85
07/08/2013 03:25:00,   51.43,   59.47,   40.80,   54.22,   61.74,   45.73
07/08/2013 03:30:00,   47.27,   53.54,   40.96,   50.71,   55.66,   45.74
07/08/2013 03:35:00,   48.99,   57.03,   41.07,   52.38,   59.17,   45.62
07/08/2013 03:40:00,   50.59,   57.42,   41.36,   55.87,   60.43,   46.85
07/08/2013 03:45:00,   53.06,   60.12,   42.01,   56.40,   62.77,   47.30
07/08/2013 03:50:00,   53.23,   61.13,   41.09,   56.34,   63.55,   46.77
07/08/2013 03:55:00,   48.85,   54.84,   41.72,   52.22,   58.14,   46.20
07/08/2013 04:00:00,   51.30,   60.20,   41.75,   55.84,   63.72,   46.67
07/08/2013 04:05:00,   53.13,   62.02,   42.26,   56.28,   63.94,   48.17
07/08/2013 04:10:00,   51.41,   58.09,   43.04,   54.91,   60.70,   48.12
07/08/2013 04:15:00,   51.16,   58.45,   42.56,   55.53,   61.89,   48.46
07/08/2013 04:20:00,   48.83,   53.81,   41.37,   53.21,   58.41,   46.57
07/08/2013 04:25:00,   52.95,   60.95,   43.83,   56.62,   64.55,   49.08
07/08/2013 04:30:00,   54.65,   63.48,   43.30,   59.59,   66.16,   48.47
07/08/2013 04:35:00,   54.72,   61.89,   44.24,   59.40,   65.26,   50.80
07/08/2013 04:40:00,   55.34,   63.09,   43.99,   58.67,   65.86,   48.85
07/08/2013 04:45:00,   52.64,   57.85,   44.21,   56.42,   60.98,   48.85
07/08/2013 04:50:00,   55.85,   63.07,   44.82,   59.46,   65.88,   51.19
07/08/2013 04:55:00,   56.94,   62.54,   48.33,   59.65,   65.64,   53.37
07/08/2013 05:00:00,   56.49,   63.66,   44.97,   60.47,   66.51,   51.69
07/08/2013 05:05:00,   57.91,   64.50,   48.64,   61.96,   67.38,   53.64
07/08/2013 05:10:00,   55.34,   61.57,   48.03,   58.91,   64.10,   53.05
07/08/2013 05:15:00,   56.46,   60.94,   49.77,   60.00,   63.47,   54.86
07/08/2013 05:20:00,   54.14,   59.69,   45.37,   57.70,   62.55,   51.58
07/08/2013 05:25:00,   56.22,   61.68,   46.99,   60.22,   66.24,   52.65
07/08/2013 05:30:00,   57.13,   64.55,   47.15,   62.03,   68.26,   53.88
07/08/2013 05:35:00,   57.86,   63.63,   48.94,   62.56,   67.68,   54.66
07/08/2013 05:40:00,   56.43,   63.34,   47.34,   60.15,   65.67,   53.74
07/08/2013 05:45:00,   59.17,   65.51,   47.61,   63.03,   68.92,   53.23
07/08/2013 05:50:00,   56.30,   62.67,   47.11,   60.77,   66.10,   52.47
07/08/2013 05:55:00,   59.10,   65.33,   49.26,   62.70,   67.87,   53.19
07/08/2013 06:00:00,   56.29,   62.02,   49.92,   59.28,   64.69,   52.40
07/08/2013 06:05:00,   60.17,   67.07,   49.78,   64.07,   70.37,   53.10
07/08/2013 06:10:00,   58.56,   64.53,   50.86,   63.24,   68.88,   54.84
07/08/2013 06:15:00,   56.83,   62.91,   50.54,   60.40,   65.82,   54.17
07/08/2013 06:20:00,   57.07,   63.24,   50.71,   61.17,   66.47,   54.34
07/08/2013 06:25:00,   61.59,   67.52,   51.32,   65.27,   71.23,   54.95
07/08/2013 06:30:00,   57.64,   62.98,   51.13,   61.37,   66.33,   54.66
07/08/2013 06:35:00,   59.57,   65.95,   50.65,   64.44,   69.77,   54.90
07/08/2013 06:40:00,   59.97,   64.89,   51.71,   63.99,   67.80,   56.05
07/08/2013 06:45:00,   61.86,   67.53,   52.97,   66.07,   72.02,   59.42
07/08/2013 06:50:00,   58.56,   63.22,   52.80,   63.61,   68.02,   58.37
07/08/2013 06:55:00,   61.38,   67.01,   52.68,   65.15,   70.30,   57.05
07/08/2013 07:00:00,   60.62,   66.52,   52.19,   64.97,   71.31,   56.32
07/08/2013 07:05:00,   59.09,   64.62,   51.81,   62.32,   67.18,   55.63
07/08/2013 07:10:00,   60.44,   65.98,   53.70,   64.21,   69.10,   58.52
07/08/2013 07:15:00,   61.29,   66.78,   52.89,   65.42,   69.92,   57.55
07/08/2013 07:20:00,   61.16,   66.53,   52.33,   65.15,   70.26,   56.86
07/08/2013 07:25:00,   62.45,   68.16,   53.23,   66.01,   71.09,   57.83
07/08/2013 07:30:00,   60.06,   66.24,   52.12,   64.20,   69.68,   56.64
07/08/2013 07:35:00,   61.48,   66.24,   52.00,   65.01,   68.99,   56.62
07/08/2013 07:40:00,   61.86,   69.21,   52.54,   67.04,   74.14,   57.57
07/08/2013 07:45:00,   60.18,   64.94,   51.52,   64.58,   68.69,   57.28
07/08/2013 07:50:00,   60.80,   65.54,   51.33,   64.84,   68.39,   57.02
07/08/2013 07:55:00,   61.50,   67.45,   50.83,   66.03,   72.20,   56.21
07/08/2013 08:00:00,   62.21,   68.21,   51.86,   66.25,   71.89,   57.35
