# noise_analysis run from DCC-NOISE-001011 at Sat Aug 17 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
17/08/2013 00:05:00,   56.47,   62.20,   49.65,   59.96,   65.00,   53.98
17/08/2013 00:10:00,   58.91,   64.26,   48.89,   62.27,   66.44,   52.85
17/08/2013 00:15:00,   56.67,   63.31,   48.49,   60.71,   66.73,   52.75
17/08/2013 00:20:00,   58.39,   63.88,   48.34,   62.00,   67.18,   52.74
17/08/2013 00:25:00,   57.73,   63.92,   48.09,   60.92,   66.87,   52.22
17/08/2013 00:30:00,   60.43,   67.36,   48.31,   63.17,   69.74,   52.24
17/08/2013 00:35:00,   58.57,   64.04,   48.16,   61.85,   66.84,   52.21
17/08/2013 00:40:00,   56.00,   62.09,   47.99,   59.87,   65.18,   52.06
17/08/2013 00:45:00,   58.42,   63.36,   48.34,   62.23,   66.49,   53.01
17/08/2013 00:50:00,   56.93,   61.90,   47.45,   60.38,   65.40,   51.52
17/08/2013 00:55:00,   56.40,   62.84,   46.82,   61.02,   66.45,   50.76
17/08/2013 01:00:00,   56.32,   62.46,   47.40,   60.11,   65.87,   51.53
17/08/2013 01:05:00,   53.98,   59.53,   47.83,   56.97,   62.35,   51.92
17/08/2013 01:10:00,   53.97,   61.17,   45.96,   56.99,   63.17,   50.47
17/08/2013 01:15:00,   57.48,   64.30,   47.69,   60.34,   66.26,   51.90
17/08/2013 01:20:00,   55.53,   62.91,   46.99,   58.19,   64.54,   51.11
17/08/2013 01:25:00,   53.43,   59.02,   47.32,   56.59,   61.89,   51.50
17/08/2013 01:30:00,   54.99,   60.04,   47.69,   58.26,   62.53,   51.78
17/08/2013 01:35:00,   54.15,   60.04,   47.73,   57.13,   62.50,   51.39
17/08/2013 01:40:00,   53.15,   58.26,   47.25,   56.65,   61.15,   51.70
17/08/2013 01:45:00,   54.12,   61.59,   47.56,   57.46,   64.30,   51.80
17/08/2013 01:50:00,   53.89,   60.23,   47.47,   57.00,   62.51,   51.59
17/08/2013 01:55:00,   58.91,   64.63,   48.44,   60.97,   66.00,   52.53
17/08/2013 02:00:00,   54.45,   61.13,   47.11,   57.07,   63.11,   51.05
17/08/2013 02:05:00,   59.66,   62.65,   47.75,   61.28,   65.72,   51.55
17/08/2013 02:10:00,   53.72,   59.58,   47.16,   56.74,   62.26,   50.97
17/08/2013 02:15:00,   52.66,   58.73,   47.28,   56.89,   61.50,   50.84
17/08/2013 02:20:00,   54.20,   61.88,   46.68,   57.28,   64.32,   50.54
17/08/2013 02:25:00,   55.41,   62.72,   47.12,   58.26,   64.65,   51.25
17/08/2013 02:30:00,   53.52,   60.69,   45.77,   56.66,   62.50,   50.22
17/08/2013 02:35:00,   52.11,   59.08,   46.41,   55.53,   61.38,   50.86
17/08/2013 02:40:00,   53.02,   59.32,   46.32,   56.00,   61.53,   50.50
17/08/2013 02:45:00,   56.30,   63.72,   47.08,   59.65,   66.65,   50.98
17/08/2013 02:50:00,   51.68,   57.28,   45.92,   55.20,   59.87,   50.40
17/08/2013 02:55:00,   53.53,   60.14,   46.77,   56.88,   63.11,   50.92
17/08/2013 03:00:00,   56.10,   63.19,   47.28,   58.66,   65.01,   51.04
17/08/2013 03:05:00,   54.68,   61.05,   48.24,   58.47,   63.80,   52.35
17/08/2013 03:10:00,   55.73,   62.90,   47.20,   58.34,   64.84,   51.36
17/08/2013 03:15:00,   55.50,   62.07,   47.63,   58.59,   64.23,   51.87
17/08/2013 03:20:00,   56.78,   62.76,   49.29,   60.12,   65.15,   53.31
17/08/2013 03:25:00,   56.08,   62.87,   49.63,   58.65,   64.50,   53.13
17/08/2013 03:30:00,   55.24,   59.99,   49.59,   59.12,   64.06,   53.01
17/08/2013 03:35:00,   56.94,   63.32,   49.92,   60.39,   66.18,   53.57
17/08/2013 03:40:00,   57.57,   62.97,   48.55,   61.34,   66.15,   52.25
17/08/2013 03:45:00,   54.18,   59.19,   48.36,   57.17,   61.71,   52.07
17/08/2013 03:50:00,   52.89,   57.34,   47.67,   56.36,   60.01,   51.67
17/08/2013 03:55:00,   55.49,   62.01,   47.84,   58.19,   63.97,   51.75
17/08/2013 04:00:00,   55.19,   61.59,   48.21,   58.12,   63.64,   51.73
17/08/2013 04:05:00,   54.79,   61.40,   47.55,   57.80,   63.94,   50.91
17/08/2013 04:10:00,   55.50,   63.52,   46.88,   58.42,   65.94,   50.74
17/08/2013 04:15:00,   56.09,   62.48,   47.94,   59.31,   65.08,   51.91
17/08/2013 04:20:00,   55.07,   61.23,   46.57,   58.32,   64.10,   50.71
17/08/2013 04:25:00,   53.54,   61.30,   44.66,   56.82,   63.46,   49.00
17/08/2013 04:30:00,   55.29,   62.87,   46.32,   58.50,   65.50,   50.56
17/08/2013 04:35:00,   55.63,   62.74,   46.05,   58.93,   65.50,   50.50
17/08/2013 04:40:00,   54.14,   62.22,   45.78,   57.31,   64.24,   50.40
17/08/2013 04:45:00,   54.82,   62.47,   46.49,   57.62,   64.91,   50.27
17/08/2013 04:50:00,   54.55,   61.18,   45.04,   58.44,   64.63,   49.17
17/08/2013 04:55:00,   53.55,   60.86,   44.22,   56.75,   63.76,   48.84
17/08/2013 05:00:00,   54.35,   60.23,   44.35,   57.94,   63.81,   50.18
17/08/2013 05:05:00,   55.43,   61.96,   45.36,   58.95,   65.08,   50.75
17/08/2013 05:10:00,   55.73,   63.29,   46.45,   59.38,   65.61,   51.15
17/08/2013 05:15:00,   53.48,   60.30,   45.92,   56.80,   63.58,   50.31
17/08/2013 05:20:00,   53.79,   61.00,   46.24,   57.35,   64.25,   50.37
17/08/2013 05:25:00,   55.50,   63.02,   45.94,   58.76,   65.62,   50.25
17/08/2013 05:30:00,   55.53,   63.43,   47.52,   58.45,   65.45,   50.97
17/08/2013 05:35:00,   55.06,   60.72,   47.49,   57.61,   62.53,   50.93
17/08/2013 05:40:00,   56.49,   61.24,   49.31,   59.65,   64.02,   53.17
17/08/2013 05:45:00,   57.15,   64.07,   49.44,   61.60,   66.98,   55.90
17/08/2013 05:50:00,   56.48,   62.83,   47.12,   59.30,   65.26,   51.86
17/08/2013 05:55:00,   57.09,   63.38,   47.99,   59.65,   66.02,   51.88
17/08/2013 06:00:00,   58.24,   64.69,   49.96,   62.07,   68.76,   52.53
17/08/2013 06:05:00,   56.04,   62.29,   50.38,   58.96,   65.08,   53.24
17/08/2013 06:10:00,   55.32,   60.28,   50.21,   58.14,   62.41,   52.60
