# noise_analysis run from DCC-NOISE-001011 at Sun Aug 18 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
18/08/2013 00:05:00,   57.01,   63.83,   49.20,   59.93,   65.92,   53.29
18/08/2013 00:10:00,   60.22,   64.10,   50.28,   63.10,   66.56,   54.63
18/08/2013 00:15:00,   59.17,   65.03,   49.48,   62.28,   67.42,   53.96
18/08/2013 00:20:00,   56.18,   62.36,   48.86,   59.15,   64.37,   53.33
18/08/2013 00:25:00,   61.87,   66.96,   50.72,   65.08,   70.37,   54.10
18/08/2013 00:30:00,   57.65,   63.23,   48.76,   62.48,   68.17,   53.22
18/08/2013 00:35:00,   57.66,   64.09,   47.76,   60.54,   66.41,   52.88
18/08/2013 00:40:00,   58.58,   63.01,   48.07,   62.00,   65.57,   52.10
18/08/2013 00:45:00,   58.68,   65.15,   47.83,   61.93,   67.78,   51.90
18/08/2013 00:50:00,   59.84,   65.30,   49.33,   63.64,   69.35,   53.44
18/08/2013 00:55:00,   55.75,   62.51,   47.32,   58.53,   64.54,   51.20
18/08/2013 01:00:00,   56.91,   63.85,   48.01,   60.65,   66.16,   52.48
18/08/2013 01:05:00,   57.45,   64.36,   48.46,   60.74,   66.78,   52.64
18/08/2013 01:10:00,   56.50,   63.68,   47.50,   59.54,   66.30,   52.04
18/08/2013 01:15:00,   56.81,   64.13,   48.91,   59.63,   66.08,   52.99
18/08/2013 01:20:00,   55.36,   61.66,   48.01,   58.02,   63.98,   52.28
18/08/2013 01:25:00,   56.70,   61.90,   48.27,   59.43,   64.03,   52.25
18/08/2013 01:30:00,   56.29,   62.42,   47.38,   59.10,   64.34,   52.26
18/08/2013 01:35:00,   56.33,   64.31,   48.49,   59.29,   66.12,   52.84
18/08/2013 01:40:00,   53.69,   58.58,   48.00,   56.97,   61.46,   52.32
18/08/2013 01:45:00,   56.21,   62.56,   47.06,   58.93,   64.72,   51.06
18/08/2013 01:50:00,   56.09,   62.95,   48.30,   58.90,   64.64,   51.97
18/08/2013 01:55:00,   55.42,   61.65,   48.87,   58.28,   63.59,   52.47
18/08/2013 02:00:00,   57.72,   63.98,   47.86,   60.40,   66.18,   52.00
18/08/2013 02:05:00,   54.91,   59.89,   49.18,   58.14,   62.80,   52.91
18/08/2013 02:10:00,   56.79,   62.89,   49.09,   59.44,   65.16,   52.93
18/08/2013 02:15:00,   56.40,   63.33,   48.48,   58.94,   65.23,   52.03
18/08/2013 02:20:00,   55.71,   62.75,   49.06,   58.63,   65.01,   52.83
18/08/2013 02:25:00,   56.64,   64.43,   48.85,   59.55,   66.72,   52.58
18/08/2013 02:30:00,   55.98,   63.31,   48.45,   59.23,   65.38,   52.70
18/08/2013 02:35:00,   54.50,   59.57,   48.86,   57.41,   61.56,   52.39
18/08/2013 02:40:00,   56.73,   63.87,   49.10,   59.62,   66.27,   52.98
18/08/2013 02:45:00,   54.78,   60.13,   48.94,   58.06,   62.48,   52.31
18/08/2013 02:50:00,   56.61,   62.72,   48.97,   59.64,   65.24,   52.69
18/08/2013 02:55:00,   55.90,   62.42,   48.42,   58.26,   64.26,   51.81
18/08/2013 03:00:00,   56.83,   63.49,   49.32,   59.70,   65.72,   53.03
18/08/2013 03:05:00,   54.44,   60.04,   48.85,   57.29,   62.52,   52.29
18/08/2013 03:10:00,   58.17,   64.56,   49.28,   60.65,   66.79,   52.89
18/08/2013 03:15:00,   56.46,   64.49,   48.79,   59.03,   66.35,   52.15
18/08/2013 03:20:00,   56.55,   64.30,   49.11,   59.28,   66.21,   52.62
18/08/2013 03:25:00,   57.11,   63.84,   48.89,   59.80,   65.92,   52.85
18/08/2013 03:30:00,   55.57,   60.73,   49.29,   58.34,   62.50,   52.47
18/08/2013 03:35:00,   55.43,   62.56,   48.81,   58.40,   64.97,   52.08
18/08/2013 03:40:00,   56.57,   63.66,   48.31,   59.58,   66.37,   52.28
18/08/2013 03:45:00,   55.77,   62.69,   48.68,   58.60,   64.68,   52.82
18/08/2013 03:50:00,   57.32,   63.57,   49.30,   59.74,   65.79,   52.51
18/08/2013 03:55:00,   55.64,   62.29,   48.85,   58.45,   64.26,   52.38
18/08/2013 04:00:00,   55.06,   61.53,   47.76,   58.33,   64.54,   51.91
18/08/2013 04:05:00,   56.92,   63.96,   48.77,   59.99,   66.60,   52.95
18/08/2013 04:10:00,   53.80,   59.22,   47.65,   56.65,   61.34,   50.99
18/08/2013 04:15:00,   56.63,   63.77,   48.05,   59.41,   65.81,   51.74
18/08/2013 04:20:00,   57.27,   63.58,   49.20,   60.04,   65.71,   52.96
18/08/2013 04:25:00,   55.29,   62.56,   48.82,   57.90,   64.11,   52.59
18/08/2013 04:30:00,   55.67,   62.00,   47.72,   58.63,   65.01,   51.46
18/08/2013 04:35:00,   57.13,   63.82,   48.54,   59.71,   65.94,   51.93
18/08/2013 04:40:00,   57.21,   63.37,   48.11,   59.68,   65.65,   51.98
18/08/2013 04:45:00,   57.03,   64.70,   48.48,   59.61,   66.46,   52.33
18/08/2013 04:50:00,   54.68,   61.77,   47.25,   57.44,   63.98,   50.35
18/08/2013 04:55:00,   54.09,   61.56,   46.73,   57.24,   63.72,   50.52
18/08/2013 05:00:00,   55.03,   62.06,   46.64,   57.64,   63.97,   50.75
18/08/2013 05:05:00,   55.24,   62.81,   46.51,   58.02,   65.17,   50.07
18/08/2013 05:10:00,   55.88,   62.80,   46.52,   58.46,   64.86,   50.10
18/08/2013 05:15:00,   53.45,   61.09,   46.56,   56.31,   62.70,   49.92
18/08/2013 05:20:00,   53.91,   61.39,   45.79,   56.27,   63.42,   48.92
18/08/2013 05:25:00,   56.07,   64.38,   47.09,   58.98,   66.46,   50.21
18/08/2013 05:30:00,   56.84,   63.15,   47.29,   59.21,   64.89,   50.33
18/08/2013 05:35:00,   55.75,   63.15,   47.80,   57.80,   65.01,   50.91
18/08/2013 05:40:00,   55.00,   62.70,   46.91,   57.19,   65.55,   49.99
18/08/2013 05:45:00,   54.89,   61.55,   48.33,   57.39,   63.86,   51.15
18/08/2013 05:50:00,   56.23,   62.54,   46.29,   60.09,   65.43,   49.74
18/08/2013 05:55:00,   53.64,   58.62,   46.12,   55.71,   60.13,   49.45
18/08/2013 06:00:00,   53.00,   57.60,   49.25,   54.50,   58.66,   50.63
18/08/2013 06:05:00,   54.76,   61.52,   49.70,   56.78,   63.77,   51.32
18/08/2013 06:10:00,   54.69,   60.52,   49.30,   56.64,   61.97,   51.11
18/08/2013 06:15:00,   57.91,   63.90,   50.12,   60.96,   67.24,   53.24
18/08/2013 06:20:00,   61.77,   68.11,   50.74,   65.99,   71.00,   54.44
18/08/2013 06:25:00,   58.50,   64.37,   49.71,   61.86,   67.63,   52.32
18/08/2013 06:30:00,   58.34,   64.12,   49.86,   61.46,   66.46,   52.27
18/08/2013 06:35:00,   55.89,   61.41,   49.99,   59.53,   65.00,   52.90
18/08/2013 06:40:00,   58.54,   65.93,   50.07,   61.85,   68.07,   53.13
18/08/2013 06:45:00,   54.14,   59.42,   49.92,   57.06,   62.09,   52.87
18/08/2013 06:50:00,   54.34,   58.85,   50.26,   57.21,   61.10,   53.07
18/08/2013 06:55:00,   55.95,   63.22,   50.61,   59.68,   66.01,   53.71
18/08/2013 07:00:00,   59.36,   65.17,   49.76,   62.68,   67.66,   52.13
18/08/2013 07:05:00,   56.46,   62.60,   50.36,   59.46,   65.19,   52.77
18/08/2013 07:10:00,   57.42,   63.81,   50.33,   60.28,   66.35,   52.82
18/08/2013 07:15:00,   57.40,   63.23,   51.27,   61.18,   66.13,   54.45
18/08/2013 07:20:00,   55.39,   60.80,   50.50,   58.59,   63.24,   53.71
18/08/2013 07:25:00,   58.60,   64.82,   50.49,   61.88,   67.21,   53.19
18/08/2013 07:30:00,   55.28,   61.10,   50.39,   58.21,   63.33,   52.99
18/08/2013 07:35:00,   58.86,   63.97,   51.28,   61.95,   66.83,   53.86
18/08/2013 07:40:00,   59.27,   63.37,   51.05,   62.58,   66.64,   55.02
18/08/2013 07:45:00,   56.65,   63.12,   50.64,   60.28,   66.32,   53.75
18/08/2013 07:50:00,   55.05,   60.16,   50.54,   57.67,   63.00,   52.71
18/08/2013 07:55:00,   61.02,   67.03,   50.77,   64.87,   70.83,   53.58
18/08/2013 08:00:00,   56.66,   61.63,   50.56,   59.97,   64.76,   53.86
18/08/2013 08:05:00,   56.57,   62.55,   50.83,   59.19,   64.75,   53.16
18/08/2013 08:10:00,   57.06,   63.44,   50.11,   60.27,   65.97,   52.27
18/08/2013 08:15:00,   61.17,   66.72,   50.37,   64.99,   70.84,   53.17
18/08/2013 08:20:00,   56.18,   62.90,   49.82,   58.34,   65.62,   52.56
18/08/2013 08:25:00,   56.17,   61.78,   49.87,   58.05,   63.14,   51.66
18/08/2013 08:30:00,   57.56,   64.67,   49.82,   61.03,   67.03,   52.32
18/08/2013 08:35:00,   58.44,   63.36,   50.07,   63.23,   69.64,   52.93
18/08/2013 08:40:00,   56.00,   63.18,   50.21,   58.70,   64.89,   52.61
18/08/2013 08:45:00,   58.92,   64.61,   51.00,   62.78,   67.23,   53.62
18/08/2013 08:50:00,   57.50,   64.16,   50.72,   59.94,   66.36,   52.91
18/08/2013 08:55:00,   58.45,   63.38,   49.99,   61.64,   66.12,   52.03
18/08/2013 09:00:00,   58.17,   64.52,   50.87,   61.46,   66.84,   53.79
18/08/2013 09:05:00,   57.27,   64.48,   50.59,   59.75,   66.30,   53.10
18/08/2013 09:10:00,   58.93,   63.76,   50.15,   62.22,   67.14,   51.67
18/08/2013 09:15:00,   58.62,   64.97,   50.03,   62.05,   68.04,   51.93
18/08/2013 09:20:00,   57.02,   63.21,   50.00,   59.99,   66.04,   52.46
18/08/2013 09:25:00,   59.05,   64.88,   50.45,   62.61,   67.36,   53.70
18/08/2013 09:30:00,   59.68,   65.77,   50.56,   62.87,   68.51,   53.26
18/08/2013 09:35:00,   58.99,   64.01,   51.03,   61.82,   66.41,   53.67
18/08/2013 09:40:00,   59.73,   64.88,   51.64,   63.74,   71.26,   55.84
18/08/2013 09:45:00,   59.46,   64.90,   51.55,   63.07,   67.53,   55.50
18/08/2013 09:50:00,   59.96,   65.46,   52.47,   63.35,   68.01,   56.34
18/08/2013 09:55:00,   59.28,   65.69,   51.82,   62.06,   68.00,   54.78
18/08/2013 10:00:00,   59.44,   65.12,   50.84,   62.55,   67.93,   54.15
18/08/2013 10:05:00,   58.94,   64.87,   50.84,   62.53,   67.39,   55.11
18/08/2013 10:10:00,   55.86,   61.21,   51.08,   59.04,   63.67,   54.19
18/08/2013 10:15:00,   61.08,   65.43,   51.93,   65.28,   70.30,   55.88
18/08/2013 10:20:00,   60.09,   65.47,   52.30,   62.66,   67.98,   55.68
18/08/2013 10:25:00,   62.87,   69.97,   52.70,   66.29,   73.48,   55.84
18/08/2013 10:30:00,   61.24,   64.97,   55.64,   63.98,   67.31,   58.78
18/08/2013 10:35:00,   61.63,   65.02,   51.45,   64.72,   71.18,   54.85
18/08/2013 10:40:00,   60.70,   64.96,   52.16,   63.93,   67.84,   55.29
18/08/2013 10:45:00,   62.82,   65.82,   52.69,   65.56,   68.71,   56.97
18/08/2013 10:50:00,   62.71,   67.82,   53.56,   66.12,   71.50,   56.79
18/08/2013 10:55:00,   63.34,   66.22,   58.05,   65.80,   68.53,   60.29
18/08/2013 11:00:00,   59.66,   64.15,   52.05,   63.29,   68.11,   55.09
18/08/2013 11:05:00,   62.63,   68.92,   52.71,   67.29,   73.89,   56.62
18/08/2013 11:10:00,   60.76,   65.32,   52.08,   65.18,   69.57,   56.16
18/08/2013 11:15:00,   60.90,   66.23,   52.59,   64.94,   68.94,   56.67
18/08/2013 11:20:00,   57.71,   62.20,   51.72,   61.35,   65.90,   55.25
18/08/2013 11:25:00,   63.89,   70.37,   53.19,   67.77,   74.72,   57.03
18/08/2013 11:30:00,   59.80,   63.49,   52.52,   63.85,   67.74,   55.91
18/08/2013 11:35:00,   59.50,   64.30,   51.92,   63.13,   68.51,   55.92
18/08/2013 11:40:00,   62.35,   67.96,   54.16,   66.44,   72.86,   58.04
18/08/2013 11:45:00,   58.28,   63.40,   51.98,   62.31,   66.92,   56.56
18/08/2013 11:50:00,   61.71,   66.65,   53.03,   65.59,   70.30,   56.82
18/08/2013 11:55:00,   61.85,   66.81,   52.58,   66.26,   71.45,   56.44
18/08/2013 12:00:00,   62.33,   67.34,   54.46,   66.83,   72.45,   58.53
18/08/2013 12:05:00,   60.80,   65.43,   54.12,   64.46,   68.72,   58.22
18/08/2013 12:10:00,   62.24,   66.74,   52.01,   66.60,   72.22,   56.50
18/08/2013 12:15:00,   59.06,   63.36,   52.21,   62.43,   66.56,   56.02
18/08/2013 12:20:00,   62.81,   67.94,   55.69,   66.92,   72.14,   59.71
18/08/2013 12:25:00,   61.28,   66.46,   53.85,   65.67,   70.59,   57.98
18/08/2013 12:30:00,   62.54,   66.67,   54.95,   65.79,   70.72,   58.76
18/08/2013 12:35:00,   59.98,   65.15,   51.46,   64.07,   69.17,   56.19
18/08/2013 12:40:00,   61.88,   67.07,   54.40,   66.38,   71.37,   58.20
18/08/2013 12:45:00,   61.54,   66.29,   52.38,   66.18,   70.24,   57.76
18/08/2013 12:50:00,   61.40,   65.74,   53.94,   65.55,   69.75,   58.11
18/08/2013 12:55:00,   59.97,   64.03,   52.08,   64.27,   67.89,   56.63
18/08/2013 13:00:00,   61.80,   67.88,   51.15,   66.27,   72.84,   56.77
18/08/2013 13:05:00,   60.30,   65.76,   51.85,   64.43,   67.89,   55.71
18/08/2013 13:10:00,   60.69,   65.23,   52.29,   64.84,   69.19,   56.91
18/08/2013 13:15:00,   60.18,   64.28,   52.25,   64.42,   68.18,   56.91
18/08/2013 13:20:00,   59.64,   64.11,   51.95,   63.69,   68.14,   56.40
18/08/2013 13:25:00,   62.02,   67.75,   51.58,   66.57,   71.72,   55.88
18/08/2013 13:30:00,   62.12,   66.48,   53.78,   66.65,   70.68,   57.64
18/08/2013 13:35:00,   62.09,   67.12,   53.33,   68.24,   72.76,   58.48
18/08/2013 13:40:00,   61.27,   66.05,   51.25,   65.48,   69.99,   55.84
18/08/2013 13:45:00,   60.31,   65.90,   53.03,   64.67,   69.55,   56.65
18/08/2013 13:50:00,   60.15,   64.32,   51.51,   64.24,   67.99,   55.70
18/08/2013 13:55:00,   61.33,   66.14,   52.54,   65.48,   70.54,   56.74
18/08/2013 14:00:00,   59.12,   63.35,   51.11,   62.92,   67.03,   54.34
18/08/2013 14:05:00,   60.04,   65.06,   52.52,   64.01,   68.65,   56.56
18/08/2013 14:10:00,   60.81,   66.06,   53.38,   65.81,   70.45,   58.33
18/08/2013 14:15:00,   60.16,   64.13,   52.41,   63.37,   66.94,   55.67
18/08/2013 14:20:00,   59.90,   64.39,   52.18,   64.33,   67.05,   55.98
18/08/2013 14:25:00,   60.28,   64.48,   51.19,   64.47,   68.34,   54.90
18/08/2013 14:30:00,   58.95,   62.56,   51.38,   62.79,   66.60,   54.98
18/08/2013 14:35:00,   60.19,   63.93,   51.55,   63.49,   67.74,   54.54
18/08/2013 14:40:00,   57.35,   61.42,   51.41,   60.27,   64.06,   54.77
18/08/2013 14:45:00,   61.72,   66.75,   52.94,   65.27,   69.74,   56.35
18/08/2013 14:50:00,   58.27,   63.06,   51.73,   62.45,   66.69,   55.59
18/08/2013 14:55:00,   61.75,   66.12,   53.47,   66.41,   71.79,   57.19
18/08/2013 15:00:00,   63.38,   68.08,   55.83,   67.40,   72.80,   58.84
18/08/2013 15:05:00,   60.59,   64.62,   53.42,   64.79,   69.99,   56.80
18/08/2013 15:10:00,   59.18,   63.69,   51.98,   62.85,   67.16,   55.56
18/08/2013 15:15:00,   59.07,   63.50,   51.88,   62.26,   66.15,   55.64
18/08/2013 15:20:00,   62.04,   68.10,   52.82,   65.76,   71.41,   56.59
18/08/2013 15:25:00,   59.15,   62.93,   51.76,   62.70,   66.10,   55.44
18/08/2013 15:30:00,   60.15,   64.61,   52.43,   63.92,   68.00,   56.19
