# noise_analysis run from DCC-NOISE-001011 at Mon Aug 19 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
19/08/2013 00:05:00,   56.64,   62.50,   45.68,   60.09,   64.71,   49.93
19/08/2013 00:10:00,   53.35,   59.55,   44.90,   56.23,   61.87,   49.25
19/08/2013 00:15:00,   54.10,   59.96,   46.14,   57.40,   62.43,   50.53
19/08/2013 00:20:00,   54.36,   59.25,   48.58,   57.79,   62.23,   52.47
19/08/2013 00:25:00,   54.92,   62.65,   45.55,   57.77,   64.82,   49.23
19/08/2013 00:30:00,   53.90,   61.13,   45.93,   56.83,   63.51,   50.27
19/08/2013 00:35:00,   53.88,   60.92,   45.33,   56.67,   63.17,   49.65
19/08/2013 00:40:00,   55.18,   62.57,   45.29,   57.89,   64.74,   49.43
19/08/2013 00:45:00,   53.37,   60.02,   46.03,   56.99,   62.47,   50.92
19/08/2013 00:50:00,   54.44,   60.08,   45.64,   57.04,   61.96,   49.80
19/08/2013 00:55:00,   60.08,   65.07,   46.15,   63.34,   69.53,   50.52
19/08/2013 01:00:00,   55.56,   61.79,   45.32,   58.55,   64.12,   49.93
19/08/2013 01:05:00,   50.69,   55.98,   44.89,   54.90,   59.12,   49.78
19/08/2013 01:10:00,   53.77,   58.84,   46.40,   58.62,   62.58,   51.23
19/08/2013 01:15:00,   52.39,   60.36,   44.16,   56.02,   62.60,   48.85
19/08/2013 01:20:00,   53.77,   60.71,   44.62,   56.71,   63.28,   49.03
19/08/2013 01:25:00,   50.82,   57.71,   43.64,   54.17,   60.63,   47.75
19/08/2013 01:30:00,   51.82,   58.07,   44.51,   55.25,   61.25,   48.61
19/08/2013 01:35:00,   52.86,   59.95,   44.54,   55.96,   62.53,   49.14
19/08/2013 01:40:00,   51.63,   59.85,   44.01,   55.23,   62.12,   48.37
19/08/2013 01:45:00,   51.31,   58.69,   43.50,   54.39,   61.15,   47.90
19/08/2013 01:50:00,   49.85,   56.13,   42.86,   53.95,   59.48,   47.38
