# noise_analysis run from DCC-NOISE-001011 at Tue Aug 20 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/08/2013 00:05:00,   55.45,   61.29,   44.44,   59.44,   64.15,   48.79
20/08/2013 00:10:00,   53.00,   60.72,   44.46,   56.65,   63.80,   49.27
20/08/2013 00:15:00,   67.91,   69.63,   45.47,   69.31,   72.99,   49.48
20/08/2013 00:20:00,   56.61,   64.19,   45.23,   60.61,   67.05,   49.47
20/08/2013 00:25:00,   58.15,   65.26,   46.30,   62.53,   69.87,   51.49
20/08/2013 00:30:00,   54.17,   60.35,   45.12,   59.51,   63.15,   52.62
20/08/2013 00:35:00,   53.07,   58.93,   44.63,   57.56,   62.46,   52.16
20/08/2013 00:40:00,   56.72,   64.45,   45.46,   61.12,   68.60,   50.79
20/08/2013 00:45:00,   54.15,   60.32,   44.51,   58.55,   65.23,   49.39
20/08/2013 00:50:00,   55.42,   61.64,   43.88,   59.53,   65.25,   49.87
20/08/2013 00:55:00,   51.72,   57.10,   44.99,   55.68,   60.51,   50.38
20/08/2013 01:00:00,   55.16,   61.48,   44.38,   59.13,   64.80,   49.94
20/08/2013 01:05:00,   48.28,   53.14,   43.38,   52.47,   56.07,   48.87
20/08/2013 01:10:00,   47.28,   51.15,   43.27,   51.85,   54.06,   49.16
20/08/2013 01:15:00,   49.11,   54.82,   42.94,   53.10,   57.43,   48.74
20/08/2013 01:20:00,   51.47,   58.47,   43.41,   54.87,   60.74,   48.99
20/08/2013 01:25:00,   48.62,   53.60,   42.79,   52.91,   57.27,   48.40
20/08/2013 01:30:00,   51.90,   58.39,   43.81,   55.61,   60.51,   49.48
20/08/2013 01:35:00,   49.31,   55.94,   42.90,   53.39,   59.33,   48.80
20/08/2013 01:40:00,   51.03,   58.22,   43.99,   54.76,   60.82,   49.40
20/08/2013 01:45:00,   48.62,   54.39,   42.64,   52.87,   57.28,   48.98
20/08/2013 01:50:00,   50.67,   58.17,   43.17,   54.50,   60.53,   48.79
20/08/2013 01:55:00,   48.19,   54.19,   43.60,   52.68,   57.09,   49.25
20/08/2013 02:00:00,   50.79,   56.92,   43.38,   55.52,   61.66,   49.28
20/08/2013 02:05:00,   50.34,   55.44,   42.75,   55.15,   60.02,   49.07
20/08/2013 02:10:00,   49.76,   57.83,   42.40,   54.64,   60.81,   48.64
20/08/2013 02:15:00,   47.92,   53.06,   42.78,   52.34,   56.11,   48.81
20/08/2013 02:20:00,   50.34,   58.56,   42.78,   53.90,   60.58,   48.58
20/08/2013 02:25:00,   48.70,   53.94,   42.04,   52.83,   57.10,   48.85
20/08/2013 02:30:00,   48.23,   54.22,   41.86,   52.93,   57.83,   48.74
20/08/2013 02:35:00,   48.85,   53.78,   42.92,   53.58,   57.65,   48.61
20/08/2013 02:40:00,   46.80,   50.98,   42.48,   51.34,   54.83,   48.05
20/08/2013 02:45:00,   48.74,   55.80,   42.68,   53.38,   59.42,   47.81
20/08/2013 02:50:00,   49.79,   56.85,   42.24,   53.97,   59.34,   49.80
20/08/2013 02:55:00,   48.42,   54.83,   42.61,   52.56,   57.42,   48.40
20/08/2013 03:00:00,   51.73,   58.39,   43.94,   55.19,   60.60,   49.06
20/08/2013 03:05:00,   49.81,   56.26,   43.63,   54.39,   59.29,   48.83
20/08/2013 03:10:00,   47.23,   52.15,   41.89,   53.26,   57.26,   49.63
20/08/2013 03:15:00,   50.23,   56.99,   43.26,   54.52,   60.12,   50.37
20/08/2013 03:20:00,   52.27,   60.11,   43.99,   55.47,   62.09,   49.38
20/08/2013 03:25:00,   50.41,   57.17,   43.83,   54.04,   59.31,   48.85
20/08/2013 03:30:00,   49.93,   56.71,   42.52,   54.68,   60.45,   49.25
20/08/2013 03:35:00,   52.92,   61.41,   42.54,   56.71,   64.47,   49.01
20/08/2013 03:40:00,   52.11,   59.12,   43.86,   55.70,   61.77,   49.60
20/08/2013 03:45:00,   50.70,   57.37,   43.36,   54.12,   59.38,   48.14
20/08/2013 03:50:00,   48.79,   53.42,   43.40,   53.13,   57.76,   48.25
20/08/2013 03:55:00,   49.37,   56.00,   43.17,   53.69,   58.79,   49.03
20/08/2013 04:00:00,   51.10,   58.93,   42.96,   55.19,   61.10,   49.58
20/08/2013 04:05:00,   52.10,   59.74,   43.81,   55.86,   62.14,   48.97
20/08/2013 04:10:00,   52.15,   60.12,   43.71,   55.86,   62.58,   49.38
