# noise_analysis run from DCC-NOISE-001011 at Thu Aug 22 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
22/08/2013 00:05:00,   54.24,   60.27,   45.51,   57.60,   62.93,   50.30
22/08/2013 00:10:00,   55.59,   60.81,   46.36,   59.35,   63.52,   50.77
22/08/2013 00:15:00,   57.01,   63.05,   45.38,   60.80,   66.10,   49.53
22/08/2013 00:20:00,   56.31,   62.73,   45.11,   60.20,   66.05,   49.90
22/08/2013 00:25:00,   56.93,   62.86,   44.22,   60.59,   65.28,   48.86
22/08/2013 00:30:00,   55.69,   62.29,   45.78,   59.80,   65.49,   50.78
22/08/2013 00:35:00,   56.76,   64.30,   45.94,   61.52,   68.26,   50.12
22/08/2013 00:40:00,   55.93,   60.73,   45.61,   60.08,   64.94,   49.69
22/08/2013 00:45:00,   56.69,   63.83,   44.27,   60.72,   66.89,   48.75
22/08/2013 00:50:00,   58.19,   66.25,   43.99,   62.22,   69.63,   48.46
22/08/2013 00:55:00,   57.83,   64.03,   44.18,   62.14,   66.76,   48.74
22/08/2013 01:00:00,   54.95,   62.76,   44.00,   58.83,   65.67,   48.03
22/08/2013 01:05:00,   51.79,   58.47,   44.21,   56.06,   61.67,   48.53
22/08/2013 01:10:00,   50.87,   58.81,   43.55,   54.63,   61.60,   48.21
22/08/2013 01:15:00,   52.89,   60.51,   43.98,   56.70,   63.32,   49.46
22/08/2013 01:20:00,   53.97,   62.25,   44.69,   57.74,   64.45,   48.73
22/08/2013 01:25:00,   54.16,   60.46,   45.59,   59.63,   66.05,   49.76
22/08/2013 01:30:00,   51.09,   57.16,   43.30,   54.49,   59.81,   47.80
22/08/2013 01:35:00,   50.03,   56.31,   43.00,   54.76,   59.53,   48.41
22/08/2013 01:40:00,   51.88,   58.46,   43.73,   56.45,   61.95,   48.98
22/08/2013 01:45:00,   49.29,   54.94,   41.83,   54.13,   59.40,   47.39
22/08/2013 01:50:00,   50.84,   57.57,   42.97,   54.82,   60.82,   47.91
22/08/2013 01:55:00,   49.37,   56.53,   42.67,   52.89,   58.55,   47.45
22/08/2013 02:00:00,   51.21,   59.22,   42.53,   54.71,   61.94,   47.53
22/08/2013 02:05:00,   52.05,   57.99,   43.35,   56.76,   62.11,   48.76
22/08/2013 02:10:00,   46.00,   49.19,   42.50,   50.45,   52.51,   47.87
22/08/2013 02:15:00,   47.95,   52.51,   42.50,   51.72,   55.61,   47.73
22/08/2013 02:20:00,   50.62,   58.57,   42.80,   53.81,   60.30,   46.88
22/08/2013 02:25:00,   48.71,   55.18,   41.41,   52.22,   58.34,   45.89
22/08/2013 02:30:00,   47.92,   54.71,   41.21,   51.49,   57.30,   45.67
22/08/2013 02:35:00,   49.78,   58.33,   41.18,   52.99,   60.83,   45.57
22/08/2013 02:40:00,   48.12,   55.35,   41.67,   51.80,   57.68,   46.38
