# noise_analysis run from DCC-NOISE-001011 at Wed Aug 28 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
28/08/2013 00:05:00,   60.56,   66.76,   44.87,   62.94,   69.43,   49.92
28/08/2013 00:10:00,   53.91,   59.84,   44.45,   57.01,   62.44,   49.33
28/08/2013 00:15:00,   54.41,   61.89,   42.89,   58.26,   64.53,   48.04
28/08/2013 00:20:00,   58.43,   64.43,   43.74,   63.31,   71.31,   48.42
28/08/2013 00:25:00,   58.68,   65.63,   45.88,   61.32,   68.25,   50.25
28/08/2013 00:30:00,   57.30,   65.34,   43.90,   60.57,   67.75,   47.92
28/08/2013 00:35:00,   57.92,   64.56,   45.75,   61.42,   67.36,   49.97
28/08/2013 00:40:00,   52.89,   59.55,   45.10,   55.62,   61.79,   48.60
28/08/2013 00:45:00,   55.61,   63.61,   43.82,   59.24,   66.54,   48.16
28/08/2013 00:50:00,   56.43,   64.33,   44.71,   59.63,   66.59,   48.63
28/08/2013 00:55:00,   60.30,   71.59,   45.90,   64.97,   76.51,   49.97
28/08/2013 01:00:00,   56.26,   61.39,   44.18,   59.98,   64.74,   48.58
28/08/2013 01:05:00,   53.42,   60.43,   44.08,   56.74,   63.16,   48.97
28/08/2013 01:10:00,   52.08,   59.39,   43.63,   55.06,   61.38,   48.31
28/08/2013 01:15:00,   51.59,   58.61,   42.34,   54.50,   60.50,   47.29
28/08/2013 01:20:00,   50.43,   57.49,   41.30,   53.31,   60.11,   45.91
28/08/2013 01:25:00,   51.34,   59.56,   42.12,   54.45,   61.95,   46.67
28/08/2013 01:30:00,   52.93,   62.23,   41.07,   56.97,   66.44,   46.53
28/08/2013 01:35:00,   49.81,   57.64,   40.77,   53.31,   60.19,   45.82
28/08/2013 01:40:00,   51.43,   58.50,   41.00,   54.80,   61.09,   45.83
28/08/2013 01:45:00,   52.16,   60.04,   40.51,   55.25,   62.13,   45.85
28/08/2013 01:50:00,   52.22,   60.40,   41.95,   55.01,   62.50,   46.84
28/08/2013 01:55:00,   47.99,   55.46,   41.08,   51.34,   57.68,   46.49
28/08/2013 02:00:00,   48.82,   57.11,   41.11,   51.67,   58.71,   46.41
28/08/2013 02:05:00,   48.89,   56.99,   41.21,   53.03,   60.26,   46.24
28/08/2013 02:10:00,   50.20,   56.72,   41.08,   53.55,   59.43,   46.09
28/08/2013 02:15:00,   45.78,   49.06,   39.62,   49.95,   53.07,   44.69
28/08/2013 02:20:00,   49.01,   56.97,   40.95,   52.93,   59.64,   45.91
28/08/2013 02:25:00,   48.28,   56.33,   40.53,   51.81,   58.48,   45.48
28/08/2013 02:30:00,   46.97,   52.79,   40.32,   50.23,   54.92,   44.87
28/08/2013 02:35:00,   48.80,   57.03,   40.11,   52.28,   58.94,   45.74
28/08/2013 02:40:00,   48.33,   56.14,   40.55,   51.95,   59.08,   45.70
28/08/2013 02:45:00,   49.39,   57.97,   40.61,   52.39,   59.74,   45.66
28/08/2013 02:50:00,   47.49,   52.41,   39.95,   51.01,   55.49,   44.83
28/08/2013 02:55:00,   51.11,   59.97,   40.94,   54.28,   61.91,   46.40
28/08/2013 03:00:00,   48.49,   56.39,   40.96,   51.67,   58.87,   46.20
28/08/2013 03:05:00,   48.77,   55.75,   41.39,   53.08,   59.22,   46.63
28/08/2013 03:10:00,   50.81,   59.45,   40.36,   54.21,   62.16,   45.28
28/08/2013 03:15:00,   49.93,   57.48,   41.00,   53.53,   60.41,   45.66
28/08/2013 03:20:00,   49.92,   57.71,   40.74,   55.38,   61.45,   45.99
28/08/2013 03:25:00,   48.57,   56.12,   40.85,   51.96,   58.89,   45.43
28/08/2013 03:30:00,   50.62,   59.69,   40.69,   54.06,   62.26,   45.92
28/08/2013 03:35:00,   48.20,   55.37,   40.20,   51.89,   57.50,   45.33
28/08/2013 03:40:00,   49.41,   55.61,   40.92,   53.22,   58.79,   46.29
28/08/2013 03:45:00,   48.06,   54.81,   41.15,   51.56,   57.09,   46.09
28/08/2013 03:50:00,   49.64,   56.78,   41.83,   53.51,   59.24,   46.55
28/08/2013 03:55:00,   51.39,   59.68,   41.65,   54.72,   61.40,   46.34
28/08/2013 04:00:00,   51.18,   58.12,   42.56,   54.70,   60.91,   47.56
28/08/2013 04:05:00,   47.13,   53.56,   40.81,   50.50,   55.66,   45.74
28/08/2013 04:10:00,   52.04,   61.52,   41.50,   56.45,   64.40,   47.05
28/08/2013 04:15:00,   51.45,   60.10,   41.28,   54.55,   62.46,   46.18
28/08/2013 04:20:00,   50.68,   56.62,   42.30,   54.46,   60.26,   47.50
28/08/2013 04:25:00,   54.36,   61.62,   43.81,   57.55,   63.97,   48.74
28/08/2013 04:30:00,   51.72,   58.12,   42.16,   55.25,   60.72,   47.72
28/08/2013 04:35:00,   54.44,   60.63,   46.34,   59.90,   65.82,   51.57
28/08/2013 04:40:00,   53.04,   61.93,   43.70,   56.73,   64.51,   49.38
28/08/2013 04:45:00,   56.24,   63.43,   44.42,   59.19,   65.67,   50.41
28/08/2013 04:50:00,   53.60,   62.69,   44.16,   58.12,   66.15,   50.50
28/08/2013 04:55:00,   53.12,   59.55,   46.66,   57.61,   63.49,   51.80
28/08/2013 05:00:00,   53.39,   61.52,   43.45,   57.03,   63.87,   49.11
28/08/2013 05:05:00,   55.98,   63.62,   45.84,   59.82,   67.00,   51.04
28/08/2013 05:10:00,   57.56,   63.87,   48.43,   61.81,   67.26,   54.89
28/08/2013 05:15:00,   54.27,   62.02,   44.76,   58.78,   65.03,   51.26
28/08/2013 05:20:00,   55.96,   61.90,   48.09,   60.12,   64.45,   53.44
28/08/2013 05:25:00,   53.12,   59.81,   45.76,   58.27,   63.19,   52.58
28/08/2013 05:30:00,   55.65,   62.99,   47.36,   59.83,   66.20,   53.64
28/08/2013 05:35:00,   58.14,   65.13,   48.07,   62.42,   68.76,   53.95
28/08/2013 05:40:00,   57.65,   64.45,   48.17,   61.02,   66.49,   53.80
28/08/2013 05:45:00,   58.36,   64.78,   46.10,   62.89,   68.32,   53.63
28/08/2013 05:50:00,   56.19,   61.48,   48.77,   60.69,   64.91,   55.07
28/08/2013 05:55:00,   59.17,   65.59,   46.35,   63.11,   68.51,   53.39
28/08/2013 06:00:00,   56.96,   64.76,   46.92,   60.28,   67.65,   53.03
28/08/2013 06:05:00,   59.35,   65.00,   50.24,   62.89,   67.92,   55.45
28/08/2013 06:10:00,   59.05,   65.62,   48.11,   63.02,   68.39,   53.11
28/08/2013 06:15:00,   56.82,   63.80,   47.41,   61.09,   66.45,   53.04
28/08/2013 06:20:00,   57.17,   63.59,   47.38,   60.79,   66.41,   52.45
28/08/2013 06:25:00,   61.52,   67.49,   49.16,   65.58,   71.00,   54.74
28/08/2013 06:30:00,   61.54,   67.46,   51.33,   67.40,   73.07,   56.23
28/08/2013 06:35:00,   60.44,   66.68,   51.05,   64.81,   70.77,   56.66
28/08/2013 06:40:00,   58.96,   65.76,   48.79,   62.93,   68.39,   54.39
28/08/2013 06:45:00,   60.64,   66.42,   50.87,   64.44,   69.26,   56.01
28/08/2013 06:50:00,   58.05,   64.81,   50.31,   61.89,   67.83,   55.96
28/08/2013 06:55:00,   61.36,   67.49,   51.60,   65.50,   71.55,   56.96
28/08/2013 07:00:00,   60.42,   66.34,   50.42,   64.88,   70.52,   55.95
28/08/2013 07:05:00,   61.96,   66.89,   49.60,   66.29,   71.63,   55.37
28/08/2013 07:10:00,   58.90,   65.20,   49.17,   63.12,   68.39,   54.88
28/08/2013 07:15:00,   62.07,   67.69,   51.68,   66.46,   72.14,   57.77
28/08/2013 07:20:00,   59.06,   65.52,   50.45,   63.37,   68.17,   56.31
28/08/2013 07:25:00,   62.93,   68.30,   51.01,   66.65,   71.40,   56.72
28/08/2013 07:30:00,   64.31,   70.38,   50.93,   68.05,   73.43,   56.80
28/08/2013 07:35:00,   62.48,   67.97,   50.12,   66.19,   70.78,   56.18
28/08/2013 07:40:00,   61.98,   68.71,   50.25,   66.50,   73.12,   56.05
28/08/2013 07:45:00,   62.01,   67.24,   49.33,   66.54,   71.73,   55.52
28/08/2013 07:50:00,   58.96,   65.26,   48.17,   63.20,   68.63,   54.99
28/08/2013 07:55:00,   61.60,   67.22,   50.50,   65.97,   72.34,   56.74
28/08/2013 08:00:00,   61.37,   66.21,   49.04,   65.41,   69.26,   56.42
28/08/2013 08:05:00,   61.62,   65.67,   49.73,   65.43,   68.32,   56.45
28/08/2013 08:10:00,   60.41,   64.43,   50.28,   64.83,   68.50,   56.74
28/08/2013 08:15:00,   61.26,   66.69,   51.31,   65.39,   69.92,   58.01
28/08/2013 08:20:00,   62.86,   67.92,   51.16,   66.94,   72.12,   57.30
28/08/2013 08:25:00,   62.49,   67.87,   52.22,   66.17,   70.73,   58.09
