# noise_analysis run from DCC-NOISE-001011 at Fri Aug 30 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
30/08/2013 00:05:00,   58.95,   64.86,   49.02,   62.52,   67.92,   53.20
30/08/2013 00:10:00,   52.88,   58.30,   46.52,   56.34,   61.02,   51.07
30/08/2013 00:15:00,   57.79,   64.05,   45.89,   61.44,   66.64,   51.01
30/08/2013 00:20:00,   58.37,   64.57,   46.45,   62.67,   68.33,   51.56
30/08/2013 00:25:00,   54.54,   61.14,   46.23,   57.92,   63.18,   51.47
30/08/2013 00:30:00,   56.25,   62.84,   46.53,   60.21,   65.33,   52.19
30/08/2013 00:35:00,   53.84,   59.99,   46.61,   58.04,   63.08,   52.05
30/08/2013 00:40:00,   56.73,   63.44,   46.49,   60.65,   66.72,   51.69
30/08/2013 00:45:00,   58.10,   64.06,   45.20,   62.64,   68.41,   52.50
30/08/2013 00:50:00,   53.75,   59.89,   45.78,   58.15,   62.63,   52.51
30/08/2013 00:55:00,   55.89,   62.78,   46.11,   60.66,   66.77,   52.62
30/08/2013 01:00:00,   57.54,   63.34,   46.40,   61.45,   65.59,   52.78
30/08/2013 01:05:00,   51.55,   57.90,   45.17,   56.47,   60.90,   52.68
30/08/2013 01:10:00,   51.89,   59.66,   44.24,   56.62,   62.48,   52.34
30/08/2013 01:15:00,   51.42,   57.67,   44.55,   56.24,   60.33,   52.58
30/08/2013 01:20:00,   54.48,   63.24,   45.23,   58.87,   66.43,   52.90
30/08/2013 01:25:00,   53.63,   59.88,   45.65,   58.23,   63.32,   53.39
30/08/2013 01:30:00,   51.17,   57.06,   44.74,   56.73,   60.45,   53.16
30/08/2013 01:35:00,   53.23,   59.68,   44.41,   57.62,   62.70,   52.98
30/08/2013 01:40:00,   51.18,   57.40,   43.37,   56.53,   61.62,   52.88
30/08/2013 01:45:00,   54.21,   61.38,   45.00,   58.66,   64.20,   53.58
30/08/2013 01:50:00,   51.52,   58.54,   43.75,   56.63,   61.96,   52.68
30/08/2013 01:55:00,   52.08,   59.02,   43.38,   56.96,   61.93,   51.80
30/08/2013 02:00:00,   51.75,   58.19,   44.26,   55.88,   61.61,   50.03
30/08/2013 02:05:00,   51.50,   58.25,   43.57,   55.52,   61.07,   49.24
30/08/2013 02:10:00,   52.65,   60.31,   44.36,   56.15,   62.70,   50.29
30/08/2013 02:15:00,   49.90,   54.99,   44.52,   53.95,   57.69,   50.55
30/08/2013 02:20:00,   53.16,   60.02,   45.45,   57.10,   62.60,   51.06
30/08/2013 02:25:00,   50.40,   55.52,   45.37,   55.26,   58.28,   52.20
30/08/2013 02:30:00,   53.29,   60.56,   44.97,   56.55,   62.60,   49.81
30/08/2013 02:35:00,   51.74,   60.66,   42.88,   54.80,   62.92,   47.07
30/08/2013 02:40:00,   52.34,   58.96,   44.50,   56.51,   62.20,   49.76
30/08/2013 02:45:00,   48.86,   55.06,   43.05,   53.39,   57.86,   49.35
30/08/2013 02:50:00,   52.35,   59.81,   43.07,   55.82,   62.87,   48.01
30/08/2013 02:55:00,   50.23,   56.79,   42.54,   53.66,   59.73,   47.02
30/08/2013 03:00:00,   47.78,   53.94,   42.38,   52.07,   56.70,   47.56
30/08/2013 03:05:00,   51.99,   59.78,   42.91,   55.98,   62.36,   49.83
30/08/2013 03:10:00,   48.98,   56.41,   42.54,   52.71,   58.88,   47.52
30/08/2013 03:15:00,   52.95,   60.05,   43.16,   56.54,   62.77,   47.61
30/08/2013 03:20:00,   50.60,   57.89,   42.93,   54.81,   60.59,   48.59
30/08/2013 03:25:00,   52.93,   60.52,   44.37,   56.60,   63.26,   49.52
30/08/2013 03:30:00,   49.42,   54.55,   44.15,   52.99,   57.78,   48.23
30/08/2013 03:35:00,   52.88,   61.03,   44.43,   56.24,   63.14,   48.47
30/08/2013 03:40:00,   53.95,   59.78,   45.60,   57.33,   62.33,   50.75
30/08/2013 03:45:00,   49.79,   53.61,   44.80,   53.95,   58.13,   49.39
30/08/2013 03:50:00,   53.05,   59.24,   45.02,   56.65,   62.84,   49.38
30/08/2013 03:55:00,   53.56,   61.42,   44.13,   57.06,   63.95,   48.87
30/08/2013 04:00:00,   50.41,   56.45,   44.41,   55.56,   61.54,   49.65
30/08/2013 04:05:00,   54.24,   62.32,   44.62,   57.82,   64.73,   48.86
30/08/2013 04:10:00,   52.53,   60.19,   44.66,   56.22,   63.16,   49.14
30/08/2013 04:15:00,   54.40,   60.90,   45.77,   58.11,   64.19,   50.28
30/08/2013 04:20:00,   54.00,   61.00,   45.65,   57.87,   63.78,   51.83
30/08/2013 04:25:00,   55.86,   63.34,   45.70,   58.89,   65.38,   51.17
30/08/2013 04:30:00,   52.88,   60.11,   44.73,   57.52,   63.32,   51.31
30/08/2013 04:35:00,   53.40,   59.47,   44.97,   57.82,   62.74,   51.85
30/08/2013 04:40:00,   54.07,   62.11,   44.70,   58.21,   64.40,   51.53
30/08/2013 04:45:00,   58.44,   65.81,   44.11,   62.18,   69.38,   49.45
30/08/2013 04:50:00,   54.88,   62.82,   45.06,   59.62,   66.26,   51.00
30/08/2013 04:55:00,   53.82,   60.94,   45.67,   57.52,   63.37,   51.01
30/08/2013 05:00:00,   56.66,   62.90,   45.61,   60.64,   66.28,   51.26
30/08/2013 05:05:00,   57.58,   64.10,   46.64,   61.67,   67.34,   53.18
30/08/2013 05:10:00,   58.39,   63.95,   48.61,   62.70,   66.96,   54.89
30/08/2013 05:15:00,   54.92,   62.01,   45.96,   59.40,   65.36,   52.13
30/08/2013 05:20:00,   57.73,   64.87,   47.47,   62.32,   68.44,   53.70
30/08/2013 05:25:00,   55.79,   63.61,   47.65,   59.83,   66.30,   53.69
30/08/2013 05:30:00,   57.71,   64.08,   47.19,   61.59,   67.12,   53.63
