# noise_analysis run from DCC-NOISE-001011 at Sun Dec  1 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/12/2013 00:05:00,   57.25,   62.57,   51.66,   60.03,   64.74,   54.94
01/12/2013 00:10:00,   59.79,   64.86,   51.89,   62.08,   66.73,   55.30
01/12/2013 00:15:00,   59.64,   66.35,   51.75,   62.07,   68.11,   55.25
01/12/2013 00:20:00,   57.99,   64.40,   51.03,   60.56,   66.46,   54.40
01/12/2013 00:25:00,   59.78,   65.45,   51.70,   62.62,   68.51,   54.96
01/12/2013 00:30:00,   59.06,   65.10,   51.13,   61.29,   66.78,   54.23
01/12/2013 00:35:00,   58.42,   64.30,   51.94,   60.78,   65.96,   54.84
01/12/2013 00:40:00,   59.83,   65.12,   52.93,   62.20,   67.49,   55.66
01/12/2013 00:45:00,   60.32,   66.23,   52.51,   62.47,   68.60,   55.53
01/12/2013 00:50:00,   60.50,   66.38,   52.33,   62.36,   67.87,   55.78
01/12/2013 00:55:00,   59.42,   65.58,   52.36,   62.13,   68.30,   55.19
01/12/2013 01:00:00,   60.46,   66.31,   51.94,   62.99,   68.79,   54.94
01/12/2013 01:05:00,   59.66,   65.25,   51.74,   61.97,   67.86,   54.70
01/12/2013 01:10:00,   59.71,   66.28,   51.75,   61.82,   67.98,   54.90
01/12/2013 01:15:00,   59.66,   65.86,   52.27,   61.79,   67.78,   55.02
01/12/2013 01:20:00,   60.86,   66.43,   53.51,   62.65,   67.65,   56.14
01/12/2013 01:25:00,   59.34,   64.46,   52.68,   61.36,   66.22,   55.39
01/12/2013 01:30:00,   59.26,   65.04,   52.95,   61.20,   66.73,   55.82
01/12/2013 01:35:00,   58.60,   65.00,   51.88,   60.62,   66.80,   54.66
01/12/2013 01:40:00,   58.36,   63.91,   52.98,   60.76,   65.90,   55.70
01/12/2013 01:45:00,   57.89,   64.08,   51.92,   60.04,   66.19,   54.91
01/12/2013 01:50:00,   58.40,   64.28,   52.26,   60.55,   65.79,   55.19
01/12/2013 01:55:00,   58.25,   62.91,   52.57,   60.19,   64.65,   55.36
01/12/2013 02:00:00,   59.24,   64.98,   52.33,   61.35,   66.66,   55.21
01/12/2013 02:05:00,   58.67,   64.03,   52.69,   60.55,   65.74,   55.46
01/12/2013 02:10:00,   58.63,   63.65,   52.90,   60.85,   65.97,   55.60
01/12/2013 02:15:00,   59.43,   65.47,   52.70,   61.25,   67.51,   55.38
01/12/2013 02:20:00,   58.99,   64.38,   52.10,   60.96,   66.70,   55.03
01/12/2013 02:25:00,   59.65,   64.74,   52.04,   61.13,   66.29,   54.70
01/12/2013 02:30:00,   59.75,   65.87,   52.62,   61.48,   67.35,   55.15
01/12/2013 02:35:00,   57.06,   61.34,   51.48,   58.82,   62.56,   54.66
01/12/2013 02:40:00,   56.83,   60.83,   51.82,   58.96,   62.75,   54.64
01/12/2013 02:45:00,   58.53,   64.77,   51.76,   60.72,   66.40,   54.67
01/12/2013 02:50:00,   58.78,   64.51,   52.45,   60.65,   66.17,   55.46
01/12/2013 02:55:00,   58.56,   64.82,   52.50,   60.54,   66.85,   55.33
01/12/2013 03:00:00,   59.23,   64.60,   52.15,   60.59,   65.89,   54.93
01/12/2013 03:05:00,   58.11,   63.21,   52.48,   59.94,   64.55,   55.20
01/12/2013 03:10:00,   59.15,   65.24,   52.33,   61.23,   66.71,   55.31
01/12/2013 03:15:00,   59.32,   64.27,   52.55,   60.99,   66.00,   55.31
01/12/2013 03:20:00,   59.24,   65.10,   52.24,   61.22,   67.01,   55.47
01/12/2013 03:25:00,   57.91,   64.27,   52.09,   60.04,   65.97,   54.66
01/12/2013 03:30:00,   57.50,   62.45,   52.02,   59.30,   63.84,   54.78
01/12/2013 03:35:00,   59.85,   65.78,   52.30,   61.36,   67.06,   55.16
01/12/2013 03:40:00,   60.35,   66.31,   51.88,   61.97,   67.94,   55.08
01/12/2013 03:45:00,   57.54,   62.74,   52.37,   59.70,   63.85,   55.23
01/12/2013 03:50:00,   58.90,   64.69,   51.83,   61.15,   66.53,   54.64
01/12/2013 03:55:00,   56.94,   62.22,   51.54,   59.54,   64.64,   54.55
01/12/2013 04:00:00,   59.13,   64.58,   52.37,   62.66,   66.57,   55.57
01/12/2013 04:05:00,   58.09,   65.13,   52.36,   60.31,   66.79,   55.19
01/12/2013 04:10:00,   58.10,   64.81,   52.36,   60.91,   67.09,   55.28
01/12/2013 04:15:00,   56.81,   61.54,   52.02,   58.84,   63.32,   54.84
01/12/2013 04:20:00,   57.05,   63.35,   51.00,   58.97,   65.11,   53.96
01/12/2013 04:25:00,   57.15,   62.78,   51.09,   59.75,   64.59,   54.39
01/12/2013 04:30:00,   56.99,   64.14,   50.93,   59.47,   66.49,   53.97
01/12/2013 04:35:00,   57.70,   65.05,   51.62,   59.65,   66.36,   54.42
01/12/2013 04:40:00,   57.08,   62.28,   52.05,   59.07,   63.55,   54.74
01/12/2013 04:45:00,   58.33,   64.89,   51.68,   60.67,   66.95,   54.51
01/12/2013 04:50:00,   57.93,   64.25,   50.83,   60.53,   66.47,   54.13
01/12/2013 04:55:00,   56.69,   63.55,   50.72,   58.82,   65.37,   53.58
01/12/2013 05:00:00,   55.86,   62.25,   50.90,   58.43,   64.23,   54.01
01/12/2013 05:05:00,   57.42,   65.19,   50.42,   59.49,   66.77,   53.47
01/12/2013 05:10:00,   55.54,   60.03,   51.08,   57.74,   61.87,   54.04
01/12/2013 05:15:00,   58.46,   65.54,   51.57,   61.41,   67.20,   54.58
01/12/2013 05:20:00,   57.00,   63.94,   50.75,   58.85,   65.43,   53.61
01/12/2013 05:25:00,   56.94,   63.48,   51.09,   59.24,   65.52,   53.98
01/12/2013 05:30:00,   56.50,   62.86,   51.05,   58.62,   64.03,   54.03
01/12/2013 05:35:00,   56.91,   63.91,   50.37,   58.80,   65.67,   53.37
01/12/2013 05:40:00,   57.12,   64.08,   50.69,   59.38,   65.82,   53.80
01/12/2013 05:45:00,   56.58,   62.42,   51.25,   58.66,   63.81,   54.11
01/12/2013 05:50:00,   57.37,   65.82,   50.62,   59.64,   67.24,   53.63
01/12/2013 05:55:00,   56.06,   62.03,   51.25,   58.63,   63.82,   54.49
01/12/2013 06:00:00,   56.25,   62.52,   50.97,   58.72,   64.40,   53.98
01/12/2013 06:05:00,   56.45,   63.40,   50.63,   58.69,   65.30,   53.64
01/12/2013 06:10:00,   57.90,   64.76,   51.14,   61.31,   67.27,   54.46
01/12/2013 06:15:00,   56.36,   62.36,   50.62,   58.79,   64.15,   53.81
01/12/2013 06:20:00,   55.86,   59.52,   51.34,   58.56,   62.50,   54.32
01/12/2013 06:25:00,   54.40,   56.15,   50.86,   57.06,   59.22,   53.87
01/12/2013 06:30:00,   57.08,   62.63,   51.24,   59.66,   64.51,   54.42
01/12/2013 06:35:00,   56.49,   62.75,   50.87,   60.38,   65.82,   53.96
01/12/2013 06:40:00,   59.28,   65.70,   51.48,   61.52,   67.15,   54.54
01/12/2013 06:45:00,   55.13,   60.38,   50.90,   57.94,   62.30,   54.10
01/12/2013 06:50:00,   56.22,   60.89,   51.51,   59.04,   62.98,   54.97
01/12/2013 06:55:00,   56.20,   62.39,   51.36,   58.78,   64.19,   54.66
01/12/2013 07:00:00,   56.18,   62.53,   51.43,   58.95,   64.29,   54.77
01/12/2013 07:05:00,   60.51,   67.63,   52.39,   63.77,   70.17,   55.88
01/12/2013 07:10:00,   57.71,   65.79,   51.79,   60.70,   67.31,   54.93
01/12/2013 07:15:00,   56.76,   63.23,   51.43,   59.54,   64.74,   54.82
01/12/2013 07:20:00,   58.17,   64.91,   51.66,   60.59,   66.47,   55.14
01/12/2013 07:25:00,   56.17,   60.04,   51.34,   59.06,   62.54,   55.06
01/12/2013 07:30:00,   58.00,   64.89,   51.07,   60.33,   66.45,   54.53
01/12/2013 07:35:00,   58.02,   64.14,   51.31,   60.16,   65.84,   54.44
01/12/2013 07:40:00,   58.49,   64.06,   52.48,   60.74,   66.29,   55.34
01/12/2013 07:45:00,   55.90,   59.58,   51.54,   58.69,   62.47,   54.74
01/12/2013 07:50:00,   60.06,   66.37,   52.85,   61.68,   68.02,   55.36
01/12/2013 07:55:00,   60.64,   66.79,   52.21,   62.40,   68.29,   55.30
01/12/2013 08:00:00,   59.07,   65.30,   51.86,   61.41,   67.28,   54.66
01/12/2013 08:05:00,   58.33,   64.76,   51.83,   60.87,   66.47,   55.07
01/12/2013 08:10:00,   58.28,   63.65,   52.49,   60.86,   65.45,   55.76
01/12/2013 08:15:00,   58.77,   65.44,   51.55,   60.98,   66.83,   54.72
01/12/2013 08:20:00,   57.95,   63.62,   51.25,   60.27,   65.41,   54.42
