# noise_analysis run from DCC-NOISE-001011 at Mon Dec  2 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/12/2013 00:05:00,   56.47,   63.00,   50.11,   60.47,   66.16,   53.39
02/12/2013 00:10:00,   56.50,   63.40,   49.85,   59.07,   65.52,   53.23
02/12/2013 00:15:00,   57.11,   64.10,   49.46,   59.17,   65.21,   52.82
02/12/2013 00:20:00,   56.04,   62.66,   49.81,   58.71,   64.37,   53.38
02/12/2013 00:25:00,   55.24,   62.11,   49.45,   57.55,   63.61,   52.68
02/12/2013 00:30:00,   56.36,   61.89,   49.45,   58.81,   64.06,   52.61
02/12/2013 00:35:00,   56.06,   61.86,   49.50,   58.78,   64.40,   52.80
02/12/2013 00:40:00,   54.76,   62.05,   49.40,   57.19,   63.81,   52.42
02/12/2013 00:45:00,   54.27,   59.27,   49.15,   56.68,   61.23,   52.35
02/12/2013 00:50:00,   57.28,   63.79,   49.41,   58.72,   65.11,   52.50
02/12/2013 00:55:00,   55.67,   60.55,   49.61,   57.62,   62.32,   53.00
02/12/2013 01:00:00,   56.15,   61.50,   49.86,   58.43,   63.28,   52.86
02/12/2013 01:05:00,   54.62,   59.80,   49.70,   57.41,   62.25,   52.89
02/12/2013 01:10:00,   55.26,   59.62,   49.49,   57.04,   61.43,   52.38
02/12/2013 01:15:00,   53.83,   58.58,   49.02,   55.95,   60.22,   52.29
02/12/2013 01:20:00,   54.72,   60.19,   49.60,   57.14,   62.51,   52.56
02/12/2013 01:25:00,   53.21,   57.71,   49.36,   55.26,   58.33,   52.34
02/12/2013 01:30:00,   52.88,   55.54,   49.19,   55.58,   58.73,   52.50
02/12/2013 01:35:00,   60.89,   71.92,   49.41,   64.70,   76.16,   52.56
02/12/2013 01:40:00,   55.05,   60.22,   49.27,   56.94,   61.66,   52.24
02/12/2013 01:45:00,   54.69,   59.28,   49.44,   57.06,   61.69,   52.73
02/12/2013 01:50:00,   53.91,   59.19,   48.94,   56.34,   61.45,   51.99
02/12/2013 01:55:00,   54.46,   60.81,   49.06,   56.77,   62.16,   52.18
02/12/2013 02:00:00,   53.03,   55.55,   49.06,   55.82,   58.28,   52.46
02/12/2013 02:05:00,   54.84,   60.70,   49.05,   57.09,   62.27,   52.30
02/12/2013 02:10:00,   53.39,   58.66,   48.95,   55.65,   60.75,   51.96
02/12/2013 02:15:00,   56.62,   62.27,   49.11,   58.85,   64.04,   52.51
02/12/2013 02:20:00,   54.62,   59.95,   49.01,   57.15,   62.86,   52.08
02/12/2013 02:25:00,   51.18,   53.25,   49.18,   54.54,   57.29,   52.32
02/12/2013 02:30:00,   53.91,   58.97,   49.08,   55.27,   59.11,   52.11
02/12/2013 02:35:00,   54.06,   59.39,   49.11,   56.53,   61.92,   52.10
02/12/2013 02:40:00,   53.64,   58.86,   48.97,   55.57,   59.81,   51.99
02/12/2013 02:45:00,   55.34,   60.30,   48.98,   56.78,   60.67,   52.07
02/12/2013 02:50:00,   55.18,   60.52,   49.02,   56.76,   61.12,   52.04
02/12/2013 02:55:00,   54.36,   58.33,   49.08,   56.19,   60.03,   52.14
02/12/2013 03:00:00,   53.56,   57.36,   49.01,   55.45,   57.73,   52.09
02/12/2013 03:05:00,   53.69,   59.23,   49.20,   55.54,   59.94,   52.19
02/12/2013 03:10:00,   54.00,   58.77,   49.40,   56.54,   61.38,   52.46
02/12/2013 03:15:00,   53.20,   56.99,   49.42,   57.13,   62.71,   52.58
02/12/2013 03:20:00,   56.14,   60.96,   49.76,   57.58,   61.64,   52.87
02/12/2013 03:25:00,   57.64,   63.21,   50.02,   59.81,   64.91,   53.35
02/12/2013 03:30:00,   54.44,   58.91,   49.48,   60.04,   64.01,   52.51
02/12/2013 03:35:00,   53.30,   57.93,   49.15,   55.96,   60.38,   52.30
02/12/2013 03:40:00,   54.73,   60.89,   49.63,   57.43,   63.72,   52.86
02/12/2013 03:45:00,   53.15,   58.93,   49.50,   55.88,   60.90,   52.74
02/12/2013 03:50:00,   55.57,   61.59,   49.66,   58.13,   63.86,   52.84
02/12/2013 03:55:00,   53.77,   58.58,   49.28,   55.74,   59.23,   52.42
02/12/2013 04:00:00,   54.65,   60.41,   49.80,   57.78,   62.67,   53.39
02/12/2013 04:05:00,   53.76,   59.77,   49.26,   56.69,   61.81,   52.48
02/12/2013 04:10:00,   53.69,   59.66,   49.17,   56.61,   62.33,   52.47
02/12/2013 04:15:00,   54.01,   60.58,   49.29,   57.00,   62.85,   52.53
02/12/2013 04:20:00,   52.35,   55.66,   49.38,   55.38,   58.31,   52.77
02/12/2013 04:25:00,   53.62,   57.73,   49.28,   56.66,   59.83,   52.80
02/12/2013 04:30:00,   56.20,   63.05,   49.55,   59.19,   65.31,   52.80
02/12/2013 04:35:00,   55.95,   61.89,   50.07,   58.91,   63.83,   53.92
02/12/2013 04:40:00,   57.85,   65.07,   50.42,   60.68,   67.47,   54.15
02/12/2013 04:45:00,   56.26,   62.24,   50.00,   59.48,   65.80,   53.69
02/12/2013 04:50:00,   55.60,   61.53,   49.79,   58.29,   63.48,   53.16
02/12/2013 04:55:00,   56.60,   62.99,   50.11,   59.48,   65.13,   53.90
02/12/2013 05:00:00,   57.34,   64.39,   50.16,   59.99,   66.36,   53.62
