# noise_analysis run from DCC-NOISE-001011 at Tue Dec  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/12/2013 00:05:00,   57.91,   63.89,   51.36,   60.38,   65.92,   54.43
03/12/2013 00:10:00,   56.79,   62.67,   51.23,   59.36,   64.65,   54.35
03/12/2013 00:15:00,   57.70,   63.73,   50.78,   60.05,   65.65,   53.71
03/12/2013 00:20:00,   58.36,   65.43,   51.14,   60.73,   66.79,   54.19
03/12/2013 00:25:00,   57.18,   64.05,   50.45,   59.93,   65.73,   54.48
03/12/2013 00:30:00,   57.79,   64.38,   50.38,   60.17,   66.21,   53.47
03/12/2013 00:35:00,   56.99,   62.71,   50.54,   59.30,   64.82,   53.66
03/12/2013 00:40:00,   54.49,   59.15,   50.21,   57.18,   61.23,   53.36
03/12/2013 00:45:00,   53.14,   57.89,   49.66,   55.83,   59.96,   52.83
03/12/2013 00:50:00,   58.69,   65.78,   50.28,   60.85,   67.31,   53.44
03/12/2013 00:55:00,   53.08,   56.34,   49.72,   55.86,   58.84,   52.78
03/12/2013 01:00:00,   60.21,   70.92,   49.97,   64.51,   75.78,   53.48
03/12/2013 01:05:00,   55.45,   61.29,   49.82,   58.46,   63.91,   52.83
03/12/2013 01:10:00,   55.42,   61.32,   49.79,   57.94,   63.79,   53.04
03/12/2013 01:15:00,   56.80,   62.90,   50.18,   58.94,   64.62,   53.23
03/12/2013 01:20:00,   54.53,   59.08,   49.31,   56.86,   60.72,   52.43
03/12/2013 01:25:00,   56.76,   63.10,   49.26,   58.34,   65.04,   52.67
03/12/2013 01:30:00,   55.50,   62.00,   49.45,   57.33,   63.02,   52.51
03/12/2013 01:35:00,   54.45,   59.58,   49.45,   56.95,   61.86,   52.62
03/12/2013 01:40:00,   54.14,   59.07,   49.31,   56.67,   60.89,   52.53
03/12/2013 01:45:00,   52.01,   54.99,   49.33,   55.28,   57.78,   52.53
03/12/2013 01:50:00,   53.63,   58.71,   49.55,   56.79,   61.87,   52.79
03/12/2013 01:55:00,   54.96,   60.26,   50.29,   58.44,   63.57,   53.93
03/12/2013 02:00:00,   52.62,   55.14,   49.79,   56.13,   59.16,   53.02
03/12/2013 02:05:00,   56.20,   61.72,   49.75,   58.62,   63.98,   53.03
03/12/2013 02:10:00,   53.88,   58.00,   49.65,   55.83,   58.73,   52.78
03/12/2013 02:15:00,   55.30,   60.14,   50.09,   57.10,   60.99,   53.21
03/12/2013 02:20:00,   54.56,   59.37,   49.80,   56.30,   60.06,   52.79
03/12/2013 02:25:00,   55.67,   60.65,   49.86,   57.09,   61.27,   52.97
03/12/2013 02:30:00,   56.23,   61.91,   50.00,   58.14,   63.44,   53.18
03/12/2013 02:35:00,   53.02,   57.57,   49.55,   55.88,   60.60,   52.74
03/12/2013 02:40:00,   54.12,   59.80,   49.76,   56.60,   61.44,   52.98
03/12/2013 02:45:00,   52.62,   56.21,   49.54,   55.11,   58.04,   52.76
03/12/2013 02:50:00,   53.08,   57.81,   49.52,   55.36,   58.47,   52.75
03/12/2013 02:55:00,   53.30,   57.66,   49.71,   55.99,   59.80,   52.95
03/12/2013 03:00:00,   54.52,   60.86,   49.66,   56.91,   62.57,   52.71
03/12/2013 03:05:00,   54.05,   59.30,   49.92,   56.59,   61.11,   53.00
03/12/2013 03:10:00,   53.00,   56.95,   49.90,   56.00,   59.38,   53.27
03/12/2013 03:15:00,   53.03,   55.91,   50.08,   56.03,   59.08,   53.20
03/12/2013 03:20:00,   56.84,   62.77,   50.73,   58.65,   64.22,   53.72
03/12/2013 03:25:00,   56.07,   60.48,   50.68,   57.68,   61.52,   53.61
03/12/2013 03:30:00,   57.05,   62.99,   50.67,   59.02,   64.91,   53.70
03/12/2013 03:35:00,   56.15,   61.55,   49.97,   57.61,   63.17,   52.85
03/12/2013 03:40:00,   54.25,   59.59,   49.57,   56.41,   61.02,   52.68
03/12/2013 03:45:00,   51.39,   53.52,   49.54,   54.50,   56.12,   52.72
03/12/2013 03:50:00,   54.78,   59.47,   49.63,   57.24,   61.93,   53.49
03/12/2013 03:55:00,   54.59,   59.05,   49.60,   57.23,   60.63,   54.21
03/12/2013 04:00:00,   53.58,   59.29,   49.48,   56.09,   60.11,   52.70
03/12/2013 04:05:00,   54.32,   60.91,   49.32,   57.14,   62.80,   52.66
03/12/2013 04:10:00,   54.39,   59.04,   49.44,   56.78,   61.06,   52.67
03/12/2013 04:15:00,   54.84,   60.18,   50.31,   57.79,   63.11,   53.43
03/12/2013 04:20:00,   54.45,   57.15,   51.41,   57.36,   59.41,   54.64
03/12/2013 04:25:00,   54.53,   60.03,   50.59,   57.32,   62.33,   53.51
03/12/2013 04:30:00,   56.53,   62.49,   50.88,   59.66,   65.34,   54.27
03/12/2013 04:35:00,   55.74,   62.94,   50.61,   58.67,   64.78,   54.06
03/12/2013 04:40:00,   55.99,   62.07,   50.46,   58.94,   63.74,   53.55
03/12/2013 04:45:00,   55.27,   61.45,   50.08,   58.00,   64.08,   53.52
03/12/2013 04:50:00,   54.96,   61.43,   49.86,   58.12,   63.84,   53.04
03/12/2013 04:55:00,   55.22,   59.53,   50.60,   59.02,   62.62,   54.17
03/12/2013 05:00:00,   59.77,   64.72,   52.72,   63.51,   67.64,   57.07
03/12/2013 05:05:00,   58.08,   63.35,   51.69,   61.59,   65.95,   55.48
03/12/2013 05:10:00,   57.75,   64.58,   51.25,   61.51,   67.47,   55.42
03/12/2013 05:15:00,   56.82,   63.15,   51.17,   60.11,   65.64,   55.26
03/12/2013 05:20:00,   57.63,   63.83,   50.69,   60.41,   66.32,   54.40
03/12/2013 05:25:00,   56.03,   61.60,   50.71,   59.80,   64.73,   54.78
03/12/2013 05:30:00,   56.76,   62.89,   51.26,   59.99,   65.37,   54.66
03/12/2013 05:35:00,   58.89,   64.25,   51.65,   62.38,   69.33,   55.35
03/12/2013 05:40:00,   58.22,   65.53,   51.46,   62.61,   68.61,   54.96
03/12/2013 05:45:00,   57.08,   62.90,   51.31,   60.81,   66.58,   55.00
03/12/2013 05:50:00,   57.03,   61.82,   51.66,   61.15,   66.02,   55.43
03/12/2013 05:55:00,   60.13,   65.56,   52.40,   63.86,   68.28,   57.02
03/12/2013 06:00:00,   58.63,   66.08,   51.31,   61.79,   67.94,   55.54
03/12/2013 06:05:00,   59.30,   65.17,   51.81,   62.82,   68.09,   56.14
03/12/2013 06:10:00,   60.03,   65.62,   51.86,   63.50,   69.09,   55.60
03/12/2013 06:15:00,   60.45,   66.37,   52.17,   63.70,   69.06,   56.21
