# noise_analysis run from DCC-NOISE-001011 at Wed Dec  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/12/2013 00:05:00,   58.32,   64.44,   51.79,   60.55,   65.94,   54.59
04/12/2013 00:10:00,   57.80,   65.32,   51.21,   60.21,   67.44,   53.97
04/12/2013 00:15:00,   60.13,   66.13,   51.78,   62.32,   67.67,   54.60
04/12/2013 00:20:00,   58.73,   65.05,   51.82,   60.74,   66.33,   54.99
04/12/2013 00:25:00,   58.35,   64.68,   51.61,   60.59,   66.23,   54.95
04/12/2013 00:30:00,   59.14,   65.98,   51.86,   61.83,   68.40,   55.11
04/12/2013 00:35:00,   59.93,   65.99,   51.46,   62.22,   68.31,   54.37
04/12/2013 00:40:00,   59.61,   65.74,   51.24,   61.40,   67.05,   54.47
04/12/2013 00:45:00,   57.58,   62.65,   51.23,   59.65,   65.12,   54.45
04/12/2013 00:50:00,   59.58,   64.29,   51.27,   61.02,   65.66,   54.11
04/12/2013 00:55:00,   55.21,   60.14,   50.73,   57.44,   61.44,   53.76
04/12/2013 01:00:00,   63.02,   72.03,   52.04,   66.83,   76.26,   55.19
04/12/2013 01:05:00,   56.70,   63.07,   50.54,   58.98,   64.78,   53.91
04/12/2013 01:10:00,   54.16,   57.79,   50.22,   56.50,   60.65,   53.41
04/12/2013 01:15:00,   55.77,   61.36,   50.34,   58.36,   63.50,   53.35
04/12/2013 01:20:00,   53.23,   56.37,   50.18,   55.96,   59.10,   53.36
04/12/2013 01:25:00,   53.61,   58.68,   49.84,   56.51,   61.68,   53.24
04/12/2013 01:30:00,   54.60,   58.67,   50.01,   57.19,   61.09,   53.17
04/12/2013 01:35:00,   56.13,   62.36,   49.79,   58.48,   64.49,   53.09
04/12/2013 01:40:00,   55.07,   60.42,   49.83,   56.98,   62.27,   52.99
04/12/2013 01:45:00,   56.67,   62.24,   50.00,   58.38,   63.33,   53.34
04/12/2013 01:50:00,   53.97,   59.45,   49.66,   55.98,   59.91,   52.90
04/12/2013 01:55:00,   55.25,   59.88,   49.93,   57.58,   61.57,   53.16
04/12/2013 02:00:00,   55.15,   59.71,   50.22,   57.22,   61.18,   53.39
04/12/2013 02:05:00,   55.80,   60.59,   49.77,   57.21,   60.54,   53.00
04/12/2013 02:10:00,   56.89,   62.36,   50.38,   58.50,   63.85,   53.53
04/12/2013 02:15:00,   55.87,   60.88,   50.09,   57.40,   61.16,   53.46
04/12/2013 02:20:00,   56.43,   61.74,   50.28,   58.47,   63.34,   53.37
04/12/2013 02:25:00,   53.71,   58.03,   50.06,   57.29,   60.81,   53.53
04/12/2013 02:30:00,   53.87,   59.65,   49.81,   55.79,   59.56,   53.08
04/12/2013 02:35:00,   53.57,   57.99,   49.77,   56.06,   60.05,   52.92
04/12/2013 02:40:00,   53.67,   58.12,   49.66,   56.08,   60.66,   52.89
04/12/2013 02:45:00,   53.49,   58.61,   49.70,   55.94,   60.21,   52.85
