# noise_analysis run from DCC-NOISE-001011 at Thu Dec  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/12/2013 00:05:00,   58.51,   63.88,   53.76,   61.40,   66.20,   56.78
05/12/2013 00:10:00,   59.40,   64.13,   53.55,   62.35,   66.33,   56.56
05/12/2013 00:15:00,   57.97,   63.60,   52.96,   60.69,   65.71,   55.95
05/12/2013 00:20:00,   61.70,   66.74,   53.68,   65.71,   71.33,   57.07
05/12/2013 00:25:00,   59.14,   64.01,   54.21,   63.04,   66.84,   57.32
05/12/2013 00:30:00,   60.20,   64.92,   53.41,   63.41,   68.16,   56.38
05/12/2013 00:35:00,   59.43,   63.11,   53.14,   61.64,   65.14,   55.92
05/12/2013 00:40:00,   57.11,   61.17,   52.46,   59.88,   63.72,   55.69
05/12/2013 00:45:00,   57.03,   60.91,   52.51,   61.68,   67.04,   55.71
05/12/2013 00:50:00,   59.28,   64.97,   53.15,   62.77,   68.74,   56.11
05/12/2013 00:55:00,   56.46,   59.41,   52.76,   61.28,   65.40,   56.29
05/12/2013 01:00:00,   57.73,   61.87,   53.00,   62.56,   67.55,   55.88
05/12/2013 01:05:00,   58.49,   63.38,   53.18,   61.94,   66.24,   56.34
05/12/2013 01:10:00,   56.95,   60.23,   52.44,   61.10,   65.10,   55.78
05/12/2013 01:15:00,   56.89,   61.37,   53.09,   59.63,   63.68,   55.84
05/12/2013 01:20:00,   56.28,   59.82,   52.12,   58.77,   61.88,   55.00
05/12/2013 01:25:00,   56.48,   61.92,   52.00,   60.68,   65.15,   55.07
05/12/2013 01:30:00,   56.09,   60.54,   52.18,   59.24,   63.18,   55.41
05/12/2013 01:35:00,   55.82,   61.53,   51.62,   58.32,   63.39,   54.56
