# noise_analysis run from DCC-NOISE-001011 at Fri Dec  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/12/2013 00:05:00,   59.19,   65.41,   53.38,   61.42,   67.05,   56.29
06/12/2013 00:10:00,   59.48,   65.81,   52.81,   61.44,   67.72,   55.67
06/12/2013 00:15:00,   59.65,   65.65,   52.34,   62.14,   67.49,   55.34
06/12/2013 00:20:00,   59.55,   65.94,   52.97,   61.88,   67.91,   55.80
06/12/2013 00:25:00,   58.64,   64.68,   53.27,   61.01,   66.13,   56.34
06/12/2013 00:30:00,   60.58,   65.79,   54.16,   63.50,   68.00,   57.25
06/12/2013 00:35:00,   56.89,   61.22,   52.49,   59.41,   63.59,   55.42
06/12/2013 00:40:00,   59.87,   66.71,   52.94,   61.81,   68.14,   55.70
06/12/2013 00:45:00,   57.57,   62.88,   53.04,   60.13,   64.59,   55.96
06/12/2013 00:50:00,   58.45,   63.65,   52.32,   60.95,   65.87,   55.33
06/12/2013 00:55:00,   56.87,   61.48,   52.20,   59.53,   64.20,   55.20
06/12/2013 01:00:00,   57.75,   63.01,   52.69,   60.13,   64.27,   55.67
06/12/2013 01:05:00,   59.30,   65.67,   52.85,   61.73,   67.27,   55.64
06/12/2013 01:10:00,   57.82,   63.58,   52.69,   60.42,   65.52,   55.59
06/12/2013 01:15:00,   57.80,   62.83,   52.63,   60.07,   64.67,   55.49
06/12/2013 01:20:00,   63.11,   72.70,   53.40,   66.87,   76.92,   56.71
06/12/2013 01:25:00,   55.73,   58.71,   51.85,   58.12,   60.54,   54.86
06/12/2013 01:30:00,   57.86,   64.69,   52.24,   60.06,   65.97,   55.35
06/12/2013 01:35:00,   56.35,   60.96,   52.41,   58.67,   62.68,   55.30
06/12/2013 01:40:00,   56.00,   60.19,   51.64,   58.34,   61.87,   54.69
06/12/2013 01:45:00,   57.03,   63.73,   52.10,   59.44,   65.29,   55.18
06/12/2013 01:50:00,   56.40,   60.71,   52.19,   58.76,   63.13,   55.11
06/12/2013 01:55:00,   57.03,   62.59,   51.80,   59.41,   64.09,   55.01
06/12/2013 02:00:00,   55.29,   59.78,   51.68,   57.65,   61.51,   54.66
06/12/2013 02:05:00,   56.55,   62.02,   51.51,   58.95,   64.26,   54.56
06/12/2013 02:10:00,   57.26,   63.37,   51.66,   59.31,   64.75,   54.85
06/12/2013 02:15:00,   56.13,   59.41,   52.19,   59.58,   62.31,   55.47
06/12/2013 02:20:00,   56.07,   61.45,   51.86,   58.56,   63.55,   54.91
06/12/2013 02:25:00,   53.92,   56.93,   51.41,   56.65,   59.25,   54.52
06/12/2013 02:30:00,   56.53,   62.62,   51.71,   58.69,   63.86,   54.56
06/12/2013 02:35:00,   56.03,   60.33,   51.44,   58.21,   61.88,   54.30
06/12/2013 02:40:00,   57.48,   62.55,   51.47,   59.96,   64.85,   54.60
06/12/2013 02:45:00,   54.70,   59.41,   51.10,   57.17,   61.07,   54.25
06/12/2013 02:50:00,   56.07,   61.77,   51.50,   58.34,   63.19,   54.48
06/12/2013 02:55:00,   53.93,   57.25,   50.94,   56.79,   59.89,   54.17
06/12/2013 03:00:00,   56.01,   61.48,   51.46,   58.34,   63.39,   54.42
