# noise_analysis run from DCC-NOISE-001011 at Sat Dec  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/12/2013 00:05:00,   58.91,   64.71,   51.96,   61.28,   66.44,   55.02
07/12/2013 00:10:00,   59.83,   65.14,   53.11,   62.28,   66.74,   57.07
07/12/2013 00:15:00,   59.60,   64.67,   53.01,   62.25,   67.15,   56.08
07/12/2013 00:20:00,   60.48,   65.70,   52.93,   62.84,   67.86,   56.32
07/12/2013 00:25:00,   63.00,   66.36,   53.43,   64.29,   67.94,   56.57
07/12/2013 00:30:00,   59.30,   65.33,   53.34,   62.01,   67.24,   56.38
07/12/2013 00:35:00,   59.18,   64.32,   53.39,   61.74,   66.31,   56.41
07/12/2013 00:40:00,   60.79,   65.92,   53.31,   62.91,   67.70,   56.47
07/12/2013 00:45:00,   59.30,   64.72,   53.17,   61.67,   66.50,   56.36
07/12/2013 00:50:00,   61.19,   66.16,   53.74,   63.83,   68.83,   56.56
07/12/2013 00:55:00,   60.85,   65.97,   53.96,   63.43,   68.23,   56.90
07/12/2013 01:00:00,   58.14,   64.20,   53.40,   60.64,   65.80,   56.49
07/12/2013 01:05:00,   60.48,   65.53,   53.19,   62.99,   67.34,   56.90
07/12/2013 01:10:00,   58.38,   65.50,   52.83,   61.06,   67.06,   56.63
07/12/2013 01:15:00,   59.85,   65.39,   53.97,   62.60,   67.06,   56.93
07/12/2013 01:20:00,   59.99,   65.39,   53.48,   62.15,   67.10,   56.62
07/12/2013 01:25:00,   59.82,   65.28,   53.12,   62.93,   67.95,   56.26
07/12/2013 01:30:00,   58.63,   65.14,   53.27,   61.27,   67.30,   56.01
07/12/2013 01:35:00,   59.37,   64.65,   53.21,   61.40,   66.29,   56.19
07/12/2013 01:40:00,   60.05,   65.94,   53.49,   61.88,   67.52,   56.12
07/12/2013 01:45:00,   58.15,   63.40,   53.55,   60.71,   65.10,   56.40
07/12/2013 01:50:00,   58.30,   63.89,   53.06,   60.54,   65.62,   55.99
07/12/2013 01:55:00,   57.78,   63.47,   52.82,   60.28,   65.35,   55.57
07/12/2013 02:00:00,   59.76,   64.85,   53.20,   62.14,   66.75,   56.17
07/12/2013 02:05:00,   60.23,   66.08,   53.33,   62.24,   67.71,   56.40
07/12/2013 02:10:00,   58.23,   62.27,   53.06,   60.34,   64.29,   56.10
07/12/2013 02:15:00,   59.79,   65.12,   53.25,   61.46,   66.52,   56.00
07/12/2013 02:20:00,   58.91,   63.56,   52.99,   60.66,   65.37,   55.71
07/12/2013 02:25:00,   58.59,   62.15,   53.10,   60.94,   63.91,   56.30
07/12/2013 02:30:00,   59.47,   63.64,   53.06,   61.36,   65.51,   56.38
07/12/2013 02:35:00,   58.52,   64.80,   52.07,   60.40,   66.42,   54.84
07/12/2013 02:40:00,   57.84,   63.22,   52.65,   59.86,   64.52,   55.46
07/12/2013 02:45:00,   59.14,   66.52,   52.43,   61.57,   68.11,   55.61
07/12/2013 02:50:00,   58.92,   65.26,   52.38,   61.39,   66.87,   56.20
07/12/2013 02:55:00,   59.30,   65.38,   53.40,   61.58,   66.88,   56.30
07/12/2013 03:00:00,   59.10,   65.21,   53.46,   61.03,   66.71,   56.36
07/12/2013 03:05:00,   57.80,   61.60,   53.48,   60.93,   64.67,   56.87
