# noise_analysis run from DCC-NOISE-001011 at Thu Dec 19 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
19/12/2013 00:05:00,   61.14,   66.67,   54.76,   64.71,   68.61,   57.62
19/12/2013 00:10:00,   60.65,   66.96,   54.00,   63.05,   68.48,   56.69
19/12/2013 00:15:00,   59.84,   65.71,   53.61,   62.64,   67.60,   56.69
19/12/2013 00:20:00,   59.63,   65.56,   54.59,   63.21,   68.13,   57.51
19/12/2013 00:25:00,   59.65,   64.42,   55.16,   63.15,   67.90,   57.93
19/12/2013 00:30:00,   60.52,   64.90,   55.37,   63.31,   68.08,   58.28
19/12/2013 00:35:00,   61.19,   66.36,   55.13,   64.07,   68.85,   57.86
19/12/2013 00:40:00,   57.91,   61.51,   54.01,   61.30,   65.07,   57.03
19/12/2013 00:45:00,   60.80,   66.62,   53.52,   63.55,   68.56,   56.43
19/12/2013 00:50:00,   59.90,   65.33,   54.05,   61.89,   66.49,   56.86
19/12/2013 00:55:00,   59.42,   65.32,   54.05,   61.49,   66.51,   56.69
19/12/2013 01:00:00,   64.12,   71.65,   53.87,   67.30,   75.57,   56.68
19/12/2013 01:05:00,   57.77,   61.67,   53.55,   61.24,   65.35,   56.52
19/12/2013 01:10:00,   60.82,   61.93,   52.99,   63.58,   64.61,   56.10
19/12/2013 01:15:00,   57.29,   62.06,   52.51,   60.02,   64.10,   55.58
19/12/2013 01:20:00,   58.41,   63.31,   53.53,   62.97,   66.89,   56.96
19/12/2013 01:25:00,   58.47,   62.20,   53.53,   62.35,   67.19,   56.96
19/12/2013 01:30:00,   58.27,   63.09,   53.52,   62.64,   67.36,   56.90
19/12/2013 01:35:00,   59.79,   64.31,   54.84,   66.73,   72.41,   58.60
19/12/2013 01:40:00,   58.41,   62.79,   54.13,   63.98,   68.37,   57.28
19/12/2013 01:45:00,   57.79,   61.28,   53.04,   64.90,   70.57,   56.83
19/12/2013 01:50:00,   58.63,   63.98,   52.96,   63.86,   69.51,   55.90
19/12/2013 01:55:00,   56.06,   58.98,   52.11,   59.84,   63.98,   55.46
19/12/2013 02:00:00,   58.27,   62.99,   52.64,   61.52,   66.07,   56.40
19/12/2013 02:05:00,   57.27,   62.62,   52.25,   60.10,   64.60,   55.59
19/12/2013 02:10:00,   56.39,   61.10,   51.81,   60.34,   64.97,   55.02
19/12/2013 02:15:00,   57.30,   61.49,   52.72,   59.89,   64.55,   55.50
19/12/2013 02:20:00,   55.88,   59.91,   51.66,   58.69,   62.28,   54.98
19/12/2013 02:25:00,   61.80,   69.60,   52.55,   65.71,   73.84,   56.15
19/12/2013 02:30:00,   59.32,   64.09,   52.10,   63.06,   67.13,   55.25
19/12/2013 02:35:00,   56.80,   62.15,   51.39,   59.97,   65.54,   54.82
19/12/2013 02:40:00,   58.49,   64.81,   52.12,   61.35,   67.18,   55.74
19/12/2013 02:45:00,   58.78,   63.31,   53.23,   61.35,   65.15,   56.18
19/12/2013 02:50:00,   55.52,   58.78,   51.92,   58.71,   62.07,   55.04
19/12/2013 02:55:00,   56.69,   62.05,   51.55,   59.04,   63.95,   54.81
19/12/2013 03:00:00,   55.92,   60.33,   52.16,   58.34,   61.90,   55.13
19/12/2013 03:05:00,   57.66,   64.99,   51.46,   59.66,   66.02,   54.60
19/12/2013 03:10:00,   58.22,   64.96,   51.67,   61.84,   67.35,   54.72
19/12/2013 03:15:00,   54.05,   55.97,   51.00,   57.17,   60.19,   54.24
19/12/2013 03:20:00,   57.16,   61.95,   52.51,   60.14,   64.15,   55.79
19/12/2013 03:25:00,   58.30,   64.26,   52.20,   60.84,   66.11,   55.31
19/12/2013 03:30:00,   58.04,   62.76,   52.29,   60.70,   64.91,   55.66
19/12/2013 03:35:00,   59.07,   65.32,   53.42,   61.80,   67.27,   56.53
19/12/2013 03:40:00,   58.99,   65.42,   52.83,   62.77,   68.05,   55.95
19/12/2013 03:45:00,   56.27,   60.47,   52.73,   58.90,   63.19,   55.50
19/12/2013 03:50:00,   56.51,   62.27,   51.91,   59.40,   64.35,   54.89
19/12/2013 03:55:00,   57.64,   62.93,   53.06,   61.47,   66.34,   56.00
19/12/2013 04:00:00,   57.05,   59.93,   53.53,   60.75,   63.85,   57.60
19/12/2013 04:05:00,   58.78,   65.01,   52.55,   61.43,   67.08,   55.87
19/12/2013 04:10:00,   60.76,   67.71,   53.13,   63.74,   70.04,   56.87
19/12/2013 04:15:00,   64.82,   72.11,   52.48,   68.15,   74.79,   55.90
19/12/2013 04:20:00,   56.70,   62.11,   51.44,   59.45,   64.23,   54.94
19/12/2013 04:25:00,   57.38,   62.10,   53.07,   60.61,   64.63,   56.62
19/12/2013 04:30:00,   57.60,   64.11,   52.59,   60.25,   65.89,   56.09
19/12/2013 04:35:00,   57.12,   62.24,   52.11,   61.26,   67.29,   55.86
19/12/2013 04:40:00,   58.45,   64.99,   52.61,   61.61,   66.80,   56.14
19/12/2013 04:45:00,   61.51,   66.71,   54.03,   67.96,   72.83,   57.82
19/12/2013 04:50:00,   58.24,   64.99,   52.24,   61.36,   67.20,   56.19
19/12/2013 04:55:00,   59.78,   65.20,   53.24,   62.74,   67.17,   56.59
19/12/2013 05:00:00,   60.01,   65.98,   52.34,   62.88,   68.33,   56.07
19/12/2013 05:05:00,   58.83,   63.97,   51.76,   60.99,   65.55,   55.61
19/12/2013 05:10:00,   60.41,   66.22,   52.17,   62.67,   67.94,   56.17
19/12/2013 05:15:00,   59.15,   64.60,   51.70,   61.90,   66.40,   55.87
19/12/2013 05:20:00,   58.26,   64.36,   51.94,   61.28,   66.72,   56.02
19/12/2013 05:25:00,   56.82,   61.33,   51.95,   60.63,   64.34,   56.08
19/12/2013 05:30:00,   58.37,   64.00,   52.22,   61.04,   65.44,   56.02
19/12/2013 05:35:00,   60.40,   67.27,   52.67,   63.19,   68.83,   56.20
19/12/2013 05:40:00,   58.89,   65.80,   52.53,   61.89,   67.68,   56.72
19/12/2013 05:45:00,   59.35,   64.76,   53.46,   62.38,   66.77,   57.51
19/12/2013 05:50:00,   60.98,   65.67,   53.85,   64.14,   68.49,   57.70
19/12/2013 05:55:00,   61.18,   67.03,   54.00,   64.55,   69.08,   57.74
19/12/2013 06:00:00,   61.19,   66.14,   53.69,   64.18,   68.42,   57.57
19/12/2013 06:05:00,   61.06,   67.14,   54.00,   64.03,   68.73,   58.58
19/12/2013 06:10:00,   59.97,   66.12,   54.64,   63.20,   69.07,   58.13
19/12/2013 06:15:00,   60.33,   66.58,   54.35,   63.46,   69.05,   58.00
19/12/2013 06:20:00,   60.39,   65.53,   55.94,   64.50,   68.29,   59.57
19/12/2013 06:25:00,   63.09,   67.92,   56.41,   69.41,   74.03,   60.48
19/12/2013 06:30:00,   59.51,   63.62,   54.49,   65.18,   69.77,   59.36
19/12/2013 06:35:00,   61.55,   67.19,   54.76,   65.41,   69.94,   58.86
19/12/2013 06:40:00,   63.12,   69.81,   55.72,   65.96,   72.06,   59.38
19/12/2013 06:45:00,   64.12,   68.57,   56.58,   67.38,   71.39,   60.47
19/12/2013 06:50:00,   61.28,   65.39,   56.84,   65.66,   70.25,   60.41
19/12/2013 06:55:00,   62.90,   67.78,   56.42,   65.90,   70.05,   60.76
19/12/2013 07:00:00,   62.73,   67.78,   56.87,   66.15,   70.19,   60.61
19/12/2013 07:05:00,   62.51,   68.99,   55.77,   65.63,   71.56,   59.47
19/12/2013 07:10:00,   63.42,   68.65,   55.88,   66.37,   70.83,   60.09
19/12/2013 07:15:00,   63.56,   68.89,   55.69,   66.03,   70.23,   59.50
19/12/2013 07:20:00,   63.39,   68.54,   55.54,   66.15,   70.36,   59.55
19/12/2013 07:25:00,   63.38,   68.85,   55.82,   65.79,   70.28,   59.14
19/12/2013 07:30:00,   63.45,   68.09,   55.74,   65.92,   69.90,   59.17
19/12/2013 07:35:00,   63.86,   67.55,   56.26,   66.86,   70.45,   60.15
19/12/2013 07:40:00,   64.07,   68.03,   57.80,   67.80,   71.50,   62.07
19/12/2013 07:45:00,   65.00,   68.78,   58.44,   67.73,   70.87,   62.20
19/12/2013 07:50:00,   65.68,   68.66,   59.90,   67.91,   70.55,   63.16
19/12/2013 07:55:00,   65.48,   69.17,   58.47,   67.66,   70.98,   62.52
19/12/2013 08:00:00,   65.20,   69.54,   58.12,   67.95,   71.68,   62.03
19/12/2013 08:05:00,   66.37,   69.30,   57.97,   68.89,   71.69,   62.33
19/12/2013 08:10:00,   63.13,   67.48,   56.31,   66.12,   69.97,   60.48
19/12/2013 08:15:00,   64.27,   68.58,   57.46,   67.76,   71.12,   61.98
19/12/2013 08:20:00,   64.95,   68.33,   56.42,   67.21,   70.23,   60.66
