# noise_analysis run from DCC-NOISE-001011 at Fri Dec 20 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/12/2013 00:05:00,   59.90,   65.14,   54.57,   62.27,   66.70,   57.75
20/12/2013 00:10:00,   60.70,   66.88,   54.88,   64.06,   69.45,   58.41
20/12/2013 00:15:00,   61.41,   66.40,   55.21,   63.56,   68.19,   58.06
20/12/2013 00:20:00,   60.07,   65.05,   55.21,   62.72,   66.95,   58.20
20/12/2013 00:25:00,   65.36,   69.13,   55.15,   66.70,   69.88,   58.16
20/12/2013 00:30:00,   60.10,   64.73,   54.87,   62.79,   66.88,   58.27
20/12/2013 00:35:00,   58.78,   63.09,   55.47,   61.93,   65.47,   58.70
20/12/2013 00:40:00,   61.99,   67.62,   55.21,   64.49,   69.26,   58.31
20/12/2013 00:45:00,   60.21,   65.58,   55.63,   62.79,   67.51,   58.53
20/12/2013 00:50:00,   60.23,   65.55,   55.72,   63.80,   68.20,   58.99
20/12/2013 00:55:00,   64.69,   72.15,   55.91,   68.24,   76.15,   59.35
20/12/2013 01:00:00,   61.57,   67.33,   55.11,   64.60,   69.44,   57.89
20/12/2013 01:05:00,   60.36,   63.33,   56.60,   64.89,   67.05,   59.46
20/12/2013 01:10:00,   59.88,   66.21,   54.69,   62.35,   67.85,   57.76
20/12/2013 01:15:00,   60.18,   64.90,   55.06,   63.06,   67.08,   57.94
20/12/2013 01:20:00,   58.24,   63.19,   53.62,   60.78,   65.21,   56.43
20/12/2013 01:25:00,   58.15,   63.06,   54.14,   60.56,   64.31,   56.97
20/12/2013 01:30:00,   60.08,   66.38,   53.79,   62.35,   67.81,   56.97
20/12/2013 01:35:00,   57.96,   62.71,   54.22,   60.75,   64.55,   57.20
20/12/2013 01:40:00,   59.89,   65.65,   54.99,   63.04,   67.55,   57.83
20/12/2013 01:45:00,   58.12,   63.96,   53.48,   60.93,   65.76,   56.80
20/12/2013 01:50:00,   58.29,   63.08,   53.70,   61.38,   65.53,   56.81
20/12/2013 01:55:00,   59.16,   65.08,   54.52,   61.50,   66.23,   57.59
20/12/2013 02:00:00,   60.13,   65.27,   54.30,   62.27,   67.07,   57.26
20/12/2013 02:05:00,   58.73,   63.45,   54.30,   61.11,   65.36,   57.12
20/12/2013 02:10:00,   58.47,   63.59,   53.89,   61.04,   65.48,   56.85
20/12/2013 02:15:00,   58.61,   63.81,   54.03,   61.03,   65.83,   57.11
20/12/2013 02:20:00,   59.01,   64.38,   54.27,   61.44,   65.99,   57.16
20/12/2013 02:25:00,   60.73,   65.54,   55.16,   63.11,   67.30,   58.03
20/12/2013 02:30:00,   59.73,   65.99,   53.59,   62.09,   67.73,   56.47
20/12/2013 02:35:00,   57.05,   59.32,   53.79,   61.25,   65.28,   56.97
20/12/2013 02:40:00,   59.74,   64.67,   54.01,   62.32,   66.89,   56.93
20/12/2013 02:45:00,   56.49,   59.88,   53.58,   59.01,   61.87,   56.42
20/12/2013 02:50:00,   58.40,   63.88,   53.26,   61.46,   66.33,   56.48
20/12/2013 02:55:00,   58.22,   62.81,   53.06,   61.39,   66.91,   56.21
20/12/2013 03:00:00,   57.87,   61.28,   53.83,   60.70,   64.23,   56.96
20/12/2013 03:05:00,   57.48,   61.38,   53.65,   60.34,   63.39,   56.95
20/12/2013 03:10:00,   59.96,   64.05,   56.35,   63.63,   67.31,   59.92
20/12/2013 03:15:00,   60.63,   65.00,   56.57,   63.33,   66.75,   59.57
20/12/2013 03:20:00,   58.95,   64.25,   53.98,   61.51,   66.13,   56.70
20/12/2013 03:25:00,   58.98,   65.57,   53.32,   61.59,   67.19,   56.83
20/12/2013 03:30:00,   58.17,   63.23,   53.46,   60.92,   66.08,   56.20
20/12/2013 03:35:00,   58.89,   63.80,   53.53,   61.14,   65.27,   56.59
20/12/2013 03:40:00,   58.88,   65.72,   53.20,   61.67,   67.82,   56.02
20/12/2013 03:45:00,   57.23,   62.34,   52.94,   59.71,   64.29,   55.82
20/12/2013 03:50:00,   58.99,   65.89,   52.83,   61.15,   67.53,   55.84
20/12/2013 03:55:00,   57.61,   62.04,   53.07,   60.29,   63.97,   56.14
20/12/2013 04:00:00,   58.46,   63.97,   53.12,   60.74,   65.82,   55.94
