# noise_analysis run from DCC-NOISE-001011 at Sat Dec 21 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
21/12/2013 00:05:00,   61.52,   65.77,   57.00,   67.54,   72.64,   60.28
21/12/2013 00:10:00,   61.63,   66.67,   56.90,   66.03,   69.67,   59.74
21/12/2013 00:15:00,   62.68,   66.50,   56.63,   66.43,   70.21,   59.46
21/12/2013 00:20:00,   62.84,   66.00,   56.63,   65.85,   69.55,   59.79
21/12/2013 00:25:00,   62.14,   66.12,   56.11,   66.34,   69.81,   59.47
21/12/2013 00:30:00,   61.12,   64.69,   56.02,   64.94,   68.22,   59.49
21/12/2013 00:35:00,   62.04,   66.56,   55.78,   65.30,   70.06,   58.61
21/12/2013 00:40:00,   61.21,   65.29,   55.82,   66.78,   71.16,   59.14
21/12/2013 00:45:00,   61.08,   65.36,   55.45,   64.69,   68.42,   58.91
21/12/2013 00:50:00,   62.31,   66.65,   54.89,   66.29,   70.31,   58.28
21/12/2013 00:55:00,   61.81,   66.75,   54.84,   66.25,   70.64,   57.75
21/12/2013 01:00:00,   61.10,   65.84,   54.96,   64.08,   68.07,   58.13
21/12/2013 01:05:00,   60.82,   65.17,   55.48,   63.92,   68.07,   58.78
21/12/2013 01:10:00,   59.99,   64.67,   55.31,   63.88,   67.66,   58.20
21/12/2013 01:15:00,   60.91,   64.88,   56.33,   65.26,   69.30,   59.38
21/12/2013 01:20:00,   59.47,   63.46,   54.87,   64.52,   68.60,   58.26
21/12/2013 01:25:00,   59.76,   64.92,   55.43,   64.73,   68.96,   58.34
21/12/2013 01:30:00,   61.21,   64.82,   55.81,   66.51,   69.79,   59.02
21/12/2013 01:35:00,   60.11,   65.64,   54.90,   64.14,   69.35,   58.01
21/12/2013 01:40:00,   60.62,   64.70,   55.12,   65.65,   69.99,   58.28
21/12/2013 01:45:00,   68.54,   68.42,   55.81,   69.91,   70.11,   58.92
21/12/2013 01:50:00,   62.05,   66.56,   56.13,   65.73,   69.73,   59.20
21/12/2013 01:55:00,   59.89,   64.35,   55.67,   65.50,   71.58,   58.81
21/12/2013 02:00:00,   59.45,   65.07,   55.29,   66.02,   70.73,   58.33
21/12/2013 02:06:00,   59.73,   64.32,   55.02,   63.60,   67.90,   58.31
21/12/2013 02:11:00,   60.41,   64.66,   55.48,   64.55,   69.03,   58.31
21/12/2013 02:16:00,   60.96,   65.36,   55.39,   63.63,   67.55,   58.60
21/12/2013 02:21:00,   59.71,   64.38,   54.95,   62.76,   66.97,   58.12
21/12/2013 02:26:00,   60.38,   64.08,   55.77,   63.48,   67.71,   58.67
21/12/2013 02:31:00,   59.50,   64.56,   55.64,   62.10,   66.32,   58.53
21/12/2013 02:36:00,   59.08,   62.22,   55.55,   61.65,   64.75,   58.27
21/12/2013 02:41:00,   60.69,   65.40,   56.30,   63.01,   67.22,   59.04
