# noise_analysis run from DCC-NOISE-001011 at Sun Dec 22 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
22/12/2013 00:05:00,   61.36,   66.70,   55.59,   64.13,   69.29,   58.74
22/12/2013 00:10:00,   59.89,   65.16,   54.80,   63.32,   67.77,   58.19
22/12/2013 00:15:00,   60.44,   66.32,   54.81,   63.00,   68.15,   57.78
22/12/2013 00:20:00,   59.82,   64.70,   55.42,   62.84,   66.98,   58.30
22/12/2013 00:25:00,   61.87,   66.66,   54.37,   64.46,   69.49,   57.44
22/12/2013 00:30:00,   59.08,   63.75,   55.09,   62.18,   66.43,   58.08
22/12/2013 00:35:00,   61.12,   65.88,   55.07,   63.77,   67.96,   58.16
22/12/2013 00:40:00,   58.70,   64.55,   53.84,   61.15,   66.54,   56.98
22/12/2013 00:45:00,   60.93,   66.63,   54.18,   63.14,   68.02,   57.12
22/12/2013 00:50:00,   61.82,   65.53,   56.18,   64.85,   68.37,   59.46
22/12/2013 00:55:00,   61.49,   66.69,   55.41,   63.88,   68.11,   58.01
22/12/2013 01:00:00,   59.29,   63.78,   54.92,   62.88,   67.32,   57.77
22/12/2013 01:05:00,   61.36,   66.54,   55.42,   63.58,   68.27,   58.51
22/12/2013 01:10:00,   61.17,   66.22,   55.58,   64.05,   68.41,   58.22
22/12/2013 01:15:00,   61.59,   65.90,   55.95,   65.40,   70.05,   59.03
22/12/2013 01:20:00,   60.56,   65.12,   54.50,   63.08,   67.25,   57.51
22/12/2013 01:25:00,   61.16,   65.98,   55.93,   64.74,   69.49,   58.45
22/12/2013 01:30:00,   63.45,   67.59,   56.79,   66.30,   69.96,   59.88
22/12/2013 01:35:00,   62.30,   66.11,   57.04,   65.66,   68.74,   60.01
22/12/2013 01:40:00,   59.21,   63.99,   54.17,   61.21,   65.45,   56.61
22/12/2013 01:45:00,   57.94,   62.72,   53.39,   60.11,   64.30,   56.25
22/12/2013 01:50:00,   58.57,   63.92,   53.69,   61.01,   66.07,   56.45
22/12/2013 01:55:00,   59.14,   65.10,   54.05,   61.78,   67.15,   56.90
22/12/2013 02:00:00,   59.28,   65.13,   53.96,   61.32,   66.40,   56.62
22/12/2013 02:05:00,   59.26,   64.85,   53.39,   61.93,   66.94,   56.22
22/12/2013 02:10:00,   58.02,   60.37,   54.41,   60.37,   63.11,   57.20
22/12/2013 02:15:00,   59.61,   64.56,   54.60,   62.13,   66.61,   57.25
22/12/2013 02:20:00,   58.81,   63.54,   54.06,   61.02,   65.28,   56.76
22/12/2013 02:25:00,   59.71,   65.51,   54.27,   61.88,   67.30,   57.18
22/12/2013 02:30:00,   60.11,   66.06,   54.80,   62.08,   67.50,   57.22
22/12/2013 02:35:00,   58.48,   62.65,   54.46,   61.33,   65.20,   57.24
22/12/2013 02:40:00,   59.39,   64.73,   54.22,   61.98,   66.89,   57.15
22/12/2013 02:45:00,   60.75,   66.37,   54.44,   62.76,   68.08,   57.14
22/12/2013 02:50:00,   59.09,   65.33,   53.93,   61.26,   66.93,   56.60
22/12/2013 02:55:00,   59.63,   64.60,   54.32,   63.06,   67.82,   56.97
22/12/2013 03:00:00,   59.59,   64.77,   54.60,   62.40,   66.88,   57.41
22/12/2013 03:05:00,   61.03,   67.00,   55.13,   63.21,   68.54,   57.61
22/12/2013 03:10:00,   58.81,   64.21,   54.24,   61.44,   66.11,   57.01
22/12/2013 03:15:00,   59.21,   64.59,   55.01,   61.89,   66.27,   57.61
22/12/2013 03:20:00,   61.00,   66.08,   55.12,   63.63,   68.63,   57.90
22/12/2013 03:25:00,   58.62,   62.36,   54.34,   61.27,   66.00,   56.90
22/12/2013 03:30:00,   60.10,   65.00,   55.13,   62.27,   66.57,   57.72
22/12/2013 03:35:00,   60.79,   65.61,   55.25,   63.15,   67.43,   58.37
22/12/2013 03:40:00,   60.37,   65.01,   54.37,   62.50,   66.67,   56.93
22/12/2013 03:45:00,   60.35,   65.84,   55.05,   62.89,   67.67,   57.77
22/12/2013 03:50:00,   60.89,   66.06,   55.53,   62.95,   67.59,   58.09
22/12/2013 03:55:00,   59.59,   63.54,   54.67,   61.61,   65.10,   57.40
22/12/2013 04:00:00,   59.84,   65.90,   55.21,   62.40,   67.81,   57.56
22/12/2013 04:05:00,   59.95,   65.83,   54.76,   62.48,   67.75,   57.53
22/12/2013 04:10:00,   59.90,   65.47,   55.56,   62.65,   67.47,   58.30
22/12/2013 04:15:00,   60.35,   65.50,   55.27,   63.81,   69.06,   58.21
