# noise_analysis run from DCC-NOISE-001011 at Mon Dec 23 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
23/12/2013 00:05:00,   58.57,   64.63,   53.63,   61.03,   66.78,   56.70
23/12/2013 00:10:00,   57.72,   62.65,   53.28,   60.25,   64.56,   56.21
23/12/2013 00:15:00,   59.87,   65.78,   53.05,   62.72,   67.76,   56.04
23/12/2013 00:20:00,   57.68,   63.43,   52.91,   60.36,   65.08,   56.04
23/12/2013 00:25:00,   59.14,   65.00,   53.71,   61.18,   66.29,   56.46
23/12/2013 00:30:00,   58.93,   63.75,   53.38,   60.95,   65.24,   56.39
23/12/2013 00:35:00,   60.57,   65.62,   53.72,   62.74,   67.54,   56.86
23/12/2013 00:40:00,   58.69,   65.53,   52.89,   61.48,   67.05,   56.66
23/12/2013 00:45:00,   57.31,   61.90,   52.74,   60.24,   64.33,   56.34
23/12/2013 00:50:00,   58.52,   63.69,   52.75,   60.57,   65.05,   55.95
23/12/2013 00:55:00,   56.44,   60.77,   51.92,   59.08,   62.96,   54.95
23/12/2013 01:00:00,   58.56,   64.63,   53.12,   60.70,   66.13,   56.27
23/12/2013 01:05:00,   58.51,   64.32,   52.70,   60.87,   65.85,   55.91
23/12/2013 01:10:00,   56.35,   61.61,   52.05,   58.61,   63.30,   55.03
23/12/2013 01:15:00,   57.05,   61.38,   52.24,   59.93,   63.85,   55.38
23/12/2013 01:20:00,   56.89,   62.37,   52.26,   59.23,   64.34,   55.16
23/12/2013 01:25:00,   57.66,   63.00,   52.19,   59.85,   64.26,   55.06
23/12/2013 01:30:00,   56.35,   61.17,   51.94,   58.76,   63.15,   55.05
23/12/2013 01:35:00,   58.16,   63.71,   52.24,   60.55,   65.57,   55.42
23/12/2013 01:40:00,   56.60,   60.76,   52.52,   58.88,   62.48,   55.59
23/12/2013 01:45:00,   56.25,   62.24,   51.52,   58.76,   63.76,   54.74
23/12/2013 01:50:00,   63.43,   72.72,   51.95,   66.79,   76.42,   55.18
23/12/2013 01:55:00,   56.12,   61.69,   51.17,   58.57,   63.54,   54.43
23/12/2013 02:00:00,   56.93,   63.97,   51.59,   59.13,   65.51,   54.64
23/12/2013 02:05:00,   55.19,   59.89,   51.18,   57.64,   61.94,   54.42
23/12/2013 02:10:00,   55.48,   60.16,   50.71,   57.99,   62.34,   54.03
23/12/2013 02:15:00,   55.30,   60.14,   50.55,   57.63,   61.77,   53.79
23/12/2013 02:20:00,   54.77,   59.14,   51.24,   57.13,   60.81,   54.35
23/12/2013 02:25:00,   57.34,   63.98,   50.80,   59.61,   65.75,   54.24
23/12/2013 02:30:00,   55.74,   60.62,   51.13,   58.20,   62.34,   54.42
23/12/2013 02:35:00,   55.55,   60.87,   50.58,   57.95,   62.71,   53.97
23/12/2013 02:40:00,   56.08,   62.41,   50.68,   58.46,   63.88,   54.05
23/12/2013 02:45:00,   57.07,   62.88,   50.73,   59.19,   64.25,   54.11
23/12/2013 02:50:00,   55.89,   60.81,   50.83,   58.22,   62.60,   54.17
23/12/2013 02:55:00,   53.57,   57.98,   50.29,   56.43,   60.13,   53.62
23/12/2013 03:00:00,   56.06,   61.02,   51.15,   58.99,   64.06,   54.53
23/12/2013 03:05:00,   55.43,   59.99,   50.98,   57.94,   62.08,   54.19
23/12/2013 03:10:00,   54.10,   58.02,   50.85,   57.03,   60.58,   54.24
23/12/2013 03:15:00,   56.85,   63.14,   50.62,   59.16,   65.22,   54.17
23/12/2013 03:20:00,   55.18,   60.51,   51.09,   57.64,   62.56,   54.30
23/12/2013 03:25:00,   56.64,   63.74,   51.18,   59.21,   65.59,   54.54
23/12/2013 03:30:00,   58.41,   63.73,   51.43,   60.16,   65.09,   54.39
23/12/2013 03:35:00,   56.46,   62.13,   50.99,   58.43,   63.95,   54.05
23/12/2013 03:40:00,   55.79,   62.32,   50.31,   58.33,   63.82,   53.93
23/12/2013 03:45:00,   55.44,   59.75,   50.93,   58.20,   62.10,   54.23
23/12/2013 03:50:00,   55.64,   61.22,   50.90,   57.97,   63.01,   54.25
23/12/2013 03:55:00,   57.41,   64.55,   50.31,   60.12,   66.12,   53.97
23/12/2013 04:00:00,   57.96,   65.43,   50.43,   60.64,   67.29,   54.00
23/12/2013 04:05:00,   54.85,   59.31,   49.89,   57.40,   61.12,   53.42
23/12/2013 04:10:00,   56.63,   62.34,   50.64,   59.00,   63.57,   53.99
23/12/2013 04:15:00,   55.39,   60.60,   50.49,   58.76,   62.95,   54.08
23/12/2013 04:20:00,   57.19,   63.06,   50.69,   59.54,   64.59,   54.22
23/12/2013 04:25:00,   56.32,   61.18,   50.58,   59.57,   64.87,   54.20
23/12/2013 04:30:00,   57.64,   64.21,   50.88,   60.00,   65.82,   54.28
23/12/2013 04:35:00,   58.91,   64.45,   51.86,   63.12,   67.40,   55.82
23/12/2013 04:40:00,   57.64,   65.20,   50.74,   60.27,   66.52,   55.12
23/12/2013 04:45:00,   56.64,   63.70,   50.64,   59.55,   65.36,   54.79
23/12/2013 04:50:00,   58.28,   65.33,   51.05,   61.61,   68.25,   55.09
23/12/2013 04:55:00,   56.52,   63.12,   51.10,   59.76,   65.52,   55.33
23/12/2013 05:00:00,   56.77,   64.25,   51.17,   59.55,   65.99,   55.07
23/12/2013 05:05:00,   61.85,   67.48,   51.27,   64.65,   69.83,   55.55
23/12/2013 05:10:00,   59.52,   66.21,   52.85,   62.91,   68.31,   57.00
23/12/2013 05:15:00,   59.67,   65.46,   52.72,   63.44,   68.28,   56.99
23/12/2013 05:20:00,   57.47,   62.35,   52.61,   61.05,   65.06,   56.92
23/12/2013 05:25:00,   59.12,   65.09,   52.55,   62.40,   68.14,   56.70
23/12/2013 05:30:00,   59.46,   65.87,   52.58,   62.46,   67.72,   56.46
23/12/2013 05:35:00,   59.39,   65.85,   52.33,   62.64,   68.25,   56.19
23/12/2013 05:40:00,   58.46,   64.70,   52.74,   61.35,   66.85,   56.68
23/12/2013 05:45:00,   60.95,   67.13,   53.06,   64.10,   69.89,   56.93
23/12/2013 05:50:00,   58.23,   64.35,   51.97,   61.09,   67.11,   55.84
23/12/2013 05:55:00,   62.92,   68.38,   53.70,   66.60,   71.67,   57.38
23/12/2013 06:00:00,   60.64,   66.23,   53.42,   63.50,   68.01,   57.59
23/12/2013 06:05:00,   61.26,   67.57,   53.79,   64.32,   69.36,   58.16
23/12/2013 06:10:00,   58.97,   65.14,   53.51,   62.08,   67.19,   57.62
23/12/2013 06:15:00,   60.75,   66.10,   54.41,   64.03,   68.19,   58.27
23/12/2013 06:20:00,   58.30,   63.28,   54.24,   61.61,   65.49,   58.06
23/12/2013 06:25:00,   61.03,   65.27,   55.85,   63.97,   67.24,   59.37
23/12/2013 06:30:00,   63.71,   68.57,   56.59,   67.58,   72.81,   60.85
23/12/2013 06:35:00,   60.75,   66.06,   56.07,   63.93,   67.68,   60.33
23/12/2013 06:40:00,   63.13,   68.50,   56.20,   66.27,   70.36,   60.70
23/12/2013 06:45:00,   62.72,   67.07,   57.19,   65.67,   69.05,   60.69
