# noise_analysis run from DCC-NOISE-001011 at Tue Dec 24 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
24/12/2013 00:05:00,   64.61,   67.26,   54.62,   70.67,   76.27,   58.52
24/12/2013 00:10:00,   58.85,   64.75,   53.48,   63.23,   67.57,   56.66
24/12/2013 00:15:00,   63.91,   67.28,   54.38,   70.45,   77.65,   57.85
24/12/2013 00:20:00,   60.98,   66.09,   54.92,   67.19,   73.14,   58.98
24/12/2013 00:25:00,   60.86,   65.99,   54.46,   66.55,   71.00,   58.18
24/12/2013 00:30:00,   63.54,   67.22,   54.87,   71.31,   78.30,   58.74
24/12/2013 00:35:00,   63.10,   67.74,   54.80,   69.21,   74.46,   57.98
24/12/2013 00:40:00,   63.46,   65.78,   54.85,   70.70,   77.23,   58.21
24/12/2013 00:45:00,   61.79,   66.49,   54.48,   69.47,   76.33,   58.07
24/12/2013 00:50:00,   60.33,   65.99,   54.68,   67.90,   74.11,   58.30
24/12/2013 00:55:00,   64.34,   71.67,   54.99,   69.07,   76.37,   58.95
24/12/2013 01:00:00,   61.70,   66.45,   54.51,   68.56,   74.12,   57.42
24/12/2013 01:05:00,   58.92,   64.30,   53.77,   64.26,   68.66,   57.48
24/12/2013 01:10:00,   58.96,   63.31,   53.64,   65.78,   72.83,   57.18
24/12/2013 01:15:00,   56.22,   58.73,   52.74,   61.46,   65.45,   56.39
24/12/2013 01:20:00,   60.66,   64.78,   54.43,   68.81,   73.80,   58.27
24/12/2013 01:25:00,   60.64,   65.37,   54.63,   67.26,   72.04,   58.24
24/12/2013 01:30:00,   58.83,   62.66,   53.98,   65.91,   71.34,   57.53
24/12/2013 01:35:00,   58.00,   61.43,   53.54,   64.16,   69.38,   57.06
24/12/2013 01:40:00,   56.81,   61.00,   53.11,   61.71,   65.61,   56.71
24/12/2013 01:45:00,   58.91,   63.51,   53.03,   67.37,   74.31,   56.50
24/12/2013 01:50:00,   60.78,   64.79,   53.58,   68.66,   75.95,   57.65
24/12/2013 01:55:00,   57.75,   62.28,   52.96,   62.94,   67.11,   56.96
24/12/2013 02:00:00,   58.02,   64.13,   52.76,   62.66,   68.31,   56.18
24/12/2013 02:05:00,   55.86,   59.67,   52.36,   60.09,   63.96,   55.91
24/12/2013 02:10:00,   61.96,   70.88,   52.42,   66.29,   74.78,   56.05
24/12/2013 02:15:00,   59.10,   61.89,   52.99,   63.99,   69.54,   56.64
24/12/2013 02:20:00,   57.50,   62.33,   52.53,   63.16,   67.99,   56.04
24/12/2013 02:25:00,   56.49,   59.84,   52.20,   63.50,   68.98,   55.53
24/12/2013 02:30:00,   56.82,   62.03,   52.55,   62.14,   66.38,   55.91
24/12/2013 02:35:00,   57.00,   61.88,   52.39,   63.91,   69.42,   56.26
24/12/2013 02:40:00,   55.78,   60.34,   51.48,   60.62,   65.52,   55.03
24/12/2013 02:45:00,   55.29,   57.92,   51.94,   60.54,   64.47,   55.71
24/12/2013 02:50:00,   58.27,   60.93,   51.50,   64.65,   68.18,   55.28
24/12/2013 02:55:00,   55.85,   58.26,   51.82,   60.76,   64.08,   55.95
24/12/2013 03:00:00,   57.55,   63.10,   52.99,   63.66,   69.72,   56.61
24/12/2013 03:05:00,   57.49,   61.18,   52.99,   61.86,   65.04,   56.25
24/12/2013 03:10:00,   57.05,   61.42,   52.53,   62.54,   66.84,   56.36
24/12/2013 03:15:00,   56.37,   60.38,   52.37,   62.64,   66.34,   56.04
24/12/2013 03:20:00,   56.39,   60.45,   51.96,   62.59,   68.01,   55.59
24/12/2013 03:25:00,   55.96,   59.30,   52.18,   61.54,   66.62,   55.96
24/12/2013 03:30:00,   56.11,   60.64,   51.91,   60.93,   65.45,   55.68
24/12/2013 03:35:00,   58.20,   62.73,   53.13,   64.31,   68.19,   56.59
24/12/2013 03:40:00,   57.82,   62.18,   53.55,   64.58,   70.11,   57.10
24/12/2013 03:45:00,   57.12,   61.29,   53.51,   62.10,   65.81,   57.20
24/12/2013 03:50:00,   59.81,   64.58,   53.42,   67.87,   73.64,   57.42
24/12/2013 03:55:00,   57.04,   60.26,   52.57,   62.94,   66.91,   56.32
24/12/2013 04:00:00,   57.21,   60.63,   51.95,   63.73,   69.08,   55.32
24/12/2013 04:05:00,   56.70,   61.84,   51.88,   60.96,   66.32,   55.44
24/12/2013 04:10:00,   55.58,   60.65,   51.43,   59.81,   64.86,   54.99
24/12/2013 04:15:00,   56.58,   62.98,   51.54,   60.95,   67.21,   54.96
24/12/2013 04:20:00,   56.50,   62.45,   51.24,   60.07,   65.62,   54.49
24/12/2013 04:25:00,   57.14,   62.81,   52.33,   62.08,   67.02,   55.66
24/12/2013 04:30:00,   58.65,   66.12,   52.32,   61.90,   67.83,   55.82
24/12/2013 04:35:00,   58.47,   65.05,   51.80,   62.22,   67.84,   55.51
24/12/2013 04:40:00,   56.32,   62.63,   51.23,   60.28,   65.95,   54.94
24/12/2013 04:45:00,   56.18,   62.50,   51.15,   59.30,   64.97,   54.92
24/12/2013 04:50:00,   55.82,   61.04,   51.10,   59.52,   64.92,   54.57
24/12/2013 04:55:00,   57.07,   63.05,   51.75,   60.19,   65.53,   55.32
24/12/2013 05:00:00,   56.96,   62.36,   52.10,   60.71,   65.51,   55.75
24/12/2013 05:05:00,   58.27,   64.52,   52.12,   61.57,   67.29,   55.74
24/12/2013 05:10:00,   59.66,   65.49,   52.11,   63.70,   67.99,   56.59
24/12/2013 05:15:00,   58.17,   63.94,   52.50,   62.24,   67.12,   56.63
24/12/2013 05:20:00,   60.46,   66.43,   53.08,   65.06,   69.35,   57.01
24/12/2013 05:25:00,   57.71,   63.19,   52.70,   63.26,   67.69,   57.01
24/12/2013 05:30:00,   59.22,   65.14,   53.20,   63.23,   68.14,   57.42
24/12/2013 05:35:00,   57.66,   62.23,   52.57,   62.15,   66.88,   56.31
24/12/2013 05:40:00,   57.95,   64.01,   52.94,   62.17,   67.44,   56.42
24/12/2013 05:45:00,   59.21,   64.45,   53.36,   63.13,   67.34,   57.24
24/12/2013 05:50:00,   58.74,   63.86,   52.94,   63.00,   67.77,   57.02
24/12/2013 05:55:00,   59.47,   64.27,   53.93,   64.55,   68.30,   58.49
24/12/2013 06:00:00,   58.76,   63.74,   53.48,   63.14,   67.38,   57.72
24/12/2013 06:05:00,   60.80,   66.75,   53.93,   63.89,   68.77,   57.97
24/12/2013 06:10:00,   58.14,   64.17,   52.77,   62.64,   68.63,   57.32
24/12/2013 06:15:00,   58.90,   65.06,   53.13,   63.03,   68.66,   57.58
24/12/2013 06:20:00,   58.02,   64.32,   52.96,   61.40,   66.19,   56.59
24/12/2013 06:25:00,   59.12,   64.54,   54.07,   63.65,   68.54,   58.16
24/12/2013 06:30:00,   58.23,   62.00,   54.35,   64.81,   69.79,   58.52
24/12/2013 06:35:00,   57.96,   62.79,   53.43,   62.57,   66.83,   57.32
24/12/2013 06:40:00,   59.67,   65.05,   54.21,   63.04,   67.56,   57.99
24/12/2013 06:45:00,   60.16,   66.10,   55.08,   66.03,   70.57,   59.11
24/12/2013 06:50:00,   60.83,   65.54,   55.90,   65.42,   69.20,   59.91
24/12/2013 06:55:00,   61.14,   65.56,   55.44,   66.08,   70.16,   59.48
24/12/2013 07:00:00,   62.33,   67.60,   55.74,   66.39,   71.04,   59.81
24/12/2013 07:05:00,   60.53,   65.93,   54.93,   64.64,   68.62,   59.41
24/12/2013 07:10:00,   62.80,   67.64,   55.86,   67.96,   72.58,   59.90
24/12/2013 07:15:00,   61.22,   65.32,   55.53,   67.27,   72.39,   59.51
24/12/2013 07:20:00,   63.28,   68.08,   56.25,   67.61,   71.68,   59.97
24/12/2013 07:25:00,   61.87,   65.98,   56.21,   67.23,   70.32,   60.12
24/12/2013 07:30:00,   62.73,   67.35,   55.40,   66.51,   70.42,   58.95
24/12/2013 07:35:00,   62.18,   66.76,   56.43,   67.47,   70.39,   60.53
24/12/2013 07:40:00,   62.25,   67.15,   56.14,   65.89,   70.22,   60.42
24/12/2013 07:45:00,   60.80,   65.67,   55.67,   64.19,   68.28,   59.38
24/12/2013 07:50:00,   63.85,   69.03,   55.99,   68.78,   73.31,   59.92
24/12/2013 07:55:00,   61.11,   66.26,   55.44,   65.15,   70.61,   59.25
24/12/2013 08:00:00,   63.05,   67.18,   55.88,   66.32,   70.80,   59.49
24/12/2013 08:05:00,   62.02,   66.99,   56.11,   66.42,   70.97,   59.90
24/12/2013 08:10:00,   62.64,   67.04,   56.38,   65.83,   69.27,   59.96
24/12/2013 08:15:00,   63.12,   68.74,   55.97,   66.34,   70.90,   59.65
24/12/2013 08:20:00,   61.74,   66.40,   55.73,   65.39,   69.23,   59.80
24/12/2013 08:25:00,   61.62,   66.02,   55.49,   65.02,   68.84,   59.53
24/12/2013 08:30:00,   62.50,   67.80,   55.83,   66.36,   71.71,   59.87
24/12/2013 08:35:00,   63.00,   66.57,   55.78,   67.78,   72.81,   59.59
24/12/2013 08:40:00,   62.09,   65.91,   55.92,   65.85,   69.35,   59.52
24/12/2013 08:45:00,   62.42,   66.41,   56.46,   65.70,   69.39,   60.35
24/12/2013 08:50:00,   62.35,   66.80,   55.62,   65.83,   69.83,   59.75
