# noise_analysis run from DCC-NOISE-001011 at Wed Dec 25 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
25/12/2013 00:05:00,   54.83,   60.37,   50.37,   57.25,   62.21,   53.50
25/12/2013 00:10:00,   55.15,   60.01,   50.73,   57.58,   61.96,   53.72
25/12/2013 00:15:00,   56.26,   62.74,   50.41,   59.03,   64.82,   53.36
25/12/2013 00:20:00,   56.36,   63.03,   50.39,   58.35,   64.45,   53.51
25/12/2013 00:25:00,   55.88,   62.30,   49.82,   57.96,   63.72,   53.02
25/12/2013 00:30:00,   53.28,   56.88,   50.11,   55.80,   58.74,   53.35
25/12/2013 00:35:00,   55.19,   62.35,   49.83,   57.42,   64.02,   52.95
25/12/2013 00:40:00,   54.77,   59.95,   49.93,   57.09,   61.82,   53.16
25/12/2013 00:45:00,   53.97,   59.52,   49.35,   56.35,   61.50,   52.74
25/12/2013 00:50:00,   53.74,   59.32,   49.77,   56.26,   61.25,   53.03
25/12/2013 00:55:00,   55.44,   62.25,   49.87,   57.88,   64.08,   53.03
25/12/2013 01:00:00,   57.55,   63.95,   49.61,   59.84,   65.96,   53.11
25/12/2013 01:05:00,   54.93,   58.65,   49.71,   57.21,   60.61,   53.09
25/12/2013 01:10:00,   54.23,   57.83,   49.54,   56.71,   60.00,   52.79
25/12/2013 01:15:00,   56.46,   63.45,   49.85,   58.45,   64.90,   53.19
25/12/2013 01:20:00,   56.71,   62.00,   49.83,   58.83,   63.64,   53.32
25/12/2013 01:25:00,   54.43,   59.39,   49.44,   56.75,   61.02,   52.87
25/12/2013 01:30:00,   52.22,   56.24,   48.85,   55.40,   58.74,   52.52
25/12/2013 01:35:00,   54.12,   58.90,   49.19,   56.53,   61.46,   52.46
25/12/2013 01:40:00,   51.39,   53.34,   49.20,   54.06,   55.51,   52.47
25/12/2013 01:45:00,   53.61,   57.57,   49.02,   56.20,   59.83,   52.50
25/12/2013 01:50:00,   53.05,   57.37,   48.86,   56.18,   59.96,   52.41
25/12/2013 01:55:00,   52.34,   57.08,   48.68,   55.03,   59.19,   52.12
25/12/2013 02:00:00,   53.51,   57.78,   49.10,   56.04,   60.39,   52.51
25/12/2013 02:05:00,   54.74,   60.23,   49.33,   56.94,   61.97,   52.67
25/12/2013 02:10:00,   52.30,   57.20,   48.92,   54.92,   59.05,   52.44
25/12/2013 02:15:00,   55.45,   61.84,   49.33,   57.44,   63.04,   52.62
25/12/2013 02:20:00,   53.39,   58.81,   48.81,   55.69,   60.43,   52.25
25/12/2013 02:25:00,   55.76,   64.08,   49.00,   58.21,   65.52,   52.54
25/12/2013 02:30:00,   52.64,   55.95,   48.54,   55.12,   57.93,   51.91
25/12/2013 02:35:00,   53.93,   59.39,   49.00,   56.31,   60.76,   52.39
25/12/2013 02:40:00,   51.63,   55.86,   48.26,   54.32,   56.87,   51.71
25/12/2013 02:45:00,   53.30,   59.03,   48.64,   55.40,   60.11,   52.06
25/12/2013 02:50:00,   53.09,   58.68,   48.59,   55.48,   60.57,   52.10
25/12/2013 02:55:00,   50.88,   53.12,   47.98,   53.64,   54.61,   51.56
25/12/2013 03:00:00,   53.50,   59.71,   48.38,   55.95,   61.33,   52.04
25/12/2013 03:05:00,   49.90,   51.69,   48.14,   53.02,   54.14,   51.72
25/12/2013 03:10:00,   53.08,   58.53,   48.08,   55.80,   60.35,   51.72
25/12/2013 03:15:00,   50.68,   51.09,   48.23,   53.64,   53.94,   51.82
25/12/2013 03:20:00,   51.87,   57.44,   48.26,   54.83,   59.61,   51.90
25/12/2013 03:25:00,   51.54,   54.88,   48.50,   54.82,   57.28,   52.35
25/12/2013 03:30:00,   49.98,   51.54,   48.25,   53.50,   54.96,   52.04
25/12/2013 03:35:00,   53.58,   58.94,   48.64,   56.00,   60.61,   52.22
25/12/2013 03:40:00,   53.66,   56.48,   48.57,   55.97,   59.43,   52.08
25/12/2013 03:45:00,   50.55,   54.53,   48.13,   53.22,   55.14,   51.64
25/12/2013 03:50:00,   52.30,   57.59,   48.18,   54.53,   57.33,   51.98
25/12/2013 03:55:00,   52.03,   57.40,   48.21,   54.85,   59.35,   51.93
25/12/2013 04:00:00,   49.99,   51.71,   48.23,   53.64,   54.68,   51.98
25/12/2013 04:05:00,   50.72,   52.37,   48.42,   53.69,   54.72,   51.97
25/12/2013 04:10:00,   49.13,   49.77,   48.01,   52.58,   52.99,   51.73
25/12/2013 04:15:00,   50.84,   52.68,   48.28,   54.28,   55.98,   51.89
25/12/2013 04:20:00,   50.18,   52.16,   48.20,   54.19,   56.99,   51.88
25/12/2013 04:25:00,   49.30,   50.27,   47.82,   52.76,   53.38,   51.48
25/12/2013 04:30:00,   50.54,   52.33,   48.06,   53.73,   55.60,   51.63
25/12/2013 04:35:00,   50.29,   50.74,   48.01,   53.82,   55.05,   51.55
25/12/2013 04:40:00,   49.77,   51.32,   48.32,   52.89,   53.83,   51.78
25/12/2013 04:45:00,   49.31,   50.04,   48.28,   52.60,   53.03,   51.84
25/12/2013 04:50:00,   50.89,   56.14,   48.03,   54.05,   58.36,   51.72
25/12/2013 04:55:00,   51.25,   52.19,   47.94,   53.94,   55.08,   51.51
25/12/2013 05:00:00,   51.36,   52.73,   48.29,   54.24,   55.47,   52.01
25/12/2013 05:05:00,   49.50,   50.36,   48.41,   52.87,   53.75,   51.98
25/12/2013 05:10:00,   49.71,   50.89,   48.54,   53.09,   54.22,   52.05
25/12/2013 05:15:00,   49.65,   50.15,   48.57,   52.99,   53.48,   52.04
25/12/2013 05:20:00,   49.99,   51.56,   48.61,   53.14,   54.36,   52.00
25/12/2013 05:25:00,   49.89,   50.73,   48.79,   53.19,   53.84,   52.21
25/12/2013 05:30:00,   52.80,   58.28,   48.77,   55.85,   60.46,   52.38
25/12/2013 05:35:00,   52.42,   56.94,   48.73,   55.01,   59.86,   52.15
25/12/2013 05:40:00,   49.74,   50.24,   48.53,   52.83,   53.26,   51.87
25/12/2013 05:45:00,   51.05,   52.44,   48.71,   53.85,   54.72,   52.09
25/12/2013 05:50:00,   51.28,   52.84,   49.08,   54.17,   55.34,   52.48
25/12/2013 05:55:00,   52.47,   57.66,   49.07,   55.25,   59.86,   52.38
25/12/2013 06:00:00,   53.33,   58.82,   49.30,   55.94,   60.69,   52.78
25/12/2013 06:05:00,   53.62,   58.07,   49.23,   56.31,   60.51,   52.84
25/12/2013 06:10:00,   52.66,   56.87,   49.42,   55.27,   59.29,   52.89
25/12/2013 06:15:00,   52.46,   56.04,   49.43,   55.43,   58.33,   52.90
25/12/2013 06:20:00,   53.58,   58.77,   49.59,   56.54,   61.48,   53.17
25/12/2013 06:25:00,   50.49,   52.05,   49.21,   54.06,   55.41,   52.96
25/12/2013 06:30:00,   59.37,   69.03,   49.82,   62.70,   72.66,   53.58
25/12/2013 06:35:00,   52.24,   54.47,   49.84,   55.78,   57.52,   53.58
25/12/2013 06:40:00,   53.83,   57.42,   50.37,   56.99,   60.94,   54.13
25/12/2013 06:45:00,   60.58,   67.93,   51.92,   63.71,   70.73,   55.83
25/12/2013 06:50:00,   59.32,   66.48,   52.14,   62.25,   68.96,   55.67
25/12/2013 06:55:00,   63.15,   70.19,   51.97,   65.38,   72.13,   55.96
25/12/2013 07:00:00,   61.69,   67.94,   52.47,   64.18,   70.09,   56.71
25/12/2013 07:05:00,   54.21,   59.16,   50.14,   57.49,   61.73,   53.99
25/12/2013 07:10:00,   56.12,   63.86,   50.39,   58.44,   65.17,   54.02
25/12/2013 07:15:00,   54.16,   60.31,   50.00,   56.86,   61.82,   53.65
25/12/2013 07:20:00,   54.13,   58.12,   49.90,   56.79,   59.82,   53.57
25/12/2013 07:25:00,   54.05,   56.61,   50.07,   56.88,   58.87,   53.67
25/12/2013 07:30:00,   53.24,   55.66,   50.52,   56.25,   58.28,   54.19
25/12/2013 07:35:00,   51.60,   53.67,   49.73,   54.84,   56.37,   53.44
25/12/2013 07:40:00,   55.58,   61.31,   50.49,   57.80,   62.84,   53.84
25/12/2013 07:45:00,   56.64,   62.98,   50.50,   58.58,   63.73,   53.87
25/12/2013 07:50:00,   57.93,   63.66,   52.19,   59.73,   65.24,   54.99
25/12/2013 07:55:00,   56.57,   61.60,   51.81,   58.46,   62.97,   54.68
25/12/2013 08:00:00,   55.51,   60.37,   51.15,   57.40,   61.34,   54.14
25/12/2013 08:05:00,   55.51,   59.48,   50.90,   57.08,   59.79,   54.10
25/12/2013 08:10:00,   53.73,   57.30,   50.73,   56.16,   58.32,   54.15
25/12/2013 08:15:00,   54.14,   57.92,   50.64,   56.52,   59.68,   54.09
25/12/2013 08:20:00,   53.48,   56.53,   50.38,   55.99,   58.07,   53.76
25/12/2013 08:25:00,   53.92,   58.85,   50.28,   56.66,   61.25,   53.85
25/12/2013 08:30:00,   54.51,   60.12,   50.03,   56.88,   61.38,   53.75
25/12/2013 08:35:00,   54.87,   59.31,   50.18,   57.07,   60.56,   53.74
25/12/2013 08:40:00,   56.96,   64.99,   50.25,   59.09,   65.64,   53.81
25/12/2013 08:45:00,   52.65,   55.03,   50.71,   55.60,   57.29,   54.10
25/12/2013 08:50:00,   53.67,   57.97,   50.69,   56.59,   60.19,   54.26
25/12/2013 08:55:00,   56.34,   61.54,   51.01,   58.85,   63.58,   54.70
25/12/2013 09:00:00,   57.75,   64.21,   51.31,   60.11,   65.44,   55.10
25/12/2013 09:05:00,   55.22,   59.88,   50.56,   57.83,   61.60,   54.32
25/12/2013 09:10:00,   55.67,   62.62,   50.65,   58.01,   63.93,   54.29
25/12/2013 09:15:00,   51.87,   53.87,   50.23,   55.07,   56.45,   53.84
25/12/2013 09:20:00,   55.18,   60.01,   50.44,   57.72,   61.79,   54.19
25/12/2013 09:25:00,   53.32,   56.15,   50.54,   56.27,   58.76,   54.27
25/12/2013 09:30:00,   55.18,   60.12,   50.91,   57.82,   62.15,   54.51
25/12/2013 09:35:00,   56.19,   61.39,   51.14,   59.45,   64.23,   54.76
25/12/2013 09:40:00,   55.23,   60.32,   50.68,   57.63,   62.40,   54.27
25/12/2013 09:45:00,   58.34,   64.76,   51.23,   60.40,   66.21,   54.65
25/12/2013 09:50:00,   56.77,   61.86,   51.86,   59.13,   63.95,   55.17
25/12/2013 09:55:00,   58.77,   64.15,   53.26,   60.59,   65.37,   56.18
25/12/2013 10:00:00,   57.56,   63.29,   51.98,   59.79,   64.95,   55.43
25/12/2013 10:05:00,   57.24,   62.84,   51.47,   59.44,   64.15,   54.86
25/12/2013 10:10:00,   57.21,   62.23,   52.23,   60.33,   64.43,   56.05
25/12/2013 10:15:00,   55.85,   61.66,   51.35,   58.49,   64.07,   54.92
25/12/2013 10:20:00,   57.69,   62.33,   52.03,   60.49,   65.24,   55.47
25/12/2013 10:25:00,   57.87,   62.04,   52.03,   60.18,   63.92,   55.35
25/12/2013 10:30:00,   58.75,   64.92,   52.71,   60.96,   66.14,   55.83
25/12/2013 10:35:00,   58.53,   65.61,   52.21,   60.83,   66.84,   55.80
25/12/2013 10:40:00,   60.20,   64.66,   52.54,   61.75,   65.75,   55.81
25/12/2013 10:45:00,   60.34,   64.19,   53.60,   61.73,   65.18,   56.50
25/12/2013 10:50:00,   60.31,   64.47,   52.14,   63.25,   67.71,   55.61
25/12/2013 10:55:00,   63.67,   66.65,   61.26,   64.85,   67.88,   62.47
25/12/2013 11:00:00,   60.82,   65.16,   53.62,   62.42,   66.23,   56.60
25/12/2013 11:05:00,   59.94,   64.94,   54.12,   62.05,   66.33,   57.06
25/12/2013 11:10:00,   59.65,   65.46,   52.44,   61.60,   67.02,   55.40
25/12/2013 11:15:00,   59.20,   64.93,   53.05,   61.71,   66.27,   56.31
25/12/2013 11:20:00,   57.68,   64.29,   50.88,   59.76,   65.78,   54.11
25/12/2013 11:25:00,   59.18,   64.95,   51.11,   61.16,   65.97,   54.37
25/12/2013 11:30:00,   57.27,   63.67,   50.29,   59.56,   65.70,   53.59
25/12/2013 11:35:00,   57.93,   65.11,   50.45,   59.88,   66.52,   53.80
25/12/2013 11:40:00,   57.49,   63.55,   50.11,   60.28,   65.48,   53.72
25/12/2013 11:45:00,   57.94,   64.80,   49.93,   59.99,   66.34,   53.30
25/12/2013 11:50:00,   56.13,   61.74,   50.30,   58.46,   63.35,   53.64
25/12/2013 11:55:00,   58.97,   65.38,   50.88,   61.21,   66.58,   54.28
25/12/2013 12:00:00,   58.12,   63.91,   50.86,   60.13,   65.54,   54.07
25/12/2013 12:05:00,   58.47,   63.46,   49.98,   60.97,   65.61,   53.87
25/12/2013 12:10:00,   57.75,   63.70,   50.66,   60.38,   65.64,   53.81
25/12/2013 12:15:00,   56.97,   63.01,   49.40,   59.45,   64.36,   53.04
25/12/2013 12:20:00,   56.38,   63.22,   49.65,   58.53,   64.83,   52.99
25/12/2013 12:25:00,   58.24,   64.19,   49.71,   60.21,   65.69,   53.12
25/12/2013 12:30:00,   57.74,   63.82,   50.36,   59.98,   65.28,   53.70
25/12/2013 12:35:00,   56.21,   60.85,   50.23,   59.02,   63.22,   53.49
25/12/2013 12:40:00,   58.74,   65.45,   49.26,   61.01,   66.70,   53.35
25/12/2013 12:45:00,   59.76,   65.67,   49.92,   62.21,   67.72,   53.22
25/12/2013 12:50:00,   58.96,   65.68,   49.75,   60.97,   67.21,   52.91
25/12/2013 12:55:00,   59.90,   65.44,   50.86,   62.29,   67.23,   54.18
25/12/2013 13:00:00,   58.01,   63.72,   48.32,   59.67,   65.40,   51.76
25/12/2013 13:05:00,   57.88,   63.70,   49.56,   60.18,   65.24,   53.18
25/12/2013 13:10:00,   58.74,   65.06,   49.41,   60.82,   66.72,   52.89
25/12/2013 13:15:00,   57.24,   63.97,   49.48,   59.32,   65.51,   52.77
25/12/2013 13:20:00,   58.01,   64.38,   49.34,   60.19,   66.13,   52.90
25/12/2013 13:25:00,   58.47,   63.69,   49.80,   60.66,   65.28,   53.27
25/12/2013 13:30:00,   57.36,   64.13,   49.62,   59.76,   65.79,   53.04
25/12/2013 13:35:00,   57.41,   63.65,   49.89,   59.55,   65.11,   53.24
25/12/2013 13:40:00,   59.49,   65.31,   49.97,   61.75,   67.05,   53.62
25/12/2013 13:45:00,   58.57,   64.64,   50.05,   60.72,   66.03,   53.42
25/12/2013 13:50:00,   57.58,   65.15,   49.77,   59.61,   66.39,   53.16
25/12/2013 13:55:00,   59.81,   66.06,   49.75,   61.75,   67.37,   53.30
25/12/2013 14:00:00,   59.85,   64.77,   50.93,   62.03,   66.42,   54.81
25/12/2013 14:05:00,   57.44,   63.97,   50.63,   59.89,   66.43,   53.85
25/12/2013 14:10:00,   59.17,   65.27,   50.05,   61.07,   66.47,   53.31
25/12/2013 14:15:00,   58.13,   65.35,   50.06,   60.34,   66.84,   53.33
25/12/2013 14:20:00,   57.88,   65.11,   49.49,   60.63,   67.72,   53.15
25/12/2013 14:25:00,   56.95,   63.36,   50.87,   59.17,   64.81,   53.85
25/12/2013 14:30:00,   58.51,   63.92,   51.69,   60.48,   65.39,   54.55
25/12/2013 14:35:00,   56.62,   63.23,   49.87,   58.85,   64.90,   53.07
25/12/2013 14:40:00,   59.40,   65.03,   50.25,   61.29,   66.65,   53.80
25/12/2013 14:45:00,   58.84,   65.50,   50.91,   61.66,   67.10,   54.50
25/12/2013 14:50:00,   58.33,   63.94,   50.80,   60.69,   65.91,   54.37
25/12/2013 14:55:00,   58.40,   64.75,   50.39,   60.36,   66.29,   53.68
25/12/2013 15:00:00,   57.43,   63.31,   50.47,   59.75,   65.25,   53.85
25/12/2013 15:05:00,   59.56,   64.06,   51.44,   61.72,   65.76,   54.66
25/12/2013 15:10:00,   58.14,   65.19,   50.85,   60.64,   67.06,   54.28
25/12/2013 15:15:00,   57.47,   63.86,   51.56,   59.83,   65.41,   54.92
25/12/2013 15:20:00,   58.99,   65.39,   51.48,   61.18,   66.93,   54.75
25/12/2013 15:25:00,   59.24,   65.82,   51.32,   61.16,   67.15,   54.54
25/12/2013 15:30:00,   57.87,   62.55,   51.43,   60.02,   64.34,   54.75
25/12/2013 15:35:00,   57.26,   62.73,   50.87,   59.38,   64.50,   54.21
25/12/2013 15:40:00,   58.34,   64.00,   51.06,   60.46,   65.65,   54.30
25/12/2013 15:45:00,   57.13,   62.51,   50.81,   59.44,   64.42,   54.17
25/12/2013 15:50:00,   58.47,   64.67,   51.50,   60.38,   65.70,   54.54
25/12/2013 15:55:00,   58.57,   65.69,   51.42,   60.51,   67.09,   54.51
25/12/2013 16:00:00,   58.66,   64.96,   51.46,   60.73,   66.46,   54.43
25/12/2013 16:05:00,   57.58,   64.02,   50.64,   59.93,   65.52,   54.06
25/12/2013 16:10:00,   57.49,   63.60,   50.64,   59.70,   65.09,   53.92
25/12/2013 16:15:00,   58.17,   64.93,   51.10,   62.49,   68.97,   54.40
25/12/2013 16:20:00,   57.03,   63.13,   50.89,   59.27,   64.86,   53.99
25/12/2013 16:25:00,   57.66,   64.27,   50.56,   59.85,   66.25,   53.91
25/12/2013 16:30:00,   55.93,   60.84,   51.05,   58.35,   62.69,   54.22
25/12/2013 16:35:00,   57.67,   63.24,   51.09,   59.82,   64.74,   54.01
25/12/2013 16:40:00,   57.20,   61.94,   51.24,   59.60,   63.85,   54.34
25/12/2013 16:45:00,   56.36,   62.43,   50.86,   58.47,   63.99,   53.88
25/12/2013 16:50:00,   56.61,   62.34,   50.31,   58.87,   63.86,   53.59
25/12/2013 16:55:00,   55.80,   61.96,   49.79,   58.28,   63.56,   53.38
25/12/2013 17:00:00,   56.81,   63.98,   50.53,   59.29,   65.95,   54.00
25/12/2013 17:05:00,   57.25,   63.54,   50.46,   59.56,   65.80,   53.80
25/12/2013 17:10:00,   55.24,   60.72,   50.18,   57.88,   62.87,   53.67
25/12/2013 17:15:00,   58.22,   63.66,   51.29,   60.32,   65.20,   54.65
25/12/2013 17:20:00,   56.24,   61.63,   51.05,   59.12,   64.11,   54.12
25/12/2013 17:25:00,   57.80,   64.31,   50.57,   60.28,   66.51,   53.85
25/12/2013 17:30:00,   55.66,   61.43,   50.48,   58.30,   63.54,   53.84
25/12/2013 17:35:00,   59.15,   64.73,   50.75,   61.39,   66.13,   54.29
25/12/2013 17:40:00,   56.15,   62.49,   50.42,   58.51,   64.59,   53.86
25/12/2013 17:45:00,   56.52,   62.39,   50.64,   58.96,   64.34,   53.95
25/12/2013 17:50:00,   57.20,   62.63,   51.41,   59.38,   64.24,   54.42
25/12/2013 17:55:00,   56.37,   63.09,   50.83,   58.63,   64.40,   53.94
25/12/2013 18:00:00,   57.86,   64.37,   51.19,   60.15,   65.69,   54.20
25/12/2013 18:05:00,   57.87,   63.46,   50.45,   59.95,   64.84,   53.51
25/12/2013 18:10:00,   58.03,   65.09,   50.59,   60.15,   66.23,   53.87
25/12/2013 18:15:00,   56.65,   62.75,   51.14,   59.83,   64.96,   54.46
25/12/2013 18:20:00,   57.87,   64.71,   50.68,   60.29,   66.26,   54.05
25/12/2013 18:25:00,   57.70,   64.04,   51.12,   59.80,   65.82,   54.22
25/12/2013 18:30:00,   56.61,   62.32,   50.67,   59.01,   63.94,   53.86
25/12/2013 18:35:00,   57.15,   63.99,   50.87,   59.28,   65.51,   54.11
25/12/2013 18:40:00,   58.97,   63.52,   51.16,   61.58,   65.85,   54.39
25/12/2013 18:45:00,   58.40,   64.44,   51.19,   60.43,   65.84,   54.47
25/12/2013 18:50:00,   55.56,   60.06,   51.14,   58.40,   63.13,   54.44
25/12/2013 18:55:00,   58.41,   63.75,   52.08,   60.79,   65.48,   55.23
25/12/2013 19:00:00,   57.76,   64.09,   51.82,   60.41,   65.99,   54.93
25/12/2013 19:05:00,   58.44,   63.75,   51.99,   60.32,   65.37,   54.88
25/12/2013 19:10:00,   58.16,   65.60,   51.96,   60.11,   66.40,   54.99
25/12/2013 19:15:00,   56.41,   63.04,   51.28,   58.85,   64.37,   54.56
25/12/2013 19:20:00,   58.76,   63.10,   52.55,   60.75,   64.97,   55.30
25/12/2013 19:25:00,   58.28,   64.76,   51.84,   60.71,   66.11,   54.83
25/12/2013 19:30:00,   55.67,   60.40,   51.57,   58.24,   62.53,   54.90
25/12/2013 19:35:00,   59.67,   65.08,   51.58,   62.11,   67.74,   54.78
25/12/2013 19:40:00,   58.51,   63.64,   52.74,   61.18,   65.82,   56.04
25/12/2013 19:45:00,   59.07,   65.91,   52.45,   61.06,   67.14,   55.40
25/12/2013 19:50:00,   58.40,   64.67,   52.19,   60.33,   66.15,   55.05
25/12/2013 19:55:00,   59.64,   65.08,   52.60,   61.38,   65.93,   55.49
25/12/2013 20:00:00,   57.01,   62.88,   52.38,   59.29,   64.02,   55.20
25/12/2013 20:05:00,   56.10,   61.02,   51.58,   58.47,   62.59,   54.68
25/12/2013 20:10:00,   57.40,   63.67,   51.95,   59.69,   64.95,   54.76
25/12/2013 20:15:00,   58.10,   63.63,   52.11,   60.68,   65.33,   55.23
25/12/2013 20:20:00,   56.92,   62.19,   51.60,   59.32,   63.77,   54.83
25/12/2013 20:25:00,   57.74,   65.03,   51.17,   60.04,   66.55,   54.41
25/12/2013 20:30:00,   58.14,   63.84,   52.32,   60.61,   65.39,   55.21
25/12/2013 20:35:00,   56.63,   62.05,   51.99,   59.13,   63.80,   55.04
25/12/2013 20:40:00,   56.64,   62.15,   51.45,   59.01,   64.33,   54.55
25/12/2013 20:45:00,   57.53,   63.17,   52.30,   59.62,   64.94,   55.18
25/12/2013 20:50:00,   57.45,   63.41,   52.23,   59.99,   65.10,   55.08
25/12/2013 20:55:00,   57.22,   63.34,   51.30,   59.59,   65.25,   54.46
25/12/2013 21:00:00,   57.91,   63.75,   51.76,   60.01,   65.15,   54.87
25/12/2013 21:05:00,   55.63,   61.82,   50.81,   58.22,   63.78,   54.09
25/12/2013 21:10:00,   56.75,   62.29,   51.43,   58.80,   63.40,   54.51
25/12/2013 21:15:00,   55.22,   59.84,   51.75,   57.66,   61.99,   54.69
25/12/2013 21:20:00,   57.51,   64.24,   51.18,   59.79,   65.90,   54.54
25/12/2013 21:25:00,   57.12,   63.15,   51.66,   59.11,   64.61,   54.80
25/12/2013 21:30:00,   57.53,   65.09,   51.49,   59.59,   66.01,   54.73
25/12/2013 21:35:00,   56.57,   63.02,   51.60,   58.61,   63.75,   54.68
25/12/2013 21:40:00,   56.51,   62.19,   51.75,   58.90,   64.08,   54.83
25/12/2013 21:45:00,   57.45,   64.83,   51.36,   59.50,   66.28,   54.57
25/12/2013 21:50:00,   57.59,   63.93,   51.24,   59.82,   65.23,   54.53
25/12/2013 21:55:00,   59.09,   64.58,   52.08,   61.01,   65.87,   55.17
25/12/2013 22:00:00,   56.91,   62.53,   51.48,   59.43,   64.20,   54.88
25/12/2013 22:05:00,   56.56,   62.47,   51.57,   58.82,   64.17,   54.81
25/12/2013 22:10:00,   58.73,   65.24,   52.07,   60.73,   66.77,   55.23
25/12/2013 22:15:00,   58.06,   64.88,   51.51,   60.33,   66.57,   54.66
25/12/2013 22:20:00,   57.59,   63.63,   51.98,   59.85,   65.64,   54.90
25/12/2013 22:25:00,   59.56,   66.35,   51.69,   61.25,   67.39,   54.71
25/12/2013 22:30:00,   58.05,   64.52,   51.84,   60.46,   66.74,   55.00
25/12/2013 22:35:00,   58.33,   65.30,   51.57,   60.24,   66.84,   54.39
25/12/2013 22:40:00,   55.19,   59.45,   51.02,   57.59,   61.29,   54.33
25/12/2013 22:45:00,   57.83,   64.24,   51.37,   59.80,   65.12,   54.36
25/12/2013 22:50:00,   60.21,   64.66,   51.72,   61.83,   65.93,   54.87
25/12/2013 22:55:00,   56.25,   60.56,   51.38,   58.52,   62.54,   54.58
25/12/2013 23:00:00,   56.41,   62.26,   51.14,   58.69,   63.83,   54.24
25/12/2013 23:05:00,   55.21,   61.85,   50.33,   57.59,   63.45,   53.82
25/12/2013 23:10:00,   55.89,   60.08,   51.04,   58.01,   61.79,   54.06
25/12/2013 23:15:00,   57.43,   63.63,   51.45,   59.31,   65.00,   54.36
25/12/2013 23:20:00,   56.60,   62.56,   51.30,   58.70,   63.98,   54.20
25/12/2013 23:25:00,   58.06,   63.73,   52.04,   60.00,   65.12,   54.82
25/12/2013 23:30:00,   54.62,   60.20,   50.94,   56.96,   61.67,   54.07
25/12/2013 23:35:00,   56.91,   63.72,   51.02,   59.23,   65.22,   54.42
25/12/2013 23:40:00,   56.55,   62.50,   51.01,   58.58,   63.90,   54.08
25/12/2013 23:45:00,   53.46,   57.72,   50.37,   55.90,   59.65,   53.51
25/12/2013 23:50:00,   55.29,   60.46,   50.49,   58.02,   62.75,   53.85
25/12/2013 23:55:00,   55.12,   60.12,   50.45,   57.46,   61.80,   53.61

