# noise_analysis run from DCC-NOISE-001011 at Fri Feb  1 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/02/2013 00:05:00,   55.77,   60.70,   50.61,   58.99,   62.97,   53.96
01/02/2013 00:10:00,   56.58,   60.14,   51.08,   61.21,   66.82,   54.73
01/02/2013 00:15:00,   56.82,   61.49,   51.32,   62.09,   66.46,   54.90
01/02/2013 00:20:00,   57.09,   62.92,   50.96,   61.34,   66.62,   54.67
01/02/2013 00:25:00,   57.30,   61.56,   51.67,   62.22,   67.63,   55.19
01/02/2013 00:30:00,   56.59,   61.52,   51.03,   61.06,   65.52,   54.44
01/02/2013 00:35:00,   57.78,   62.82,   51.25,   63.15,   68.93,   54.78
01/02/2013 00:40:00,   53.94,   57.54,   50.59,   59.66,   64.65,   54.03
01/02/2013 00:45:00,   57.66,   63.17,   50.98,   62.17,   66.65,   54.62
01/02/2013 00:50:00,   56.18,   61.02,   51.08,   61.45,   67.07,   54.61
01/02/2013 00:55:00,   62.96,   74.73,   50.54,   66.88,   78.76,   54.17
01/02/2013 01:00:00,   59.93,   64.20,   51.90,   63.40,   67.27,   55.30
01/02/2013 01:05:00,   55.62,   60.68,   51.02,   59.47,   63.43,   54.23
01/02/2013 01:10:00,   55.53,   59.97,   50.65,   58.45,   62.12,   53.95
01/02/2013 01:15:00,   55.62,   60.15,   50.54,   61.22,   65.89,   54.01
01/02/2013 01:20:00,   54.30,   57.92,   50.85,   58.06,   62.05,   54.48
01/02/2013 01:25:00,   54.94,   60.47,   50.38,   58.16,   62.86,   53.89
01/02/2013 01:30:00,   54.86,   59.59,   50.14,   59.24,   63.28,   53.60
01/02/2013 01:35:00,   53.41,   56.30,   49.88,   58.73,   62.24,   53.39
01/02/2013 01:40:00,   54.26,   59.01,   50.29,   58.63,   63.68,   53.70
01/02/2013 01:45:00,   54.67,   59.18,   49.95,   59.76,   65.08,   53.66
01/02/2013 01:50:00,   53.53,   57.74,   50.32,   57.30,   60.74,   53.85
01/02/2013 01:55:00,   54.86,   58.47,   50.03,   59.78,   63.83,   53.93
01/02/2013 02:00:00,   55.66,   60.78,   50.51,   59.75,   64.09,   54.28
01/02/2013 02:05:00,   53.28,   56.68,   50.09,   58.48,   62.28,   54.04
01/02/2013 02:10:00,   52.78,   57.21,   49.13,   56.40,   60.76,   52.67
01/02/2013 02:15:00,   54.01,   59.37,   49.70,   59.14,   64.08,   53.35
01/02/2013 02:20:00,   53.06,   56.83,   49.39,   57.78,   61.75,   53.18
01/02/2013 02:25:00,   53.68,   57.08,   49.88,   58.41,   61.96,   54.02
01/02/2013 02:30:00,   55.23,   59.03,   49.39,   61.67,   65.99,   53.33
01/02/2013 02:35:00,   55.02,   59.62,   49.25,   58.33,   62.46,   52.78
01/02/2013 02:40:00,   52.37,   56.91,   49.01,   56.70,   60.99,   52.69
01/02/2013 02:45:00,   53.19,   56.75,   50.01,   58.10,   62.00,   53.58
01/02/2013 02:50:00,   53.10,   57.78,   49.28,   57.87,   62.66,   52.99
01/02/2013 02:55:00,   52.90,   56.44,   49.10,   57.58,   61.73,   52.72
01/02/2013 03:00:00,   52.39,   55.47,   49.00,   57.20,   61.77,   52.62
01/02/2013 03:05:00,   52.35,   55.15,   49.14,   55.75,   58.47,   52.81
