# noise_analysis run from DCC-NOISE-001011 at Sun Feb  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/02/2013 00:05:00,   56.38,   61.04,   51.29,   59.20,   63.03,   54.71
03/02/2013 00:10:00,   58.24,   62.43,   51.51,   61.31,   64.56,   55.09
03/02/2013 00:15:00,   57.71,   62.96,   51.18,   60.87,   66.13,   54.51
03/02/2013 00:20:00,   56.37,   61.09,   51.75,   59.32,   63.48,   55.27
03/02/2013 00:25:00,   60.25,   66.13,   52.12,   63.08,   68.35,   55.72
03/02/2013 00:30:00,   57.42,   62.50,   51.30,   60.47,   64.95,   55.00
03/02/2013 00:35:00,   56.95,   61.17,   52.06,   59.47,   63.12,   55.31
03/02/2013 00:40:00,   58.98,   64.25,   50.42,   61.74,   66.02,   54.05
03/02/2013 00:45:00,   58.92,   63.96,   51.36,   61.61,   66.12,   54.82
03/02/2013 00:50:00,   57.94,   62.56,   51.57,   60.51,   64.42,   54.81
03/02/2013 00:55:00,   56.42,   61.46,   51.03,   58.94,   63.20,   54.47
03/02/2013 01:00:00,   54.97,   59.71,   50.84,   58.26,   62.21,   54.20
03/02/2013 01:05:00,   57.73,   62.34,   51.50,   60.61,   65.00,   54.97
03/02/2013 01:10:00,   57.33,   62.10,   51.44,   59.91,   64.41,   54.32
03/02/2013 01:15:00,   58.27,   62.96,   51.59,   60.28,   65.08,   54.45
03/02/2013 01:20:00,   58.39,   64.20,   51.37,   60.52,   66.11,   54.38
03/02/2013 01:25:00,   58.48,   63.20,   51.49,   60.94,   64.98,   54.43
03/02/2013 01:30:00,   57.24,   62.11,   51.49,   59.70,   64.01,   54.48
03/02/2013 01:35:00,   58.07,   63.05,   51.60,   60.48,   64.86,   54.43
03/02/2013 01:40:00,   56.39,   62.92,   50.98,   58.67,   64.42,   54.08
03/02/2013 01:45:00,   57.83,   61.69,   52.63,   60.36,   63.68,   55.45
03/02/2013 01:50:00,   56.70,   62.04,   51.65,   58.73,   63.45,   54.70
03/02/2013 01:55:00,   56.75,   61.68,   51.69,   58.92,   63.03,   54.65
03/02/2013 02:00:00,   57.31,   62.57,   52.05,   59.29,   63.62,   54.79
03/02/2013 02:05:00,   58.11,   62.88,   52.12,   60.69,   65.29,   54.96
03/02/2013 02:10:00,   57.98,   64.00,   51.98,   60.40,   66.68,   55.12
03/02/2013 02:15:00,   58.71,   64.21,   52.34,   60.51,   65.27,   55.11
03/02/2013 02:20:00,   57.47,   63.62,   52.22,   59.25,   64.25,   54.96
03/02/2013 02:25:00,   59.15,   64.18,   52.65,   61.00,   65.36,   55.50
03/02/2013 02:30:00,   58.38,   63.11,   52.61,   60.11,   64.37,   55.45
03/02/2013 02:35:00,   58.34,   64.82,   51.73,   60.21,   65.79,   54.81
03/02/2013 02:40:00,   59.40,   64.58,   52.66,   61.25,   65.95,   55.39
03/02/2013 02:45:00,   56.67,   61.04,   52.33,   58.95,   62.67,   55.37
03/02/2013 02:50:00,   57.39,   62.48,   52.14,   60.49,   65.76,   55.28
03/02/2013 02:55:00,   59.61,   64.91,   53.26,   61.65,   65.89,   55.96
03/02/2013 03:00:00,   58.66,   63.37,   53.69,   60.98,   65.53,   56.12
03/02/2013 03:05:00,   59.03,   63.94,   54.27,   61.95,   67.24,   56.87
03/02/2013 03:10:00,   58.67,   62.64,   54.05,   61.63,   65.09,   56.74
03/02/2013 03:15:00,   59.49,   64.90,   53.41,   61.96,   66.71,   56.17
03/02/2013 03:20:00,   57.41,   61.64,   53.44,   59.58,   63.31,   55.91
03/02/2013 03:25:00,   59.24,   64.11,   54.32,   61.95,   65.76,   57.50
03/02/2013 03:30:00,   59.43,   64.83,   54.11,   62.37,   66.50,   57.38
03/02/2013 03:35:00,   58.81,   63.43,   53.85,   61.98,   66.10,   56.88
03/02/2013 03:40:00,   58.71,   63.51,   53.93,   61.98,   66.34,   56.69
