# noise_analysis run from DCC-NOISE-001011 at Mon Feb  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/02/2013 00:05:00,   58.85,   64.85,   51.82,   62.83,   67.82,   55.46
04/02/2013 00:10:00,   55.72,   59.26,   51.23,   60.00,   64.38,   54.45
04/02/2013 00:15:00,   55.83,   59.60,   50.62,   59.59,   62.90,   53.97
04/02/2013 00:20:00,   55.62,   60.51,   50.04,   61.46,   67.34,   53.64
04/02/2013 00:25:00,   55.02,   59.47,   50.61,   59.72,   64.87,   53.96
04/02/2013 00:30:00,   54.78,   59.19,   50.15,   60.51,   62.77,   53.67
04/02/2013 00:35:00,   54.49,   59.10,   49.91,   58.61,   62.47,   53.38
04/02/2013 00:40:00,   54.51,   57.75,   50.54,   58.79,   62.05,   54.08
04/02/2013 00:45:00,   55.47,   60.93,   50.63,   59.37,   63.42,   54.04
04/02/2013 00:50:00,   54.17,   58.69,   50.18,   58.87,   62.76,   54.06
04/02/2013 00:55:00,   55.77,   61.01,   49.98,   59.33,   63.61,   53.88
04/02/2013 01:00:00,   55.96,   60.90,   50.70,   59.03,   62.82,   54.25
04/02/2013 01:05:00,   56.62,   61.60,   51.06,   61.59,   65.63,   54.41
04/02/2013 01:10:00,   57.93,   63.47,   51.62,   63.58,   68.28,   55.26
04/02/2013 01:15:00,   56.20,   61.91,   51.40,   59.64,   63.93,   54.67
04/02/2013 01:20:00,   58.69,   64.22,   51.97,   64.68,   69.52,   56.55
04/02/2013 01:25:00,   57.27,   62.34,   51.26,   66.06,   72.76,   55.20
04/02/2013 01:30:00,   57.78,   62.36,   51.56,   64.99,   70.41,   55.50
04/02/2013 01:35:00,   56.65,   62.46,   50.33,   64.09,   70.66,   53.76
04/02/2013 01:40:00,   60.97,   70.77,   49.76,   67.29,   75.71,   53.60
04/02/2013 01:45:00,   57.37,   62.83,   51.22,   65.30,   71.28,   55.24
04/02/2013 01:50:00,   57.94,   62.16,   50.52,   67.03,   74.05,   54.57
04/02/2013 01:55:00,   54.03,   57.78,   48.84,   60.05,   64.67,   53.60
04/02/2013 02:00:00,   53.28,   57.24,   49.38,   59.64,   63.86,   53.44
04/02/2013 02:05:00,   53.54,   57.65,   48.42,   60.39,   65.68,   52.94
04/02/2013 02:10:00,   51.58,   55.39,   48.17,   57.40,   61.79,   52.71
04/02/2013 02:15:00,   52.13,   56.50,   47.92,   57.49,   61.56,   52.07
04/02/2013 02:20:00,   52.90,   57.12,   48.95,   60.33,   66.60,   52.61
04/02/2013 02:25:00,   54.15,   58.42,   48.69,   63.68,   70.38,   52.60
04/02/2013 02:30:00,   56.45,   61.86,   49.47,   62.92,   68.64,   53.80
04/02/2013 02:35:00,   54.38,   58.83,   48.44,   61.85,   69.00,   52.34
04/02/2013 02:40:00,   54.34,   59.19,   48.60,   63.04,   69.09,   52.48
04/02/2013 02:45:00,   52.87,   56.53,   48.03,   59.28,   64.32,   51.86
04/02/2013 02:50:00,   53.30,   57.78,   47.87,   57.38,   61.98,   51.67
04/02/2013 02:55:00,   54.06,   58.66,   48.71,   60.89,   66.92,   52.58
04/02/2013 03:00:00,   53.28,   57.49,   48.38,   60.42,   65.66,   52.81
04/02/2013 03:05:00,   54.05,   59.26,   48.14,   62.71,   69.22,   52.57
04/02/2013 03:10:00,   54.00,   59.61,   48.27,   57.86,   63.36,   52.13
04/02/2013 03:15:00,   52.31,   56.69,   47.84,   56.28,   60.09,   51.75
04/02/2013 03:20:00,   52.62,   56.52,   47.71,   55.94,   59.69,   51.66
04/02/2013 03:25:00,   51.87,   54.82,   48.13,   57.59,   62.16,   52.43
04/02/2013 03:30:00,   52.93,   58.51,   47.86,   56.25,   60.63,   51.93
04/02/2013 03:35:00,   52.64,   55.95,   48.57,   56.47,   60.53,   52.38
04/02/2013 03:40:00,   53.31,   58.81,   48.17,   57.77,   62.71,   51.98
04/02/2013 03:45:00,   53.70,   59.08,   48.29,   58.25,   63.09,   52.33
04/02/2013 03:50:00,   54.04,   59.34,   47.92,   58.03,   62.70,   51.96
04/02/2013 03:55:00,   52.71,   56.85,   48.33,   57.33,   61.67,   52.39
04/02/2013 04:00:00,   54.95,   60.11,   49.05,   59.15,   64.11,   52.61
04/02/2013 04:05:00,   54.73,   60.16,   48.81,   59.65,   64.71,   53.07
04/02/2013 04:10:00,   53.19,   57.25,   48.97,   58.04,   63.07,   52.80
04/02/2013 04:15:00,   53.94,   56.80,   48.41,   58.04,   62.14,   52.62
04/02/2013 04:20:00,   53.11,   56.91,   49.55,   58.26,   63.04,   53.41
04/02/2013 04:25:00,   56.43,   62.07,   49.62,   59.85,   64.89,   53.33
04/02/2013 04:30:00,   55.72,   60.81,   50.20,   59.15,   63.93,   53.70
04/02/2013 04:35:00,   55.74,   61.26,   50.02,   59.73,   64.08,   54.08
04/02/2013 04:40:00,   60.02,   67.46,   50.09,   63.99,   70.97,   54.69
04/02/2013 04:45:00,   55.50,   60.27,   49.53,   59.65,   63.77,   52.90
04/02/2013 04:50:00,   54.91,   60.29,   49.37,   58.68,   63.28,   53.36
04/02/2013 04:55:00,   55.96,   61.09,   50.84,   59.63,   64.05,   53.93
04/02/2013 05:00:00,   57.30,   62.27,   51.70,   60.66,   65.39,   54.39
04/02/2013 05:05:00,   55.85,   60.04,   50.63,   59.45,   63.23,   54.30
04/02/2013 05:10:00,   55.19,   59.45,   51.04,   59.26,   62.74,   55.08
04/02/2013 05:15:00,   57.96,   63.24,   51.88,   61.91,   65.64,   55.87
04/02/2013 05:20:00,   58.46,   63.43,   51.88,   61.77,   66.24,   55.48
04/02/2013 05:25:00,   58.60,   63.88,   52.84,   64.12,   68.75,   57.20
04/02/2013 05:30:00,   56.16,   60.06,   52.22,   61.18,   65.11,   56.18
04/02/2013 05:35:00,   59.82,   64.97,   53.34,   65.59,   70.72,   57.51
04/02/2013 05:40:00,   59.83,   64.76,   53.57,   63.65,   67.89,   57.18
04/02/2013 05:45:00,   58.56,   63.49,   53.69,   63.31,   66.99,   56.74
04/02/2013 05:50:00,   58.72,   64.15,   53.00,   62.05,   66.87,   55.45
04/02/2013 05:55:00,   59.30,   63.97,   54.32,   63.16,   67.22,   57.56
04/02/2013 06:00:00,   59.32,   63.07,   53.90,   63.32,   67.84,   57.33
04/02/2013 06:05:00,   60.91,   65.62,   54.52,   65.48,   69.62,   57.94
04/02/2013 06:10:00,   59.64,   64.74,   54.18,   63.04,   67.11,   57.27
04/02/2013 06:15:00,   59.85,   64.20,   54.51,   62.95,   66.57,   57.67
04/02/2013 06:20:00,   59.61,   64.40,   54.60,   64.15,   69.32,   58.27
04/02/2013 06:25:00,   60.83,   66.19,   54.75,   64.67,   69.71,   58.05
04/02/2013 06:30:00,   60.12,   64.64,   54.63,   64.77,   68.85,   58.58
04/02/2013 06:35:00,   58.16,   63.80,   54.19,   62.04,   67.32,   57.26
04/02/2013 06:40:00,   60.67,   65.70,   55.30,   64.25,   68.69,   59.31
04/02/2013 06:45:00,   59.98,   65.73,   55.37,   63.77,   68.22,   58.83
04/02/2013 06:50:00,   59.84,   65.10,   55.27,   63.22,   67.48,   58.57
04/02/2013 06:55:00,   59.74,   64.42,   55.64,   63.20,   67.91,   58.47
04/02/2013 07:00:00,   62.82,   67.46,   56.24,   66.34,   72.23,   59.41
04/02/2013 07:05:00,   61.06,   65.37,   56.56,   66.25,   70.50,   60.49
04/02/2013 07:10:00,   61.53,   65.92,   55.71,   64.66,   68.92,   58.63
04/02/2013 07:15:00,   62.66,   67.42,   55.74,   67.09,   71.93,   58.90
04/02/2013 07:20:00,   62.46,   67.05,   56.36,   66.11,   70.73,   60.02
04/02/2013 07:25:00,   60.88,   65.37,   55.04,   64.70,   69.08,   58.26
04/02/2013 07:30:00,   62.25,   66.62,   55.18,   65.80,   70.37,   58.89
