# noise_analysis run from DCC-NOISE-001011 at Tue Feb  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/02/2013 00:05:00,   55.64,   59.89,   50.41,   59.19,   63.03,   53.83
05/02/2013 00:10:00,   57.19,   62.50,   51.13,   60.34,   64.96,   54.44
05/02/2013 00:15:00,   57.10,   61.91,   50.65,   60.99,   65.94,   54.54
05/02/2013 00:20:00,   56.56,   61.56,   51.32,   60.21,   64.07,   55.05
05/02/2013 00:25:00,   56.95,   62.88,   50.18,   59.94,   65.14,   53.78
05/02/2013 00:30:00,   57.37,   62.36,   50.24,   62.07,   67.36,   53.87
05/02/2013 00:35:00,   54.50,   58.58,   49.97,   59.97,   65.23,   53.54
05/02/2013 00:40:00,   56.78,   61.54,   50.08,   62.75,   69.10,   54.50
05/02/2013 00:45:00,   56.94,   62.40,   50.93,   61.24,   65.95,   54.41
05/02/2013 00:50:00,   58.78,   64.37,   50.42,   62.76,   67.47,   54.00
05/02/2013 00:55:00,   62.24,   72.79,   49.73,   65.99,   77.02,   53.49
05/02/2013 01:00:00,   52.49,   55.23,   49.82,   57.25,   60.70,   53.28
05/02/2013 01:05:00,   56.32,   60.91,   50.06,   59.85,   64.17,   53.85
05/02/2013 01:10:00,   55.04,   59.93,   49.67,   58.55,   62.65,   53.48
05/02/2013 01:15:00,   53.69,   59.04,   49.13,   58.85,   64.03,   52.96
05/02/2013 01:20:00,   53.02,   56.58,   49.72,   60.04,   64.68,   53.71
05/02/2013 01:25:00,   51.71,   55.09,   48.36,   56.43,   60.63,   52.57
05/02/2013 01:30:00,   54.00,   58.90,   49.74,   60.38,   65.22,   53.50
05/02/2013 01:35:00,   54.16,   57.90,   49.53,   60.02,   65.55,   53.25
05/02/2013 01:40:00,   54.23,   57.87,   49.07,   59.14,   63.78,   52.81
05/02/2013 01:45:00,   53.30,   56.96,   49.51,   58.39,   61.75,   53.22
05/02/2013 01:50:00,   53.55,   58.47,   48.89,   59.49,   63.80,   52.84
05/02/2013 01:55:00,   54.15,   57.95,   49.00,   58.55,   63.20,   52.96
05/02/2013 02:00:00,   54.73,   59.30,   49.78,   59.24,   63.19,   53.53
05/02/2013 02:05:00,   53.45,   57.02,   49.62,   59.63,   65.33,   53.92
05/02/2013 02:10:00,   53.87,   58.15,   49.51,   59.02,   63.75,   53.55
05/02/2013 02:15:00,   53.60,   58.22,   49.31,   57.88,   61.88,   53.07
05/02/2013 02:20:00,   50.89,   52.41,   48.90,   56.43,   59.62,   52.74
05/02/2013 02:25:00,   53.22,   58.03,   48.64,   58.71,   63.96,   52.84
05/02/2013 02:30:00,   51.32,   54.43,   48.24,   57.61,   60.83,   52.28
05/02/2013 02:35:00,   50.67,   52.63,   48.34,   55.80,   58.57,   52.32
05/02/2013 02:40:00,   52.71,   56.36,   48.53,   56.29,   60.22,   52.68
05/02/2013 02:45:00,   53.00,   57.18,   48.43,   56.99,   61.23,   52.69
05/02/2013 02:50:00,   53.56,   58.29,   48.47,   58.38,   65.03,   52.32
05/02/2013 02:55:00,   53.09,   57.67,   48.94,   56.52,   60.49,   52.94
05/02/2013 03:00:00,   55.53,   60.31,   49.34,   60.37,   64.39,   53.12
05/02/2013 03:05:00,   54.89,   59.78,   49.67,   59.87,   65.56,   53.39
05/02/2013 03:10:00,   52.74,   55.83,   49.15,   56.98,   60.63,   53.21
05/02/2013 03:15:00,   54.53,   58.92,   49.48,   60.07,   64.89,   53.37
05/02/2013 03:20:00,   53.52,   57.10,   49.06,   57.12,   61.76,   53.14
05/02/2013 03:25:00,   54.27,   59.36,   49.10,   59.35,   63.82,   53.07
05/02/2013 03:30:00,   58.11,   64.69,   49.57,   62.41,   68.60,   53.33
05/02/2013 03:35:00,   52.80,   55.70,   49.01,   58.71,   64.36,   53.21
05/02/2013 03:40:00,   53.56,   57.94,   49.08,   57.35,   61.22,   53.00
05/02/2013 03:45:00,   54.16,   58.29,   49.16,   58.40,   61.90,   53.18
05/02/2013 03:50:00,   53.76,   58.50,   49.02,   58.10,   61.81,   52.65
05/02/2013 03:55:00,   53.59,   57.32,   49.16,   58.06,   62.42,   53.28
05/02/2013 04:00:00,   55.57,   60.93,   49.74,   59.23,   64.07,   53.66
05/02/2013 04:05:00,   53.18,   58.19,   48.76,   59.19,   63.99,   52.78
05/02/2013 04:10:00,   54.49,   58.60,   49.31,   61.11,   66.87,   53.67
05/02/2013 04:15:00,   57.55,   63.29,   49.89,   62.21,   67.16,   54.07
