# noise_analysis run from DCC-NOISE-001011 at Wed Feb  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/02/2013 00:05:00,   56.68,   62.39,   49.81,   60.59,   67.04,   53.35
06/02/2013 00:10:00,   53.48,   57.57,   49.87,   58.43,   62.36,   53.70
06/02/2013 00:15:00,   56.59,   61.36,   49.95,   60.71,   64.96,   53.79
06/02/2013 00:20:00,   57.28,   63.02,   50.08,   62.10,   67.91,   53.95
06/02/2013 00:25:00,   62.63,   67.76,   51.39,   64.90,   70.19,   55.14
06/02/2013 00:30:00,   55.22,   60.38,   49.12,   58.63,   63.87,   52.92
06/02/2013 00:35:00,   54.47,   58.30,   49.03,   59.10,   63.26,   52.80
06/02/2013 00:40:00,   54.66,   57.95,   48.52,   59.39,   64.73,   52.33
06/02/2013 00:45:00,   56.86,   61.83,   49.64,   60.79,   66.80,   53.60
06/02/2013 00:50:00,   57.91,   64.28,   49.43,   61.59,   66.66,   53.24
06/02/2013 00:55:00,   53.98,   59.16,   48.65,   58.01,   62.42,   52.48
06/02/2013 01:00:00,   52.22,   56.41,   48.33,   55.83,   59.42,   52.05
06/02/2013 01:05:00,   54.64,   60.07,   48.76,   58.22,   62.51,   52.55
06/02/2013 01:10:00,   52.80,   59.10,   48.06,   57.20,   62.40,   51.93
06/02/2013 01:15:00,   53.60,   59.53,   48.58,   57.04,   62.24,   52.28
06/02/2013 01:20:00,   52.82,   57.31,   48.74,   57.84,   63.74,   52.35
06/02/2013 01:25:00,   52.78,   58.14,   48.55,   55.85,   60.24,   52.21
06/02/2013 01:30:00,   50.85,   54.34,   48.01,   56.55,   59.52,   51.80
06/02/2013 01:35:00,   53.30,   57.56,   49.00,   57.93,   61.85,   52.79
06/02/2013 01:40:00,   52.75,   56.73,   48.19,   56.62,   60.78,   52.08
06/02/2013 01:45:00,   52.98,   58.56,   47.54,   56.46,   60.53,   51.52
06/02/2013 01:50:00,   52.47,   57.46,   47.57,   56.23,   61.41,   51.59
06/02/2013 01:55:00,   51.88,   54.88,   47.99,   56.31,   59.88,   51.96
06/02/2013 02:00:00,   49.61,   52.44,   47.02,   53.45,   56.43,   50.86
06/02/2013 02:05:00,   52.05,   57.61,   47.21,   55.18,   59.67,   51.17
06/02/2013 02:10:00,   50.74,   55.35,   47.38,   54.34,   57.96,   51.62
06/02/2013 02:15:00,   51.44,   57.40,   47.29,   54.85,   59.47,   51.32
06/02/2013 02:20:00,   51.10,   55.30,   47.27,   54.47,   57.91,   51.20
06/02/2013 02:25:00,   51.79,   57.00,   47.30,   55.78,   60.14,   51.38
06/02/2013 02:30:00,   49.72,   51.74,   47.41,   53.85,   56.87,   51.42
06/02/2013 02:35:00,   53.08,   57.66,   47.17,   55.46,   58.73,   51.01
06/02/2013 02:40:00,   49.22,   50.21,   47.36,   53.57,   54.83,   51.33
06/02/2013 02:45:00,   49.97,   53.98,   47.15,   54.26,   59.06,   51.18
06/02/2013 02:50:00,   50.86,   55.40,   47.14,   55.11,   59.56,   51.44
06/02/2013 02:55:00,   51.02,   55.37,   47.27,   54.48,   58.71,   51.29
06/02/2013 03:00:00,   51.56,   56.79,   47.24,   55.20,   59.99,   51.09
06/02/2013 03:05:00,   50.12,   54.73,   47.12,   53.46,   57.67,   50.97
06/02/2013 03:10:00,   49.86,   53.24,   47.19,   53.61,   56.77,   51.25
06/02/2013 03:15:00,   51.93,   57.67,   47.67,   55.72,   60.23,   51.86
06/02/2013 03:20:00,   49.03,   50.73,   47.06,   52.92,   54.55,   51.05
06/02/2013 03:25:00,   52.20,   57.73,   47.47,   55.54,   60.87,   51.32
06/02/2013 03:30:00,   52.12,   56.88,   47.39,   54.99,   59.14,   51.47
06/02/2013 03:35:00,   51.30,   56.56,   47.12,   54.62,   59.30,   51.16
06/02/2013 03:40:00,   52.04,   56.14,   47.60,   55.13,   59.42,   51.45
