# noise_analysis run from DCC-NOISE-001011 at Thu Feb  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/02/2013 00:05:00,   55.32,   60.45,   50.19,   58.21,   62.27,   53.91
07/02/2013 00:10:00,   57.01,   62.64,   49.97,   60.55,   65.22,   53.55
07/02/2013 00:15:00,   55.93,   60.21,   49.99,   59.23,   62.94,   53.58
07/02/2013 00:20:00,   57.40,   62.99,   50.20,   60.40,   65.29,   54.25
07/02/2013 00:25:00,   56.41,   61.17,   50.44,   59.33,   63.37,   53.91
07/02/2013 00:30:00,   56.68,   62.83,   49.23,   59.55,   65.51,   53.03
07/02/2013 00:35:00,   56.60,   61.52,   49.29,   59.98,   64.61,   53.00
07/02/2013 00:40:00,   56.00,   62.00,   49.31,   59.36,   65.27,   53.04
07/02/2013 00:45:00,   56.58,   63.59,   49.31,   59.70,   65.87,   53.00
07/02/2013 00:50:00,   54.10,   58.22,   49.04,   57.13,   61.89,   52.73
07/02/2013 00:55:00,   53.99,   58.74,   48.92,   57.24,   61.26,   52.83
07/02/2013 01:00:00,   55.47,   59.25,   48.96,   58.86,   62.42,   52.82
07/02/2013 01:05:00,   53.37,   58.50,   49.17,   56.50,   61.29,   52.84
07/02/2013 01:10:00,   54.01,   60.00,   48.75,   56.90,   61.93,   52.53
07/02/2013 01:15:00,   52.55,   56.28,   49.07,   55.75,   59.21,   52.90
07/02/2013 01:20:00,   52.50,   57.12,   48.44,   55.77,   60.01,   52.36
07/02/2013 01:25:00,   52.94,   57.98,   48.47,   56.21,   60.74,   52.48
07/02/2013 01:30:00,   52.70,   56.66,   48.91,   56.71,   60.24,   53.02
07/02/2013 01:35:00,   53.42,   58.80,   48.35,   56.87,   61.38,   52.24
07/02/2013 01:40:00,   54.08,   60.01,   48.25,   57.89,   63.38,   52.08
07/02/2013 01:45:00,   59.05,   61.07,   56.45,   62.88,   64.56,   60.24
07/02/2013 01:50:00,   59.29,   61.12,   57.24,   62.33,   63.88,   60.27
07/02/2013 01:55:00,   60.30,   63.28,   57.43,   63.33,   66.90,   60.47
07/02/2013 02:00:00,   58.42,   59.79,   57.26,   61.43,   63.06,   60.29
07/02/2013 02:05:00,   58.96,   60.87,   57.08,   61.32,   63.03,   59.69
07/02/2013 02:10:00,   59.22,   62.82,   49.35,   61.86,   65.25,   53.85
07/02/2013 02:15:00,   53.15,   57.82,   49.03,   56.84,   60.48,   53.16
07/02/2013 02:20:00,   54.56,   59.96,   48.53,   57.73,   63.03,   52.46
07/02/2013 02:25:00,   54.89,   61.55,   47.74,   58.22,   63.74,   52.06
07/02/2013 02:30:00,   52.12,   56.65,   47.95,   55.22,   58.49,   52.11
07/02/2013 02:35:00,   51.61,   55.32,   47.84,   55.37,   59.57,   51.98
07/02/2013 02:40:00,   53.30,   57.89,   48.35,   56.29,   60.14,   52.13
07/02/2013 02:45:00,   52.71,   57.28,   48.40,   56.61,   61.95,   52.12
07/02/2013 02:50:00,   52.54,   57.36,   48.30,   55.75,   59.58,   52.18
07/02/2013 02:55:00,   53.49,   59.20,   48.37,   56.78,   62.40,   52.11
07/02/2013 03:00:00,   52.25,   56.47,   48.42,   55.77,   59.47,   52.38
07/02/2013 03:05:00,   52.94,   56.99,   48.48,   56.00,   59.49,   52.44
07/02/2013 03:10:00,   53.64,   58.59,   48.49,   56.43,   60.71,   52.22
07/02/2013 03:15:00,   53.34,   57.95,   49.10,   56.46,   60.30,   52.96
07/02/2013 03:20:00,   52.87,   58.07,   48.53,   56.47,   61.84,   52.41
07/02/2013 03:25:00,   55.96,   61.85,   49.10,   60.47,   64.62,   52.88
07/02/2013 03:30:00,   52.68,   57.08,   48.32,   56.41,   60.70,   52.38
07/02/2013 03:35:00,   51.34,   54.72,   48.01,   55.14,   58.27,   52.11
07/02/2013 03:40:00,   54.90,   61.04,   49.02,   58.04,   63.25,   52.72
07/02/2013 03:45:00,   52.68,   58.47,   48.27,   55.80,   60.93,   52.34
07/02/2013 03:50:00,   52.22,   57.93,   47.76,   55.52,   60.43,   51.74
07/02/2013 03:55:00,   52.12,   55.60,   48.23,   55.72,   59.48,   52.14
07/02/2013 04:00:00,   53.64,   59.09,   48.52,   57.23,   61.90,   52.69
07/02/2013 04:05:00,   55.17,   61.57,   48.77,   57.96,   63.40,   52.72
07/02/2013 04:10:00,   53.57,   59.53,   47.90,   56.90,   62.46,   52.15
07/02/2013 04:15:00,   55.83,   62.16,   48.59,   59.74,   64.83,   52.85
07/02/2013 04:20:00,   52.96,   57.95,   48.48,   56.10,   60.26,   52.55
07/02/2013 04:25:00,   54.62,   59.96,   48.95,   57.60,   61.76,   52.94
07/02/2013 04:30:00,   52.64,   58.08,   48.32,   56.11,   60.77,   52.22
07/02/2013 04:35:00,   54.12,   60.19,   48.36,   57.16,   62.42,   52.33
07/02/2013 04:40:00,   58.33,   63.52,   50.95,   62.18,   66.09,   55.23
07/02/2013 04:45:00,   54.10,   59.76,   48.58,   57.33,   61.92,   52.53
07/02/2013 04:50:00,   53.38,   58.39,   49.01,   56.81,   61.05,   53.09
07/02/2013 04:55:00,   55.27,   60.69,   48.79,   58.24,   63.75,   52.95
07/02/2013 05:00:00,   58.14,   63.10,   50.66,   60.91,   65.31,   54.02
07/02/2013 05:05:00,   55.49,   60.70,   49.44,   58.32,   62.40,   53.50
07/02/2013 05:10:00,   57.34,   63.70,   49.90,   60.56,   65.78,   54.04
07/02/2013 05:15:00,   57.04,   61.98,   50.69,   60.43,   64.83,   54.53
07/02/2013 05:20:00,   55.37,   60.15,   50.02,   59.30,   63.45,   54.19
07/02/2013 05:25:00,   56.31,   61.56,   51.06,   60.04,   64.44,   55.18
07/02/2013 05:30:00,   56.41,   62.44,   50.54,   59.23,   64.10,   54.36
07/02/2013 05:35:00,   57.91,   62.23,   51.49,   61.25,   65.66,   55.07
07/02/2013 05:40:00,   57.37,   62.85,   52.20,   60.44,   64.81,   55.64
07/02/2013 05:45:00,   60.08,   67.37,   52.63,   62.93,   68.96,   55.76
07/02/2013 05:50:00,   57.82,   62.31,   53.11,   62.18,   66.30,   56.63
07/02/2013 05:55:00,   58.76,   64.72,   52.68,   61.89,   67.05,   55.66
07/02/2013 06:00:00,   58.22,   63.85,   52.42,   60.79,   65.75,   55.24
07/02/2013 06:05:00,   61.09,   66.63,   52.94,   64.00,   68.81,   55.59
07/02/2013 06:10:00,   58.47,   63.55,   52.63,   61.20,   66.13,   55.33
07/02/2013 06:15:00,   58.48,   63.71,   53.28,   61.14,   65.72,   55.92
07/02/2013 06:20:00,   57.56,   62.71,   53.04,   61.10,   65.79,   55.80
07/02/2013 06:25:00,   60.21,   65.01,   53.77,   63.30,   67.56,   56.77
07/02/2013 06:30:00,   59.91,   65.26,   53.24,   63.04,   67.71,   56.12
07/02/2013 06:35:00,   57.83,   63.67,   53.79,   61.07,   66.21,   56.87
07/02/2013 06:40:00,   59.70,   63.81,   53.73,   62.81,   66.77,   56.60
