# noise_analysis run from DCC-NOISE-001011 at Sat Feb  9 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/02/2013 00:05:00,   59.14,   66.18,   50.94,   62.63,   69.05,   54.51
09/02/2013 00:10:00,   57.09,   62.73,   51.20,   60.09,   65.58,   54.36
09/02/2013 00:15:00,   59.58,   64.72,   52.61,   62.40,   66.69,   55.97
09/02/2013 00:20:00,   58.34,   63.77,   51.16,   61.63,   65.97,   54.65
09/02/2013 00:25:00,   57.91,   62.98,   51.38,   60.77,   65.12,   54.76
09/02/2013 00:30:00,   55.29,   59.54,   50.51,   58.00,   61.59,   54.04
09/02/2013 00:35:00,   58.72,   64.19,   51.15,   61.84,   66.87,   54.45
09/02/2013 00:40:00,   58.36,   63.22,   50.74,   61.35,   65.35,   54.08
09/02/2013 00:45:00,   60.41,   65.23,   51.91,   62.74,   67.21,   55.27
09/02/2013 00:50:00,   58.91,   62.38,   52.35,   62.82,   65.77,   56.48
09/02/2013 00:55:00,   56.02,   61.07,   50.45,   58.72,   63.28,   53.76
09/02/2013 01:00:00,   53.95,   57.56,   50.33,   56.80,   60.28,   53.67
09/02/2013 01:05:00,   58.40,   63.34,   51.47,   61.03,   65.23,   54.77
09/02/2013 01:10:00,   57.24,   62.41,   50.70,   59.82,   64.40,   54.09
09/02/2013 01:15:00,   56.14,   60.51,   51.26,   59.22,   63.97,   54.47
09/02/2013 01:20:00,   57.23,   62.18,   50.29,   59.71,   64.14,   54.34
09/02/2013 01:25:00,   56.65,   62.21,   50.46,   59.34,   64.50,   53.94
09/02/2013 01:30:00,   56.65,   61.33,   50.98,   59.24,   63.66,   54.18
09/02/2013 01:35:00,   54.76,   60.52,   49.74,   57.44,   62.55,   53.28
