# noise_analysis run from DCC-NOISE-001011 at Tue Feb 12 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
12/02/2013 00:05:00,   57.11,   63.14,   48.74,   59.09,   64.22,   52.48
12/02/2013 00:10:00,   53.93,   56.34,   47.82,   57.26,   58.50,   51.95
12/02/2013 00:15:00,   57.46,   65.04,   47.74,   60.29,   66.39,   52.13
12/02/2013 00:20:00,   57.42,   64.07,   48.11,   62.99,   69.87,   52.21
12/02/2013 00:25:00,   54.17,   60.66,   47.56,   57.02,   62.70,   51.56
12/02/2013 00:30:00,   56.23,   63.49,   48.06,   58.75,   64.98,   52.08
12/02/2013 00:35:00,   54.23,   59.84,   48.01,   56.99,   61.59,   52.15
12/02/2013 00:40:00,   57.62,   63.01,   48.50,   60.31,   65.25,   52.35
12/02/2013 00:45:00,   55.21,   62.47,   47.73,   58.01,   64.18,   51.72
12/02/2013 00:50:00,   55.34,   62.23,   48.20,   58.63,   65.08,   52.29
12/02/2013 00:55:00,   54.09,   60.42,   48.61,   57.16,   62.29,   52.85
12/02/2013 01:00:00,   55.14,   60.96,   48.32,   58.30,   63.56,   52.38
12/02/2013 01:05:00,   53.81,   59.31,   48.64,   56.85,   61.43,   52.41
12/02/2013 01:10:00,   55.19,   62.70,   47.73,   57.97,   65.11,   51.94
12/02/2013 01:15:00,   54.82,   60.02,   49.29,   57.58,   62.36,   53.08
12/02/2013 01:20:00,   53.52,   58.59,   48.26,   56.52,   60.80,   52.19
12/02/2013 01:25:00,   55.45,   62.06,   47.83,   57.77,   63.29,   52.10
12/02/2013 01:30:00,   50.19,   52.11,   47.84,   53.74,   55.52,   51.91
12/02/2013 01:35:00,   55.19,   61.41,   48.95,   57.84,   63.29,   52.61
12/02/2013 01:40:00,   54.41,   60.02,   48.14,   58.14,   63.18,   52.49
12/02/2013 01:45:00,   52.85,   58.46,   48.04,   55.98,   60.55,   52.32
12/02/2013 01:50:00,   53.84,   60.74,   47.76,   56.35,   62.16,   52.23
12/02/2013 01:55:00,   52.85,   57.98,   47.61,   56.03,   60.65,   51.69
12/02/2013 02:00:00,   50.53,   52.87,   47.37,   53.77,   55.20,   51.47
12/02/2013 02:05:00,   70.88,   81.39,   48.05,   69.58,   79.54,   51.68
12/02/2013 02:10:00,   65.72,   75.11,   47.92,   64.99,   73.28,   51.83
12/02/2013 02:15:00,   51.39,   56.61,   47.65,   54.45,   58.41,   51.60
12/02/2013 02:20:00,   52.78,   58.32,   47.81,   55.70,   59.90,   51.93
12/02/2013 02:25:00,   52.52,   57.10,   47.25,   56.74,   61.36,   51.29
12/02/2013 02:30:00,   53.42,   59.23,   48.04,   57.48,   63.37,   52.07
12/02/2013 02:35:00,   52.15,   58.06,   47.50,   55.04,   59.83,   51.54
12/02/2013 02:40:00,   50.87,   53.81,   47.52,   54.07,   57.14,   51.49
12/02/2013 02:45:00,   52.35,   58.10,   47.75,   55.16,   60.00,   51.58
12/02/2013 02:50:00,   54.11,   59.99,   47.92,   56.52,   61.59,   51.72
12/02/2013 02:55:00,   53.24,   58.21,   47.96,   56.18,   60.02,   52.04
12/02/2013 03:00:00,   54.02,   60.63,   48.40,   56.21,   61.39,   52.14
12/02/2013 03:05:00,   55.63,   63.18,   48.32,   57.69,   64.61,   52.13
12/02/2013 03:10:00,   52.60,   58.09,   47.80,   55.30,   59.77,   51.84
12/02/2013 03:15:00,   53.73,   59.90,   47.95,   56.25,   61.14,   51.97
12/02/2013 03:20:00,   52.63,   57.08,   47.82,   55.32,   59.57,   51.82
12/02/2013 03:25:00,   53.06,   59.84,   47.64,   55.64,   61.44,   51.58
12/02/2013 03:30:00,   52.15,   56.88,   47.69,   55.00,   59.08,   51.59
12/02/2013 03:35:00,   52.63,   57.66,   47.77,   55.39,   60.07,   51.70
12/02/2013 03:40:00,   52.19,   58.06,   47.75,   54.96,   59.81,   51.73
12/02/2013 03:45:00,   55.62,   62.09,   47.79,   57.70,   63.27,   51.85
12/02/2013 03:50:00,   52.25,   57.37,   47.30,   54.82,   59.00,   51.40
12/02/2013 03:55:00,   51.01,   53.79,   46.99,   54.53,   58.13,   51.16
12/02/2013 04:00:00,   53.35,   60.08,   47.53,   56.01,   61.24,   51.72
12/02/2013 04:05:00,   53.46,   60.24,   47.11,   56.24,   62.05,   51.48
12/02/2013 04:10:00,   53.84,   59.67,   47.25,   56.50,   61.58,   51.92
12/02/2013 04:15:00,   54.09,   61.22,   47.58,   56.89,   62.43,   51.69
12/02/2013 04:20:00,   50.99,   53.51,   47.33,   54.92,   57.64,   51.61
12/02/2013 04:25:00,   57.79,   64.50,   47.71,   60.69,   68.60,   51.92
12/02/2013 04:30:00,   55.99,   63.01,   47.49,   59.11,   65.00,   51.84
12/02/2013 04:35:00,   53.47,   60.91,   47.29,   56.47,   62.46,   51.70
12/02/2013 04:40:00,   54.94,   61.15,   47.36,   58.56,   64.11,   51.73
12/02/2013 04:45:00,   53.27,   58.52,   47.92,   56.18,   60.71,   52.29
12/02/2013 04:50:00,   54.08,   59.79,   47.78,   57.41,   62.13,   52.09
12/02/2013 04:55:00,   55.85,   61.10,   50.24,   58.24,   62.74,   53.63
12/02/2013 05:00:00,   59.69,   66.87,   50.41,   61.81,   68.86,   54.06
12/02/2013 05:05:00,   56.99,   62.91,   49.79,   59.68,   64.67,   53.63
12/02/2013 05:10:00,   57.26,   63.48,   49.42,   60.48,   65.78,   53.92
12/02/2013 05:15:00,   57.01,   62.42,   50.70,   60.43,   64.85,   54.82
12/02/2013 05:20:00,   56.59,   61.23,   50.43,   60.24,   64.42,   54.08
12/02/2013 05:25:00,   56.06,   60.75,   50.71,   59.01,   63.35,   53.96
12/02/2013 05:30:00,   58.97,   64.70,   51.46,   61.68,   66.47,   54.88
12/02/2013 05:35:00,   59.75,   65.98,   51.47,   62.08,   67.51,   54.38
