# noise_analysis run from DCC-NOISE-001011 at Thu Feb 14 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
14/02/2013 00:05:00,   54.04,   59.01,   49.87,   56.97,   60.87,   53.21
14/02/2013 00:10:00,   56.76,   61.60,   49.92,   59.75,   63.72,   53.06
14/02/2013 00:15:00,   59.20,   65.80,   49.98,   61.74,   67.88,   53.11
14/02/2013 00:20:00,   59.62,   65.71,   49.29,   62.39,   67.89,   52.88
14/02/2013 00:25:00,   54.40,   60.92,   49.43,   56.92,   62.24,   52.97
14/02/2013 00:30:00,   54.66,   60.24,   48.82,   57.61,   62.89,   52.26
14/02/2013 00:35:00,   60.30,   67.15,   48.44,   63.16,   69.31,   52.14
14/02/2013 00:40:00,   53.72,   58.78,   48.03,   56.14,   60.50,   51.63
14/02/2013 00:45:00,   57.78,   64.91,   48.88,   60.77,   66.58,   52.47
14/02/2013 00:50:00,   53.54,   58.75,   48.53,   55.95,   61.34,   51.79
14/02/2013 00:55:00,   63.12,   73.52,   49.31,   66.69,   77.14,   53.01
14/02/2013 01:00:00,   55.71,   61.43,   47.93,   58.70,   63.82,   51.53
14/02/2013 01:05:00,   55.11,   61.43,   48.72,   57.50,   63.41,   51.96
14/02/2013 01:10:00,   54.44,   60.96,   48.54,   56.84,   62.61,   51.86
14/02/2013 01:15:00,   53.68,   60.86,   47.39,   56.04,   62.86,   51.09
14/02/2013 01:20:00,   53.55,   59.90,   47.75,   55.81,   61.36,   51.45
14/02/2013 01:25:00,   55.08,   62.42,   47.83,   57.29,   63.96,   51.61
14/02/2013 01:30:00,   51.54,   56.48,   47.16,   54.67,   59.49,   50.91
14/02/2013 01:35:00,   51.25,   56.42,   47.20,   54.53,   58.92,   50.85
14/02/2013 01:40:00,   53.33,   58.80,   47.91,   55.95,   60.93,   51.42
14/02/2013 01:45:00,   51.80,   55.18,   47.99,   54.66,   57.86,   51.63
14/02/2013 01:50:00,   52.29,   55.92,   48.29,   55.59,   59.29,   51.98
14/02/2013 01:55:00,   54.71,   60.85,   49.85,   57.96,   63.52,   53.38
14/02/2013 02:00:00,   52.28,   57.20,   48.61,   55.64,   59.83,   52.12
14/02/2013 02:05:00,   53.92,   60.50,   47.97,   56.74,   62.16,   51.82
14/02/2013 02:10:00,   54.89,   62.24,   48.01,   57.91,   63.47,   52.03
14/02/2013 02:15:00,   65.45,   75.66,   48.05,   69.22,   79.39,   51.78
14/02/2013 02:20:00,   52.84,   58.66,   47.95,   56.28,   61.08,   51.90
14/02/2013 02:25:00,   50.84,   52.54,   47.50,   53.91,   56.32,   51.32
14/02/2013 02:30:00,   53.05,   61.11,   47.46,   56.10,   63.77,   51.38
14/02/2013 02:35:00,   49.59,   51.15,   47.23,   52.96,   54.19,   51.18
14/02/2013 02:40:00,   54.64,   61.49,   47.64,   56.80,   62.57,   51.33
14/02/2013 02:45:00,   51.90,   56.81,   47.75,   54.52,   58.48,   51.49
14/02/2013 02:50:00,   54.39,   62.24,   47.82,   56.99,   63.58,   51.59
14/02/2013 02:55:00,   51.66,   55.64,   47.83,   55.04,   58.95,   51.57
14/02/2013 03:00:00,   53.64,   60.08,   47.69,   56.21,   61.62,   51.54
14/02/2013 03:05:00,   53.51,   60.20,   48.17,   56.28,   61.72,   51.82
14/02/2013 03:10:00,   52.66,   57.53,   48.14,   55.60,   59.79,   51.85
