# noise_analysis run from DCC-NOISE-001011 at Fri Feb 15 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
15/02/2013 00:05:00,   54.68,   59.60,   49.89,   57.76,   61.84,   53.57
15/02/2013 00:10:00,   58.36,   65.25,   50.59,   61.00,   67.39,   54.04
15/02/2013 00:15:00,   58.25,   64.42,   50.21,   60.90,   66.00,   53.98
15/02/2013 00:20:00,   59.09,   64.58,   50.43,   62.26,   68.05,   54.18
15/02/2013 00:25:00,   55.53,   62.15,   49.74,   58.39,   63.89,   53.35
15/02/2013 00:30:00,   57.43,   62.16,   50.53,   60.40,   64.87,   53.93
15/02/2013 00:35:00,   54.63,   59.61,   50.47,   57.91,   62.89,   54.31
15/02/2013 00:40:00,   58.26,   63.47,   50.78,   60.98,   65.52,   54.00
15/02/2013 00:45:00,   57.21,   62.63,   50.25,   59.35,   64.22,   53.84
15/02/2013 00:50:00,   59.41,   66.30,   50.62,   62.17,   67.98,   54.20
15/02/2013 00:55:00,   57.56,   65.30,   50.09,   60.76,   67.42,   53.93
15/02/2013 01:00:00,   65.89,   75.07,   51.71,   69.32,   78.88,   55.65
15/02/2013 01:05:00,   55.43,   61.70,   49.33,   58.60,   63.96,   52.88
15/02/2013 01:10:00,   55.04,   61.82,   49.88,   57.70,   63.41,   53.35
15/02/2013 01:15:00,   53.17,   57.89,   49.57,   56.53,   60.22,   53.49
15/02/2013 01:20:00,   54.95,   61.59,   49.54,   57.74,   63.57,   53.28
15/02/2013 01:25:00,   54.76,   61.56,   49.73,   57.74,   63.43,   53.57
15/02/2013 01:30:00,   55.05,   61.87,   49.69,   58.23,   63.80,   53.57
15/02/2013 01:35:00,   53.03,   57.82,   48.71,   56.47,   60.98,   52.56
