# noise_analysis run from DCC-NOISE-001011 at Sun Feb 17 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
17/02/2013 00:05:00,   56.04,   60.21,   50.24,   59.00,   62.70,   54.10
17/02/2013 00:10:00,   57.45,   63.30,   49.84,   60.79,   66.13,   53.84
17/02/2013 00:15:00,   57.69,   62.72,   49.32,   60.45,   64.38,   53.05
17/02/2013 00:20:00,   54.71,   59.96,   49.72,   57.67,   61.59,   53.36
17/02/2013 00:25:00,   58.96,   64.83,   49.27,   62.10,   67.49,   53.48
17/02/2013 00:30:00,   56.41,   62.59,   48.50,   60.20,   65.55,   52.78
17/02/2013 00:35:00,   57.07,   62.61,   48.95,   60.18,   64.80,   52.93
17/02/2013 00:40:00,   56.49,   61.63,   50.82,   59.20,   63.62,   54.34
17/02/2013 00:45:00,   57.86,   63.39,   49.07,   60.74,   65.54,   53.12
17/02/2013 00:50:00,   57.78,   63.11,   49.06,   60.94,   66.17,   53.24
17/02/2013 00:55:00,   56.21,   62.13,   48.65,   58.81,   64.18,   52.63
17/02/2013 01:00:00,   56.45,   62.69,   48.61,   59.56,   64.88,   52.64
17/02/2013 01:05:00,   54.89,   60.08,   48.57,   57.77,   62.57,   52.51
17/02/2013 01:10:00,   55.82,   62.19,   48.23,   60.17,   65.38,   53.21
17/02/2013 01:15:00,   60.32,   64.05,   48.52,   61.81,   65.57,   52.54
17/02/2013 01:20:00,   54.72,   61.01,   48.28,   57.40,   63.11,   52.26
17/02/2013 01:25:00,   55.11,   61.49,   49.12,   57.68,   63.40,   53.03
17/02/2013 01:30:00,   56.17,   62.11,   49.21,   58.89,   63.82,   53.09
17/02/2013 01:35:00,   54.77,   60.60,   48.27,   57.65,   63.07,   52.38
17/02/2013 01:40:00,   56.54,   62.86,   48.04,   58.95,   64.50,   51.96
17/02/2013 01:45:00,   55.86,   63.19,   48.45,   58.53,   65.09,   52.49
17/02/2013 01:50:00,   53.77,   58.62,   48.33,   57.11,   60.82,   52.64
17/02/2013 01:55:00,   58.76,   64.71,   48.29,   61.36,   66.77,   52.31
17/02/2013 02:00:00,   56.10,   61.62,   49.73,   58.99,   63.80,   53.46
17/02/2013 02:05:00,   56.68,   61.63,   49.71,   58.85,   63.59,   53.39
17/02/2013 02:10:00,   54.90,   59.16,   49.75,   57.76,   61.11,   53.30
17/02/2013 02:15:00,   55.62,   61.72,   48.74,   58.07,   63.39,   52.41
17/02/2013 02:20:00,   56.51,   63.04,   49.45,   58.78,   64.67,   53.16
