# noise_analysis run from DCC-NOISE-001017 at Wed Feb 20 11:15:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/02/2013 11:20:00,   62.58,   65.85,   56.72,   66.79,   70.80,   60.83
20/02/2013 11:25:00,   63.08,   66.98,   56.73,   66.86,   70.74,   60.73
20/02/2013 11:30:00,   62.72,   66.28,   56.39,   66.45,   70.04,   60.49
20/02/2013 11:35:00,   62.10,   65.54,   56.68,   66.34,   69.67,   60.49
20/02/2013 11:40:00,   62.53,   68.28,   56.75,   66.77,   72.24,   61.19
20/02/2013 11:45:00,   63.37,   68.04,   56.51,   66.84,   71.12,   59.93
20/02/2013 11:50:00,   62.06,   66.64,   56.70,   65.87,   70.09,   60.39
20/02/2013 11:55:00,   68.50,   70.89,   57.85,   70.19,   73.92,   60.89
20/02/2013 12:00:00,   62.42,   66.43,   55.85,   66.09,   70.54,   59.13
20/02/2013 12:05:00,   63.04,   66.91,   56.60,   66.92,   71.25,   60.61
20/02/2013 12:10:00,   62.37,   66.29,   56.54,   66.06,   69.58,   60.94
20/02/2013 12:15:00,   63.58,   68.49,   58.02,   67.37,   72.08,   61.16
20/02/2013 12:20:00,   60.71,   63.72,   55.89,   64.57,   67.30,   59.11
20/02/2013 12:25:00,   61.99,   66.51,   56.09,   65.81,   70.16,   59.74
20/02/2013 12:30:00,   62.91,   67.86,   57.37,   67.29,   71.88,   61.31
20/02/2013 12:35:00,   62.84,   65.76,   57.32,   66.94,   70.26,   61.21
20/02/2013 12:40:00,   63.00,   66.22,   58.22,   67.27,   70.39,   61.62
20/02/2013 12:45:00,   62.35,   67.10,   56.93,   66.07,   69.93,   60.55
20/02/2013 12:50:00,   62.90,   67.22,   57.45,   66.69,   70.90,   61.34
20/02/2013 12:55:00,   64.19,   69.80,   57.18,   68.09,   73.67,   60.36
20/02/2013 13:00:00,   63.16,   67.31,   56.74,   67.54,   71.95,   60.06
20/02/2013 13:05:00,   62.64,   66.56,   57.23,   66.98,   70.81,   61.38
20/02/2013 13:10:00,   62.23,   66.30,   57.04,   67.12,   72.14,   60.67
20/02/2013 13:15:00,   61.88,   65.44,   56.64,   65.56,   68.38,   60.15
20/02/2013 13:20:00,   63.17,   67.76,   56.03,   67.50,   72.09,   59.75
20/02/2013 13:25:00,   62.40,   65.43,   56.17,   66.31,   69.54,   60.13
20/02/2013 13:30:00,   62.93,   67.53,   56.47,   67.06,   72.05,   59.90
20/02/2013 13:35:00,   63.14,   67.42,   58.08,   67.37,   71.62,   61.65
20/02/2013 13:40:00,   61.97,   66.40,   56.30,   65.80,   70.05,   59.69
20/02/2013 13:45:00,   64.15,   69.49,   57.78,   68.79,   74.12,   61.72
20/02/2013 13:50:00,   61.36,   64.93,   56.68,   65.60,   69.16,   60.07
20/02/2013 13:55:00,   62.71,   67.05,   56.74,   66.43,   70.82,   60.43
20/02/2013 14:00:00,   61.93,   65.54,   56.63,   65.93,   69.55,   60.33
20/02/2013 14:05:00,   63.12,   68.61,   57.05,   67.26,   72.46,   61.04
20/02/2013 14:10:00,   63.27,   66.23,   58.17,   67.35,   70.86,   61.75
20/02/2013 14:15:00,   62.51,   65.54,   57.75,   66.99,   71.91,   61.63
20/02/2013 14:20:00,   63.09,   66.81,   58.32,   67.65,   72.30,   61.62
20/02/2013 14:25:00,   63.48,   66.86,   58.46,   67.11,   70.80,   61.63
20/02/2013 14:30:00,   63.09,   66.57,   58.03,   66.72,   69.86,   61.60
20/02/2013 14:35:00,   62.00,   66.10,   56.31,   65.71,   69.92,   59.65
20/02/2013 14:40:00,   62.39,   65.97,   56.54,   66.19,   70.53,   59.89
20/02/2013 14:45:00,   61.48,   65.62,   56.29,   64.94,   68.87,   59.81
20/02/2013 14:50:00,   62.96,   66.93,   56.00,   66.15,   69.28,   59.21
