# noise_analysis run from DCC-NOISE-001017 at Sat Feb 23 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
23/02/2013 00:05:00,   59.92,   64.50,   51.99,   62.76,   66.74,   56.17
23/02/2013 00:10:00,   59.97,   64.80,   52.26,   63.36,   67.38,   56.48
23/02/2013 00:15:00,   59.13,   65.15,   51.28,   62.53,   67.61,   55.75
23/02/2013 00:20:00,   58.71,   63.45,   50.97,   62.18,   66.01,   55.72
23/02/2013 00:25:00,   59.20,   63.64,   52.62,   62.51,   66.21,   56.67
23/02/2013 00:30:00,   62.66,   67.88,   53.86,   64.73,   69.95,   56.89
23/02/2013 00:35:00,   64.65,   69.44,   55.78,   66.08,   70.52,   58.93
23/02/2013 00:40:00,   60.81,   65.59,   51.65,   63.48,   67.39,   55.47
23/02/2013 00:45:00,   59.35,   65.16,   51.13,   62.27,   67.38,   54.97
23/02/2013 00:50:00,   57.39,   62.45,   51.22,   60.82,   65.15,   54.99
23/02/2013 00:55:00,   58.98,   63.80,   51.85,   61.54,   65.65,   55.57
23/02/2013 01:00:00,   57.53,   63.59,   50.67,   60.45,   65.96,   54.60
23/02/2013 01:05:00,   59.13,   64.38,   51.47,   62.13,   66.72,   55.25
23/02/2013 01:10:00,   55.96,   62.47,   49.57,   59.15,   64.40,   54.25
23/02/2013 01:15:00,   57.00,   63.60,   50.60,   61.16,   66.18,   54.86
23/02/2013 01:20:00,   58.78,   63.47,   51.92,   61.46,   65.46,   55.62
23/02/2013 01:25:00,   57.77,   63.12,   50.48,   60.92,   65.90,   54.70
23/02/2013 01:30:00,   57.08,   63.08,   49.99,   60.30,   65.55,   54.27
23/02/2013 01:35:00,   54.89,   60.15,   50.63,   58.30,   62.31,   54.83
23/02/2013 01:40:00,   55.62,   61.74,   49.84,   58.93,   64.29,   54.23
23/02/2013 01:45:00,   55.81,   60.67,   50.55,   59.54,   63.50,   54.96
23/02/2013 01:50:00,   54.03,   57.96,   50.28,   57.80,   60.89,   54.74
23/02/2013 01:55:00,   55.17,   60.10,   49.88,   58.16,   62.60,   53.94
23/02/2013 02:00:00,   55.92,   62.98,   50.11,   58.93,   64.93,   54.21
23/02/2013 02:05:00,   56.58,   62.23,   50.57,   59.34,   64.17,   54.81
23/02/2013 02:10:00,   57.40,   63.70,   50.80,   61.38,   66.57,   55.23
23/02/2013 02:15:00,   56.83,   62.58,   50.67,   62.19,   65.62,   55.23
23/02/2013 02:20:00,   56.09,   62.50,   50.31,   59.22,   64.73,   54.41
23/02/2013 02:25:00,   56.56,   61.72,   50.18,   59.46,   63.67,   54.48
23/02/2013 02:30:00,   54.73,   59.91,   49.83,   57.78,   63.24,   53.92
23/02/2013 02:35:00,   57.24,   63.15,   50.55,   59.91,   65.16,   54.76
23/02/2013 02:40:00,   57.25,   62.32,   49.94,   59.80,   64.02,   54.11
23/02/2013 02:45:00,   56.69,   63.40,   50.14,   59.66,   65.11,   54.32
23/02/2013 02:50:00,   55.68,   61.34,   49.87,   58.67,   63.57,   54.02
23/02/2013 02:55:00,   57.40,   63.74,   50.25,   60.28,   65.98,   54.62
23/02/2013 03:00:00,   55.93,   62.11,   49.85,   58.86,   64.01,   54.06
23/02/2013 03:05:00,   57.09,   63.06,   49.97,   60.21,   65.24,   54.46
23/02/2013 03:10:00,   56.31,   61.65,   50.20,   59.67,   64.27,   54.25
23/02/2013 03:15:00,   57.91,   64.46,   51.19,   60.66,   66.47,   54.88
23/02/2013 03:20:00,   57.33,   63.84,   50.32,   60.52,   66.25,   54.74
23/02/2013 03:25:00,   56.00,   61.99,   50.49,   59.48,   64.31,   54.59
23/02/2013 03:30:00,   56.21,   63.07,   50.21,   59.15,   65.20,   54.33
23/02/2013 03:35:00,   57.00,   63.30,   50.75,   59.98,   65.92,   54.71
23/02/2013 03:40:00,   57.36,   63.72,   50.91,   60.17,   65.68,   54.66
23/02/2013 03:45:00,   57.47,   62.70,   50.44,   60.56,   65.41,   54.22
23/02/2013 03:50:00,   58.14,   64.29,   50.50,   61.40,   66.66,   54.50
23/02/2013 03:55:00,   53.95,   59.46,   49.51,   57.23,   61.61,   53.65
23/02/2013 04:00:00,   59.27,   63.46,   50.76,   62.91,   66.29,   54.92
23/02/2013 04:05:00,   55.82,   61.96,   49.66,   59.11,   64.25,   53.99
23/02/2013 04:10:00,   56.52,   61.60,   49.66,   59.49,   63.18,   53.81
23/02/2013 04:15:00,   56.26,   61.75,   49.71,   60.06,   64.74,   54.32
23/02/2013 04:20:00,   54.64,   59.06,   49.53,   57.99,   61.95,   53.63
23/02/2013 04:25:00,   55.29,   61.37,   49.47,   58.75,   63.94,   53.74
23/02/2013 04:30:00,   55.30,   61.96,   49.45,   58.49,   64.37,   53.62
23/02/2013 04:35:00,   55.84,   61.31,   49.96,   59.34,   63.63,   54.17
23/02/2013 04:40:00,   56.79,   63.76,   48.73,   59.49,   65.50,   52.93
23/02/2013 04:45:00,   56.09,   63.20,   48.75,   58.94,   65.58,   52.76
23/02/2013 04:50:00,   53.91,   60.08,   49.03,   57.06,   62.31,   53.06
23/02/2013 04:55:00,   56.89,   63.29,   49.55,   59.25,   64.89,   53.51
23/02/2013 05:00:00,   56.66,   63.31,   49.85,   59.30,   65.09,   53.67
23/02/2013 05:05:00,   55.35,   60.21,   50.10,   58.40,   62.66,   53.67
23/02/2013 05:10:00,   55.70,   61.48,   49.81,   58.34,   63.56,   53.38
23/02/2013 05:15:00,   53.64,   57.60,   49.86,   56.89,   60.84,   53.26
23/02/2013 05:20:00,   54.55,   59.39,   50.09,   57.25,   61.46,   53.40
23/02/2013 05:25:00,   56.12,   62.36,   50.90,   59.49,   65.72,   53.96
23/02/2013 05:30:00,   54.59,   58.41,   51.55,   57.16,   60.62,   54.12
23/02/2013 05:35:00,   58.46,   63.65,   52.44,   61.26,   65.99,   54.92
23/02/2013 05:40:00,   57.91,   62.99,   52.56,   61.21,   65.80,   55.05
23/02/2013 05:45:00,   56.41,   60.53,   52.51,   59.79,   64.68,   54.47
23/02/2013 05:50:00,   55.87,   59.13,   52.51,   58.64,   61.89,   54.67
23/02/2013 05:55:00,   57.91,   62.77,   52.67,   60.99,   65.95,   54.77
23/02/2013 06:00:00,   62.27,   67.24,   53.27,   65.19,   70.36,   56.15
23/02/2013 06:05:00,   58.83,   64.13,   52.93,   62.08,   66.86,   55.65
23/02/2013 06:10:00,   58.04,   63.65,   52.71,   61.56,   67.81,   54.91
23/02/2013 06:15:00,   61.62,   65.05,   53.96,   64.74,   67.43,   57.55
23/02/2013 06:20:00,   60.54,   63.09,   53.83,   64.14,   67.34,   56.79
23/02/2013 06:25:00,   59.28,   64.39,   53.30,   62.23,   66.89,   55.75
23/02/2013 06:30:00,   58.80,   64.21,   53.06,   61.77,   66.20,   55.42
23/02/2013 06:35:00,   57.34,   61.98,   53.42,   60.99,   65.23,   56.41
23/02/2013 06:40:00,   58.50,   63.42,   53.41,   61.83,   66.58,   56.61
23/02/2013 06:45:00,   59.27,   64.85,   53.41,   62.80,   67.69,   56.68
23/02/2013 06:50:00,   58.70,   63.50,   53.42,   62.01,   66.46,   56.21
23/02/2013 06:55:00,   57.72,   62.71,   53.31,   61.02,   65.63,   56.52
23/02/2013 07:00:00,   58.56,   63.87,   53.43,   61.52,   65.55,   56.36
23/02/2013 07:05:00,   60.62,   66.32,   53.97,   64.20,   69.78,   56.87
23/02/2013 07:10:00,   59.54,   64.81,   54.20,   62.94,   67.69,   56.96
23/02/2013 07:15:00,   58.93,   63.66,   53.99,   62.16,   67.12,   56.70
23/02/2013 07:20:00,   58.97,   64.60,   53.58,   61.66,   66.92,   56.52
23/02/2013 07:25:00,   61.39,   67.17,   53.77,   65.55,   71.13,   56.83
23/02/2013 07:30:00,   57.92,   62.37,   53.43,   61.13,   64.80,   56.39
23/02/2013 07:35:00,   57.23,   61.78,   53.55,   60.15,   64.07,   56.50
23/02/2013 07:40:00,   58.80,   64.24,   53.49,   62.02,   67.57,   56.40
23/02/2013 07:45:00,   61.98,   67.60,   54.06,   65.07,   70.28,   56.80
23/02/2013 07:50:00,   59.50,   65.00,   54.10,   62.42,   67.27,   57.20
23/02/2013 07:55:00,   59.42,   65.49,   53.50,   62.65,   68.52,   56.22
23/02/2013 08:00:00,   59.74,   64.48,   53.39,   63.05,   68.06,   56.13
23/02/2013 08:05:00,   60.02,   65.19,   53.53,   63.27,   68.50,   56.15
23/02/2013 08:10:00,   61.22,   66.34,   53.77,   64.19,   68.78,   56.09
23/02/2013 08:15:00,   59.77,   65.08,   53.67,   62.83,   67.43,   56.41
23/02/2013 08:20:00,   64.92,   70.98,   54.44,   68.46,   75.50,   57.53
23/02/2013 08:25:00,   60.35,   65.90,   54.30,   63.23,   67.82,   57.40
23/02/2013 08:30:00,   61.45,   66.26,   54.95,   64.55,   69.44,   58.02
23/02/2013 08:35:00,   61.04,   66.49,   54.47,   64.48,   68.85,   58.59
23/02/2013 08:40:00,   60.01,   65.49,   54.19,   63.42,   67.46,   57.47
23/02/2013 08:45:00,   61.58,   67.40,   54.59,   64.85,   70.11,   58.02
23/02/2013 08:50:00,   60.82,   65.82,   54.94,   64.22,   69.00,   58.40
23/02/2013 08:55:00,   60.46,   65.65,   54.28,   63.77,   68.52,   57.42
23/02/2013 09:00:00,   61.58,   66.44,   55.11,   64.45,   68.68,   57.95
23/02/2013 09:05:00,   60.49,   64.81,   53.96,   64.10,   68.26,   56.36
23/02/2013 09:10:00,   62.27,   67.19,   54.78,   64.89,   69.42,   57.61
23/02/2013 09:15:00,   62.40,   69.13,   54.97,   65.77,   72.04,   57.61
23/02/2013 09:20:00,   61.71,   66.57,   54.57,   64.33,   68.80,   57.23
