# noise_analysis run from DCC-NOISE-001017 at Mon Feb 25 00:00:00 2013
# Monitoring unit located at 53.344688N 6.270217W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.408398
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
25/02/2013 00:05:00,   56.59,   61.91,   49.20,   60.04,   64.52,   53.60
25/02/2013 00:10:00,   54.87,   60.26,   49.25,   57.79,   61.88,   53.58
25/02/2013 00:15:00,   57.48,   63.95,   49.65,   59.81,   65.43,   53.65
25/02/2013 00:20:00,   53.91,   59.27,   49.07,   57.14,   61.39,   53.40
25/02/2013 00:25:00,   55.47,   61.39,   49.07,   58.38,   63.71,   53.32
25/02/2013 00:30:00,   56.37,   63.12,   49.07,   58.82,   64.67,   53.26
25/02/2013 00:35:00,   53.83,   57.40,   49.18,   56.88,   59.47,   53.38
25/02/2013 00:40:00,   55.28,   61.59,   49.49,   58.07,   62.89,   53.73
25/02/2013 00:45:00,   54.68,   60.91,   49.01,   57.71,   62.94,   53.23
25/02/2013 00:50:00,   55.05,   61.86,   49.53,   57.96,   63.53,   53.67
25/02/2013 00:55:00,   57.32,   62.43,   49.91,   59.92,   64.47,   54.20
25/02/2013 01:00:00,   52.81,   57.82,   48.87,   55.93,   59.83,   53.08
25/02/2013 01:05:00,   53.61,   59.83,   48.80,   56.74,   61.24,   53.20
25/02/2013 01:10:00,   52.99,   56.72,   49.00,   56.50,   59.62,   53.41
25/02/2013 01:15:00,   54.52,   59.95,   49.30,   57.61,   61.92,   53.63
25/02/2013 01:20:00,   55.84,   61.80,   49.47,   58.99,   64.92,   53.72
25/02/2013 01:25:00,   55.44,   60.66,   50.06,   58.43,   62.94,   54.47
25/02/2013 01:30:00,   54.14,   59.94,   49.43,   57.54,   62.09,   53.81
25/02/2013 01:35:00,   53.64,   58.57,   48.90,   56.81,   60.44,   53.42
25/02/2013 01:40:00,   51.69,   54.74,   48.67,   55.62,   58.74,   53.02
25/02/2013 01:45:00,   52.32,   55.93,   48.90,   56.00,   59.09,   53.21
