# noise_analysis run from DCC-NOISE-001011 at Tue Jan  1 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/01/2013 00:05:00,   67.27,   68.65,   63.21,   68.71,   70.08,   64.58
01/01/2013 00:10:00,   66.07,   68.33,   60.76,   67.58,   70.00,   62.19
01/01/2013 00:15:00,   64.91,   67.33,   61.02,   66.83,   69.41,   62.84
01/01/2013 00:20:00,   63.15,   66.86,   53.06,   65.15,   68.95,   56.33
01/01/2013 00:25:00,   60.40,   65.93,   52.93,   63.01,   67.86,   56.07
01/01/2013 00:30:00,   60.51,   64.45,   53.34,   63.26,   67.07,   56.84
01/01/2013 00:35:00,   59.19,   64.76,   52.70,   62.06,   66.74,   56.37
01/01/2013 00:40:00,   60.42,   65.24,   52.42,   63.21,   68.66,   56.23
01/01/2013 00:45:00,   59.19,   64.01,   52.74,   61.88,   66.09,   56.12
01/01/2013 00:50:00,   60.19,   64.99,   52.16,   63.33,   67.65,   56.04
01/01/2013 00:55:00,   58.87,   62.97,   52.52,   61.15,   65.00,   56.27
01/01/2013 01:00:00,   60.69,   65.52,   52.69,   63.61,   67.51,   56.37
01/01/2013 01:05:00,   58.78,   63.18,   53.04,   61.45,   65.97,   56.14
01/01/2013 01:10:00,   58.07,   63.28,   52.01,   60.81,   65.87,   55.58
01/01/2013 01:15:00,   56.62,   61.67,   52.04,   59.50,   63.93,   55.56
01/01/2013 01:20:00,   59.64,   64.75,   52.52,   62.20,   67.35,   56.12
01/01/2013 01:25:00,   56.83,   61.02,   51.83,   59.59,   63.41,   55.21
01/01/2013 01:30:00,   60.10,   63.74,   52.92,   62.15,   65.95,   55.91
01/01/2013 01:35:00,   58.99,   63.33,   51.80,   61.84,   65.50,   55.55
01/01/2013 01:40:00,   57.53,   63.23,   51.88,   60.64,   66.04,   55.39
01/01/2013 01:45:00,   67.90,   74.97,   57.06,   71.28,   77.87,   60.84
01/01/2013 01:50:00,   58.13,   62.38,   52.70,   61.38,   65.56,   56.33
01/01/2013 01:55:00,   57.63,   63.53,   51.56,   60.45,   65.68,   55.23
01/01/2013 02:00:00,   57.55,   62.86,   51.71,   60.22,   65.14,   55.19
01/01/2013 02:05:00,   59.83,   65.48,   51.62,   62.77,   68.41,   55.11
01/01/2013 02:10:00,   64.78,   74.19,   52.50,   67.81,   76.68,   56.52
01/01/2013 02:15:00,   58.91,   63.80,   51.84,   61.52,   66.20,   55.44
01/01/2013 02:20:00,   58.82,   63.24,   53.02,   61.43,   65.75,   56.38
01/01/2013 02:25:00,   59.40,   63.07,   53.74,   62.38,   65.75,   57.24
01/01/2013 02:30:00,   59.24,   63.88,   52.71,   62.18,   66.40,   56.58
01/01/2013 02:35:00,   58.93,   62.97,   52.43,   61.68,   65.56,   56.17
01/01/2013 02:40:00,   57.59,   62.91,   51.75,   60.37,   65.06,   55.42
01/01/2013 02:45:00,   59.17,   63.75,   52.96,   61.90,   66.08,   56.72
01/01/2013 02:50:00,   62.22,   70.45,   52.06,   63.51,   70.40,   55.81
01/01/2013 02:55:00,   58.46,   62.95,   52.05,   62.95,   65.79,   55.16
01/01/2013 03:00:00,   58.74,   63.26,   52.76,   61.65,   65.67,   55.85
01/01/2013 03:05:00,   56.52,   61.13,   52.46,   59.18,   62.83,   55.80
01/01/2013 03:10:00,   58.63,   63.66,   52.67,   62.02,   66.23,   56.49
01/01/2013 03:15:00,   57.04,   62.91,   51.68,   60.02,   65.46,   54.87
01/01/2013 03:20:00,   58.51,   63.14,   52.49,   60.98,   65.29,   55.43
01/01/2013 03:25:00,   57.56,   62.02,   52.35,   60.69,   64.35,   55.77
01/01/2013 03:30:00,   58.99,   63.71,   53.14,   61.14,   65.28,   56.37
01/01/2013 03:35:00,   57.41,   62.11,   52.02,   60.02,   64.13,   55.07
01/01/2013 03:40:00,   58.33,   63.29,   52.22,   61.04,   65.72,   55.23
01/01/2013 03:45:00,   58.31,   62.67,   52.70,   60.90,   64.43,   56.11
01/01/2013 03:50:00,   58.23,   62.74,   52.55,   61.03,   64.94,   55.62
01/01/2013 03:55:00,   57.46,   61.62,   51.67,   59.82,   63.36,   54.85
01/01/2013 04:00:00,   58.37,   63.10,   52.76,   61.06,   65.55,   56.05
01/01/2013 04:05:00,   67.63,   77.44,   53.09,   70.79,   79.88,   57.53
01/01/2013 04:10:00,   56.90,   61.94,   52.74,   59.92,   64.48,   55.73
01/01/2013 04:15:00,   58.44,   62.99,   52.53,   60.84,   64.83,   55.59
01/01/2013 04:20:00,   58.79,   63.02,   52.40,   60.76,   64.83,   55.39
01/01/2013 04:25:00,   63.53,   66.95,   53.38,   65.25,   69.05,   56.62
01/01/2013 04:30:00,   58.48,   63.01,   52.12,   62.21,   66.54,   55.11
01/01/2013 04:35:00,   57.68,   62.76,   52.12,   62.15,   67.22,   55.51
01/01/2013 04:40:00,   57.43,   62.68,   52.18,   60.31,   65.16,   55.30
01/01/2013 04:45:00,   57.75,   61.85,   52.51,   60.26,   63.81,   55.93
01/01/2013 04:50:00,   57.69,   63.81,   51.66,   60.38,   65.87,   54.68
01/01/2013 04:55:00,   58.56,   63.76,   52.34,   61.86,   66.52,   55.44
01/01/2013 05:00:00,   57.73,   62.60,   53.38,   60.48,   64.87,   56.24
01/01/2013 05:05:00,   57.81,   63.65,   51.74,   60.89,   65.82,   55.25
01/01/2013 05:10:00,   56.51,   62.33,   51.54,   59.79,   65.61,   54.33
01/01/2013 05:15:00,   56.65,   62.32,   51.52,   59.35,   64.55,   54.45
01/01/2013 05:20:00,   55.86,   60.75,   51.39,   58.75,   62.86,   54.83
01/01/2013 05:25:00,   57.06,   62.66,   50.95,   60.19,   65.08,   54.46
01/01/2013 05:30:00,   56.68,   61.46,   51.68,   59.37,   63.27,   54.55
01/01/2013 05:35:00,   58.03,   64.00,   51.06,   60.68,   65.96,   53.99
01/01/2013 05:40:00,   58.00,   62.98,   51.69,   60.82,   65.83,   54.75
01/01/2013 05:45:00,   56.40,   61.12,   51.97,   58.99,   63.06,   54.52
01/01/2013 05:50:00,   56.90,   61.35,   52.46,   59.34,   63.38,   54.81
01/01/2013 05:55:00,   56.84,   62.03,   52.37,   60.45,   65.66,   55.01
01/01/2013 06:00:00,   56.84,   61.16,   52.34,   59.82,   64.03,   55.02
01/01/2013 06:05:00,   55.93,   59.94,   52.53,   59.13,   62.98,   54.99
01/01/2013 06:10:00,   57.29,   63.79,   52.29,   59.86,   66.23,   54.34
01/01/2013 06:15:00,   56.42,   61.37,   52.59,   59.14,   63.92,   55.15
01/01/2013 06:20:00,   57.69,   61.96,   52.75,   60.08,   64.12,   55.39
01/01/2013 06:25:00,   56.07,   60.20,   52.38,   58.16,   62.18,   54.45
01/01/2013 06:30:00,   55.94,   60.69,   52.35,   58.56,   63.50,   54.33
01/01/2013 06:35:00,   58.66,   63.65,   53.08,   61.99,   66.14,   55.72
01/01/2013 06:40:00,   55.78,   60.20,   52.61,   59.12,   63.00,   55.09
01/01/2013 06:45:00,   57.73,   64.40,   52.64,   59.77,   65.73,   54.72
01/01/2013 06:50:00,   55.90,   60.76,   52.65,   58.13,   62.14,   55.06
01/01/2013 06:55:00,   56.21,   60.72,   52.95,   59.01,   62.49,   55.68
01/01/2013 07:00:00,   56.32,   60.89,   52.89,   58.88,   62.40,   55.65
01/01/2013 07:05:00,   59.09,   63.64,   52.93,   61.94,   65.61,   55.65
01/01/2013 07:10:00,   57.21,   63.91,   52.83,   60.08,   66.47,   55.53
01/01/2013 07:15:00,   58.31,   64.48,   52.51,   60.73,   65.93,   55.40
01/01/2013 07:20:00,   56.86,   61.80,   52.63,   59.19,   63.65,   55.17
01/01/2013 07:25:00,   58.62,   64.20,   53.02,   61.64,   66.78,   55.68
01/01/2013 07:30:00,   58.68,   63.14,   53.00,   60.71,   65.44,   55.47
01/01/2013 07:35:00,   60.91,   66.08,   53.10,   62.89,   68.13,   55.80
01/01/2013 07:40:00,   57.19,   62.00,   52.66,   59.85,   64.16,   54.53
01/01/2013 07:45:00,   58.13,   62.91,   52.82,   60.79,   64.83,   55.31
01/01/2013 07:50:00,   55.73,   61.03,   52.45,   57.99,   62.76,   54.95
01/01/2013 07:55:00,   56.52,   62.21,   52.38,   59.23,   64.46,   54.89
01/01/2013 08:00:00,   58.66,   62.50,   53.40,   61.05,   65.21,   55.40
01/01/2013 08:05:00,   58.00,   61.61,   53.78,   59.75,   63.66,   55.54
01/01/2013 08:10:00,   58.36,   62.56,   53.15,   60.63,   64.26,   55.87
01/01/2013 08:15:00,   56.76,   59.65,   52.95,   59.72,   62.81,   55.34
01/01/2013 08:20:00,   58.43,   63.33,   52.46,   60.71,   65.40,   54.54
01/01/2013 08:25:00,   57.29,   62.98,   52.45,   59.99,   64.28,   54.95
01/01/2013 08:30:00,   57.90,   63.63,   52.41,   60.81,   66.18,   54.93
01/01/2013 08:35:00,   56.84,   61.78,   52.44,   59.79,   64.49,   54.60
01/01/2013 08:40:00,   57.83,   63.14,   52.54,   60.28,   64.87,   54.82
01/01/2013 08:45:00,   58.16,   63.21,   52.75,   60.49,   64.39,   55.44
01/01/2013 08:50:00,   56.37,   59.16,   52.80,   60.01,   62.45,   55.57
01/01/2013 08:55:00,   58.39,   63.62,   52.86,   60.96,   65.35,   55.30
01/01/2013 09:00:00,   58.31,   63.55,   53.18,   61.93,   68.23,   56.11
01/01/2013 09:05:00,   59.40,   64.35,   53.28,   63.19,   68.95,   55.83
01/01/2013 09:10:00,   56.52,   60.47,   52.96,   59.26,   62.45,   55.53
01/01/2013 09:15:00,   56.75,   60.20,   52.46,   59.49,   62.95,   54.53
01/01/2013 09:20:00,   58.87,   64.61,   52.61,   61.63,   67.27,   54.60
01/01/2013 09:25:00,   56.27,   61.55,   52.56,   58.81,   63.52,   54.91
01/01/2013 09:30:00,   55.48,   58.84,   52.33,   57.64,   60.70,   54.45
01/01/2013 09:35:00,   59.00,   64.77,   52.83,   61.58,   66.76,   55.04
01/01/2013 09:40:00,   55.00,   58.38,   52.34,   57.78,   61.74,   54.48
01/01/2013 09:45:00,   57.58,   62.28,   53.01,   60.78,   64.87,   55.71
01/01/2013 09:50:00,   57.65,   63.00,   52.95,   61.16,   65.86,   55.55
01/01/2013 09:55:00,   57.82,   62.23,   52.87,   60.52,   64.30,   55.44
01/01/2013 10:00:00,   59.63,   64.80,   53.29,   62.82,   66.92,   55.78
01/01/2013 10:05:00,   57.65,   62.60,   52.74,   61.28,   65.32,   55.68
01/01/2013 10:10:00,   55.93,   60.09,   52.58,   58.97,   63.00,   54.60
01/01/2013 10:15:00,   60.16,   66.15,   52.69,   62.64,   67.96,   55.02
01/01/2013 10:20:00,   55.95,   59.83,   52.69,   59.64,   63.16,   54.93
01/01/2013 10:25:00,   59.73,   64.19,   53.21,   63.21,   66.86,   55.68
01/01/2013 10:30:00,   56.46,   59.78,   53.07,   59.50,   62.83,   55.76
01/01/2013 10:35:00,   55.57,   57.96,   52.99,   58.98,   61.35,   55.80
01/01/2013 10:40:00,   59.51,   65.34,   52.90,   62.97,   68.30,   55.58
01/01/2013 10:45:00,   56.94,   61.67,   52.73,   59.43,   63.94,   55.09
01/01/2013 10:50:00,   60.34,   66.60,   53.23,   62.92,   68.26,   55.63
01/01/2013 10:55:00,   59.37,   64.40,   53.07,   62.58,   67.45,   55.65
01/01/2013 11:00:00,   57.99,   62.66,   53.11,   60.79,   65.34,   55.52
01/01/2013 11:05:00,   59.17,   63.23,   53.92,   62.80,   66.82,   56.54
01/01/2013 11:10:00,   58.68,   62.85,   53.42,   61.76,   65.62,   55.78
01/01/2013 11:15:00,   58.73,   62.11,   53.41,   61.96,   65.65,   56.08
