# noise_analysis run from DCC-NOISE-001011 at Thu Jan  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/01/2013 00:05:00,   56.20,   61.17,   49.44,   59.24,   63.92,   53.01
03/01/2013 00:10:00,   54.77,   60.19,   48.64,   57.55,   62.26,   52.47
03/01/2013 00:15:00,   57.06,   62.37,   49.49,   60.16,   64.80,   53.25
03/01/2013 00:20:00,   57.06,   63.13,   48.45,   60.76,   66.62,   52.46
03/01/2013 00:25:00,   55.18,   61.00,   48.07,   58.19,   63.08,   51.87
03/01/2013 00:30:00,   56.95,   64.10,   48.11,   60.90,   67.65,   51.93
03/01/2013 00:35:00,   59.98,   68.19,   48.13,   62.95,   70.24,   52.20
03/01/2013 00:40:00,   56.35,   60.95,   49.10,   59.69,   62.90,   52.98
03/01/2013 00:45:00,   56.08,   61.33,   48.45,   59.50,   64.11,   52.33
03/01/2013 00:50:00,   62.87,   72.97,   49.31,   66.50,   76.37,   53.24
03/01/2013 00:55:00,   51.41,   55.45,   48.03,   55.46,   59.33,   52.03
03/01/2013 01:00:00,   52.64,   56.93,   48.09,   55.72,   59.76,   51.94
03/01/2013 01:05:00,   55.14,   61.98,   47.59,   58.72,   65.44,   51.62
03/01/2013 01:10:00,   53.16,   58.65,   48.07,   56.56,   60.78,   52.06
03/01/2013 01:15:00,   52.62,   56.90,   48.21,   56.29,   60.29,   52.22
03/01/2013 01:20:00,   52.58,   57.12,   47.69,   55.95,   60.36,   51.88
03/01/2013 01:25:00,   51.05,   55.67,   47.36,   55.48,   60.30,   51.20
03/01/2013 01:30:00,   53.12,   59.01,   47.50,   56.23,   61.51,   51.38
03/01/2013 01:35:00,   52.33,   57.84,   47.60,   55.14,   59.38,   51.35
03/01/2013 01:40:00,   52.20,   57.55,   47.36,   55.62,   60.60,   51.27
03/01/2013 01:45:00,   50.53,   53.94,   47.60,   54.51,   58.11,   51.55
