# noise_analysis run from DCC-NOISE-001011 at Fri Jan  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/01/2013 00:05:00,   56.19,   60.43,   49.35,   59.79,   63.31,   53.18
04/01/2013 00:10:00,   53.39,   57.01,   49.20,   56.93,   59.79,   53.19
04/01/2013 00:15:00,   56.40,   61.74,   48.92,   59.73,   64.20,   52.46
04/01/2013 00:20:00,   54.58,   59.01,   48.00,   58.23,   62.99,   51.88
04/01/2013 00:25:00,   55.77,   60.16,   48.08,   59.52,   64.54,   52.05
04/01/2013 00:30:00,   55.68,   60.48,   47.57,   59.10,   63.64,   51.56
04/01/2013 00:35:00,   54.22,   58.78,   47.82,   57.74,   62.07,   51.92
04/01/2013 00:40:00,   53.98,   60.22,   47.55,   57.09,   62.76,   51.42
04/01/2013 00:45:00,   54.83,   60.11,   47.74,   58.11,   63.10,   51.59
04/01/2013 00:50:00,   56.72,   62.47,   48.04,   59.80,   65.60,   51.75
04/01/2013 00:55:00,   63.75,   76.39,   48.19,   67.13,   79.39,   52.25
04/01/2013 01:00:00,   53.59,   58.38,   48.12,   56.47,   60.99,   51.70
04/01/2013 01:05:00,   55.07,   61.74,   47.79,   58.51,   64.14,   51.67
04/01/2013 01:10:00,   52.80,   58.10,   47.48,   56.29,   60.84,   52.03
04/01/2013 01:15:00,   52.81,   57.38,   47.69,   56.11,   60.24,   51.51
04/01/2013 01:20:00,   53.31,   59.33,   47.37,   56.59,   61.60,   51.31
04/01/2013 01:25:00,   52.43,   58.40,   47.12,   55.27,   60.50,   50.95
04/01/2013 01:30:00,   50.39,   54.59,   47.10,   53.84,   57.65,   50.88
04/01/2013 01:35:00,   51.02,   55.23,   47.14,   54.58,   57.60,   51.06
04/01/2013 01:40:00,   49.65,   52.71,   47.00,   53.12,   55.63,   50.92
04/01/2013 01:45:00,   52.60,   57.85,   47.24,   55.54,   60.36,   51.16
04/01/2013 01:50:00,   50.84,   54.11,   47.18,   54.10,   57.65,   50.97
04/01/2013 01:55:00,   52.57,   57.96,   47.41,   55.96,   60.57,   51.63
04/01/2013 02:00:00,   52.94,   58.51,   47.43,   56.14,   60.68,   51.40
04/01/2013 02:05:00,   50.53,   55.46,   46.62,   54.42,   58.64,   50.77
04/01/2013 02:10:00,   50.61,   55.11,   46.59,   54.59,   59.14,   50.79
04/01/2013 02:15:00,   50.86,   54.92,   46.89,   54.30,   58.37,   50.80
04/01/2013 02:20:00,   51.11,   56.51,   46.64,   54.23,   59.03,   50.65
04/01/2013 02:25:00,   51.13,   56.22,   46.07,   54.20,   58.59,   50.26
04/01/2013 02:30:00,   50.67,   55.45,   46.52,   54.12,   58.08,   50.66
04/01/2013 02:35:00,   50.40,   54.74,   46.71,   54.18,   57.66,   50.82
04/01/2013 02:40:00,   49.79,   53.81,   46.53,   53.43,   57.48,   50.55
04/01/2013 02:45:00,   49.64,   52.53,   46.63,   52.85,   55.12,   50.58
04/01/2013 02:50:00,   49.97,   53.82,   46.61,   53.36,   56.31,   50.52
04/01/2013 02:55:00,   51.86,   56.71,   47.06,   55.31,   59.11,   51.22
04/01/2013 03:00:00,   51.85,   56.65,   47.09,   55.71,   60.44,   51.33
04/01/2013 03:05:00,   53.61,   59.59,   47.62,   56.43,   61.41,   51.46
04/01/2013 03:10:00,   49.61,   52.14,   46.96,   53.92,   56.17,   51.45
04/01/2013 03:15:00,   50.47,   54.48,   46.92,   54.16,   57.85,   51.10
04/01/2013 03:20:00,   50.85,   54.44,   46.87,   55.13,   58.67,   50.82
04/01/2013 03:25:00,   51.04,   56.10,   47.05,   54.57,   58.73,   51.06
04/01/2013 03:30:00,   52.12,   58.31,   47.13,   55.12,   60.62,   51.09
04/01/2013 03:35:00,   53.73,   59.28,   46.68,   56.81,   61.62,   50.93
04/01/2013 03:40:00,   51.17,   56.81,   46.64,   54.78,   60.22,   50.83
04/01/2013 03:45:00,   50.29,   53.76,   46.85,   53.99,   56.86,   50.87
04/01/2013 03:50:00,   53.89,   59.36,   48.36,   57.89,   63.06,   52.75
04/01/2013 03:55:00,   56.01,   62.03,   47.14,   59.34,   65.20,   51.46
04/01/2013 04:00:00,   51.68,   56.13,   47.42,   55.74,   59.24,   52.09
04/01/2013 04:05:00,   53.62,   59.16,   47.61,   57.56,   62.51,   51.78
04/01/2013 04:10:00,   52.52,   58.18,   47.35,   56.72,   62.49,   51.56
04/01/2013 04:15:00,   53.56,   59.17,   47.50,   56.93,   61.79,   51.78
04/01/2013 04:20:00,   52.43,   57.00,   47.31,   56.12,   60.48,   51.47
04/01/2013 04:25:00,   53.69,   59.63,   47.55,   58.03,   63.27,   51.64
04/01/2013 04:30:00,   52.82,   58.18,   47.47,   56.73,   61.60,   51.41
04/01/2013 04:35:00,   53.97,   58.39,   47.67,   57.92,   61.77,   52.42
04/01/2013 04:40:00,   53.33,   58.83,   47.79,   56.65,   61.07,   51.71
04/01/2013 04:45:00,   51.98,   56.18,   47.55,   55.74,   59.30,   52.03
04/01/2013 04:50:00,   53.72,   59.61,   48.20,   56.99,   62.07,   52.63
04/01/2013 04:55:00,   56.46,   62.55,   49.14,   59.81,   64.97,   53.26
04/01/2013 05:00:00,   54.59,   58.92,   49.11,   57.45,   61.42,   52.98
04/01/2013 05:05:00,   55.18,   60.68,   48.46,   60.09,   64.79,   52.83
04/01/2013 05:10:00,   57.12,   63.70,   48.73,   60.46,   66.06,   53.38
04/01/2013 05:15:00,   56.27,   61.22,   48.88,   59.85,   64.18,   53.43
04/01/2013 05:20:00,   55.55,   60.61,   49.13,   59.63,   63.29,   53.59
04/01/2013 05:25:00,   53.73,   58.09,   49.07,   57.71,   61.93,   53.24
04/01/2013 05:30:00,   55.90,   60.68,   49.62,   59.61,   63.86,   54.44
04/01/2013 05:35:00,   57.15,   61.99,   49.87,   61.08,   65.98,   53.79
04/01/2013 05:40:00,   56.30,   60.66,   50.79,   60.26,   64.62,   55.23
04/01/2013 05:45:00,   56.04,   60.47,   50.34,   59.52,   64.06,   53.92
04/01/2013 05:50:00,   55.43,   60.06,   50.39,   58.35,   62.44,   53.88
04/01/2013 05:55:00,   57.48,   62.34,   51.33,   61.57,   66.30,   54.67
04/01/2013 06:00:00,   55.53,   60.10,   51.37,   58.69,   62.31,   54.25
04/01/2013 06:05:00,   59.76,   66.10,   52.49,   64.10,   70.96,   55.88
04/01/2013 06:10:00,   59.38,   65.16,   52.29,   62.55,   67.60,   55.36
04/01/2013 06:15:00,   58.79,   63.25,   52.77,   61.31,   65.13,   55.77
04/01/2013 06:20:00,   55.85,   60.29,   52.29,   59.45,   63.41,   55.56
04/01/2013 06:25:00,   58.73,   63.85,   53.48,   62.20,   67.20,   56.75
04/01/2013 06:30:00,   58.12,   62.70,   53.00,   61.53,   65.68,   56.18
04/01/2013 06:35:00,   57.75,   61.54,   53.56,   61.36,   64.60,   56.94
04/01/2013 06:40:00,   59.38,   64.76,   53.93,   62.63,   66.88,   57.73
04/01/2013 06:45:00,   59.01,   63.64,   54.01,   62.36,   65.43,   57.28
04/01/2013 06:50:00,   59.82,   64.78,   53.36,   63.62,   67.86,   56.97
04/01/2013 06:55:00,   59.74,   63.56,   54.24,   62.99,   66.04,   57.61
04/01/2013 07:00:00,   58.87,   63.48,   53.81,   62.09,   66.24,   57.09
04/01/2013 07:05:00,   61.48,   66.87,   53.74,   64.72,   68.77,   57.00
04/01/2013 07:10:00,   59.10,   64.63,   53.53,   62.83,   67.47,   57.10
