# noise_analysis run from DCC-NOISE-001011 at Sat Jan  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/01/2013 00:05:00,   56.26,   59.76,   48.95,   59.57,   61.93,   53.34
05/01/2013 00:10:00,   55.53,   60.08,   50.20,   58.82,   62.83,   54.30
05/01/2013 00:15:00,   58.37,   64.02,   49.78,   61.26,   66.38,   54.49
05/01/2013 00:20:00,   58.70,   65.14,   50.25,   62.75,   70.12,   54.61
05/01/2013 00:25:00,   61.47,   66.58,   49.82,   64.38,   69.89,   54.03
05/01/2013 00:30:00,   63.73,   69.95,   50.13,   67.18,   72.73,   54.50
05/01/2013 00:35:00,   60.58,   63.22,   55.85,   63.64,   66.64,   59.42
05/01/2013 00:40:00,   63.53,   68.76,   52.35,   66.73,   72.05,   57.02
05/01/2013 00:45:00,   58.36,   64.25,   48.90,   61.52,   66.28,   53.31
05/01/2013 00:50:00,   54.58,   59.38,   48.96,   57.90,   61.67,   52.98
05/01/2013 00:55:00,   55.80,   61.29,   48.87,   58.50,   63.12,   53.15
05/01/2013 01:00:00,   54.71,   60.12,   48.43,   57.69,   62.06,   52.56
05/01/2013 01:05:00,   57.96,   63.75,   49.26,   60.86,   65.80,   53.42
05/01/2013 01:10:00,   53.47,   59.16,   48.38,   56.62,   61.51,   52.52
05/01/2013 01:15:00,   54.47,   59.82,   48.97,   57.79,   63.01,   53.10
05/01/2013 01:20:00,   55.02,   59.92,   48.17,   57.91,   62.04,   52.48
05/01/2013 01:25:00,   54.54,   60.29,   48.51,   57.50,   62.65,   52.75
05/01/2013 01:30:00,   51.76,   55.47,   47.93,   55.17,   58.03,   52.47
05/01/2013 01:35:00,   51.81,   55.93,   48.31,   55.35,   58.67,   52.57
05/01/2013 01:40:00,   51.79,   55.45,   48.41,   55.20,   58.15,   52.68
05/01/2013 01:45:00,   54.89,   60.38,   48.31,   57.56,   62.44,   52.48
05/01/2013 01:50:00,   52.18,   56.42,   48.83,   55.52,   58.92,   52.85
05/01/2013 01:55:00,   53.50,   57.92,   48.55,   56.51,   60.26,   52.70
05/01/2013 02:00:00,   54.60,   59.35,   49.35,   57.68,   61.57,   53.35
05/01/2013 02:05:00,   54.96,   59.62,   49.49,   58.21,   62.11,   53.25
05/01/2013 02:10:00,   56.34,   61.95,   49.41,   59.67,   64.90,   53.63
05/01/2013 02:15:00,   53.43,   57.29,   49.55,   56.35,   59.55,   53.18
05/01/2013 02:20:00,   54.62,   58.49,   50.44,   57.66,   61.01,   54.20
05/01/2013 02:25:00,   55.50,   60.69,   49.92,   59.06,   63.23,   53.43
05/01/2013 02:30:00,   56.66,   61.59,   50.39,   60.56,   64.60,   54.18
05/01/2013 02:35:00,   53.79,   58.84,   49.26,   57.28,   60.96,   53.09
05/01/2013 02:40:00,   53.79,   58.93,   49.30,   57.34,   62.21,   53.11
05/01/2013 02:45:00,   56.01,   61.84,   49.60,   59.05,   64.18,   53.38
05/01/2013 02:50:00,   54.84,   61.12,   49.10,   57.90,   62.72,   52.72
05/01/2013 02:55:00,   53.25,   60.01,   47.85,   57.33,   62.99,   52.22
05/01/2013 03:00:00,   58.33,   63.99,   49.02,   60.82,   65.74,   52.56
