# noise_analysis run from DCC-NOISE-001011 at Sun Jan  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/01/2013 00:05:00,   55.17,   60.42,   48.91,   57.98,   62.48,   52.49
06/01/2013 00:10:00,   56.82,   63.03,   48.82,   60.11,   64.92,   53.46
06/01/2013 00:15:00,   56.03,   62.00,   48.38,   59.30,   64.34,   52.57
06/01/2013 00:20:00,   56.23,   60.88,   48.87,   59.41,   63.73,   52.94
06/01/2013 00:25:00,   58.67,   63.41,   49.36,   61.91,   66.62,   52.92
06/01/2013 00:30:00,   56.86,   64.06,   49.55,   59.51,   65.99,   53.22
06/01/2013 00:35:00,   55.22,   61.39,   48.82,   58.36,   63.81,   52.65
06/01/2013 00:40:00,   57.24,   62.84,   49.67,   60.21,   65.02,   53.15
06/01/2013 00:45:00,   61.07,   67.84,   49.76,   63.02,   69.63,   53.71
06/01/2013 00:50:00,   57.38,   63.44,   50.21,   61.07,   66.50,   53.77
06/01/2013 00:55:00,   54.85,   60.09,   49.50,   57.31,   62.16,   53.06
06/01/2013 01:00:00,   54.67,   59.66,   49.53,   57.42,   61.86,   53.26
06/01/2013 01:05:00,   55.08,   60.32,   49.44,   59.05,   64.82,   53.27
06/01/2013 01:10:00,   57.14,   62.82,   49.25,   59.97,   65.41,   52.89
06/01/2013 01:15:00,   55.95,   60.94,   48.73,   58.77,   63.10,   52.95
06/01/2013 01:20:00,   53.14,   57.31,   48.34,   56.21,   59.85,   52.35
06/01/2013 01:25:00,   54.75,   59.35,   49.31,   58.52,   62.73,   53.94
06/01/2013 01:30:00,   53.84,   57.80,   48.86,   57.26,   60.81,   52.89
06/01/2013 01:35:00,   55.02,   60.46,   48.04,   58.59,   63.68,   52.29
06/01/2013 01:40:00,   52.61,   56.96,   48.50,   55.72,   59.03,   52.63
06/01/2013 01:45:00,   55.04,   60.48,   48.71,   58.00,   62.29,   52.90
06/01/2013 01:50:00,   53.65,   58.42,   48.17,   56.84,   60.86,   52.62
06/01/2013 01:55:00,   55.61,   62.03,   48.98,   58.30,   63.50,   52.83
06/01/2013 02:00:00,   54.26,   60.60,   48.20,   58.31,   63.56,   52.34
06/01/2013 02:05:00,   53.16,   58.47,   47.84,   57.32,   62.19,   52.17
06/01/2013 02:10:00,   53.54,   58.30,   48.30,   56.73,   60.98,   52.18
06/01/2013 02:15:00,   52.73,   57.27,   47.88,   56.01,   59.81,   51.94
06/01/2013 02:20:00,   56.01,   61.12,   49.08,   58.74,   63.40,   52.93
06/01/2013 02:25:00,   53.99,   59.37,   48.01,   56.98,   62.06,   52.05
06/01/2013 02:30:00,   53.90,   58.13,   49.12,   56.92,   60.45,   53.05
06/01/2013 02:35:00,   55.21,   60.12,   50.07,   57.98,   62.11,   53.84
06/01/2013 02:40:00,   53.59,   58.91,   48.46,   56.69,   61.11,   52.45
06/01/2013 02:45:00,   53.75,   59.78,   47.90,   56.71,   61.78,   52.05
06/01/2013 02:50:00,   54.62,   60.60,   47.96,   58.85,   64.14,   52.22
06/01/2013 02:55:00,   53.80,   59.49,   48.73,   56.98,   61.33,   53.00
06/01/2013 03:00:00,   54.42,   59.98,   48.97,   57.32,   61.72,   53.03
06/01/2013 03:05:00,   55.25,   60.59,   49.73,   58.29,   63.70,   53.47
06/01/2013 03:10:00,   54.60,   60.98,   49.92,   57.57,   62.94,   53.28
06/01/2013 03:15:00,   55.24,   60.42,   49.36,   59.05,   63.30,   53.23
06/01/2013 03:20:00,   56.36,   61.85,   49.60,   58.75,   63.65,   53.14
06/01/2013 03:25:00,   55.44,   61.80,   50.13,   58.39,   63.66,   53.71
06/01/2013 03:30:00,   57.24,   62.73,   50.55,   60.00,   65.10,   53.93
06/01/2013 03:35:00,   56.10,   62.41,   50.97,   58.76,   64.09,   54.33
06/01/2013 03:40:00,   56.07,   61.18,   50.56,   58.46,   63.00,   53.69
06/01/2013 03:45:00,   55.20,   59.93,   50.11,   57.87,   62.41,   53.22
06/01/2013 03:50:00,   56.09,   60.77,   50.95,   58.95,   63.15,   53.90
06/01/2013 03:55:00,   54.34,   58.93,   50.34,   57.14,   61.18,   53.40
06/01/2013 04:00:00,   55.61,   61.35,   50.47,   57.99,   62.77,   53.67
06/01/2013 04:05:00,   56.63,   62.32,   50.16,   59.26,   64.24,   53.76
06/01/2013 04:10:00,   54.87,   61.06,   49.33,   57.39,   62.60,   52.81
06/01/2013 04:15:00,   53.41,   58.31,   48.89,   56.47,   61.15,   52.47
06/01/2013 04:20:00,   55.55,   60.64,   50.08,   58.61,   62.91,   53.67
06/01/2013 04:25:00,   55.25,   60.83,   49.04,   58.53,   63.36,   53.11
06/01/2013 04:30:00,   53.57,   58.96,   48.46,   56.84,   61.53,   52.79
06/01/2013 04:35:00,   53.85,   59.60,   48.68,   56.77,   61.76,   52.76
06/01/2013 04:40:00,   56.02,   61.84,   48.91,   58.46,   63.09,   53.27
06/01/2013 04:45:00,   54.58,   60.74,   48.63,   57.58,   62.88,   52.48
06/01/2013 04:50:00,   54.10,   60.27,   48.61,   57.46,   62.85,   52.70
06/01/2013 04:55:00,   55.77,   60.88,   48.71,   58.01,   62.83,   52.82
06/01/2013 05:00:00,   54.82,   60.44,   49.38,   57.26,   62.69,   52.92
06/01/2013 05:05:00,   53.93,   59.53,   48.96,   57.27,   62.13,   52.65
06/01/2013 05:10:00,   52.71,   58.01,   48.59,   55.53,   59.77,   52.31
06/01/2013 05:15:00,   52.43,   57.36,   48.62,   56.01,   60.52,   52.82
06/01/2013 05:20:00,   53.65,   60.57,   48.42,   56.44,   62.02,   52.32
06/01/2013 05:25:00,   52.85,   58.39,   48.63,   55.63,   60.29,   52.29
06/01/2013 05:30:00,   51.34,   54.13,   49.09,   54.41,   56.70,   52.52
06/01/2013 05:35:00,   53.67,   59.89,   49.30,   56.74,   62.66,   52.85
06/01/2013 05:40:00,   53.21,   58.30,   49.25,   55.97,   60.29,   52.53
06/01/2013 05:45:00,   54.28,   60.56,   49.64,   56.89,   62.45,   52.97
06/01/2013 05:50:00,   53.86,   58.70,   49.71,   57.30,   61.22,   53.45
06/01/2013 05:55:00,   53.15,   57.37,   49.65,   55.78,   60.15,   52.84
06/01/2013 06:00:00,   53.38,   58.06,   49.97,   55.82,   60.39,   52.77
06/01/2013 06:05:00,   54.67,   61.35,   50.38,   57.86,   63.97,   52.94
06/01/2013 06:10:00,   53.98,   58.14,   51.23,   55.92,   59.69,   53.32
06/01/2013 06:15:00,   53.70,   56.74,   51.37,   55.99,   59.75,   53.56
06/01/2013 06:20:00,   53.42,   56.43,   51.45,   55.57,   58.79,   53.60
06/01/2013 06:25:00,   58.95,   64.83,   51.75,   63.18,   69.06,   54.21
06/01/2013 06:30:00,   59.97,   65.36,   51.86,   64.60,   71.09,   54.18
06/01/2013 06:35:00,   56.34,   61.98,   51.68,   59.23,   64.76,   53.60
06/01/2013 06:40:00,   57.70,   64.03,   52.21,   60.48,   66.42,   54.40
06/01/2013 06:45:00,   56.02,   61.01,   51.93,   59.15,   65.35,   54.52
06/01/2013 06:50:00,   57.07,   62.52,   52.02,   59.93,   65.27,   54.62
06/01/2013 06:55:00,   55.37,   59.73,   51.76,   58.15,   62.22,   54.01
06/01/2013 07:00:00,   53.98,   56.48,   51.67,   56.22,   58.80,   54.02
06/01/2013 07:05:00,   56.50,   60.45,   51.84,   59.08,   62.94,   54.12
06/01/2013 07:10:00,   56.08,   61.00,   51.70,   58.32,   63.03,   53.91
06/01/2013 07:15:00,   56.37,   60.88,   51.88,   59.19,   63.19,   54.15
06/01/2013 07:20:00,   54.74,   59.31,   51.46,   57.28,   61.88,   53.51
06/01/2013 07:25:00,   57.14,   61.86,   51.87,   59.67,   63.55,   54.08
06/01/2013 07:30:00,   55.33,   59.77,   51.81,   57.52,   61.94,   53.79
06/01/2013 07:35:00,   56.74,   61.39,   51.85,   59.51,   63.94,   54.10
06/01/2013 07:40:00,   57.71,   61.74,   52.10,   60.45,   64.15,   54.27
06/01/2013 07:45:00,   56.19,   60.92,   52.11,   58.92,   63.77,   54.08
06/01/2013 07:50:00,   56.03,   60.65,   52.14,   58.32,   62.98,   54.02
06/01/2013 07:55:00,   57.10,   60.72,   51.89,   59.86,   63.56,   53.82
06/01/2013 08:00:00,   56.69,   62.13,   51.57,   59.26,   64.77,   53.42
06/01/2013 08:05:00,   54.61,   58.52,   51.82,   56.58,   60.69,   53.41
06/01/2013 08:10:00,   57.25,   61.53,   52.01,   59.31,   63.36,   53.71
06/01/2013 08:15:00,   57.80,   62.42,   52.35,   60.22,   64.53,   54.14
06/01/2013 08:20:00,   57.13,   61.06,   52.04,   59.60,   62.84,   53.60
06/01/2013 08:25:00,   57.11,   60.98,   51.65,   58.24,   61.93,   53.59
06/01/2013 08:30:00,   57.62,   61.33,   52.63,   59.76,   63.79,   54.69
06/01/2013 08:35:00,   57.30,   62.05,   52.32,   59.14,   64.54,   54.11
06/01/2013 08:40:00,   56.83,   61.63,   51.81,   59.35,   64.67,   53.55
06/01/2013 08:45:00,   58.29,   63.20,   51.98,   60.89,   65.87,   53.73
06/01/2013 08:50:00,   56.00,   60.71,   51.60,   58.24,   62.65,   53.71
06/01/2013 08:55:00,   57.08,   62.73,   51.77,   59.55,   64.87,   54.02
06/01/2013 09:00:00,   59.15,   65.21,   52.17,   61.42,   67.18,   54.33
06/01/2013 09:05:00,   56.04,   59.72,   51.67,   58.05,   61.85,   54.06
06/01/2013 09:10:00,   57.63,   61.33,   51.62,   60.70,   64.17,   53.71
06/01/2013 09:15:00,   57.14,   63.36,   51.89,   59.91,   65.44,   54.14
06/01/2013 09:20:00,   58.00,   63.28,   51.71,   60.13,   65.30,   53.63
06/01/2013 09:25:00,   56.83,   61.20,   51.57,   59.07,   62.94,   53.69
06/01/2013 09:30:00,   56.02,   60.92,   51.72,   58.19,   63.06,   53.68
06/01/2013 09:35:00,   58.52,   64.18,   52.22,   61.12,   66.37,   55.01
06/01/2013 09:40:00,   58.82,   64.01,   52.16,   60.97,   65.54,   54.05
06/01/2013 09:45:00,   57.73,   62.62,   52.30,   60.29,   65.33,   54.04
06/01/2013 09:50:00,   58.46,   64.10,   52.46,   61.13,   66.15,   54.61
06/01/2013 09:55:00,   56.80,   61.00,   52.13,   59.02,   63.51,   54.32
06/01/2013 10:00:00,   58.92,   65.00,   52.69,   61.69,   67.29,   54.78
06/01/2013 10:05:00,   55.50,   60.42,   51.35,   57.74,   62.27,   53.47
06/01/2013 10:10:00,   57.23,   63.04,   51.46,   59.92,   65.46,   53.42
06/01/2013 10:15:00,   59.62,   65.64,   52.32,   62.19,   67.49,   54.57
06/01/2013 10:20:00,   55.81,   60.61,   51.67,   58.11,   62.72,   53.86
06/01/2013 10:25:00,   59.66,   64.41,   52.65,   62.56,   67.80,   54.95
06/01/2013 10:30:00,   56.50,   60.22,   52.05,   58.78,   62.49,   54.03
06/01/2013 10:35:00,   59.53,   63.42,   52.61,   61.36,   65.06,   55.05
06/01/2013 10:40:00,   62.11,   65.86,   52.55,   64.24,   68.51,   54.63
06/01/2013 10:45:00,   62.09,   64.06,   58.80,   63.47,   65.86,   60.14
06/01/2013 10:50:00,   62.59,   66.33,   57.26,   64.87,   67.61,   60.47
06/01/2013 10:55:00,   62.68,   65.50,   53.43,   64.02,   66.74,   55.76
06/01/2013 11:00:00,   60.03,   64.13,   52.91,   62.30,   66.17,   55.52
06/01/2013 11:05:00,   58.05,   62.21,   53.28,   60.97,   65.24,   55.61
06/01/2013 11:10:00,   56.81,   60.12,   52.87,   59.48,   62.35,   55.04
06/01/2013 11:15:00,   59.35,   62.80,   53.42,   61.86,   65.03,   55.92
06/01/2013 11:20:00,   57.85,   61.51,   52.91,   62.02,   66.31,   55.55
06/01/2013 11:25:00,   60.10,   63.66,   53.85,   63.64,   68.54,   57.20
06/01/2013 11:30:00,   56.79,   61.53,   52.32,   59.73,   64.53,   55.38
06/01/2013 11:35:00,   59.47,   63.40,   52.99,   62.92,   67.17,   55.92
06/01/2013 11:40:00,   56.39,   60.32,   52.35,   58.89,   61.85,   54.91
06/01/2013 11:45:00,   57.81,   62.13,   52.19,   60.59,   64.82,   54.70
06/01/2013 11:50:00,   58.30,   62.85,   52.59,   61.17,   65.88,   55.02
06/01/2013 11:55:00,   58.58,   62.78,   52.60,   61.41,   64.77,   55.33
06/01/2013 12:00:00,   58.92,   63.33,   52.81,   62.46,   65.98,   57.43
06/01/2013 12:05:00,   59.41,   63.70,   52.61,   62.03,   66.39,   55.04
06/01/2013 12:10:00,   58.90,   63.32,   53.11,   61.59,   65.91,   55.58
06/01/2013 12:15:00,   58.41,   63.31,   52.42,   61.36,   66.20,   55.46
06/01/2013 12:20:00,   58.68,   62.94,   53.18,   61.65,   66.00,   56.00
06/01/2013 12:25:00,   56.58,   61.24,   52.24,   59.70,   64.33,   54.84
06/01/2013 12:30:00,   59.43,   64.76,   52.20,   62.96,   68.44,   54.62
06/01/2013 12:35:00,   57.57,   61.55,   52.06,   60.74,   64.44,   54.46
06/01/2013 12:40:00,   57.40,   61.30,   51.81,   60.18,   63.80,   54.48
06/01/2013 12:45:00,   56.36,   59.86,   52.12,   58.89,   62.20,   54.54
06/01/2013 12:50:00,   59.13,   64.14,   51.64,   62.37,   67.85,   54.51
06/01/2013 12:55:00,   55.94,   61.27,   50.99,   58.63,   63.94,   53.30
06/01/2013 13:00:00,   57.34,   62.20,   50.99,   60.82,   66.28,   53.57
06/01/2013 13:05:00,   56.00,   60.26,   51.36,   59.42,   63.67,   53.87
06/01/2013 13:10:00,   58.95,   63.22,   51.84,   62.16,   65.82,   54.41
06/01/2013 13:15:00,   56.38,   60.39,   51.39,   59.19,   63.12,   53.76
06/01/2013 13:20:00,   58.74,   62.58,   51.90,   61.32,   64.65,   54.42
06/01/2013 13:25:00,   58.54,   62.35,   51.31,   61.30,   65.08,   54.32
06/01/2013 13:30:00,   57.26,   61.89,   51.74,   60.58,   64.47,   54.38
06/01/2013 13:35:00,   57.14,   61.84,   51.55,   60.38,   65.47,   53.98
06/01/2013 13:40:00,   57.91,   61.75,   51.93,   61.02,   64.96,   54.40
06/01/2013 13:45:00,   58.26,   62.48,   52.29,   61.09,   65.12,   54.89
06/01/2013 13:50:00,   58.47,   63.55,   51.91,   61.26,   65.60,   54.42
06/01/2013 13:55:00,   58.21,   62.17,   51.86,   61.00,   65.29,   54.34
06/01/2013 14:00:00,   60.28,   64.46,   52.26,   63.11,   67.29,   55.90
06/01/2013 14:05:00,   59.11,   63.47,   52.57,   62.17,   66.76,   55.38
06/01/2013 14:10:00,   58.27,   61.75,   52.51,   61.15,   64.16,   55.36
06/01/2013 14:15:00,   58.27,   62.54,   52.28,   61.53,   65.83,   54.86
06/01/2013 14:20:00,   56.87,   60.64,   52.42,   59.73,   63.67,   54.80
06/01/2013 14:25:00,   60.04,   64.73,   52.03,   63.32,   68.39,   54.98
06/01/2013 14:30:00,   57.64,   61.43,   51.88,   61.11,   64.51,   54.67
06/01/2013 14:35:00,   59.81,   64.54,   51.99,   63.25,   67.57,   55.13
06/01/2013 14:40:00,   58.21,   62.23,   52.28,   61.58,   65.68,   55.40
06/01/2013 14:45:00,   57.75,   62.08,   51.96,   61.00,   65.18,   54.85
06/01/2013 14:50:00,   58.56,   62.50,   52.95,   61.60,   65.76,   56.00
06/01/2013 14:55:00,   59.27,   63.37,   52.74,   62.17,   65.75,   55.87
06/01/2013 15:00:00,   60.04,   63.91,   53.83,   62.35,   66.41,   56.41
06/01/2013 15:05:00,   58.73,   63.46,   53.12,   61.44,   65.63,   55.69
06/01/2013 15:10:00,   61.01,   64.38,   54.10,   63.09,   66.17,   56.72
06/01/2013 15:15:00,   60.68,   64.48,   54.51,   63.11,   66.77,   57.17
06/01/2013 15:20:00,   59.83,   65.31,   52.44,   62.56,   68.26,   54.93
06/01/2013 15:25:00,   59.38,   62.67,   52.81,   62.16,   65.39,   55.49
06/01/2013 15:30:00,   58.76,   62.90,   52.64,   61.48,   64.93,   55.26
06/01/2013 15:35:00,   58.78,   62.84,   52.69,   62.02,   66.76,   55.57
06/01/2013 15:40:00,   58.19,   63.12,   52.86,   61.66,   66.34,   56.19
06/01/2013 15:45:00,   60.24,   65.70,   52.56,   63.73,   68.76,   55.34
06/01/2013 15:50:00,   58.84,   63.98,   52.04,   61.91,   66.88,   54.52
06/01/2013 15:55:00,   59.05,   63.03,   52.05,   62.15,   65.41,   54.70
06/01/2013 16:00:00,   59.75,   64.26,   52.99,   63.32,   68.18,   56.08
06/01/2013 16:05:00,   58.84,   62.17,   52.54,   61.69,   64.97,   55.10
06/01/2013 16:10:00,   59.78,   64.51,   52.89,   63.14,   68.19,   55.89
06/01/2013 16:15:00,   59.00,   63.97,   52.36,   62.67,   68.13,   55.13
06/01/2013 16:20:00,   60.76,   65.74,   54.20,   64.41,   68.65,   57.72
06/01/2013 16:25:00,   60.11,   64.75,   52.71,   63.13,   66.91,   55.73
06/01/2013 16:30:00,   61.72,   66.38,   53.14,   65.14,   70.23,   56.39
06/01/2013 16:35:00,   59.79,   63.88,   53.36,   63.22,   67.41,   56.17
06/01/2013 16:40:00,   59.80,   64.60,   53.77,   62.63,   66.56,   56.60
06/01/2013 16:45:00,   59.97,   64.58,   53.46,   62.68,   67.57,   55.89
06/01/2013 16:50:00,   59.37,   63.44,   52.39,   62.61,   67.11,   54.96
06/01/2013 16:55:00,   57.42,   61.18,   53.04,   59.98,   63.87,   55.19
06/01/2013 17:00:00,   59.00,   63.94,   52.82,   62.02,   66.60,   55.52
06/01/2013 17:05:00,   59.37,   63.23,   52.47,   62.53,   66.29,   55.17
06/01/2013 17:10:00,   59.60,   63.39,   53.25,   62.72,   66.36,   56.28
06/01/2013 17:15:00,   58.09,   62.25,   52.62,   60.88,   64.01,   55.64
06/01/2013 17:20:00,   56.77,   60.85,   52.28,   59.46,   63.32,   54.56
06/01/2013 17:25:00,   60.83,   65.19,   54.53,   63.83,   69.23,   57.93
06/01/2013 17:30:00,   58.59,   63.25,   52.24,   61.26,   65.88,   54.64
06/01/2013 17:35:00,   60.08,   65.22,   53.35,   63.18,   67.75,   56.40
06/01/2013 17:40:00,   57.78,   62.44,   52.06,   61.11,   66.01,   54.59
06/01/2013 17:45:00,   60.13,   65.36,   53.96,   63.15,   67.24,   56.97
06/01/2013 17:50:00,   60.59,   65.91,   52.37,   63.81,   68.73,   55.35
06/01/2013 17:55:00,   58.75,   62.74,   52.77,   61.74,   65.73,   55.30
06/01/2013 18:00:00,   59.03,   63.18,   52.58,   61.89,   65.89,   55.41
06/01/2013 18:05:00,   60.17,   64.43,   53.58,   62.66,   66.43,   57.07
06/01/2013 18:10:00,   60.16,   64.64,   52.61,   63.08,   67.81,   55.49
06/01/2013 18:15:00,   59.80,   64.83,   53.43,   63.00,   67.70,   56.44
06/01/2013 18:20:00,   58.45,   61.78,   52.34,   62.18,   65.64,   55.26
06/01/2013 18:25:00,   58.66,   63.33,   52.32,   61.81,   65.76,   54.91
