# noise_analysis run from DCC-NOISE-001011 at Mon Jan  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/01/2013 00:05:00,   55.51,   62.31,   47.54,   58.63,   64.88,   51.39
07/01/2013 00:10:00,   52.60,   57.44,   47.86,   55.87,   60.19,   51.67
07/01/2013 00:15:00,   52.12,   57.26,   47.01,   55.25,   59.64,   50.87
07/01/2013 00:20:00,   53.22,   58.30,   47.56,   56.37,   60.83,   51.87
07/01/2013 00:25:00,   52.28,   57.24,   46.96,   55.35,   59.30,   50.89
07/01/2013 00:30:00,   53.27,   59.02,   47.28,   56.36,   62.06,   51.10
07/01/2013 00:35:00,   55.06,   60.46,   48.17,   58.02,   63.11,   51.99
07/01/2013 00:40:00,   53.17,   57.13,   48.35,   55.96,   59.35,   51.85
07/01/2013 00:45:00,   53.51,   59.50,   46.61,   56.55,   61.64,   50.86
07/01/2013 00:50:00,   52.04,   57.44,   46.99,   55.46,   60.03,   51.17
07/01/2013 00:55:00,   53.95,   58.84,   46.70,   56.30,   60.80,   50.72
07/01/2013 01:00:00,   51.83,   57.87,   46.72,   54.99,   59.98,   50.62
07/01/2013 01:05:00,   51.21,   56.20,   46.44,   54.55,   59.05,   50.45
07/01/2013 01:10:00,   53.73,   59.62,   46.68,   56.49,   61.64,   50.68
07/01/2013 01:15:00,   51.98,   57.04,   46.33,   55.20,   59.41,   50.26
07/01/2013 01:20:00,   52.09,   57.47,   46.17,   54.89,   59.38,   50.27
07/01/2013 01:25:00,   51.72,   57.64,   46.06,   54.54,   59.47,   50.30
07/01/2013 01:30:00,   50.45,   53.93,   46.87,   53.65,   56.31,   51.00
07/01/2013 01:35:00,   52.21,   56.31,   46.50,   55.46,   60.23,   50.53
07/01/2013 01:40:00,   51.35,   55.61,   46.36,   54.69,   58.57,   50.59
07/01/2013 01:45:00,   53.51,   59.12,   47.18,   56.91,   61.95,   51.15
07/01/2013 01:50:00,   51.50,   55.70,   46.83,   55.59,   59.42,   51.22
07/01/2013 01:55:00,   50.21,   52.75,   46.53,   53.74,   56.73,   50.59
07/01/2013 02:00:00,   49.78,   54.26,   46.13,   52.93,   56.28,   50.27
07/01/2013 02:05:00,   49.65,   52.97,   46.44,   53.12,   56.64,   50.51
07/01/2013 02:10:00,   52.44,   57.77,   46.76,   55.68,   60.81,   50.70
