# noise_analysis run from DCC-NOISE-001011 at Wed Jan  9 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/01/2013 00:05:00,   56.25,   63.57,   48.07,   59.06,   65.47,   52.09
09/01/2013 00:10:00,   51.45,   55.78,   47.99,   54.59,   57.84,   51.90
09/01/2013 00:15:00,   54.68,   59.75,   48.28,   57.68,   61.39,   52.50
09/01/2013 00:20:00,   57.26,   63.37,   48.31,   60.76,   66.85,   52.21
09/01/2013 00:25:00,   53.85,   59.14,   48.44,   56.68,   61.22,   52.22
09/01/2013 00:30:00,   55.63,   62.52,   48.43,   58.77,   64.05,   52.01
09/01/2013 00:35:00,   54.87,   60.91,   48.54,   57.57,   62.59,   52.34
09/01/2013 00:40:00,   55.21,   62.00,   47.63,   58.58,   64.75,   51.56
09/01/2013 00:45:00,   55.13,   62.43,   47.33,   58.38,   65.34,   51.38
09/01/2013 00:50:00,   63.75,   74.37,   47.86,   67.57,   77.90,   51.84
09/01/2013 00:55:00,   51.38,   55.32,   47.46,   54.82,   58.23,   51.60
09/01/2013 01:00:00,   53.42,   58.21,   47.82,   56.23,   60.80,   51.95
09/01/2013 01:05:00,   54.90,   60.80,   48.19,   58.22,   63.69,   52.16
09/01/2013 01:10:00,   51.58,   56.42,   47.77,   54.86,   59.19,   51.86
09/01/2013 01:15:00,   51.83,   56.84,   47.74,   54.81,   59.31,   51.63
09/01/2013 01:20:00,   52.76,   58.24,   47.80,   56.31,   60.78,   52.27
09/01/2013 01:25:00,   51.31,   55.40,   47.14,   54.84,   58.35,   51.60
09/01/2013 01:30:00,   51.93,   55.57,   47.81,   55.06,   58.12,   51.93
09/01/2013 01:35:00,   51.01,   54.56,   47.88,   54.67,   57.96,   52.04
09/01/2013 01:40:00,   50.32,   53.82,   47.47,   53.69,   56.08,   51.52
09/01/2013 01:45:00,   51.80,   57.50,   47.74,   54.96,   59.87,   51.77
09/01/2013 01:50:00,   52.66,   58.02,   48.15,   55.79,   60.14,   51.95
09/01/2013 01:55:00,   55.02,   59.91,   49.05,   58.64,   62.96,   52.71
09/01/2013 02:00:00,   55.25,   61.29,   48.88,   60.09,   64.37,   53.40
09/01/2013 02:05:00,   53.82,   59.33,   48.62,   56.64,   61.16,   52.71
09/01/2013 02:10:00,   51.04,   54.26,   47.57,   55.01,   58.73,   51.71
09/01/2013 02:15:00,   50.84,   55.84,   47.32,   54.32,   58.12,   51.52
09/01/2013 02:20:00,   51.57,   57.49,   47.22,   54.76,   59.81,   51.46
09/01/2013 02:25:00,   51.29,   57.23,   47.18,   54.52,   59.35,   51.37
09/01/2013 02:30:00,   50.78,   56.13,   47.07,   54.30,   58.56,   51.60
09/01/2013 02:35:00,   48.64,   50.20,   47.03,   52.62,   53.76,   51.40
09/01/2013 02:40:00,   50.88,   54.00,   46.89,   54.38,   56.99,   51.15
09/01/2013 02:45:00,   52.47,   59.58,   47.17,   55.69,   61.65,   51.24
09/01/2013 02:50:00,   50.50,   55.18,   47.05,   54.05,   57.99,   51.25
09/01/2013 02:55:00,   51.44,   56.47,   47.28,   54.41,   58.45,   51.37
09/01/2013 03:00:00,   51.37,   55.87,   47.15,   54.73,   59.21,   51.27
09/01/2013 03:05:00,   52.38,   58.45,   47.40,   55.92,   60.91,   51.40
09/01/2013 03:10:00,   51.54,   56.42,   47.67,   54.87,   58.97,   51.82
09/01/2013 03:15:00,   50.74,   54.01,   47.86,   53.95,   57.22,   51.65
09/01/2013 03:20:00,   62.74,   73.35,   47.68,   66.70,   77.14,   51.66
09/01/2013 03:25:00,   52.90,   58.19,   47.90,   55.67,   60.62,   51.88
09/01/2013 03:30:00,   50.97,   53.50,   47.64,   55.06,   58.29,   51.72
09/01/2013 03:35:00,   51.15,   53.93,   47.74,   54.34,   56.71,   51.59
09/01/2013 03:40:00,   53.41,   59.17,   47.83,   56.43,   61.48,   52.01
09/01/2013 03:45:00,   50.64,   53.79,   47.87,   54.94,   57.95,   52.03
09/01/2013 03:50:00,   51.63,   56.63,   47.95,   55.00,   59.25,   51.85
09/01/2013 03:55:00,   53.04,   58.76,   47.95,   57.23,   62.64,   52.20
09/01/2013 04:00:00,   53.47,   58.43,   47.99,   56.78,   61.02,   52.23
09/01/2013 04:05:00,   53.20,   59.08,   48.11,   56.37,   61.64,   52.12
09/01/2013 04:10:00,   51.99,   56.95,   47.59,   55.14,   59.18,   51.82
09/01/2013 04:15:00,   51.62,   55.98,   48.00,   55.60,   59.18,   52.39
09/01/2013 04:20:00,   52.67,   58.38,   47.93,   55.68,   60.12,   52.06
09/01/2013 04:25:00,   52.11,   56.19,   48.13,   55.74,   59.81,   52.44
09/01/2013 04:30:00,   52.32,   57.06,   48.34,   55.81,   59.66,   52.62
09/01/2013 04:35:00,   53.84,   58.58,   48.84,   57.45,   61.38,   53.04
09/01/2013 04:40:00,   57.45,   64.10,   48.30,   60.68,   66.69,   52.60
09/01/2013 04:45:00,   54.28,   59.59,   48.72,   57.94,   62.57,   52.89
09/01/2013 04:50:00,   54.70,   60.13,   48.65,   58.00,   62.70,   53.25
09/01/2013 04:55:00,   56.01,   61.89,   48.29,   58.59,   63.42,   52.94
09/01/2013 05:00:00,   56.33,   61.06,   51.54,   59.05,   63.58,   54.28
09/01/2013 05:05:00,   55.19,   59.81,   50.06,   59.07,   63.32,   53.99
09/01/2013 05:10:00,   58.27,   63.72,   51.80,   62.87,   69.11,   56.12
09/01/2013 05:15:00,   55.28,   59.50,   50.74,   59.00,   62.41,   54.80
09/01/2013 05:20:00,   58.03,   64.32,   51.02,   61.69,   68.04,   55.03
09/01/2013 05:25:00,   58.37,   63.67,   52.16,   61.85,   66.60,   56.64
09/01/2013 05:30:00,   56.23,   60.56,   51.88,   59.55,   62.85,   55.48
09/01/2013 05:35:00,   57.12,   63.11,   51.91,   60.53,   65.81,   55.07
09/01/2013 05:40:00,   60.71,   65.68,   52.99,   63.86,   68.55,   56.31
09/01/2013 05:45:00,   58.02,   61.89,   53.29,   61.54,   65.58,   56.37
09/01/2013 05:50:00,   60.05,   64.89,   53.40,   63.01,   68.24,   56.55
09/01/2013 05:55:00,   59.80,   64.88,   53.25,   63.09,   67.92,   56.46
09/01/2013 06:00:00,   57.28,   61.37,   53.51,   60.83,   64.42,   56.38
09/01/2013 06:05:00,   59.38,   65.43,   52.85,   62.76,   68.11,   55.93
09/01/2013 06:10:00,   59.46,   65.17,   53.75,   62.57,   67.74,   56.74
09/01/2013 06:15:00,   58.20,   61.86,   54.09,   61.24,   64.46,   57.03
09/01/2013 06:20:00,   66.82,   72.57,   55.45,   68.50,   74.15,   58.89
09/01/2013 06:25:00,   59.17,   64.11,   53.89,   62.63,   67.15,   57.30
09/01/2013 06:30:00,   60.12,   66.05,   53.76,   63.25,   68.34,   57.14
09/01/2013 06:35:00,   59.88,   65.77,   54.22,   63.02,   68.59,   57.43
09/01/2013 06:40:00,   59.97,   64.07,   54.53,   63.55,   68.00,   57.81
09/01/2013 06:45:00,   61.62,   66.66,   54.82,   66.11,   71.12,   58.44
09/01/2013 06:50:00,   59.82,   65.03,   54.75,   63.15,   67.11,   58.71
09/01/2013 06:55:00,   59.45,   65.67,   54.57,   62.56,   68.14,   57.82
09/01/2013 07:00:00,   60.87,   65.40,   54.70,   64.17,   68.46,   58.41
09/01/2013 07:05:00,   59.50,   65.08,   54.29,   62.33,   67.40,   57.44
09/01/2013 07:10:00,   61.82,   66.61,   55.30,   65.01,   69.23,   59.09
09/01/2013 07:15:00,   62.00,   67.09,   55.41,   64.72,   69.51,   58.83
09/01/2013 07:20:00,   62.86,   68.75,   55.10,   66.51,   71.72,   59.28
09/01/2013 07:25:00,   62.79,   68.89,   54.82,   65.65,   71.64,   58.86
09/01/2013 07:30:00,   64.56,   69.19,   55.68,   67.85,   72.40,   59.47
09/01/2013 07:35:00,   62.52,   67.09,   56.89,   65.57,   69.42,   60.03
09/01/2013 07:40:00,   63.64,   67.98,   57.24,   66.95,   70.71,   60.76
09/01/2013 07:45:00,   63.24,   67.39,   57.31,   66.26,   70.64,   60.49
09/01/2013 07:50:00,   63.40,   67.70,   57.71,   66.37,   70.87,   60.86
09/01/2013 07:55:00,   62.70,   67.01,   57.29,   65.61,   69.84,   60.38
09/01/2013 08:00:00,   63.27,   67.62,   57.35,   66.31,   69.91,   60.62
09/01/2013 08:05:00,   62.14,   66.15,   57.14,   64.98,   68.55,   60.33
09/01/2013 08:10:00,   63.93,   68.73,   57.34,   66.76,   71.29,   60.56
09/01/2013 08:15:00,   63.70,   67.92,   57.18,   66.48,   69.96,   60.54
09/01/2013 08:20:00,   64.06,   68.11,   57.73,   66.95,   71.17,   61.26
09/01/2013 08:25:00,   64.68,   69.48,   58.70,   68.21,   73.07,   62.39
09/01/2013 08:30:00,   63.94,   67.68,   58.64,   67.20,   71.67,   62.49
09/01/2013 08:35:00,   61.58,   66.75,   54.62,   64.97,   69.94,   58.53
09/01/2013 08:40:00,   62.39,   67.37,   54.66,   65.09,   69.25,   58.41
09/01/2013 08:45:00,   61.42,   66.25,   55.41,   64.70,   69.03,   59.10
09/01/2013 08:50:00,   63.32,   68.09,   55.11,   66.67,   71.73,   59.35
09/01/2013 08:55:00,   63.36,   67.89,   56.04,   66.37,   70.76,   60.23
09/01/2013 09:00:00,   63.87,   68.74,   56.04,   67.08,   71.75,   59.86
09/01/2013 09:05:00,   61.76,   66.37,   55.45,   65.54,   70.35,   59.54
09/01/2013 09:10:00,   62.19,   66.71,   54.66,   64.99,   69.07,   59.07
09/01/2013 09:15:00,   63.43,   68.39,   55.93,   66.97,   71.69,   60.25
09/01/2013 09:20:00,   63.75,   67.50,   56.06,   67.00,   70.33,   60.17
09/01/2013 09:25:00,   62.56,   66.45,   56.76,   66.05,   69.51,   61.46
09/01/2013 09:30:00,   63.77,   67.65,   56.35,   67.44,   71.87,   60.82
09/01/2013 09:35:00,   62.76,   67.31,   55.40,   65.46,   69.23,   59.28
09/01/2013 09:40:00,   63.60,   68.57,   55.84,   67.05,   72.00,   59.55
09/01/2013 09:45:00,   62.23,   66.18,   55.72,   65.11,   68.69,   59.48
09/01/2013 09:50:00,   63.74,   68.41,   56.52,   67.52,   72.49,   60.64
09/01/2013 09:55:00,   62.26,   65.85,   55.74,   65.43,   68.79,   59.35
09/01/2013 10:00:00,   62.92,   67.80,   55.33,   66.13,   70.93,   58.82
09/01/2013 10:05:00,   63.28,   67.85,   55.71,   67.33,   72.40,   60.21
09/01/2013 10:10:00,   61.68,   66.23,   55.50,   65.46,   69.67,   59.26
09/01/2013 10:15:00,   60.91,   64.76,   55.15,   63.98,   67.22,   58.99
09/01/2013 10:20:00,   62.00,   64.69,   56.89,   64.88,   68.03,   60.11
09/01/2013 10:25:00,   63.47,   67.77,   56.38,   66.23,   70.73,   59.96
09/01/2013 10:30:00,   60.65,   63.89,   55.36,   63.52,   66.90,   58.52
09/01/2013 10:35:00,   62.28,   67.95,   54.22,   64.39,   68.58,   57.56
09/01/2013 10:40:00,   61.78,   65.45,   55.86,   64.69,   68.03,   59.23
09/01/2013 10:45:00,   62.18,   66.36,   54.69,   65.30,   69.45,   58.69
09/01/2013 10:50:00,   61.73,   66.49,   56.18,   64.81,   69.69,   60.46
09/01/2013 10:55:00,   62.17,   66.19,   56.10,   64.69,   68.06,   59.69
09/01/2013 11:00:00,   66.18,   67.63,   54.71,   67.80,   69.53,   58.21
09/01/2013 11:05:00,   60.11,   64.18,   54.61,   64.14,   67.54,   58.68
09/01/2013 11:10:00,   61.45,   65.56,   55.35,   65.12,   68.85,   58.67
09/01/2013 11:15:00,   63.19,   67.71,   55.92,   66.47,   71.05,   59.80
09/01/2013 11:20:00,   62.20,   66.86,   55.20,   65.25,   69.45,   59.31
09/01/2013 11:25:00,   60.97,   65.29,   54.47,   64.29,   68.20,   57.90
09/01/2013 11:30:00,   60.61,   65.25,   54.00,   63.64,   67.59,   57.48
09/01/2013 11:35:00,   60.07,   63.63,   54.42,   63.51,   67.02,   58.28
09/01/2013 11:40:00,   61.02,   65.10,   54.59,   64.14,   67.27,   58.46
09/01/2013 11:45:00,   62.99,   67.22,   55.07,   66.37,   70.72,   58.90
09/01/2013 11:50:00,   62.87,   68.44,   53.96,   65.85,   70.17,   57.93
09/01/2013 11:55:00,   61.59,   64.94,   56.01,   64.72,   68.07,   59.31
09/01/2013 12:00:00,   61.19,   65.51,   53.26,   64.20,   68.56,   56.67
