# noise_analysis run from DCC-NOISE-001011 at Fri Jan 11 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -25.451378
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/01/2013 00:05:00,   57.58,   62.07,   50.25,   61.20,   65.46,   54.03
11/01/2013 00:10:00,   55.53,   60.34,   49.83,   58.84,   62.96,   53.76
11/01/2013 00:15:00,   57.21,   63.53,   49.66,   59.87,   65.80,   53.61
11/01/2013 00:20:00,   57.36,   61.80,   49.93,   60.19,   64.44,   53.69
11/01/2013 00:25:00,   57.90,   63.39,   49.09,   60.62,   65.28,   52.75
11/01/2013 00:30:00,   56.13,   61.75,   49.13,   59.18,   63.76,   52.80
11/01/2013 00:35:00,   54.22,   58.44,   49.48,   57.29,   61.13,   53.04
11/01/2013 00:40:00,   58.63,   64.90,   49.33,   61.95,   68.18,   52.99
11/01/2013 00:45:00,   57.31,   61.90,   49.12,   60.08,   63.81,   52.93
11/01/2013 00:50:00,   55.77,   61.40,   48.64,   58.55,   63.44,   52.26
11/01/2013 00:55:00,   55.02,   60.68,   48.77,   57.70,   62.77,   52.44
11/01/2013 01:00:00,   66.12,   77.46,   50.82,   69.54,   80.47,   54.74
11/01/2013 01:05:00,   55.44,   61.40,   49.37,   58.56,   64.36,   53.03
11/01/2013 01:10:00,   50.65,   53.47,   48.43,   54.11,   57.18,   52.12
11/01/2013 01:15:00,   55.21,   60.88,   48.68,   57.56,   62.58,   52.35
11/01/2013 01:20:00,   52.07,   57.57,   48.27,   54.96,   59.09,   51.86
11/01/2013 01:25:00,   53.56,   57.86,   49.07,   56.71,   60.55,   52.75
11/01/2013 01:30:00,   51.37,   54.42,   48.78,   54.84,   57.65,   52.52
11/01/2013 01:35:00,   53.11,   56.80,   48.92,   56.44,   60.02,   52.74
11/01/2013 01:40:00,   51.07,   54.56,   48.31,   54.25,   56.96,   52.11
11/01/2013 01:45:00,   54.19,   59.35,   48.49,   56.74,   61.39,   52.32
11/01/2013 01:50:00,   53.40,   57.53,   48.25,   56.17,   59.72,   51.97
11/01/2013 01:55:00,   56.57,   62.58,   48.62,   59.95,   65.11,   52.81
11/01/2013 02:00:00,   54.87,   59.51,   48.37,   58.01,   62.22,   52.12
11/01/2013 02:05:00,   51.78,   56.32,   48.15,   54.76,   58.57,   52.10
11/01/2013 02:10:00,   51.82,   56.82,   47.81,   54.69,   58.97,   51.66
11/01/2013 02:15:00,   52.25,   57.09,   48.12,   55.13,   59.08,   51.99
11/01/2013 02:20:00,   63.78,   72.76,   48.74,   67.79,   76.72,   52.43
11/01/2013 02:25:00,   52.26,   57.35,   48.11,   55.78,   61.07,   52.11
11/01/2013 02:30:00,   53.97,   58.64,   48.17,   56.92,   61.43,   52.01
11/01/2013 02:35:00,   54.93,   59.53,   48.13,   58.49,   62.70,   52.14
11/01/2013 02:40:00,   52.00,   58.26,   47.86,   55.12,   60.47,   51.79
11/01/2013 02:45:00,   50.47,   54.21,   47.74,   53.76,   56.69,   51.65
11/01/2013 02:50:00,   51.68,   55.22,   47.79,   55.00,   59.16,   51.70
11/01/2013 02:55:00,   51.79,   56.66,   47.82,   54.69,   58.91,   51.77
11/01/2013 03:00:00,   50.49,   53.44,   48.04,   53.93,   56.46,   51.93
11/01/2013 03:05:00,   52.25,   56.90,   47.80,   55.46,   59.78,   51.51
11/01/2013 03:10:00,   54.39,   59.75,   47.90,   57.21,   62.21,   51.63
11/01/2013 03:15:00,   52.56,   56.64,   48.84,   55.52,   59.09,   52.34
